time,Region1Beijing_onshore_wind,Region2Tianjin_onshore_wind,Region3Hebei_onshore_wind,Region4Shanxi_onshore_wind,Region5Innermongolia_onshore_wind,Region6Liaoning_onshore_wind,Region7Jilin_onshore_wind,Region8Heilongjiang_onshore_wind,Region9Shanghai_onshore_wind,Region10Jiangsu_onshore_wind,Region11Zhejiang_onshore_wind,Region12Anhui_onshore_wind,Region13Fujian_onshore_wind,Region14Jiangxi_onshore_wind,Region15Shandong_onshore_wind,Region16Henan_onshore_wind,Region17Hubei_onshore_wind,Region18Hunan_onshore_wind,Region19Guangdong_onshore_wind,Region20Guangxi_onshore_wind,Region21Hainan_onshore_wind,Region22Chongqing_onshore_wind,Region23Sichuan_onshore_wind,Region24Guizhou_onshore_wind,Region25Yunnan_onshore_wind,Region26Tibet_onshore_wind,Region27Shaanxi_onshore_wind,Region28Gansu_onshore_wind,Region29Qinghai_onshore_wind,Region30Ningxia_onshore_wind,Region31Xinjiang_onshore_wind,Region1Beijing_offshore_wind,Region2Tianjin_offshore_wind,Region3Hebei_offshore_wind,Region4Shanxi_offshore_wind,Region5Innermongolia_offshore_wind,Region6Liaoning_offshore_wind,Region7Jilin_offshore_wind,Region8Heilongjiang_offshore_wind,Region9Shanghai_offshore_wind,Region10Jiangsu_offshore_wind,Region11Zhejiang_offshore_wind,Region12Anhui_offshore_wind,Region13Fujian_offshore_wind,Region14Jiangxi_offshore_wind,Region15Shandong_offshore_wind,Region16Henan_offshore_wind,Region17Hubei_offshore_wind,Region18Hunan_offshore_wind,Region19Guangdong_offshore_wind,Region20Guangxi_offshore_wind,Region21Hainan_offshore_wind,Region22Chongqing_offshore_wind,Region23Sichuan_offshore_wind,Region24Guizhou_offshore_wind,Region25Yunnan_offshore_wind,Region26Tibet_offshore_wind,Region27Shaanxi_offshore_wind,Region28Gansu_offshore_wind,Region29Qinghai_offshore_wind,Region30Ningxia_offshore_wind,Region31Xinjiang_offshore_wind,Region1Beijing_utility_scale_solar_pv,Region2Tianjin_utility_scale_solar_pv,Region3Hebei_utility_scale_solar_pv,Region4Shanxi_utility_scale_solar_pv,Region5Innermongolia_utility_scale_solar_pv,Region6Liaoning_utility_scale_solar_pv,Region7Jilin_utility_scale_solar_pv,Region8Heilongjiang_utility_scale_solar_pv,Region9Shanghai_utility_scale_solar_pv,Region10Jiangsu_utility_scale_solar_pv,Region11Zhejiang_utility_scale_solar_pv,Region12Anhui_utility_scale_solar_pv,Region13Fujian_utility_scale_solar_pv,Region14Jiangxi_utility_scale_solar_pv,Region15Shandong_utility_scale_solar_pv,Region16Henan_utility_scale_solar_pv,Region17Hubei_utility_scale_solar_pv,Region18Hunan_utility_scale_solar_pv,Region19Guangdong_utility_scale_solar_pv,Region20Guangxi_utility_scale_solar_pv,Region21Hainan_utility_scale_solar_pv,Region22Chongqing_utility_scale_solar_pv,Region23Sichuan_utility_scale_solar_pv,Region24Guizhou_utility_scale_solar_pv,Region25Yunnan_utility_scale_solar_pv,Region26Tibet_utility_scale_solar_pv,Region27Shaanxi_utility_scale_solar_pv,Region28Gansu_utility_scale_solar_pv,Region29Qinghai_utility_scale_solar_pv,Region30Ningxia_utility_scale_solar_pv,Region31Xinjiang_utility_scale_solar_pv,Region1Beijing_distributed_solar_pv,Region2Tianjin_distributed_solar_pv,Region3Hebei_distributed_solar_pv,Region4Shanxi_distributed_solar_pv,Region5Innermongolia_distributed_solar_pv,Region6Liaoning_distributed_solar_pv,Region7Jilin_distributed_solar_pv,Region8Heilongjiang_distributed_solar_pv,Region9Shanghai_distributed_solar_pv,Region10Jiangsu_distributed_solar_pv,Region11Zhejiang_distributed_solar_pv,Region12Anhui_distributed_solar_pv,Region13Fujian_distributed_solar_pv,Region14Jiangxi_distributed_solar_pv,Region15Shandong_distributed_solar_pv,Region16Henan_distributed_solar_pv,Region17Hubei_distributed_solar_pv,Region18Hunan_distributed_solar_pv,Region19Guangdong_distributed_solar_pv,Region20Guangxi_distributed_solar_pv,Region21Hainan_distributed_solar_pv,Region22Chongqing_distributed_solar_pv,Region23Sichuan_distributed_solar_pv,Region24Guizhou_distributed_solar_pv,Region25Yunnan_distributed_solar_pv,Region26Tibet_distributed_solar_pv,Region27Shaanxi_distributed_solar_pv,Region28Gansu_distributed_solar_pv,Region29Qinghai_distributed_solar_pv,Region30Ningxia_distributed_solar_pv,Region31Xinjiang_distributed_solar_pv
1,0.36867602846931335,0.3221205490675061,0.35996013423410944,0.6334886954084897,0.5260434267001983,0.5559363889816638,0.4750054470341638,0.49948091530275285,0.26504079829672444,0.42408400648707084,1.1819744811126611,1.6130298609371039,0.6750070443078329,3.0386064870340306,0.5598819371152786,0.6791941558397465,0.4868044260569274,2.4059425585273857,3.031964280500688,1.6535171117292293,1.5288564868414483,0.8187226348930203,0.3207929206743625,1.4357196817792435,1.5411538719033189,0.18680415483045465,0.6784273238067868,0.5276746667786938,0.4606324625394298,0.8313467497924094,1.0796616197440017,0.0,0.2564330681274978,0.46669377274066903,0.0,0.0,0.17076005739616834,0.0,0.0,0.11189300820560429,1.950278801488821,1.7860562177008887,0.0,1.1863836240730252,0.0,0.41617232373550883,0.0,0.0,0.0,0.22828805582472705,0.2335684403917263,0.10036263265683469,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.7167022598764379,0.8734946674556454,0.6031384406688771,1.5094308243573336,1.3666754926889553,0.7096925675464494,0.5986482706293828,0.6055472552411754,0.2668915836761432,0.38088263092096236,1.2292613615952632,1.5444427592502166,0.690476396020865,3.247486836888129,1.413464576568913,0.6644042685264044,0.49880060378969315,2.3860674656853007,3.2097590576886432,1.753267578090913,1.633598588745258,0.8983277478855252,0.3270043526556261,1.4029097864046562,1.673908510379814,0.17251313968528592,1.7191514065567475,1.3522601854529057,0.778866191353494,2.0540194151089253,1.019713929417776,0.0,0.38448229988320515,1.2349696832380346,0.0,0.0,0.1435061791560287,0.0,0.0,0.18253729782176312,2.042423258350027,1.918974923956739,0.0,1.1963372738624825,0.0,0.7562030095627474,0.0,0.0,0.0,0.22013831024538555,0.22722224182204495,0.16504666304555932,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,0.740917468642913,0.9659954292087036,0.6332567495951187,1.5656770200003187,1.4950126860276214,1.3957455762393831,1.211071757879381,1.039287080554379,0.27709919677758893,0.357746786527813,1.1727781115798734,1.1766006682071861,0.7573389083851412,2.430088493918902,1.5167360181430922,0.746059034529325,0.5117323956565558,2.3271032605262008,2.7663319620905895,1.7565127657742323,1.6434938291475305,0.9140112191804624,0.3291901746897903,1.424007196331452,1.5715166655550554,0.15411709752178027,1.763096456787764,1.356090583038167,0.7426652448312838,2.1285436328703433,1.0073998988627864,0.0,0.3943217680363984,1.3353512447154543,0.0,0.0,0.17909573408191098,0.0,0.0,0.28182893995071717,1.8979327222787106,1.80680878284943,0.0,1.1431830344488838,0.0,0.8006955009989538,0.0,0.0,0.0,0.20258192312121723,0.21393688328653288,0.2566133480121344,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,0.7727992540284188,1.1389963926446853,0.7304774535290748,1.6883850663398903,1.6738683100484195,1.5866690949287285,1.287857387216718,1.0906194352424219,0.2935605093203106,0.45093044453462283,1.196815409307078,1.22613537591198,0.9508911780571849,2.5787490539005375,1.6422463286971833,0.7834268575802956,0.47428485645589147,2.2918268255407384,2.9007654383040062,1.7513627341453457,1.646496793487131,0.9757381726106162,0.32905782140736495,1.4526921214761028,1.6302945331124423,0.0,1.8950075216357476,1.3580695454056695,0.6971792096924492,2.1324208367330186,1.0089816397485265,0.0,0.4019415428615595,1.4534390872705671,0.0,0.0,0.22037962246277734,0.0,0.0,0.36434416846656353,1.7804770011316577,1.8018671395848287,0.0,1.1581469414514938,0.0,0.8734369138255424,0.0,0.0,0.0,0.21523311765043526,0.2270347557553576,0.3319753935378451,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,0.7793544717671097,1.283718033287073,0.8269544130168347,1.7119990925250193,1.8359548772641574,1.686910353371676,1.3096182858898828,1.0940229123449767,0.27949479967250745,0.6146650677114155,1.2296484022573395,1.2860569185170618,0.9852840491123203,2.6093672447273093,1.6696491436514407,0.8537447419733939,0.40311211025974725,2.303083665826307,3.0821834648068034,1.863269145803315,1.738496678348298,1.0207381233753716,0.33213962809655495,1.4665025191316943,1.6760399897590013,0.0,1.9459055764234563,1.3565656077589665,0.6924676021027873,2.1069703898925525,1.0000303978558804,0.0,0.4052906973686615,1.493215486394007,0.0,0.0,0.27915980175158894,0.0,0.0,0.3754048059443473,1.7562159510271158,1.9564499216389777,0.0,1.1491149807804946,0.0,0.977002156566394,0.0,0.0,0.0,0.30464344255701814,0.32573038308607877,0.34187497729835514,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,0.7761297753071077,1.29359543423152,0.8959895142842278,1.639860368398292,1.910516860174539,0.6496066770480766,0.46951947532897975,0.48767522977747335,0.2402630314044275,0.7423095785662301,1.241013342965175,0.7392827619417854,0.9128306923354799,2.7558728573148983,1.6680421026121621,0.9252753370777849,0.32507593567646653,2.3159884829037765,3.0267582500191565,1.8795256114512995,1.7234246749819135,1.0492534013391888,0.3325271479081344,1.4686949863938512,1.5741551706792425,0.07760202699657803,1.9580003952614362,1.3600451034617436,0.7041181948781501,2.057415499132066,0.9813792752574955,0.0,0.4032888524053657,1.5221232604646104,0.0,0.0,0.23931621169457445,0.0,0.0,0.3606433542789322,1.8131596020157303,2.038608714357906,0.0,1.059742766016604,0.0,0.9884343358687637,0.0,0.0,0.0,0.44131713902296615,0.4649230475308808,0.3304653087833062,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,0.7418892167470261,1.1809290355408848,0.8928448862414768,1.567700763648599,1.8325697935870267,0.6661953937244185,0.4753114610589364,0.4857209680547827,0.22019571463398385,0.8083203365536341,1.2653885574791275,1.2919276137008069,0.9235823054109162,2.367678174224693,1.5413478545215185,1.2261025088863167,0.2101589565858567,2.311285289550142,2.795737771847598,1.9199748021726464,1.6539500905428497,0.9562256586457945,0.3319918988466881,1.451141226467504,1.481343880765416,0.1312842152988889,1.8366938378681326,1.4351103004573815,0.6766218699734068,1.8846271877513203,0.9335402142423845,0.0,0.3767564411434674,1.3791728050673413,0.0,0.0,0.24182753348834773,0.0,0.0,0.28780427679199594,1.8507552963683338,2.197819513497052,0.0,0.9857566219274683,0.0,0.7943120137012816,0.0,0.0,0.0,0.4778263534503655,0.5069928966972352,0.26119815895565074,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,0.735703959275567,1.136847366695406,0.9003297476550425,1.5995325826640308,1.8352126813551877,0.7241392152113697,0.49758207213653805,0.48510387811223055,0.20869880268303692,0.6785353789705185,1.2084810847874223,1.4788102782752617,1.1116732736745565,2.3093581620541954,1.6388475104304234,1.711561430473492,0.16351230767748137,2.2269331203001457,2.5922483143194768,1.9843018946392021,1.6316907278640542,0.767816379286729,0.3304188330523887,1.3980683522758692,1.4587246569776493,0.16642769670288615,1.7856377159216308,1.5595511674473528,0.647569212741159,1.8154850260034525,0.9303935024290695,0.0,0.29468045842627194,1.250370435376709,0.0,0.0,0.24804410037666663,0.0,0.0,0.2366850191221959,1.7656176174677967,2.1268471859607416,0.0,0.9558915177131142,0.0,0.7201129511413313,0.0,0.0,0.0,0.4787682941686239,0.5050426959380334,0.21563391336041937,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,0.7357319163636056,1.1226657864494882,0.9072657330550715,1.642624577432299,1.7003314630565,0.7306379341450615,0.5114105598422611,0.4837179918850447,0.2011750947985357,0.5945179577551144,1.1459677900800216,1.5054454719575006,1.2063933948509913,2.2857120137514357,1.7484094114515756,1.9179586795532764,0.14050200378920127,2.1869054487801804,2.6090233274785533,2.0101779928784254,1.6935650064342553,0.6517600694343759,0.3289344246279269,1.355000537481084,1.3369880743644762,0.17529179749547552,1.7698070468365756,1.6230087476906192,0.63346309803137,1.7907191526243924,0.9248854292636679,0.0,0.23843761514048795,1.1856264411872388,0.0,0.0,0.24947558939674197,0.0,0.0,0.2148543383850901,1.7196198066822035,2.0308328470568995,0.0,0.9510325483055613,0.0,0.6844111167014602,0.0,0.0,0.0,0.4855642561924495,0.5054244603992999,0.1954105594650337,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2181814096462384,0.7842068326562099,0.50189092615798,0.4633127290114487,0.9532391809424894,0.3913630391809306,0.4735194472820581,0.3944634412314656,0.8159015740961948,1.2357834856198906,1.5464652445898537,1.173421681399077,1.1350007227462982,1.2722393085859949,1.0677867254187277,0.8573981815509555,1.1788986281418374,1.3617130981675132,1.3354263079756947,1.1914323182351154,1.486586935079572,0.0,0.0,0.6838669877222259,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.49262848798620773,0.6140482776482443,0.5785612627028485,0.0,0.0,0.4121712919276206,0.0,0.0,0.9524079376221266,1.2418558105846387,1.3656152460557678,1.2996983173022727,1.269555289007144,1.4002430979281826,0.7679046395235218,0.7840424823787799,1.1996780261451931,1.394055470211356,1.5086602767141812,0.6383035483242541,0.8775291337359477,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,0.8115997001857003,1.2987911889606494,1.0244708040884545,1.9287298583315167,1.9874607663441566,0.7598648749674126,0.5350902165637308,0.47687806701747304,0.18313707586104305,0.4392618075267043,1.183005881877989,1.7088550625193193,1.345452474457972,2.1833935813754124,2.1756022330228006,2.158378764483725,0.09577936235532052,1.9584864765192833,2.4451018015968202,2.1389101874535754,1.6735409145428264,0.4217385034955804,0.3285026183767705,1.326740111502886,1.3607937703943067,0.18391553055087684,1.7429753055166515,1.7268708889532718,0.6112914595231373,1.7314229122582727,0.9370793170019169,0.0,0.11675031322930926,1.1459589444472442,0.0,0.0,0.25931432346005145,0.0,0.0,0.1698722978561737,1.8411012930864672,2.1432662615493427,0.0,0.9478996885523638,0.0,0.643963476648956,0.0,0.0,0.0,0.4945094983486129,0.5020074646753397,0.15287448033864723,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0492618985893643,1.6183637338281187,1.2520109288961976,1.616561851543338,1.5412712651677793,0.5662864726227781,0.6525249902447285,0.5812725044321496,0.9203926951773127,1.8550163236886874,2.0400046766494597,1.4960596079408788,1.3954582689832478,1.4623591701788428,1.7715905569011738,1.6243956420839822,1.5069413431115208,1.7556703386494519,1.6283229582554668,1.5206901257756726,1.9037821546120313,1.2922094129882993,0.2420291393042362,1.207387406480393,1.5057560803425076,0.13200324742119562,1.1348631129317255,0.6338343692156059,0.536771917131432,1.0479028977777034,0.0,1.1869704999379849,1.1248617666035443,1.8296781007193204,0.0,0.0,0.5379402521216434,0.0,0.0,1.0702434399202048,1.7557311945511174,1.7446569548919797,1.6716435263374478,1.4254884817096354,1.6006635135022407,1.3007737539628579,1.5933593556710548,1.4614284082035738,1.6438429536847252,1.887209387959956,1.4908085192977865,1.093586911663806,1.0624452550771935,0.0,1.0601624049088443,1.505322032427955,0.07271388631246556,0.0,0.0,0.0,0.0,0.0
