type,Investment,FixedOM,VariableOM,Startup,NonServedDemand,Supply,UnmetPolicyPenalty,Total
AluminaPlant{NaturalGas},1.3929000884769843e6,1.3532391803767932e11,5.7995964873291016e10,0.0,0.0,0.0,0.0,1.933212758110588e11
OneWayTransmissionLink{Aluminum},0.0,0.0,2.817275165816165e9,0.0,0.0,0.0,0.0,2.817275165816165e9
AluminumRefining,3.1029537390043974e8,4.2939834674993677e9,1.1015907872764807e10,0.0,0.0,0.0,0.0,1.5620186714164614e10
OneWayTransmissionLink{AluminumScrap},0.0,0.0,5.2930367834228855e8,0.0,0.0,0.0,0.0,5.2930367834228855e8
AluminumSmelting,4.910924138117109e9,3.588660144241232e10,9.554270817441359e9,0.0,0.0,0.0,0.0,5.0351796397970795e10
ThermalAmmonia{Coal},8.652686252362309e6,3.798060249820219e10,0.0,0.0,0.0,0.0,0.0,3.798925518445455e10
ThermalAmmoniaCCS{Coal},3.5843460152437e7,4.480839079217604e6,0.0,0.0,0.0,0.0,0.0,4.032429923165461e7
ThermalAmmonia{CokingOvenGas},0.0,2.7854962347555864e6,0.0,0.0,0.0,0.0,0.0,2.7854962347555864e6
ThermalAmmonia{NaturalGas},5.015799161545688e7,6.254464238423043e9,0.0,0.0,0.0,0.0,0.0,6.3046222300385e9
ThermalAmmoniaCCS{NaturalGas},3.576860431822534e7,4.471582063775737e6,0.0,0.0,0.0,0.0,0.0,4.024018638200107e7
SyntheticAmmonia,7.347251775474158e9,5.50977246030146e9,0.0,0.0,0.0,0.0,0.0,1.285702423577562e10
OneWayTransmissionLink{Cement},0.0,0.0,1.0331617937772262e6,0.0,0.0,0.0,0.0,1.0331617937772262e6
OneWayTransmissionLink{CrudeSteel},0.0,0.0,5.0705485814833916e10,0.0,0.0,0.0,0.0,5.0705485814833916e10
OneWayTransmissionLink{DRI},0.0,0.0,2.0186629811635324e8,0.0,0.0,0.0,0.0,2.0186629811635324e8
DRIMaking,2.1301684830317076e7,3.195256211611798e6,0.0,0.0,0.0,0.0,0.0,2.4496941041928872e7
ThermalMethanol{Coal},1.8988133517189205e7,3.356693329637235e10,0.0,0.0,0.0,0.0,0.0,3.3585921429889538e10
ThermalMethanolCCS{Coal},1.955559760300321e7,1.591255268590128e7,1.4148116971864454e7,0.0,0.0,0.0,0.0,4.961626726076894e7
ThermalMethanol{CokingOvenGas},0.0,1.1235385802674048e7,0.0,0.0,0.0,0.0,0.0,1.1235385802674048e7
ThermalMethanol{NaturalGas},0.0,4.575326458036251e9,0.0,0.0,0.0,0.0,0.0,4.575326458036251e9
ThermalMethanolCCS{NaturalGas},2.8352785141602874e7,2.188422980688512e7,1.5271895928281574e7,0.0,0.0,0.0,0.0,6.550891087676957e7
SyntheticMethanol,1.514911621133262e10,1.136183715849946e10,0.0,0.0,0.0,0.0,0.0,2.651095336983208e10
Steelmaking,4.815665498867649e9,8.653549522462437e10,0.0,0.0,0.0,0.0,0.0,9.135116072349202e10
OneWayTransmissionLink{SteelScrap},0.0,0.0,1.967648645995935e8,0.0,0.0,0.0,0.0,1.967648645995935e8
CementPlant{Coal},1.7518734793672106e9,4.804013991115364e7,7.1063915672267e10,0.0,0.0,0.0,0.0,7.286382929154536e10
ThermalPower{Coal},4.6928967597329445e10,5.6658735010065475e10,1.123491001087717e11,2.8288946553328805e7,0.0,0.0,0.0,2.1596509166271994e11
ThermalPower{NaturalGas},3.0440433966976926e7,7.851458975747778e8,3.1350683566946936e8,4.4367115737496026e7,0.0,0.0,0.0,1.1734602829487202e9
ThermalPowerCCS{Coal},1.1352031489420097e9,3.3842152781593484e8,9.514117323338897e8,1.6116589068711855e7,0.0,0.0,0.0,2.441152998160546e9
ThermalPowerCCS{NaturalGas},6.4584812153342344e7,1.9253723691242732e7,1.5402344198171059e7,1.5170208116154723e7,0.0,0.0,0.0,1.1441108815891087e8
ThermalPower{Uranium},0.0,1.0050050994646095e10,3.6151044735034957e9,0.0,0.0,0.0,0.0,1.3665155468149591e10
BECCSElectricity,6.592963637698956e8,1.4451767396500773e9,0.0,0.0,0.0,0.0,0.0,2.104473103419973e9
HydroRes,0.0,6.552778539638978e10,0.0,0.0,0.0,0.0,0.0,6.552778539638978e10
VRE,5.93282389348026e11,1.4420299359671692e11,0.0,0.0,0.0,0.0,0.0,7.374853829447429e11
Electrolyzer,1.374634136147345e7,9.440736264563067e6,0.0,0.0,0.0,0.0,0.0,2.3187077626036517e7
ThermalHydrogen{NaturalGas},1.4393250417428608e9,2.325040745214702e9,2.002113557102152e9,1.9010595930187774e6,0.0,0.0,0.0,5.768380403652734e9
ThermalHydrogenCCS{NaturalGas},8.702757039571425e7,3.2126589158179145e7,2.1872004364355393e7,416334.74114660115,0.0,0.0,0.0,1.414424986593954e8
ThermalHydrogen{Coal},5.9679227492611e6,1.5567848069409006e10,7.056076238134956e9,738985.5954618743,0.0,0.0,0.0,2.2630631215888687e10
ThermalHydrogenCCS{Coal},1.2549433593355583e8,5.40179365876834e7,2.1335670736617684e7,237909.36839389184,0.0,0.0,0.0,2.010858526262508e8
OneWayTransmissionLink{Electricity},3.280501452959503e10,7.040402305232522e9,0.0,0.0,0.0,0.0,0.0,3.984541683482755e10
Battery,7.383330062145814e8,4.469244493822233e9,1.4351066989550136e7,0.0,0.0,0.0,0.0,5.221928567026365e9
