zone,Investment,FixedOM,VariableOM,Startup,NonServedDemand,Supply,UnmetPolicyPenalty,Total
Region1Beijing,1.5245257015752304e8,3.592071916988303e8,1.1451284920819946e8,2.820784524158436e6,0.0,0.0,0.0,6.289933955887113e8
Region2Tianjin,5.363446857342021e9,2.178999546820192e9,6.771185232893753e8,2.971621768356285e6,0.0,0.0,0.0,8.222536549219944e9
Region12Anhui,3.805620539899937e10,9.863608718037374e9,1.078301603260542e9,2.9092315772507847e6,0.0,0.0,0.0,4.9001024951874535e10
Region9Shanghai,2.738872183077208e7,2.494025800788683e9,1.9643250117945876e9,4.252900516994659e6,0.0,0.0,0.0,4.489992434931037e9
Region22Chongqing,9.357525325545931e8,1.5728524764064384e10,5.9621838233119e9,2.917886456477622e6,0.0,0.0,0.0,2.2629379006387356e10
Region13Fujian,1.7278371966625802e7,6.67557838814711e9,2.3878175046214833e9,2.943135552009195e6,0.0,0.0,0.0,9.08361740028723e9
Region28Gansu,1.2331047466055952e10,6.816964079864807e9,6.454688234074329e8,2.949372418943766e6,0.0,0.0,0.0,1.979642974174714e10
Region19Guangdong,2.442296154356394e7,1.316422861686259e10,6.860854681115218e9,3.50937869404868e6,0.0,0.0,0.0,2.0053015638215424e10
Region20Guangxi,6.188212877149673e9,2.3728753633784885e10,7.703875330971859e9,4.015941817822059e6,0.0,0.0,0.0,3.762485778372424e10
Region24Guizhou,5.418468455298673e10,3.296734759061784e10,1.082769273939082e10,2.7828068565965025e6,0.0,0.0,0.0,9.798250768985199e10
Region21Hainan,1.0479407744814104e10,3.2785028973636413e9,8.781964091533191e8,1.8255028708075743e7,0.0,0.0,0.0,1.465436208003914e10
Region3Hebei,1.971647433673134e10,1.188377676758144e10,6.341677196891062e9,2.9082946395866014e6,0.0,0.0,0.0,3.794483659584343e10
Region8Heilongjiang,3.766930718302726e9,3.045323324613108e9,6.660415811517328e8,2.753765929076085e6,0.0,0.0,0.0,7.481049389996643e9
Region16Henan,1.0829325820508136e8,2.1456280845512234e10,7.355945938031752e9,3.0498605555129526e6,0.0,0.0,0.0,2.892356990230458e10
Region17Hubei,2.0673662909977265e7,8.46274541257729e9,9.622670730045736e8,2.880825153379318e6,0.0,0.0,0.0,9.44856697364522e9
Region18Hunan,3.0642128727736074e8,3.698072562789167e9,8.665047737994353e8,2.7150502662649355e6,0.0,0.0,0.0,4.873713674132228e9
Region5Innermongolia,4.0314910505220184e10,2.751570433784223e10,5.6060926185172714e10,3.019146407736358e6,0.0,0.0,0.0,1.2389456017464287e11
Region10Jiangsu,2.3026114034081455e10,1.5186893792283928e10,5.153853449727535e9,3.229796400944747e6,0.0,0.0,0.0,4.337009107249387e10
Region14Jiangxi,4.416058314811529e10,9.697774073608658e9,8.297630762452388e8,2.053369595583692e6,0.0,0.0,0.0,5.4690173667564766e10
Region7Jilin,1.7177605469551813e10,5.469890924856175e9,4.374008525833126e8,2.7235921162967863e6,0.0,0.0,0.0,2.30876208391076e10
Region6Liaoning,2.412590028096844e7,4.1802180799400535e9,9.550028679509193e8,3.262602450972037e6,0.0,0.0,0.0,5.162609450622913e9
Region30Ningxia,3.055760784354862e10,9.275187406726334e9,4.316779208137996e9,2.925118827107162e6,0.0,0.0,0.0,4.415249957724005e10
Region29Qinghai,4.203464572778133e7,4.793583240160918e9,3.667457269302024e8,2.642305846263077e6,0.0,0.0,0.0,5.205005918665165e9
Region27Shaanxi,4.7810032823820885e10,1.3776663154672485e10,4.989836913441157e9,2.8812041331736073e6,0.0,0.0,0.0,6.6579414096067696e10
Region15Shandong,1.1083752646419614e11,6.6270583207375084e10,1.7670459897556465e10,2.9864681275590006e6,0.0,0.0,0.0,1.9478155603725525e11
Region4Shanxi,3.3449181853267746e9,6.7637117037518776e10,3.446390699977307e10,2.8472630718919076e6,0.0,0.0,0.0,1.0544878948569052e11
