time,Region1Beijing_onshore_wind,Region2Tianjin_onshore_wind,Region3Hebei_onshore_wind,Region4Shanxi_onshore_wind,Region5Innermongolia_onshore_wind,Region6Liaoning_onshore_wind,Region7Jilin_onshore_wind,Region8Heilongjiang_onshore_wind,Region9Shanghai_onshore_wind,Region10Jiangsu_onshore_wind,Region11Zhejiang_onshore_wind,Region12Anhui_onshore_wind,Region13Fujian_onshore_wind,Region14Jiangxi_onshore_wind,Region15Shandong_onshore_wind,Region16Henan_onshore_wind,Region17Hubei_onshore_wind,Region18Hunan_onshore_wind,Region19Guangdong_onshore_wind,Region20Guangxi_onshore_wind,Region21Hainan_onshore_wind,Region22Chongqing_onshore_wind,Region23Sichuan_onshore_wind,Region24Guizhou_onshore_wind,Region25Yunnan_onshore_wind,Region26Tibet_onshore_wind,Region27Shaanxi_onshore_wind,Region28Gansu_onshore_wind,Region29Qinghai_onshore_wind,Region30Ningxia_onshore_wind,Region31Xinjiang_onshore_wind,Region1Beijing_offshore_wind,Region2Tianjin_offshore_wind,Region3Hebei_offshore_wind,Region4Shanxi_offshore_wind,Region5Innermongolia_offshore_wind,Region6Liaoning_offshore_wind,Region7Jilin_offshore_wind,Region8Heilongjiang_offshore_wind,Region9Shanghai_offshore_wind,Region10Jiangsu_offshore_wind,Region11Zhejiang_offshore_wind,Region12Anhui_offshore_wind,Region13Fujian_offshore_wind,Region14Jiangxi_offshore_wind,Region15Shandong_offshore_wind,Region16Henan_offshore_wind,Region17Hubei_offshore_wind,Region18Hunan_offshore_wind,Region19Guangdong_offshore_wind,Region20Guangxi_offshore_wind,Region21Hainan_offshore_wind,Region22Chongqing_offshore_wind,Region23Sichuan_offshore_wind,Region24Guizhou_offshore_wind,Region25Yunnan_offshore_wind,Region26Tibet_offshore_wind,Region27Shaanxi_offshore_wind,Region28Gansu_offshore_wind,Region29Qinghai_offshore_wind,Region30Ningxia_offshore_wind,Region31Xinjiang_offshore_wind,Region1Beijing_utility_scale_solar_pv,Region2Tianjin_utility_scale_solar_pv,Region3Hebei_utility_scale_solar_pv,Region4Shanxi_utility_scale_solar_pv,Region5Innermongolia_utility_scale_solar_pv,Region6Liaoning_utility_scale_solar_pv,Region7Jilin_utility_scale_solar_pv,Region8Heilongjiang_utility_scale_solar_pv,Region9Shanghai_utility_scale_solar_pv,Region10Jiangsu_utility_scale_solar_pv,Region11Zhejiang_utility_scale_solar_pv,Region12Anhui_utility_scale_solar_pv,Region13Fujian_utility_scale_solar_pv,Region14Jiangxi_utility_scale_solar_pv,Region15Shandong_utility_scale_solar_pv,Region16Henan_utility_scale_solar_pv,Region17Hubei_utility_scale_solar_pv,Region18Hunan_utility_scale_solar_pv,Region19Guangdong_utility_scale_solar_pv,Region20Guangxi_utility_scale_solar_pv,Region21Hainan_utility_scale_solar_pv,Region22Chongqing_utility_scale_solar_pv,Region23Sichuan_utility_scale_solar_pv,Region24Guizhou_utility_scale_solar_pv,Region25Yunnan_utility_scale_solar_pv,Region26Tibet_utility_scale_solar_pv,Region27Shaanxi_utility_scale_solar_pv,Region28Gansu_utility_scale_solar_pv,Region29Qinghai_utility_scale_solar_pv,Region30Ningxia_utility_scale_solar_pv,Region31Xinjiang_utility_scale_solar_pv,Region1Beijing_distributed_solar_pv,Region2Tianjin_distributed_solar_pv,Region3Hebei_distributed_solar_pv,Region4Shanxi_distributed_solar_pv,Region5Innermongolia_distributed_solar_pv,Region6Liaoning_distributed_solar_pv,Region7Jilin_distributed_solar_pv,Region8Heilongjiang_distributed_solar_pv,Region9Shanghai_distributed_solar_pv,Region10Jiangsu_distributed_solar_pv,Region11Zhejiang_distributed_solar_pv,Region12Anhui_distributed_solar_pv,Region13Fujian_distributed_solar_pv,Region14Jiangxi_distributed_solar_pv,Region15Shandong_distributed_solar_pv,Region16Henan_distributed_solar_pv,Region17Hubei_distributed_solar_pv,Region18Hunan_distributed_solar_pv,Region19Guangdong_distributed_solar_pv,Region20Guangxi_distributed_solar_pv,Region21Hainan_distributed_solar_pv,Region22Chongqing_distributed_solar_pv,Region23Sichuan_distributed_solar_pv,Region24Guizhou_distributed_solar_pv,Region25Yunnan_distributed_solar_pv,Region26Tibet_distributed_solar_pv,Region27Shaanxi_distributed_solar_pv,Region28Gansu_distributed_solar_pv,Region29Qinghai_distributed_solar_pv,Region30Ningxia_distributed_solar_pv,Region31Xinjiang_distributed_solar_pv
1,0.5414047582349326,0.49485885123885964,0.5674251422824454,0.7196419794963731,1.0581685720426321,0.533751265230876,0.6317767482469208,0.5795934654297525,0.33018074149273957,0.48301661005734786,0.5008635246531412,0.5226053615151613,0.5183349260756813,0.9786627506837249,0.5667248258978361,0.5019893835924449,0.5045537829601017,0.6334652288251164,0.5303645589665393,0.5607161665921012,0.586906218659351,0.5716476940207258,0.5714414045714875,0.6059532417057198,0.5810995772371825,0.4766142695009421,0.721472195305978,0.7043194651087106,0.6663699141035977,0.6639896885972121,0.990514417324448,0.0,0.507914874279507,0.5404383495886549,0.0,0.0,0.42481845934712226,0.0,0.0,0.44833457497888674,0.41353107177565107,0.5294083687820148,0.0,0.5543815354535582,0.0,0.4605502194079918,0.0,0.0,0.0,0.5079380436741303,0.5034100950928213,0.27731673253549605,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.54164073013024,0.4991767143196739,0.5675358635835437,0.7211418870319903,1.0433500056387857,0.5519586987747971,0.6309306734001439,0.5729857683427326,0.3309230577440587,0.48270315496665717,0.5017371825724695,0.5201663961188387,0.5173945192143492,0.9754095340613276,0.5662072839040775,0.5016626190640636,0.5059315205003259,0.6302028428035555,0.5331453505186801,0.5655418221413129,0.5901865529194765,0.5756263565224344,0.5737118426313828,0.5956521214538952,0.5854997128408286,0.4524909575075071,0.7208815051053534,0.7007273009548953,0.6611149188302079,0.6813219803443644,0.9948931993858423,0.0,0.5088313366104558,0.5470359279742496,0.0,0.0,0.42795536214103436,0.0,0.0,0.4700532066724463,0.41566302681167144,0.5353204333159738,0.0,0.5529328816796806,0.0,0.4728622801238771,0.0,0.0,0.0,0.5089815324013216,0.5032931128435543,0.34853136594855294,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,0.5523619559477595,0.5132258166349857,0.5806768289639876,0.7214481746141246,1.0700531692782533,0.5696679536363263,0.6307324025474372,0.5760349990096074,0.3397514679324729,0.48803429256167874,0.5022349322098307,0.4960286645866745,0.5182429607352788,0.945133239380084,0.5699070004047826,0.5089983555444633,0.507323127797008,0.6264010129907547,0.5404349461687161,0.5728976082755253,0.6014849870225589,0.5762750783532056,0.5744752698119555,0.5948154288271326,0.5874245737286401,0.4251590431605905,0.7214738272086834,0.6990263589650567,0.6555928609886905,0.6853595316715655,0.9889531829685438,0.0,0.5194296617351597,0.5639099392314222,0.0,0.0,0.4462849488496943,0.0,0.0,0.48970351796461387,0.420220082240121,0.5384926039146194,0.0,0.550935833434778,0.0,0.4770284042115236,0.0,0.0,0.0,0.5138201569052399,0.5052613414608729,0.40626333567856276,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,0.5694983257614012,0.5388471421911163,0.5997347508236999,0.7221436401669052,1.0610691012698226,0.5900979854040997,0.6282354244958697,0.5909985007392606,0.34590931787030854,0.49102875350945396,0.5059870198274439,0.49897100844509623,0.5989877535091637,0.9848616034723818,0.5880373162217438,0.5276130981092138,0.5031441448718397,0.6240004158444208,0.5419518518056066,0.5740465224444051,0.7707485841910966,0.5907311894268332,0.5744400541843788,0.5952303531303187,0.5868503132878686,0.0,0.7207731372182025,0.6981342114595463,0.6513720226921578,0.6844977731598192,0.9888012888259254,0.0,0.5362052452504997,0.5861727144854711,0.0,0.0,0.46652109376985607,0.0,0.0,0.5012502058056612,0.4227163099531026,0.5411384080935022,0.0,0.6222162322237637,0.0,0.49566527816887174,0.0,0.0,0.0,0.5175291304199163,0.5101263917253043,0.5241341524498093,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,0.5768264159176226,0.5446539642734933,0.6149464353147778,0.7254200814350042,1.0697085596548277,0.5944711873617052,0.629292051144148,0.5938361126545715,0.34313728157704304,0.498872786962238,0.5060896183222212,0.5083962936901116,0.6006553924856917,0.9705157819407759,0.5983612812415231,0.5398957007655554,0.4984164824459185,0.6239183864281586,0.5459701633753866,0.5768740725470707,0.7737670871883893,0.5925504493142171,0.5764065306966586,0.5971241683073458,0.5847691603412386,0.0,0.7254601877575624,0.7003890918895195,0.6514390224870112,0.6825590807711706,0.9903608023305424,0.0,0.5432528059211563,0.594437222032127,0.0,0.0,0.480714193272604,0.0,0.0,0.5067554551397393,0.42571546525687154,0.5482420431453647,0.0,0.6207197220455782,0.0,0.5110526975058747,0.0,0.0,0.0,0.5270704491749711,0.5261607157717378,0.5278921729127424,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,0.5800033933680311,0.5545840543491067,0.6222830931583303,0.7270604460754839,1.070011896059441,0.5961841925291083,0.6228543932975299,0.5710356035237965,0.33047242272104427,0.4987245072461519,0.506827943461758,0.41763907427250047,0.5971397196735779,0.9574164860969177,0.6015848811221076,0.5470663347541631,0.48657197037152855,0.6269058326597587,0.547488897297626,0.5893435386660713,125.29557907246453,0.6747254562352509,0.5768536100022175,0.5979328336106846,0.5803727472048195,0.32845734742821264,0.7331328425643733,0.7014099507214269,0.6527566738504902,0.6848370842417353,0.9978059007844422,0.0,0.5460476300517882,0.6004885238920394,0.0,0.0,0.4838816519231841,0.0,0.0,0.5016659407827433,0.42452404564392054,0.5512362532913357,0.0,0.6169887772675793,0.0,0.5149789842143946,0.0,0.0,0.0,0.5372556479615014,0.5526434587684292,1.3765074267187167,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,0.5786185915373494,0.5463618364037757,0.6218515843902424,0.7281752122544276,1.0641985525362543,0.5936976989514733,0.612114200124779,0.554965228383935,0.3220519552707657,0.49523470200983866,0.5049553673288756,0.5053699466652688,0.5383049147022803,0.6542792653926881,0.6025568930926966,0.5562141264208549,0.4621544356980962,0.6290491340223525,0.5450399611063403,0.5910963451296993,0.7594282920799742,0.6446864113037236,0.5771673835233742,0.5967211183306063,0.5775966111395974,0.39812874240885776,0.7295541963540018,0.7036740337352967,0.6508953473248766,0.6582360314641846,0.6870253587985644,0.0,0.5378957886043025,0.5946285374039917,0.0,0.0,0.47879407100921867,0.0,0.0,0.49067952519075675,0.4211191264412264,0.5517757113084372,0.0,0.5465808674109667,0.0,0.4986656124159481,0.0,0.0,0.0,0.5387263494794752,0.5558450412537184,0.48055886941322923,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,0.610132857511104,0.5729576531311977,0.6572765218734276,0.7303334423268097,1.0700249657966197,0.6137338067765086,0.6247057794716966,0.5594203592863778,0.31316364982976097,0.4839082385060465,0.5082823283210018,0.5078042652903605,0.5504463752795345,0.596528325084364,0.6524429724813672,0.6155202722666218,0.44315319086365434,0.5710845088178758,0.5378916536765246,0.5881269929886912,0.6904650828873855,0.630727228359433,0.5768869704315875,0.5800204941187985,0.5760897761865635,0.44283389362806247,0.7253553156551789,0.7134381515570567,0.6479050320103852,0.6531732291114167,0.6811919100291561,0.0,0.5493030138166262,0.6222691769439876,0.0,0.0,0.4875463974936167,0.0,0.0,0.4745225795497561,0.4146833486493051,0.5491395710510005,0.0,0.5432094475008853,0.0,0.5261880427138976,0.0,0.0,0.0,0.5372666018229211,0.5495040531201525,0.4217889823751806,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,0.610338736823735,0.5732862750492131,0.6611265494138934,0.7352103671182704,1.0868481156721828,0.6296824720830045,0.6376619831717107,0.56638186648388,0.3097968650155991,0.4828968018427986,0.5055907659716468,0.5215795737422013,0.5533782400329983,0.5744240219282801,0.6603465543012135,0.6241448965483869,0.4373814329721313,0.5530535284233338,0.5328776999090223,0.5970940776423959,0.6803359345194622,0.5625980445965979,0.5776142980130317,0.5774420244342764,0.5762198872180306,0.4583624763965872,0.7216637025849195,0.7231533550802851,0.6495901188559401,0.6528133551582869,0.6838584822398843,0.0,0.5481544750506799,0.6148616647312224,0.0,0.0,0.494327043357913,0.0,0.0,0.46974842978724496,0.4160974747264845,0.5484453758535892,0.0,0.5431057738521758,0.0,0.5229984547988806,0.0,0.0,0.0,0.5362609202948079,0.5565712687704831,0.4047578228457873,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1987311173482364,0.39035260291268514,0.4560864964651081,0.41679907533281924,0.7584254835744559,0.5333687407346588,0.44046623357061776,0.38937136147552565,0.45330892941691303,0.46830658416854476,0.4532521523894957,0.4713448709401291,0.47975502528328207,0.5102070531540903,0.5738793876982982,0.41797724173573414,0.4988823809450196,0.4424140527809186,0.49848827270034235,0.44860279929218905,0.500798779666809,0.0,0.0,0.3489023492312242,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.377455923308859,0.32413554956151813,0.4109271688374143,0.0,0.0,0.4755429956713897,0.0,0.0,0.37813621765832295,0.49725813996383295,0.5018503770497773,0.4953149387472422,0.4529777828573742,0.4640346735117191,0.5704081138399033,0.4671510252517379,0.45175154892842784,0.4785155911030188,0.48572983820758964,0.3430934166250381,0.3263557758336191,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,0.6529360705162617,0.6149752169276326,0.7133485025515256,0.7577747355753672,1.095038696366828,0.7298974572913721,0.7331508802417375,0.6376276915470953,0.32525244291213085,0.48061078218506736,0.49527330031742167,0.5216747766116896,0.5554725495869661,0.5532456542205182,0.7203378594131209,0.6459612725939223,0.42333237165615856,0.5421556752867218,0.5180303278098108,0.5818723478150787,0.6798583608069748,0.5412547754083903,0.5766939870227361,0.5671803275836282,0.5748454298372963,0.4722216017548817,0.7320771162194433,0.7425618868292077,0.6598128960536087,0.6554604793309409,0.6938555604137946,0.0,0.5609291813232353,0.6425547543995336,0.0,0.0,0.5690368043201488,0.0,0.0,0.4636687322182951,0.4238220506695143,0.5412211637994915,0.0,0.5374277210582932,0.0,0.5606738879973818,0.0,0.0,0.0,0.5280577570347305,0.5406568932353579,0.3670126809664721,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5543688987065565,0.604609662474445,0.6996263255387021,0.7113931347030302,1.0178935482572342,0.7036333965097583,0.6006613041694209,0.5569125012519862,0.44840579511328826,0.5000642635259283,0.5035914223699365,0.5145085997678507,0.5074432217617186,0.5322764597867717,0.6912710507567681,0.5808630943506614,0.5493854097931035,0.5071365283203022,0.5228451573798338,0.5062727048020861,0.5667948430024126,0.5077782892258824,0.48908570662933926,0.5072305428279833,0.5334872274643203,0.38437733292164467,0.6604097936533435,0.44459337605889004,0.44313097956421643,0.6236264350186502,0.0,0.5567671946218411,0.5056248876061318,0.6750890209495992,0.0,0.0,0.6457925317013178,0.0,0.0,0.392519092718544,0.5033195118921867,0.50816644418137,0.5118825214894969,0.4943924913129649,0.5013339131335215,0.6802039127351236,0.6136625729932348,0.5174507113331401,0.5282177380888697,0.5121004747425104,0.44372504273235336,0.4049926242259403,0.4434487911909173,0.0,0.44061675719786564,0.474426520232754,0.25324307697033477,0.0,0.0,0.0,0.0,0.0
