type,Investment,FixedOM,VariableOM,Startup,NonServedDemand,Supply,UnmetPolicyPenalty,Total
AluminaPlant{NaturalGas},333428.3110658698,1.0288668758623389e11,4.4094294679814514e10,0.0,0.0,0.0,0.0,1.4698131569435947e11
OneWayTransmissionLink{Aluminum},0.0,0.0,2.0428786435994365e9,0.0,0.0,0.0,0.0,2.0428786435994365e9
AluminumRefining,3.2830906157541127e9,1.0244686505484682e10,2.6282011466499123e10,0.0,0.0,0.0,0.0,3.9809788587737915e10
OneWayTransmissionLink{AluminumScrap},0.0,0.0,9.472821981249267e8,0.0,0.0,0.0,0.0,9.472821981249267e8
AluminumSmelting,148248.74284262484,2.7284591489317158e10,7.264105939015543e9,0.0,0.0,0.0,0.0,3.454884567707555e10
ThermalAmmonia{Coal},4.318458858043685e6,1.0249045971600517e10,0.0,0.0,0.0,0.0,0.0,1.025336443045856e10
ThermalAmmoniaCCS{Coal},2.4356877165529847e7,8.922542421185253e6,0.0,0.0,0.0,0.0,0.0,3.3279419586715102e7
ThermalAmmonia{CokingOvenGas},0.0,1.7353819316318398e6,0.0,0.0,0.0,0.0,0.0,1.7353819316318398e6
ThermalAmmonia{NaturalGas},6.884229283140881e6,4.146449606022774e8,0.0,0.0,0.0,0.0,0.0,4.215291898854183e8
ThermalAmmoniaCCS{NaturalGas},2.1210653844069745e7,7.769716674646543e6,0.0,0.0,0.0,0.0,0.0,2.898037051871629e7
SyntheticAmmonia,5.466737171314007e6,8.726660416548846e6,0.0,0.0,0.0,0.0,0.0,1.4193397587862853e7
OneWayTransmissionLink{Cement},0.0,0.0,1.3348509500679339e6,0.0,0.0,0.0,0.0,1.3348509500679339e6
OneWayTransmissionLink{CrudeSteel},0.0,0.0,4.14747073966688e10,0.0,0.0,0.0,0.0,4.14747073966688e10
OneWayTransmissionLink{DRI},0.0,0.0,3.135555654271144e8,0.0,0.0,0.0,0.0,3.135555654271144e8
DRIMaking,5.10637001171225e9,1.2667051408959837e9,0.0,0.0,0.0,0.0,0.0,6.373075152608233e9
ThermalMethanol{Coal},5.636772874186127e7,9.815113275498037e9,0.0,0.0,0.0,0.0,0.0,9.871481004239899e9
ThermalMethanolCCS{Coal},1.1413433608609164e7,2.8015054418054834e7,0.0,0.0,0.0,0.0,0.0,3.9428488026664e7
ThermalMethanol{CokingOvenGas},0.0,5.661520329770685e6,0.0,0.0,0.0,0.0,0.0,5.661520329770685e6
ThermalMethanol{NaturalGas},0.0,5.370221935949568e8,0.0,0.0,0.0,0.0,0.0,5.370221935949568e8
ThermalMethanolCCS{NaturalGas},1.0007564182945488e7,2.2422297051877853e7,0.0,0.0,0.0,0.0,0.0,3.242986123482334e7
SyntheticMethanol,1.7420472728294045e7,2.420379610337002e7,0.0,0.0,0.0,0.0,0.0,4.162426883166406e7
Steelmaking,3.6085215031881323e9,9.244379555532149e10,0.0,0.0,0.0,0.0,0.0,9.605231705850961e10
OneWayTransmissionLink{SteelScrap},0.0,0.0,3.2003124978744256e8,0.0,0.0,0.0,0.0,3.2003124978744256e8
