zone,Investment,FixedOM,VariableOM,Startup,NonServedDemand,Supply,UnmetPolicyPenalty,Total
Region1Beijing,4.073608527849865e10,1.312135066900923e10,2.3615998751501784e8,7.855864099299186e6,0.0,0.0,0.0,5.410145179912219e10
Region2Tianjin,1.7225091186973017e8,3.9429212401578097e9,8.933446919867234e8,6.6725901514486e6,0.0,0.0,0.0,5.015189434165711e9
Region12Anhui,6.330977099692542e10,2.5531943909329502e10,2.8058857589466667e9,8.689587819212371e6,0.0,0.0,0.0,9.165629025302081e10
Region9Shanghai,2.1285571019193687e10,8.7773821122852e9,2.5720382446980934e9,2.9355478544789523e7,0.0,0.0,0.0,3.266434685472177e10
Region22Chongqing,4.849773693384612e8,3.317700169256072e10,1.2010018351817747e10,2.1078446099404e7,0.0,0.0,0.0,4.569307585981633e10
Region13Fujian,3.5514774700750134e11,3.945872744831237e10,5.306807204890153e9,6.294281122878325e6,0.0,0.0,0.0,3.999195759418267e11
Region28Gansu,6.322554673154832e11,4.534973902300258e10,1.769693504496739e9,7.009644002909293e6,0.0,0.0,0.0,6.793819094869854e11
Region19Guangdong,3.2656995758891455e11,4.498093024414544e10,1.249724482115075e10,9.542667342655618e8,0.0,0.0,0.0,3.850023993884763e11
Region20Guangxi,2.664921471723134e11,6.391353190366125e10,1.4358220048788177e10,2.2194260899773657e7,0.0,0.0,0.0,3.447860933856626e11
Region24Guizhou,1.5163728409270975e11,7.234668861062662e10,1.7977281720829422e10,6.478993575987567e6,0.0,0.0,0.0,2.4196773341774176e11
Region21Hainan,2.6273056714599995e10,7.415535862954542e9,1.5476568600354066e9,2.003280985150174e8,0.0,0.0,0.0,3.543657753610496e10
Region3Hebei,4.508616862709811e11,8.27144067849519e10,7.15558326138474e9,6.606131669194905e6,0.0,0.0,0.0,5.4073828244898694e11
Region8Heilongjiang,1.347764865081524e11,1.3558647566895071e10,6.045402460479051e8,6.501149468010699e6,0.0,0.0,0.0,1.4894617547056342e11
Region16Henan,2.381001077284696e10,8.761103544803486e9,1.8176775640193753e9,6.959404499067171e6,0.0,0.0,0.0,3.439575128616889e10
Region17Hubei,1.3770992817517996e9,2.053639244530275e10,2.1734251132851124e9,7.831776467249207e6,0.0,0.0,0.0,2.409474861680691e10
Region18Hunan,1.9627409142655954e11,2.0989688530950794e10,2.047500192283518e9,8.651262284565771e6,0.0,0.0,0.0,2.1931993141207843e11
Region5Innermongolia,4.0792478923656165e11,7.684270387852026e10,6.052666066797685e10,5.977695404598213e8,0.0,0.0,0.0,5.458919233235186e11
Region10Jiangsu,3.545641147786848e9,4.5115069275404594e10,7.494958221120426e9,7.719587306485287e6,0.0,0.0,0.0,5.616338823161836e10
Region14Jiangxi,1.6180539748924682e9,1.9570523155437946e10,1.9505466793297818e9,4.795515151874743e6,0.0,0.0,0.0,2.314391932481207e10
Region7Jilin,9.925599645568259e10,1.6883775805790945e10,8.6810141413751e8,6.0630304364963025e6,0.0,0.0,0.0,1.1701393670604753e11
Region6Liaoning,1.3428103337488066e11,1.9081150695892056e10,2.504829446907247e9,6.704639504504105e6,0.0,0.0,0.0,1.5587371815718448e11
Region30Ningxia,2.42993807260256e8,1.633262821697417e10,4.312346561664778e9,9.35562555920225e6,0.0,0.0,0.0,2.089732421145841e10
Region29Qinghai,2.0319726491464306e10,9.404134366356218e9,5.735430969757103e8,5.901909559299062e6,0.0,0.0,0.0,3.0303305864355537e10
Region27Shaanxi,2.4464802740658713e11,3.947198501751504e10,4.80394849915152e9,5.822910769943943e6,0.0,0.0,0.0,2.889297838340236e11
Region15Shandong,2.3261062965068146e10,4.806268166068891e10,4.551903772140268e9,6.995494879494478e6,0.0,0.0,0.0,7.588264389277682e10
Region4Shanxi,1.7525369002525522e11,1.2997239680750328e11,4.647864098819062e10,7.061241242250939e6,0.0,0.0,0.0,3.5171178906219135e11
Region23Sichuan,1.286490920539675e11,4.243122733621142e10,2.7842239529889035e9,1.3772566610051574e7,0.0,0.0,0.0,1.7387831590977786e11
Region26Tibet,3.45898464994822e10,4.733868601259793e9,1.3214395229458384e8,9.627119666397255e6,0.0,0.0,0.0,3.946548617270298e10
Region31Xinjiang,2.2236120931922324e11,6.384268943488516e10,1.4731102468096294e10,1.136257446852108e7,0.0,0.0,0.0,3.009463637966732e11
Region25Yunnan,7.472387244110315e10,6.177369066648816e10,1.009721543605801e10,5.609833148985543e6,0.0,0.0,0.0,1.466003883767983e11
Region11Zhejiang,4.848030717591226e11,5.312881152019619e10,8.831013839307259e9,6.855762802178726e6,0.0,0.0,0.0,5.467697528814282e11
aluminum_Region1Beijing_aluminum_Region2Tianjin,0.0,0.0,2537.326546849882,0.0,0.0,0.0,0.0,2537.326546849882
aluminum_Region1Beijing_aluminum_Region3Hebei,0.0,0.0,1383.5383593384765,0.0,0.0,0.0,0.0,1383.5383593384765
aluminum_Region1Beijing_aluminum_Region4Shanxi,0.0,0.0,1166.8017715339795,0.0,0.0,0.0,0.0,1166.8017715339795
aluminum_Region1Beijing_aluminum_Region5Innermongolia,0.0,0.0,1252.7825009457406,0.0,0.0,0.0,0.0,1252.7825009457406
aluminum_Region1Beijing_aluminum_Region6Liaoning,0.0,0.0,69764.7103230099,0.0,0.0,0.0,0.0,69764.7103230099
aluminum_Region1Beijing_aluminum_Region7Jilin,0.0,0.0,4027.3634291678377,0.0,0.0,0.0,0.0,4027.3634291678377
aluminum_Region1Beijing_aluminum_Region8Heilongjiang,0.0,0.0,5230.206396383723,0.0,0.0,0.0,0.0,5230.206396383723
aluminum_Region1Beijing_aluminum_Region9Shanghai,0.0,0.0,6597.782017728774,0.0,0.0,0.0,0.0,6597.782017728774
aluminum_Region1Beijing_aluminum_Region10Jiangsu,0.0,0.0,5580.223416110035,0.0,0.0,0.0,0.0,5580.223416110035
aluminum_Region1Beijing_aluminum_Region11Zhejiang,0.0,0.0,5427.999991974537,0.0,0.0,0.0,0.0,5427.999991974537
aluminum_Region1Beijing_aluminum_Region12Anhui,0.0,0.0,4540.255593864885,0.0,0.0,0.0,0.0,4540.255593864885
aluminum_Region1Beijing_aluminum_Region13Fujian,0.0,0.0,4767.241062101736,0.0,0.0,0.0,0.0,4767.241062101736
aluminum_Region1Beijing_aluminum_Region14Jiangxi,0.0,0.0,3744.3790843703027,0.0,0.0,0.0,0.0,3744.3790843703027
aluminum_Region1Beijing_aluminum_Region15Shandong,0.0,0.0,3997.537081302493,0.0,0.0,0.0,0.0,3997.537081302493
aluminum_Region1Beijing_aluminum_Region16Henan,0.0,0.0,2241.707894968416,0.0,0.0,0.0,0.0,2241.707894968416
aluminum_Region1Beijing_aluminum_Region17Hubei,0.0,0.0,3891.2024644935245,0.0,0.0,0.0,0.0,3891.2024644935245
aluminum_Region1Beijing_aluminum_Region18Hunan,0.0,0.0,2990.425065614326,0.0,0.0,0.0,0.0,2990.425065614326
aluminum_Region1Beijing_aluminum_Region19Guangdong,0.0,0.0,2983.5444757613104,0.0,0.0,0.0,0.0,2983.5444757613104
aluminum_Region1Beijing_aluminum_Region20Guangxi,0.0,0.0,2280.2861137544205,0.0,0.0,0.0,0.0,2280.2861137544205
aluminum_Region1Beijing_aluminum_Region21Hainan,0.0,0.0,2126.8916921421387,0.0,0.0,0.0,0.0,2126.8916921421387
aluminum_Region1Beijing_aluminum_Region22Chongqing,0.0,0.0,1873.4724820936483,0.0,0.0,0.0,0.0,1873.4724820936483
aluminum_Region1Beijing_aluminum_Region23Sichuan,0.0,0.0,2139.5544209991376,0.0,0.0,0.0,0.0,2139.5544209991376
aluminum_Region1Beijing_aluminum_Region24Guizhou,0.0,0.0,1928.1979105284613,0.0,0.0,0.0,0.0,1928.1979105284613
aluminum_Region1Beijing_aluminum_Region25Yunnan,0.0,0.0,2335.941946357392,0.0,0.0,0.0,0.0,2335.941946357392
aluminum_Region1Beijing_aluminum_Region27Shaanxi,0.0,0.0,2308.192875624037,0.0,0.0,0.0,0.0,2308.192875624037
aluminum_Region1Beijing_aluminum_Region28Gansu,0.0,0.0,2741.2527256411913,0.0,0.0,0.0,0.0,2741.2527256411913
aluminum_Region1Beijing_aluminum_Region29Qinghai,0.0,0.0,2973.919196939606,0.0,0.0,0.0,0.0,2973.919196939606
aluminum_Region1Beijing_aluminum_Region30Ningxia,0.0,0.0,2478.736321989964,0.0,0.0,0.0,0.0,2478.736321989964
aluminum_Region1Beijing_aluminum_Region31Xinjiang,0.0,0.0,4512.151423445708,0.0,0.0,0.0,0.0,4512.151423445708
aluminum_Region2Tianjin_aluminum_Region1Beijing,0.0,0.0,1967.149613754326,0.0,0.0,0.0,0.0,1967.149613754326
aluminum_Region2Tianjin_aluminum_Region3Hebei,0.0,0.0,1331.8793062445734,0.0,0.0,0.0,0.0,1331.8793062445734
aluminum_Region2Tianjin_aluminum_Region4Shanxi,0.0,0.0,1172.4825591493382,0.0,0.0,0.0,0.0,1172.4825591493382
aluminum_Region2Tianjin_aluminum_Region5Innermongolia,0.0,0.0,1343.6639235429766,0.0,0.0,0.0,0.0,1343.6639235429766
aluminum_Region2Tianjin_aluminum_Region6Liaoning,0.0,0.0,100138.06473771024,0.0,0.0,0.0,0.0,100138.06473771024
aluminum_Region2Tianjin_aluminum_Region7Jilin,0.0,0.0,4014.170440177347,0.0,0.0,0.0,0.0,4014.170440177347
aluminum_Region2Tianjin_aluminum_Region8Heilongjiang,0.0,0.0,5211.989580233759,0.0,0.0,0.0,0.0,5211.989580233759
aluminum_Region2Tianjin_aluminum_Region9Shanghai,0.0,0.0,8211.23831884125,0.0,0.0,0.0,0.0,8211.23831884125
aluminum_Region2Tianjin_aluminum_Region10Jiangsu,0.0,0.0,6434.587497624989,0.0,0.0,0.0,0.0,6434.587497624989
aluminum_Region2Tianjin_aluminum_Region11Zhejiang,0.0,0.0,6216.368230662105,0.0,0.0,0.0,0.0,6216.368230662105
aluminum_Region2Tianjin_aluminum_Region12Anhui,0.0,0.0,4800.611463944244,0.0,0.0,0.0,0.0,4800.611463944244
aluminum_Region2Tianjin_aluminum_Region13Fujian,0.0,0.0,5127.798792199857,0.0,0.0,0.0,0.0,5127.798792199857
aluminum_Region2Tianjin_aluminum_Region14Jiangxi,0.0,0.0,3820.2520136436706,0.0,0.0,0.0,0.0,3820.2520136436706
aluminum_Region2Tianjin_aluminum_Region15Shandong,0.0,0.0,3984.8404490593452,0.0,0.0,0.0,0.0,3984.8404490593452
aluminum_Region2Tianjin_aluminum_Region16Henan,0.0,0.0,2184.6321663054273,0.0,0.0,0.0,0.0,2184.6321663054273
aluminum_Region2Tianjin_aluminum_Region17Hubei,0.0,0.0,3863.2535865791388,0.0,0.0,0.0,0.0,3863.2535865791388
aluminum_Region2Tianjin_aluminum_Region18Hunan,0.0,0.0,2966.2685656232825,0.0,0.0,0.0,0.0,2966.2685656232825
aluminum_Region2Tianjin_aluminum_Region19Guangdong,0.0,0.0,2973.776490328632,0.0,0.0,0.0,0.0,2973.776490328632
aluminum_Region2Tianjin_aluminum_Region20Guangxi,0.0,0.0,2267.2305755844973,0.0,0.0,0.0,0.0,2267.2305755844973
aluminum_Region2Tianjin_aluminum_Region21Hainan,0.0,0.0,2117.076340208372,0.0,0.0,0.0,0.0,2117.076340208372
aluminum_Region2Tianjin_aluminum_Region22Chongqing,0.0,0.0,1862.450269995982,0.0,0.0,0.0,0.0,1862.450269995982
aluminum_Region2Tianjin_aluminum_Region23Sichuan,0.0,0.0,2122.0443059928107,0.0,0.0,0.0,0.0,2122.0443059928107
aluminum_Region2Tianjin_aluminum_Region24Guizhou,0.0,0.0,1910.778965304345,0.0,0.0,0.0,0.0,1910.778965304345
aluminum_Region2Tianjin_aluminum_Region25Yunnan,0.0,0.0,2323.072556574392,0.0,0.0,0.0,0.0,2323.072556574392
aluminum_Region2Tianjin_aluminum_Region27Shaanxi,0.0,0.0,2271.7662489925074,0.0,0.0,0.0,0.0,2271.7662489925074
aluminum_Region2Tianjin_aluminum_Region28Gansu,0.0,0.0,2704.421587498398,0.0,0.0,0.0,0.0,2704.421587498398
aluminum_Region2Tianjin_aluminum_Region29Qinghai,0.0,0.0,2928.6988065767664,0.0,0.0,0.0,0.0,2928.6988065767664
aluminum_Region2Tianjin_aluminum_Region30Ningxia,0.0,0.0,2445.775768960042,0.0,0.0,0.0,0.0,2445.775768960042
aluminum_Region2Tianjin_aluminum_Region31Xinjiang,0.0,0.0,4287.119800206733,0.0,0.0,0.0,0.0,4287.119800206733
aluminum_Region3Hebei_aluminum_Region1Beijing,0.0,0.0,21524.928638604233,0.0,0.0,0.0,0.0,21524.928638604233
aluminum_Region3Hebei_aluminum_Region2Tianjin,0.0,0.0,22659.593310024284,0.0,0.0,0.0,0.0,22659.593310024284
aluminum_Region3Hebei_aluminum_Region4Shanxi,0.0,0.0,1236.00323887876,0.0,0.0,0.0,0.0,1236.00323887876
aluminum_Region3Hebei_aluminum_Region5Innermongolia,0.0,0.0,1795.1908405022818,0.0,0.0,0.0,0.0,1795.1908405022818
aluminum_Region3Hebei_aluminum_Region6Liaoning,0.0,0.0,113708.08043379075,0.0,0.0,0.0,0.0,113708.08043379075
aluminum_Region3Hebei_aluminum_Region7Jilin,0.0,0.0,4984.308600153083,0.0,0.0,0.0,0.0,4984.308600153083
aluminum_Region3Hebei_aluminum_Region8Heilongjiang,0.0,0.0,6098.5141464048465,0.0,0.0,0.0,0.0,6098.5141464048465
aluminum_Region3Hebei_aluminum_Region9Shanghai,0.0,0.0,118887.75292371277,0.0,0.0,0.0,0.0,118887.75292371277
aluminum_Region3Hebei_aluminum_Region10Jiangsu,0.0,0.0,140821.71119826267,0.0,0.0,0.0,0.0,140821.71119826267
aluminum_Region3Hebei_aluminum_Region11Zhejiang,0.0,0.0,14708.387754290292,0.0,0.0,0.0,0.0,14708.387754290292
aluminum_Region3Hebei_aluminum_Region12Anhui,0.0,0.0,18547.140370955967,0.0,0.0,0.0,0.0,18547.140370955967
aluminum_Region3Hebei_aluminum_Region13Fujian,0.0,0.0,8561.826897012921,0.0,0.0,0.0,0.0,8561.826897012921
aluminum_Region3Hebei_aluminum_Region14Jiangxi,0.0,0.0,7029.531115989155,0.0,0.0,0.0,0.0,7029.531115989155
aluminum_Region3Hebei_aluminum_Region15Shandong,0.0,0.0,68161.91083465445,0.0,0.0,0.0,0.0,68161.91083465445
aluminum_Region3Hebei_aluminum_Region16Henan,0.0,0.0,4917.946273342158,0.0,0.0,0.0,0.0,4917.946273342158
aluminum_Region3Hebei_aluminum_Region17Hubei,0.0,0.0,10689.093730799457,0.0,0.0,0.0,0.0,10689.093730799457
aluminum_Region3Hebei_aluminum_Region18Hunan,0.0,0.0,4420.556768710032,0.0,0.0,0.0,0.0,4420.556768710032
aluminum_Region3Hebei_aluminum_Region19Guangdong,0.0,0.0,3748.8415288808487,0.0,0.0,0.0,0.0,3748.8415288808487
aluminum_Region3Hebei_aluminum_Region20Guangxi,0.0,0.0,2570.648924342417,0.0,0.0,0.0,0.0,2570.648924342417
aluminum_Region3Hebei_aluminum_Region21Hainan,0.0,0.0,2330.9418437773998,0.0,0.0,0.0,0.0,2330.9418437773998
aluminum_Region3Hebei_aluminum_Region22Chongqing,0.0,0.0,2081.408401171446,0.0,0.0,0.0,0.0,2081.408401171446
aluminum_Region3Hebei_aluminum_Region23Sichuan,0.0,0.0,2505.6347637813265,0.0,0.0,0.0,0.0,2505.6347637813265
aluminum_Region3Hebei_aluminum_Region24Guizhou,0.0,0.0,2102.4040930908136,0.0,0.0,0.0,0.0,2102.4040930908136
aluminum_Region3Hebei_aluminum_Region25Yunnan,0.0,0.0,2620.3494319775723,0.0,0.0,0.0,0.0,2620.3494319775723
aluminum_Region3Hebei_aluminum_Region27Shaanxi,0.0,0.0,3685.380752023627,0.0,0.0,0.0,0.0,3685.380752023627
aluminum_Region3Hebei_aluminum_Region28Gansu,0.0,0.0,4156.846114972349,0.0,0.0,0.0,0.0,4156.846114972349
aluminum_Region3Hebei_aluminum_Region29Qinghai,0.0,0.0,4535.684977773314,0.0,0.0,0.0,0.0,4535.684977773314
aluminum_Region3Hebei_aluminum_Region30Ningxia,0.0,0.0,4062.2366172400352,0.0,0.0,0.0,0.0,4062.2366172400352
aluminum_Region3Hebei_aluminum_Region31Xinjiang,0.0,0.0,5704.1264223096405,0.0,0.0,0.0,0.0,5704.1264223096405
aluminum_Region4Shanxi_aluminum_Region1Beijing,0.0,0.0,7.611530109860424e6,0.0,0.0,0.0,0.0,7.611530109860424e6
aluminum_Region4Shanxi_aluminum_Region2Tianjin,0.0,0.0,1.293423066439714e7,0.0,0.0,0.0,0.0,1.293423066439714e7
aluminum_Region4Shanxi_aluminum_Region3Hebei,0.0,0.0,9.970406533100384e7,0.0,0.0,0.0,0.0,9.970406533100384e7
aluminum_Region4Shanxi_aluminum_Region5Innermongolia,0.0,0.0,3303.8379654953155,0.0,0.0,0.0,0.0,3303.8379654953155
aluminum_Region4Shanxi_aluminum_Region6Liaoning,0.0,0.0,1.1586208347419037e8,0.0,0.0,0.0,0.0,1.1586208347419037e8
aluminum_Region4Shanxi_aluminum_Region7Jilin,0.0,0.0,5905.8991255353285,0.0,0.0,0.0,0.0,5905.8991255353285
aluminum_Region4Shanxi_aluminum_Region8Heilongjiang,0.0,0.0,7075.224048149385,0.0,0.0,0.0,0.0,7075.224048149385
aluminum_Region4Shanxi_aluminum_Region9Shanghai,0.0,0.0,7.170597437001132e6,0.0,0.0,0.0,0.0,7.170597437001132e6
aluminum_Region4Shanxi_aluminum_Region10Jiangsu,0.0,0.0,8.112945412895114e8,0.0,0.0,0.0,0.0,8.112945412895114e8
aluminum_Region4Shanxi_aluminum_Region11Zhejiang,0.0,0.0,18828.749557651783,0.0,0.0,0.0,0.0,18828.749557651783
aluminum_Region4Shanxi_aluminum_Region12Anhui,0.0,0.0,3.6429176406804115e8,0.0,0.0,0.0,0.0,3.6429176406804115e8
aluminum_Region4Shanxi_aluminum_Region13Fujian,0.0,0.0,11929.751756313533,0.0,0.0,0.0,0.0,11929.751756313533
aluminum_Region4Shanxi_aluminum_Region14Jiangxi,0.0,0.0,11165.571972326281,0.0,0.0,0.0,0.0,11165.571972326281
aluminum_Region4Shanxi_aluminum_Region15Shandong,0.0,0.0,2.2030451632624185e8,0.0,0.0,0.0,0.0,2.2030451632624185e8
aluminum_Region4Shanxi_aluminum_Region16Henan,0.0,0.0,2.0056387584757483e8,0.0,0.0,0.0,0.0,2.0056387584757483e8
aluminum_Region4Shanxi_aluminum_Region17Hubei,0.0,0.0,103521.79658197319,0.0,0.0,0.0,0.0,103521.79658197319
aluminum_Region4Shanxi_aluminum_Region18Hunan,0.0,0.0,6406.970242777742,0.0,0.0,0.0,0.0,6406.970242777742
aluminum_Region4Shanxi_aluminum_Region19Guangdong,0.0,0.0,4567.40913355524,0.0,0.0,0.0,0.0,4567.40913355524
aluminum_Region4Shanxi_aluminum_Region20Guangxi,0.0,0.0,2945.954362674587,0.0,0.0,0.0,0.0,2945.954362674587
aluminum_Region4Shanxi_aluminum_Region21Hainan,0.0,0.0,2613.529278999893,0.0,0.0,0.0,0.0,2613.529278999893
aluminum_Region4Shanxi_aluminum_Region22Chongqing,0.0,0.0,2398.9480232516853,0.0,0.0,0.0,0.0,2398.9480232516853
aluminum_Region4Shanxi_aluminum_Region23Sichuan,0.0,0.0,3121.5766003076333,0.0,0.0,0.0,0.0,3121.5766003076333
