type,Investment,FixedOM,VariableOM,Startup,NonServedDemand,Supply,UnmetPolicyPenalty,Total
AluminaPlant{NaturalGas},1.5095815612465764e-13,1.0245123321630836e11,4.390767137841788e10,0.0,0.0,0.0,0.0,1.4635890459472626e11
OneWayTransmissionLink{Aluminum},0.0,0.0,2.2039870983583884e9,0.0,0.0,0.0,0.0,2.2039870983583884e9
AluminumRefining,4.9000837050037473e8,1.6664919999999998e10,4.275266190857142e10,0.0,0.0,0.0,0.0,5.990759027907179e10
OneWayTransmissionLink{AluminumScrap},0.0,0.0,8.945292937912202e8,0.0,0.0,0.0,0.0,8.945292937912202e8
AluminumSmelting,1.255557800441122e-13,2.7169061039605362e10,7.2333615662598915e9,0.0,0.0,0.0,0.0,3.440242260586525e10
ThermalAmmonia{Coal},1.4012308577100234e-13,1.5541694172432579e10,0.0,0.0,0.0,0.0,0.0,1.5541694172432579e10
ThermalAmmoniaCCS{Coal},5.571450970644884e-14,1.1448014240112428e6,0.0,0.0,0.0,0.0,0.0,1.1448014240112428e6
ThermalAmmonia{CokingOvenGas},0.0,6.6896863174129975e-12,0.0,0.0,0.0,0.0,0.0,6.6896863174129975e-12
ThermalAmmonia{NaturalGas},1.3348109464443986e-13,5.799280855048099e8,0.0,0.0,0.0,0.0,0.0,5.799280855048099e8
ThermalAmmoniaCCS{NaturalGas},5.522138493517347e-14,381027.01218448434,0.0,0.0,0.0,0.0,0.0,381027.01218448434
SyntheticAmmonia,8.891575115147384e6,7.439330624798555e6,0.0,0.0,0.0,0.0,0.0,1.6330905739945939e7
OneWayTransmissionLink{Cement},0.0,0.0,1.8911167670434974e-12,0.0,0.0,0.0,0.0,1.8911167670434974e-12
OneWayTransmissionLink{CrudeSteel},0.0,0.0,3.696617446601916e10,0.0,0.0,0.0,0.0,3.696617446601916e10
OneWayTransmissionLink{DRI},0.0,0.0,5.519425610335127e-10,0.0,0.0,0.0,0.0,5.519425610335127e-10
DRIMaking,1.405943028399865e10,4.2178290851995945e9,0.0,0.0,0.0,0.0,0.0,1.8277259369198242e10
