zone,Investment,FixedOM,VariableOM,Startup,NonServedDemand,Supply,UnmetPolicyPenalty,Total
Region1Beijing,5.527253759834904e9,1.8475223445022e9,5.1619453643573165e7,804773.2453829031,0.0,0.0,0.0,7.42720033122606e9
Region2Tianjin,1.4101894883459227e9,1.24036030078024e9,3.8991116984377496e7,3.1115711330374475e6,0.0,0.0,0.0,2.6926524772435775e9
Region12Anhui,2.7425447011993576e10,8.91990882463642e9,8.231875476856229e8,675884.1949883206,0.0,0.0,0.0,3.716921926851061e10
Region9Shanghai,1.7474570276444035e10,7.076077166415546e9,2.5809740748661213e9,1.190156137309236e8,0.0,0.0,0.0,2.7250637131456623e10
Region22Chongqing,4.690482433865848e9,4.0253204493193026e9,3.8966269687541753e8,630873.5702045053,0.0,0.0,0.0,9.106096453630772e9
Region13Fujian,1.0879391945800823e10,1.1221768780954971e10,1.50855924164066e9,2.661944833739683e6,0.0,0.0,0.0,2.3612381913230194e10
Region28Gansu,4.3222158963213486e10,2.02623473022507e10,3.3242467240063024e8,656884.9067428528,0.0,0.0,0.0,6.381758782277156e10
Region19Guangdong,4.15634624490047e10,1.5072658113693535e10,3.1245566620838933e9,4.628120601847859e7,0.0,0.0,0.0,5.9806958430800606e10
Region20Guangxi,3.698497018042197e10,1.2384179624697044e10,9.516006721465696e8,1.2790748760070314e6,0.0,0.0,0.0,5.032202955214159e10
Region24Guizhou,3.9300855331707835e9,9.659378182641373e9,7.25083880078395e8,687968.0042258101,0.0,0.0,0.0,1.431523556389478e10
Region21Hainan,2.9352782498983164e9,2.2154430823021626e9,3.526639610241802e8,2.856791834212154e7,0.0,0.0,0.0,5.531953211566781e9
Region3Hebei,3.063625813808892e10,1.7237083218816242e10,6.94516370831642e8,2.3376915116089553e7,0.0,0.0,0.0,4.85912346428529e10
Region8Heilongjiang,1.2231112639403917e10,6.961593285917279e9,1.4287647675642475e8,601093.4623869711,0.0,0.0,0.0,1.933618349554001e10
Region16Henan,4.491673582393273e9,3.259041563320797e9,6.783061097882671e8,656754.2893262289,0.0,0.0,0.0,8.429678009791664e9
Region17Hubei,2.1436204875158394e10,6.800931496743949e9,5.672105425880032e8,661437.8794274897,0.0,0.0,0.0,2.8805008352369778e10
Region18Hunan,4.842050741855807e9,6.776430587653416e9,7.194422399555954e8,593808.792794137,0.0,0.0,0.0,1.2338517378257612e10
Region5Innermongolia,9.089980634744592e10,3.453426087550623e10,5.185751617548947e8,1.837083637713377e8,0.0,0.0,0.0,1.2613635074847838e11
Region10Jiangsu,2.8439462921817112e10,1.0602025361078716e10,1.105469659946159e9,6.225128152421824e6,0.0,0.0,0.0,4.015318307099441e10
Region14Jiangxi,4.0255570747601256e9,5.131775574032812e9,6.35003633445801e8,544727.9564245024,0.0,0.0,0.0,9.792881010195164e9
Region7Jilin,1.4044102260384903e10,7.252992370212572e9,1.4751324178011632e8,609094.6215361907,0.0,0.0,0.0,2.1445216966999126e10
Region6Liaoning,1.4881414626134968e9,6.93228283990532e9,4.7772450233574116e8,644758.6390165144,0.0,0.0,0.0,8.898793563493576e9
Region30Ningxia,1.5650508737976961e10,5.742053245609291e9,2.7341812068646586e8,1.493101312751898e6,0.0,0.0,0.0,2.166747320558547e10
Region29Qinghai,2.29989175246058e10,4.6450174195299e9,1.8791715905522745e7,869708.9013824002,0.0,0.0,0.0,2.7663596368942604e10
Region27Shaanxi,8.517313920766294e9,1.030115570798399e10,6.610138838978239e8,2.6862137046272945e7,0.0,0.0,0.0,1.9506345649694378e10
Region15Shandong,6.5507765163686874e10,1.903890571562321e10,1.0202384476616559e9,1.939325879570488e6,0.0,0.0,0.0,8.556884865285132e10
Region4Shanxi,2.063251862865292e10,6.707693146356392e9,3.6086269423996335e8,6.92256864600634e7,0.0,0.0,0.0,2.777030015570934e10
Region23Sichuan,1.3354235155907492e10,1.4632918056584993e10,8.429586809964262e8,593393.7224083388,0.0,0.0,0.0,2.883070528721132e10
Region26Tibet,2.016302490732452e10,3.798399275993569e9,1.121124183723232e7,996980.071667659,0.0,0.0,0.0,2.3973632405226986e10
Region31Xinjiang,1.6771618957673527e10,1.7773929060237583e10,5.681651630091933e8,3.565835586816822e7,0.0,0.0,0.0,3.5149371536788475e10
Region25Yunnan,3.1160167980043654e9,1.4449901390464369e10,8.508259439097713e8,668126.4390577293,0.0,0.0,0.0,1.8417412258817562e10
Region11Zhejiang,6.669692236055621e9,1.278290369942123e10,1.7763005226399412e9,1.7031744451291978e6,0.0,0.0,0.0,2.1230599632561924e10
aluminum_Region1Beijing_aluminum_Region2Tianjin,0.0,0.0,389.4864602353767,0.0,0.0,0.0,0.0,389.4864602353767
aluminum_Region1Beijing_aluminum_Region3Hebei,0.0,0.0,312.9935601154545,0.0,0.0,0.0,0.0,312.9935601154545
aluminum_Region1Beijing_aluminum_Region4Shanxi,0.0,0.0,260.5621644721876,0.0,0.0,0.0,0.0,260.5621644721876
aluminum_Region1Beijing_aluminum_Region5Innermongolia,0.0,0.0,180.98235701403297,0.0,0.0,0.0,0.0,180.98235701403297
aluminum_Region1Beijing_aluminum_Region6Liaoning,0.0,0.0,117.76178345737972,0.0,0.0,0.0,0.0,117.76178345737972
aluminum_Region1Beijing_aluminum_Region7Jilin,0.0,0.0,126.44801250721068,0.0,0.0,0.0,0.0,126.44801250721068
aluminum_Region1Beijing_aluminum_Region8Heilongjiang,0.0,0.0,221.23496170414668,0.0,0.0,0.0,0.0,221.23496170414668
aluminum_Region1Beijing_aluminum_Region9Shanghai,0.0,0.0,373.8260462028828,0.0,0.0,0.0,0.0,373.8260462028828
aluminum_Region1Beijing_aluminum_Region10Jiangsu,0.0,0.0,429.2163422099646,0.0,0.0,0.0,0.0,429.2163422099646
aluminum_Region1Beijing_aluminum_Region11Zhejiang,0.0,0.0,324.75897949355675,0.0,0.0,0.0,0.0,324.75897949355675
aluminum_Region1Beijing_aluminum_Region12Anhui,0.0,0.0,374.68628213111964,0.0,0.0,0.0,0.0,374.68628213111964
aluminum_Region1Beijing_aluminum_Region13Fujian,0.0,0.0,307.39636806679096,0.0,0.0,0.0,0.0,307.39636806679096
aluminum_Region1Beijing_aluminum_Region14Jiangxi,0.0,0.0,322.9710640208762,0.0,0.0,0.0,0.0,322.9710640208762
aluminum_Region1Beijing_aluminum_Region15Shandong,0.0,0.0,352.0227341103955,0.0,0.0,0.0,0.0,352.0227341103955
aluminum_Region1Beijing_aluminum_Region16Henan,0.0,0.0,499.01755292847736,0.0,0.0,0.0,0.0,499.01755292847736
aluminum_Region1Beijing_aluminum_Region17Hubei,0.0,0.0,279.93525355452067,0.0,0.0,0.0,0.0,279.93525355452067
aluminum_Region1Beijing_aluminum_Region18Hunan,0.0,0.0,316.6286416537474,0.0,0.0,0.0,0.0,316.6286416537474
aluminum_Region1Beijing_aluminum_Region19Guangdong,0.0,0.0,513.2796700720548,0.0,0.0,0.0,0.0,513.2796700720548
aluminum_Region1Beijing_aluminum_Region20Guangxi,0.0,0.0,355.00457925679126,0.0,0.0,0.0,0.0,355.00457925679126
aluminum_Region1Beijing_aluminum_Region21Hainan,0.0,0.0,328.10032938966594,0.0,0.0,0.0,0.0,328.10032938966594
aluminum_Region1Beijing_aluminum_Region22Chongqing,0.0,0.0,298.16816012825404,0.0,0.0,0.0,0.0,298.16816012825404
aluminum_Region1Beijing_aluminum_Region23Sichuan,0.0,0.0,296.57861734051227,0.0,0.0,0.0,0.0,296.57861734051227
aluminum_Region1Beijing_aluminum_Region24Guizhou,0.0,0.0,250.51758287499317,0.0,0.0,0.0,0.0,250.51758287499317
aluminum_Region1Beijing_aluminum_Region25Yunnan,0.0,0.0,302.6123521792005,0.0,0.0,0.0,0.0,302.6123521792005
aluminum_Region1Beijing_aluminum_Region27Shaanxi,0.0,0.0,272.62987836744014,0.0,0.0,0.0,0.0,272.62987836744014
aluminum_Region1Beijing_aluminum_Region28Gansu,0.0,0.0,210.42252171242228,0.0,0.0,0.0,0.0,210.42252171242228
aluminum_Region1Beijing_aluminum_Region29Qinghai,0.0,0.0,240.5442359614654,0.0,0.0,0.0,0.0,240.5442359614654
aluminum_Region1Beijing_aluminum_Region30Ningxia,0.0,0.0,255.21066501613254,0.0,0.0,0.0,0.0,255.21066501613254
aluminum_Region1Beijing_aluminum_Region31Xinjiang,0.0,0.0,241.60884846826468,0.0,0.0,0.0,0.0,241.60884846826468
aluminum_Region2Tianjin_aluminum_Region1Beijing,0.0,0.0,497.68548307935424,0.0,0.0,0.0,0.0,497.68548307935424
aluminum_Region2Tianjin_aluminum_Region3Hebei,0.0,0.0,317.3861756578765,0.0,0.0,0.0,0.0,317.3861756578765
aluminum_Region2Tianjin_aluminum_Region4Shanxi,0.0,0.0,267.6634394834157,0.0,0.0,0.0,0.0,267.6634394834157
aluminum_Region2Tianjin_aluminum_Region5Innermongolia,0.0,0.0,191.31039659612725,0.0,0.0,0.0,0.0,191.31039659612725
aluminum_Region2Tianjin_aluminum_Region6Liaoning,0.0,0.0,125.16790633832434,0.0,0.0,0.0,0.0,125.16790633832434
aluminum_Region2Tianjin_aluminum_Region7Jilin,0.0,0.0,131.17415885834458,0.0,0.0,0.0,0.0,131.17415885834458
aluminum_Region2Tianjin_aluminum_Region8Heilongjiang,0.0,0.0,222.28809888757291,0.0,0.0,0.0,0.0,222.28809888757291
aluminum_Region2Tianjin_aluminum_Region9Shanghai,0.0,0.0,389.05630266892655,0.0,0.0,0.0,0.0,389.05630266892655
aluminum_Region2Tianjin_aluminum_Region10Jiangsu,0.0,0.0,483.157569106888,0.0,0.0,0.0,0.0,483.157569106888
aluminum_Region2Tianjin_aluminum_Region11Zhejiang,0.0,0.0,337.8134329294941,0.0,0.0,0.0,0.0,337.8134329294941
aluminum_Region2Tianjin_aluminum_Region12Anhui,0.0,0.0,394.904588634194,0.0,0.0,0.0,0.0,394.904588634194
aluminum_Region2Tianjin_aluminum_Region13Fujian,0.0,0.0,311.44151240661586,0.0,0.0,0.0,0.0,311.44151240661586
aluminum_Region2Tianjin_aluminum_Region14Jiangxi,0.0,0.0,326.05747135778097,0.0,0.0,0.0,0.0,326.05747135778097
aluminum_Region2Tianjin_aluminum_Region15Shandong,0.0,0.0,400.34531650698824,0.0,0.0,0.0,0.0,400.34531650698824
aluminum_Region2Tianjin_aluminum_Region16Henan,0.0,0.0,482.9932984729677,0.0,0.0,0.0,0.0,482.9932984729677
aluminum_Region2Tianjin_aluminum_Region17Hubei,0.0,0.0,284.68830687957706,0.0,0.0,0.0,0.0,284.68830687957706
aluminum_Region2Tianjin_aluminum_Region18Hunan,0.0,0.0,318.32936029712357,0.0,0.0,0.0,0.0,318.32936029712357
aluminum_Region2Tianjin_aluminum_Region19Guangdong,0.0,0.0,520.086124279514,0.0,0.0,0.0,0.0,520.086124279514
aluminum_Region2Tianjin_aluminum_Region20Guangxi,0.0,0.0,356.97099274497936,0.0,0.0,0.0,0.0,356.97099274497936
aluminum_Region2Tianjin_aluminum_Region21Hainan,0.0,0.0,329.8074346575661,0.0,0.0,0.0,0.0,329.8074346575661
aluminum_Region2Tianjin_aluminum_Region22Chongqing,0.0,0.0,300.3040097214128,0.0,0.0,0.0,0.0,300.3040097214128
aluminum_Region2Tianjin_aluminum_Region23Sichuan,0.0,0.0,298.9368536388082,0.0,0.0,0.0,0.0,298.9368536388082
aluminum_Region2Tianjin_aluminum_Region24Guizhou,0.0,0.0,251.6752797548599,0.0,0.0,0.0,0.0,251.6752797548599
aluminum_Region2Tianjin_aluminum_Region25Yunnan,0.0,0.0,304.6061475725144,0.0,0.0,0.0,0.0,304.6061475725144
aluminum_Region2Tianjin_aluminum_Region27Shaanxi,0.0,0.0,275.8469547032549,0.0,0.0,0.0,0.0,275.8469547032549
aluminum_Region2Tianjin_aluminum_Region28Gansu,0.0,0.0,213.9078253121357,0.0,0.0,0.0,0.0,213.9078253121357
aluminum_Region2Tianjin_aluminum_Region29Qinghai,0.0,0.0,243.67591619483548,0.0,0.0,0.0,0.0,243.67591619483548
aluminum_Region2Tianjin_aluminum_Region30Ningxia,0.0,0.0,259.52123268940846,0.0,0.0,0.0,0.0,259.52123268940846
aluminum_Region2Tianjin_aluminum_Region31Xinjiang,0.0,0.0,245.3557829462196,0.0,0.0,0.0,0.0,245.3557829462196
