type,Investment,FixedOM,VariableOM,Startup,NonServedDemand,Supply,UnmetPolicyPenalty,Total
Steelmaking,4.590864788387408e9,7.597802815916998e10,0.0,0.0,0.0,0.0,0.0,8.056889294755739e10
AluminaPlant{NaturalGas},5.022951384235342e6,1.1880670917614178e11,5.091716107548934e10,0.0,0.0,0.0,0.0,1.6972889320301535e11
OneWayTransmissionLink{Aluminum},0.0,0.0,2.4584618885457587e9,0.0,0.0,0.0,0.0,2.4584618885457587e9
AluminumRefining,8.040633977087198e8,3.77049211563874e9,9.672928201805786e9,0.0,0.0,0.0,0.0,1.4247483715153246e10
OneWayTransmissionLink{AluminumScrap},0.0,0.0,4.978871964393549e8,0.0,0.0,0.0,0.0,4.978871964393549e8
AluminumSmelting,1.7147532145878656e10,3.1506404688896038e10,8.388106780072647e9,0.0,0.0,0.0,0.0,5.704204361484734e10
ThermalAmmonia{Coal},1.1456624054088644e10,7.150030680151513e9,0.0,0.0,0.0,0.0,0.0,1.8606654734240158e10
ThermalAmmoniaCCS{Coal},3.113880673453808e7,3.571576013772807e6,0.0,0.0,0.0,0.0,0.0,3.471038274831089e7
ThermalAmmonia{CokingOvenGas},0.0,1.97901871898529e6,0.0,0.0,0.0,0.0,0.0,1.97901871898529e6
ThermalAmmonia{NaturalGas},7.118016533598109e7,2.9696501772989845e8,0.0,0.0,0.0,0.0,0.0,3.681451830658795e8
ThermalAmmoniaCCS{NaturalGas},2.726136896938173e7,3.126909972294438e6,0.0,0.0,0.0,0.0,0.0,3.038827894167617e7
SyntheticAmmonia,2.7958730876772318e7,5.650631113618878e6,0.0,0.0,0.0,0.0,0.0,3.3609361990391195e7
OneWayTransmissionLink{Cement},0.0,0.0,908982.0121515362,0.0,0.0,0.0,0.0,908982.0121515362
OneWayTransmissionLink{CrudeSteel},0.0,0.0,4.452207043316271e10,0.0,0.0,0.0,0.0,4.452207043316271e10
OneWayTransmissionLink{DRI},0.0,0.0,1.8763129990043372e8,0.0,0.0,0.0,0.0,1.8763129990043372e8
DRIMaking,1.0713345157597438e7,1.4744378913449917e6,0.0,0.0,0.0,0.0,0.0,1.218778304894243e7
ThermalMethanol{Coal},1.2719574442504236e10,6.777545974869754e9,0.0,0.0,0.0,0.0,0.0,1.949712041737399e10
ThermalMethanolCCS{Coal},8.04695212377801e7,1.76470026445977e7,0.0,0.0,0.0,0.0,0.0,9.81165238823778e7
ThermalMethanol{CokingOvenGas},0.0,7.829068932714686e6,0.0,0.0,0.0,0.0,0.0,7.829068932714686e6
ThermalMethanol{NaturalGas},0.0,3.704965074797262e8,0.0,0.0,0.0,0.0,0.0,3.704965074797262e8
ThermalMethanolCCS{NaturalGas},6.877725447761972e7,1.4307084781876711e7,0.0,0.0,0.0,0.0,0.0,8.308433925949644e7
SyntheticMethanol,8.387955368464653e7,1.6954623888737127e7,0.0,0.0,0.0,0.0,0.0,1.0083417757338366e8
OneWayTransmissionLink{SteelScrap},0.0,0.0,1.9844658049261507e8,0.0,0.0,0.0,0.0,1.9844658049261507e8
CementPlant{Coal},1.6764741151823568e9,4.217902935043902e7,6.2393802150475266e10,0.0,0.0,0.0,0.0,6.4112455295008064e10
ThermalPower{Coal},1.6938874094170627e11,5.0328068910946785e10,1.0103527541115584e11,2.6640724865141902e7,0.0,0.0,0.0,3.20778725988674e11
ThermalPower{NaturalGas},9.43341679818491e7,6.009138034650806e8,2.4889858243730384e8,3.9665899535864525e7,0.0,0.0,0.0,9.83812453420098e8
ThermalPowerCCS{Coal},2.29477803377611e8,1.7199581407542568e7,1.9201325048215926e7,1.3356213392094776e7,0.0,0.0,0.0,2.792349232254643e8
ThermalPowerCCS{NaturalGas},2.287781685855748e8,1.7147140724475086e7,1.1930128941094823e7,1.3864086139715306e7,0.0,0.0,0.0,2.7171952439086e8
ThermalPower{Uranium},0.0,8.823893645470135e9,3.174043336541442e9,0.0,0.0,0.0,0.0,1.1997936982011578e10
BECCSElectricity,6.71785243393325e7,1.1124128002051437e9,0.0,0.0,0.0,0.0,0.0,1.1795913245444763e9
HydroRes,0.0,5.753309058273579e10,0.0,0.0,0.0,0.0,0.0,5.753309058273579e10
VRE{Generic},1.8836383745407605e12,1.2465307175827449e11,0.0,0.0,0.0,0.0,0.0,2.008291446299035e12
Electrolyzer,4.86931304066341e7,1.2014300743805785e7,0.0,0.0,0.0,0.0,0.0,6.070743115043989e7
ThermalHydrogen{NaturalGas},1.4331829004761012e9,1.2163805554949539e9,1.0293894185823598e9,2.391012760774458e6,0.0,0.0,0.0,3.6813438873141894e9
ThermalHydrogenCCS{NaturalGas},2.4925786333784625e8,2.7241445597150743e7,1.6666296318990588e7,377103.876830715,0.0,0.0,0.0,2.9354270913081825e8
ThermalHydrogen{Coal},3.793387312002727e7,6.710339361433409e9,3.030101739601073e9,799154.022531461,0.0,0.0,0.0,9.77917412817704e9
ThermalHydrogenCCS{Coal},3.2291694003082633e8,4.115079372377647e7,1.4893967677610256e7,221603.94315182985,0.0,0.0,0.0,3.791833053753649e8
OneWayTransmissionLink{Electricity},1.1411668191677814e11,6.166112870246705e9,0.0,0.0,0.0,0.0,0.0,1.2028279478702484e11
Battery,1.4616710186999466e9,3.8917376597830114e9,1.3580189528787524e7,0.0,0.0,0.0,0.0,5.366988868011745e9
GasStorage{Hydrogen},2.3959212073095575e8,1.4842547324962925e7,0.0,0.0,0.0,0.0,0.0,2.5443466805591866e8
TransmissionLink{Electricity},7.175065364724074e10,4.524009902199265e9,0.0,0.0,0.0,0.0,0.0,7.627466354944e10
CO2Injection,1.0326640601380597e8,1.0265111675391654e7,0.0,0.0,0.0,0.0,0.0,1.1353151768919763e8
OneWayTransmissionLink{CO2Captured},3.332896694360542e6,274629.16628489364,0.0,0.0,0.0,0.0,0.0,3.6075258606454358e6
Node{Electricity},0.0,0.0,0.0,0.0,4.740527013457851e7,0.0,0.0,4.740527013457851e7
Node{NaturalGas},0.0,0.0,0.0,0.0,0.0,4.655159574658604e10,0.0,4.655159574658604e10
Node{Coal},0.0,0.0,0.0,0.0,0.0,1.0444217603882662e12,0.0,1.0444217603882662e12
Node{Uranium},0.0,0.0,0.0,0.0,0.0,1.2686754886573618e10,0.0,1.2686754886573618e10
Node{Hydrogen},0.0,0.0,0.0,0.0,5.227629912169248e6,0.0,0.0,5.227629912169248e6
Node{CO2},0.0,0.0,0.0,0.0,0.0,0.0,2.595116189085296e7,2.595116189085296e7
Node{Biomass},0.0,0.0,0.0,0.0,0.0,1.9376979784640102e10,0.0,1.9376979784640102e10
Node{SteelScrap},0.0,0.0,0.0,0.0,0.0,9.470702165524472e10,0.0,9.470702165524472e10
Node{AluminumScrap},0.0,0.0,0.0,0.0,0.0,1.760427069816973e11,0.0,1.760427069816973e11
Node{Bauxite},0.0,0.0,0.0,0.0,0.0,4.230041073963729e10,0.0,4.230041073963729e10
Node{Graphite},0.0,0.0,0.0,0.0,0.0,4.566106513345997e10,0.0,4.566106513345997e10
Node{MacroEnergy.CokingOvenGas},0.0,0.0,0.0,0.0,0.0,4.841071308746647e6,0.0,4.841071308746647e6
Total,2.2922156015018887e12,5.1047155910400397e11,2.8783138498422876e11,9.731579853610498e7,5.263290004674776e7,1.481753136387414e12,2.595116189085296e7,4.572447581838009e12
