id,Investment,FixedOM,VariableOM,Startup,NonServedDemand,Supply,UnmetPolicyPenalty,Total
alumina_plant_Region1Beijing,4391.272133227652,33188.28347543138,14223.55006089917,0.0,0.0,0.0,0.0,51803.10566955821
alumina_plant_Region2Tianjin,3500.2067810227445,54372.062510104355,23302.312504330366,0.0,0.0,0.0,0.0,81174.58179545746
alumina_plant_Region12Anhui,5011.617732396595,17508.24262391451,7503.5325531062335,0.0,0.0,0.0,0.0,30023.392909417336
alumina_plant_Region9Shanghai,4367.028870689485,18936.92172042057,8115.823594465987,0.0,0.0,0.0,0.0,31419.774185576043
alumina_plant_Region22Chongqing,3536.7588456421904,1.405070992323612e10,6.021732824244047e9,0.0,0.0,0.0,0.0,2.0072446284239014e10
alumina_plant_Region13Fujian,18657.825452888766,36669.81095359006,15715.6332658244,0.0,0.0,0.0,0.0,71043.26967230323
alumina_plant_Region28Gansu,24889.456984296154,3.96410011284673e8,1.6989000483628824e8,0.0,0.0,0.0,0.0,5.663249055779455e8
alumina_plant_Region19Guangdong,3694.7990101353134,99493.73495894183,42640.17212526084,0.0,0.0,0.0,0.0,145828.70609433798
alumina_plant_Region20Guangxi,3459.5895981779913,1.526135374600628e10,6.540580176859862e9,0.0,0.0,0.0,0.0,2.180193738245574e10
alumina_plant_Region24Guizhou,3602.9701832965766,1.769185857185246e10,7.582225102222523e9,0.0,0.0,0.0,0.0,2.5274087277045166e10
alumina_plant_Region21Hainan,7492.241251398763,43976.87877637868,18847.23376130515,0.0,0.0,0.0,0.0,70316.3537890826
alumina_plant_Region3Hebei,3424.2774530547053,292866.77417168306,125514.33178786494,0.0,0.0,0.0,0.0,421805.3834126027
alumina_plant_Region8Heilongjiang,9674.832264152245,35262.80091568107,15112.628963863368,0.0,0.0,0.0,0.0,60050.26214369669
alumina_plant_Region16Henan,3469.0057655008222,1.981602629156513e6,849258.2696385061,0.0,0.0,0.0,0.0,2.83432990456052e6
alumina_plant_Region17Hubei,3521.7433154636665,1.2100120148670445e6,518576.57780016353,0.0,0.0,0.0,0.0,1.7321103359826717e6
alumina_plant_Region18Hunan,5593.994152628814,20137.61687577652,8630.40723247565,0.0,0.0,0.0,0.0,34362.018260880985
alumina_plant_Region5Innermongolia,5890.564423421161,2.920259058278628e9,1.2515395964051268e9,0.0,0.0,0.0,0.0,4.1718045452481785e9
alumina_plant_Region10Jiangsu,16974.32475095186,51083.2926145972,21892.839691970312,0.0,0.0,0.0,0.0,89950.45705751936
alumina_plant_Region14Jiangxi,3670.9252250065942,8.18176243693411e7,3.506469615828909e7,0.0,0.0,0.0,0.0,1.168859914528552e8
alumina_plant_Region7Jilin,9811.61154376375,114488.75918338101,49066.611078591966,0.0,0.0,0.0,0.0,173366.98180573672
alumina_plant_Region6Liaoning,4217.222620992112,108204.96617497392,46373.55693213161,0.0,0.0,0.0,0.0,158795.74572809762
alumina_plant_Region30Ningxia,5778.69093304776,23762.541467535357,10183.946343229438,0.0,0.0,0.0,0.0,39725.178743812554
alumina_plant_Region29Qinghai,8046.42718123857,33040.643163204586,14160.275641373431,0.0,0.0,0.0,0.0,55247.34598581659
alumina_plant_Region27Shaanxi,7386.935483052594,26785.522163364258,11479.509498584692,0.0,0.0,0.0,0.0,45651.967145001545
alumina_plant_Region15Shandong,3480.164602793406,2.577604712473016e6,1.1046877339170098e6,0.0,0.0,0.0,0.0,3.685772610992819e6
alumina_plant_Region4Shanxi,3448.264928912185,4.859025586319209e10,2.0824395369939423e10,0.0,0.0,0.0,0.0,6.941465468139645e10
alumina_plant_Region23Sichuan,5921.376112045602,21845.587170785326,9362.394501765111,0.0,0.0,0.0,0.0,37129.35778459604
alumina_plant_Region26Tibet,609.9299352931195,1099.771011047981,471.33043330627595,0.0,0.0,0.0,0.0,2181.0313796473765
alumina_plant_Region31Xinjiang,237965.02734298693,5.7844936203283435e6,2.4790686944264276e6,0.0,0.0,0.0,0.0,8.50152734209776e6
alumina_plant_Region25Yunnan,3623.6427219933107,3.8712132183988795e9,1.6590913793138092e9,0.0,0.0,0.0,0.0,5.530308221355411e9
alumina_plant_Region11Zhejiang,4194.086825864035,536404.6745891758,229887.71768107518,0.0,0.0,0.0,0.0,770486.4790961151
aluminum_transport_Region1Beijing_to_Region2Tianjin,0.0,0.0,1376.097063236119,0.0,0.0,0.0,0.0,1376.097063236119
aluminum_transport_Region1Beijing_to_Region3Hebei,0.0,0.0,546.2050540508162,0.0,0.0,0.0,0.0,546.2050540508162
aluminum_transport_Region1Beijing_to_Region4Shanxi,0.0,0.0,541.6943247749496,0.0,0.0,0.0,0.0,541.6943247749496
aluminum_transport_Region1Beijing_to_Region5Innermongolia,0.0,0.0,631.9945358763164,0.0,0.0,0.0,0.0,631.9945358763164
aluminum_transport_Region1Beijing_to_Region6Liaoning,0.0,0.0,13617.08725747008,0.0,0.0,0.0,0.0,13617.08725747008
aluminum_transport_Region1Beijing_to_Region7Jilin,0.0,0.0,1748.6133035199578,0.0,0.0,0.0,0.0,1748.6133035199578
aluminum_transport_Region1Beijing_to_Region8Heilongjiang,0.0,0.0,2078.579302616293,0.0,0.0,0.0,0.0,2078.579302616293
