type,Fuel,Investment,FixedOM,VariableOM,Startup,NonServedDemand,UnmetPolicyPenalty,Total
Steelmaking,4.5836336879217584e11,2.8126744070341926e9,9.297887955188483e10,0.0,0.0,0.0,0.0,5.541549227510948e11
AluminaPlant{NaturalGas},5.247291214177973e10,4692.6523876386045,1.0285918417412196e11,4.408250750319522e10,0.0,0.0,0.0,1.994146085117493e11
OneWayTransmissionLink{Aluminum},0.0,0.0,0.0,2.254582402496442e9,0.0,0.0,0.0,2.254582402496442e9
AluminumRefining,4.7839021786513965e11,3.2829586314876156e9,1.024618734439638e10,2.6285861761524315e10,0.0,0.0,0.0,5.182052256025479e11
OneWayTransmissionLink{AluminumScrap},3.931903546567529e10,0.0,0.0,4.387776490757703e8,0.0,0.0,0.0,3.975781311475106e10
AluminumSmelting,3.953194176253052e10,365.96906473156594,2.727724077991532e10,7.2621641163759775e9,0.0,0.0,0.0,7.407134702479088e10
ThermalAmmonia{Coal},5.562125023549928e10,721.3825463989209,1.0172874253423098e10,0.0,0.0,0.0,0.0,6.5794125210304924e10
ThermalAmmoniaCCS{Coal},368244.8905207045,1578.7138064128021,126801.01268514845,0.0,0.0,0.0,0.0,496624.6170122658
ThermalAmmonia{CokingOvenGas},12579.639843674566,0.0,48842.66290053239,0.0,0.0,0.0,0.0,61422.30274420696
ThermalAmmonia{NaturalGas},4.719227318187363e9,493.19318084119726,4.202200940305052e8,0.0,0.0,0.0,0.0,5.139447905411049e9
ThermalAmmoniaCCS{NaturalGas},257907.5926204396,1873.2234889780777,91262.01005044453,0.0,0.0,0.0,0.0,351042.8261598622
SyntheticAmmonia,0.0,1818.0697510548591,68345.80094912444,0.0,0.0,0.0,0.0,70163.87070017931
OneWayTransmissionLink{Cement},0.0,0.0,0.0,6656.21756351848,0.0,0.0,0.0,6656.21756351848
OneWayTransmissionLink{CrudeSteel},0.0,0.0,0.0,4.378005280781059e10,0.0,0.0,0.0,4.378005280781059e10
OneWayTransmissionLink{DRI},0.0,0.0,0.0,1.644817157251111e6,0.0,0.0,0.0,1.644817157251111e6
DRIMaking,2.8270309916553974e9,2.496290482878212e9,6.192390906213003e8,0.0,0.0,0.0,0.0,5.94256056515491e9
ThermalMethanol{Coal},6.8560030598718e10,1.3293729696049937e6,9.818993487499422e9,0.0,0.0,0.0,0.0,7.838035345918703e10
ThermalMethanolCCS{Coal},1.035540427367587e6,1692.9705044853101,198479.46206049866,0.0,0.0,0.0,0.0,1.235712859932571e6
ThermalMethanol{CokingOvenGas},41022.58885821219,0.0,165825.26863188404,0.0,0.0,0.0,0.0,206847.85749009624
ThermalMethanol{NaturalGas},6.667095273235559e9,0.0,5.474582679852111e8,0.0,0.0,0.0,0.0,7.214553541220771e9
ThermalMethanolCCS{NaturalGas},4.11076078020587e6,3410.6661417557902,458760.9129068248,0.0,0.0,0.0,0.0,4.572932359254451e6
SyntheticMethanol,0.0,15556.49297141089,69786.05405060295,0.0,0.0,0.0,0.0,85342.54702201384
OneWayTransmissionLink{SteelScrap},8.856685156917734e8,0.0,0.0,3.86041250249098e7,0.0,0.0,0.0,9.242726407166833e8
CementPlant{Coal},1.5769081307390356e11,2.20257720939594e8,5.3285548125175565e7,7.882324459339963e10,0.0,0.0,0.0,2.3678760093636798e11
