type,Investment,FixedOM,VariableOM,Startup,NonServedDemand,Supply,UnmetPolicyPenalty,Total
AluminaPlant{NaturalGas},2.023095358294533e6,1.6204130506876663e11,6.94462736008999e10,0.0,0.0,0.0,0.0,2.3148960176502484e11
OneWayTransmissionLink{Aluminum},0.0,0.0,3.601260271342151e9,0.0,0.0,0.0,0.0,3.601260271342151e9
AluminumRefining,6.289012145218589e9,1.6134240605369425e10,4.139124182731772e10,0.0,0.0,0.0,0.0,6.381449457790573e10
OneWayTransmissionLink{AluminumScrap},0.0,0.0,1.5212745569938695e9,0.0,0.0,0.0,0.0,1.5212745569938695e9
AluminumSmelting,653056.7439550784,4.29718116846079e10,1.1440597750115057e10,0.0,0.0,0.0,0.0,5.441306249146692e10
ThermalAmmonia{Coal},1.7432882919766393e7,7.53032533947494e10,0.0,0.0,0.0,0.0,0.0,7.532068627766917e10
ThermalAmmoniaCCS{Coal},4.0474477206845105e7,1.4383132585404098e7,0.0,0.0,0.0,0.0,0.0,5.48576097922492e7
ThermalAmmonia{CokingOvenGas},0.0,1.2437399340611016e6,0.0,0.0,0.0,0.0,0.0,1.2437399340611016e6
ThermalAmmonia{NaturalGas},2.6423084639041953e7,1.232979802601348e10,0.0,0.0,0.0,0.0,0.0,1.2356221110652521e10
ThermalAmmoniaCCS{NaturalGas},3.889871990500594e7,1.3952953958740061e7,0.0,0.0,0.0,0.0,0.0,5.2851673863746e7
SyntheticAmmonia,3.604825382460545e7,1.0766438626600908e10,0.0,0.0,0.0,0.0,0.0,1.0802486880425514e10
OneWayTransmissionLink{Cement},0.0,0.0,1.589552787601551e6,0.0,0.0,0.0,0.0,1.589552787601551e6
OneWayTransmissionLink{CrudeSteel},0.0,0.0,5.0675846686323196e8,0.0,0.0,0.0,0.0,5.0675846686323196e8
DRIMaking,894966.2557206086,268491.65082096116,0.0,0.0,0.0,0.0,0.0,1.1634579065415699e6
ThermalMethanol{Coal},4.1306491663982965e7,6.713347095790965e10,0.0,0.0,0.0,0.0,0.0,6.717477744957364e10
ThermalMethanolCCS{Coal},4.95773138095747e7,3.2477877649467856e7,2.8330599676693104e7,0.0,0.0,0.0,0.0,1.1038579113573566e8
ThermalMethanol{CokingOvenGas},0.0,4.2382037629872495e6,0.0,0.0,0.0,0.0,0.0,4.2382037629872495e6
ThermalMethanol{NaturalGas},0.0,9.149700685365643e9,0.0,0.0,0.0,0.0,0.0,9.149700685365643e9
ThermalMethanolCCS{NaturalGas},5.260819204852634e7,4.357340602700432e7,2.970447714276967e7,0.0,0.0,0.0,0.0,1.2588607521830031e8
SyntheticMethanol,1.0037798790177713e8,2.2735497632089622e10,0.0,0.0,0.0,0.0,0.0,2.2835875619991398e10
Steelmaking,2.2617301813322913e11,6.7893307632476204e10,0.0,0.0,0.0,0.0,0.0,2.940663257657053e11
OneWayTransmissionLink{SteelScrap},0.0,0.0,4.512880756356724e8,0.0,0.0,0.0,0.0,4.512880756356724e8
CementPlant{Coal},2.870246840628686e8,8.392244967214908e7,1.2414322476040544e11,0.0,0.0,0.0,0.0,1.2451417189414046e11
ThermalPower{Coal},6.153863739517648e10,1.1795391559963742e11,1.840478653134679e11,3.074866942833925e8,0.0,0.0,0.0,3.638479050025652e11
ThermalPower{NaturalGas},3.34888091890938e8,1.855313138476378e9,8.513988863415023e8,1.8568723428615123e8,0.0,0.0,0.0,3.2272873509949694e9
ThermalPowerCCS{Coal},3.652347124491698e8,7.014821086225672e8,1.9549493496299012e9,2.6762806974930894e7,0.0,0.0,0.0,3.048428977676569e9
ThermalPowerCCS{NaturalGas},1.8770662855512148e8,4.5738741516339995e7,3.1668239641752996e7,3.0135626075407334e7,0.0,0.0,0.0,2.952492357886218e8
ThermalPower{Uranium},0.0,1.9023271768139523e10,7.230190833787026e9,0.0,0.0,0.0,0.0,2.6253462601926548e10
BECCSElectricity,3.9554575507172646e10,5.698052441325228e9,0.0,0.0,0.0,0.0,0.0,4.525262794849787e10
HydroRes,0.0,1.3105539197311765e11,0.0,0.0,0.0,0.0,0.0,1.3105539197311765e11
VRE,3.828511897731547e12,4.518525584915072e11,0.0,0.0,0.0,0.0,0.0,4.280364456223054e12
Electrolyzer,1.9047223214617004e9,2.522982264925566e8,0.0,0.0,0.0,0.0,0.0,2.157020547954257e9
ThermalHydrogen{NaturalGas},9.784220015472322e8,4.768812392002164e9,3.987445979778829e9,6.633814035196407e6,0.0,0.0,0.0,9.741314187363422e9
ThermalHydrogenCCS{NaturalGas},1.3011948902247913e8,5.9329694991390415e7,3.964499731605458e7,748855.5577359434,0.0,0.0,0.0,2.298430368876601e8
ThermalHydrogen{Coal},9.855496258353832e7,2.980057748807776e10,1.3429184864107216e10,2.5217190187926437e6,0.0,0.0,0.0,4.33308390337873e10
ThermalHydrogenCCS{Coal},1.5793063861398154e8,9.948878973572935e7,3.908242990161843e7,438252.13284481666,0.0,0.0,0.0,2.969401103841741e8
OneWayTransmissionLink{Electricity},5.026317260859114e10,1.6601116341137062e10,0.0,0.0,0.0,0.0,0.0,6.68642889497282e10
Battery,2.941935544213079e10,1.5000947746428843e10,4.602411778033919e7,0.0,0.0,0.0,0.0,4.446632730633997e10
GasStorage{Hydrogen},7.897548750479001e7,3.661168220140124e7,0.0,0.0,0.0,0.0,0.0,1.1558716970619124e8
TransmissionLink{Electricity},7.297140319863774e10,1.3807725106461502e10,0.0,0.0,0.0,0.0,0.0,8.677912830509924e10
CO2Injection,4.199528779711498e7,2.0784743420674704e7,0.0,0.0,0.0,0.0,0.0,6.278003121778969e7
OneWayTransmissionLink{CO2Captured},5.7014033762635235e6,1.0959097982529327e6,0.0,0.0,0.0,0.0,0.0,6.797313174516456e6
Node{Electricity},0.0,0.0,0.0,0.0,9.424633551391213e7,0.0,0.0,9.424633551391213e7
Node{NaturalGas},0.0,0.0,0.0,0.0,0.0,1.3582302340391832e11,0.0,1.3582302340391832e11
Node{Coal},0.0,0.0,0.0,0.0,0.0,1.4077479583869055e12,0.0,1.4077479583869055e12
Node{Uranium},0.0,0.0,0.0,0.0,0.0,2.8899308914716167e10,0.0,2.8899308914716167e10
Node{Hydrogen},0.0,0.0,0.0,0.0,1.2114494410060355e7,0.0,0.0,1.2114494410060355e7
Node{CO2},0.0,0.0,0.0,0.0,0.0,0.0,9.884628132785412e6,9.884628132785412e6
Node{Biomass},0.0,0.0,0.0,0.0,0.0,1.1873145936030508e11,0.0,1.1873145936030508e11
