zone,Fuel,Investment,FixedOM,VariableOM,Startup,NonServedDemand,UnmetPolicyPenalty,Total
Region1Beijing,5.901732984628937e10,3.647052827509243e10,1.3962530025210787e10,7.257813718246691e8,1.5787906542869762e7,0.0,0.0,1.1019195742496014e11
Region2Tianjin,1.4660674887137753e10,2.6219703881104736e10,3.9054324088659434e9,1.402878131700942e9,6.479416228025351e6,0.0,0.0,4.619516872503741e10
Region3Hebei,2.5256040124265857e11,5.35106768849922e11,8.465192644833005e10,8.84067181605099e9,155043.6867505031,0.0,0.0,8.811599234006484e11
Region4Shanxi,2.074745601109109e11,1.8302010234622273e8,1.2119808870510283e11,5.277760451979808e10,6.719245748610113e6,0.0,0.0,3.816399926839066e11
Region5Innermongolia,1.7865391830837344e11,3.7195297176860205e11,8.407172507557877e10,4.2096636580087845e10,1.0371079428720375e6,0.0,0.0,6.76776288840585e11
Region6Liaoning,4.217480088293264e10,1.1369733713841385e11,1.7380560595073605e10,2.1079111765619662e9,29841.644991343783,0.0,0.0,1.7536063963462708e11
Region7Jilin,3.083902113977431e10,6.521144117680226e10,1.7399289277906757e10,9.159965810669361e8,1.345472999667528e6,0.0,0.0,1.1436709364854993e11
Region8Heilongjiang,2.2275040380042778e10,1.2890790098059557e11,1.447179361949735e10,6.026007238465602e8,1.4639507923029857e6,0.0,0.0,1.6625879965477454e11
Region9Shanghai,4.54445246492774e10,3.053155558335039e9,9.774018597503674e9,3.2193325906667123e9,3.1852855660446543e7,0.0,0.0,6.152288425144326e10
Region10Jiangsu,2.15886114266576e11,1.0501211161167484e11,4.869999078391656e10,1.0322091341147745e10,4.110260553301074e7,0.0,0.0,3.799614106088482e11
Region11Zhejiang,1.1654946546777002e11,5.356901295949261e11,5.572810662813512e10,9.39108614950035e9,3.6441744463146426e7,0.0,0.0,7.173952295847947e11
Region12Anhui,8.70812718474454e10,2.2169321866943472e11,2.6049885617450314e10,2.8441992677061877e9,52700.57241414048,0.0,0.0,3.37668628102609e11
Region13Fujian,8.334064025628107e10,3.809739819420579e11,4.0164352651490105e10,4.938876093381391e9,25302.23734732741,0.0,0.0,5.094178762454479e11
Region14Jiangxi,5.855676082117845e10,1.11909999145132e11,1.9515591930982494e10,1.8992356186772497e9,1.1925079904212132e6,0.0,0.0,1.918827800239606e11
Region15Shandong,7.393157760251317e10,1.1822086694749066e11,4.355995071939655e10,4.472178083639646e9,2.370038162745291e7,0.0,0.0,2.4020827373466748e11
Region16Henan,8.892492357934744e10,1.873263664226288e10,1.0157600535378334e10,2.38164755271747e9,3.7818617051727235e7,0.0,0.0,1.2023462692675784e11
Region17Hubei,7.052758386013988e10,4.5571643358081377e8,2.063869228320713e10,2.0546265771474204e9,1.791124816481367e7,0.0,0.0,9.369453040224005e10
Region18Hunan,6.166757070542426e10,6.125919786401814e10,1.3851747094091934e10,2.1329849368524652e9,1.1725317712172424e7,0.0,0.0,1.3892322591809897e11
Region19Guangdong,1.9418356911785135e11,1.0040343256249612e11,4.49943362351233e10,1.3750764648435036e10,1.5949521896106753e9,0.0,0.0,3.549270547535165e11
Region20Guangxi,1.0676731951493248e11,2.9035188801995215e11,6.356051902387039e10,1.421304968824184e10,1.7500996780788742e7,0.0,0.0,4.749102772437776e11
Region22Chongqing,4.846097895517039e10,6.338421147351107e7,3.3599813913551216e10,1.2226509946811522e10,5.612979001391438e7,0.0,0.0,9.440681681702055e10
Region23Sichuan,8.453205542682147e10,1.1278270806711662e11,4.167552637769175e10,3.8148922453355513e9,8.371842796243113e7,0.0,0.0,2.4288890054492783e11
Region24Guizhou,9.641724255117535e10,1.3702622096081456e11,7.01577342389552e10,2.0270162266946613e10,682643.3597975012,0.0,0.0,3.238720426612515e11
Region25Yunnan,7.608307485368668e10,2.4614497149940277e11,6.129298293859516e10,8.022224258625978e9,23280.354321454295,0.0,0.0,3.915432768306649e11
Region27Shaanxi,7.064857915349313e10,3.503531849003557e11,3.9569514763719864e10,5.956169259281004e9,25736.335741964067,0.0,0.0,4.665274738131855e11
Region28Gansu,3.4989149831433784e10,6.110156043100604e11,4.578784611917956e10,1.7493465579418783e9,2.0309313447834807e6,0.0,0.0,6.935439777499604e11
Region29Qinghai,8.509378021596179e9,3.272585533615251e7,9.890603490013037e9,7.211911904026643e8,24570.62581956019,0.0,0.0,1.915392312797385e10
Region30Ningxia,4.126784034947275e10,4.875687492951362e10,1.629001136697673e10,5.413733984920592e9,3.573063072231863e6,0.0,0.0,1.1173203369395592e11
Region31Xinjiang,8.581356276340501e10,2.0956144944697345e11,6.168760534329992e10,1.7677195922196846e10,1.8000950357226446e7,0.0,0.0,3.747578144262325e11
Region21Hainan,1.9427985024354168e10,3.2533059345612335e10,7.440023809421277e9,1.6638461723670886e9,1.962536768202254e7,0.0,0.0,6.10845397194369e10
Region26Tibet,3.269136172326349e9,2.7897870568590837e9,2.991348005438e9,2.0508716719156957e8,26398.170668190352,0.0,0.0,9.25538479998567e9
aluminum_Region1Beijing_aluminum_Region2Tianjin,0.0,0.0,0.0,9.159536112317767,0.0,0.0,0.0,9.159536112317767
aluminum_Region1Beijing_aluminum_Region3Hebei,0.0,0.0,0.0,4.932946089941697,0.0,0.0,0.0,4.932946089941697
aluminum_Region1Beijing_aluminum_Region4Shanxi,0.0,0.0,0.0,4.868664340442794,0.0,0.0,0.0,4.868664340442794
aluminum_Region1Beijing_aluminum_Region5Innermongolia,0.0,0.0,0.0,6.301948127594378,0.0,0.0,0.0,6.301948127594378
aluminum_Region1Beijing_aluminum_Region6Liaoning,0.0,0.0,0.0,237.4000879273267,0.0,0.0,0.0,237.4000879273267
aluminum_Region1Beijing_aluminum_Region7Jilin,0.0,0.0,0.0,35.5984845855955,0.0,0.0,0.0,35.5984845855955
aluminum_Region1Beijing_aluminum_Region8Heilongjiang,0.0,0.0,0.0,43.46506417905199,0.0,0.0,0.0,43.46506417905199
aluminum_Region1Beijing_aluminum_Region9Shanghai,0.0,0.0,0.0,36.424658785602766,0.0,0.0,0.0,36.424658785602766
aluminum_Region1Beijing_aluminum_Region10Jiangsu,0.0,0.0,0.0,26.803028294247664,0.0,0.0,0.0,26.803028294247664
aluminum_Region1Beijing_aluminum_Region11Zhejiang,0.0,0.0,0.0,35.436459802257374,0.0,0.0,0.0,35.436459802257374
aluminum_Region1Beijing_aluminum_Region12Anhui,0.0,0.0,0.0,21.84509883801308,0.0,0.0,0.0,21.84509883801308
aluminum_Region1Beijing_aluminum_Region13Fujian,0.0,0.0,0.0,29.4259181756427,0.0,0.0,0.0,29.4259181756427
aluminum_Region1Beijing_aluminum_Region14Jiangxi,0.0,0.0,0.0,22.68479945358061,0.0,0.0,0.0,22.68479945358061
aluminum_Region1Beijing_aluminum_Region15Shandong,0.0,0.0,0.0,10.108992422619192,0.0,0.0,0.0,10.108992422619192
aluminum_Region1Beijing_aluminum_Region16Henan,0.0,0.0,0.0,10.026246429370412,0.0,0.0,0.0,10.026246429370412
aluminum_Region1Beijing_aluminum_Region17Hubei,0.0,0.0,0.0,18.97414407669903,0.0,0.0,0.0,18.97414407669903
aluminum_Region1Beijing_aluminum_Region18Hunan,0.0,0.0,0.0,16.403434468290666,0.0,0.0,0.0,16.403434468290666
aluminum_Region1Beijing_aluminum_Region19Guangdong,0.0,0.0,0.0,16.131750157273494,0.0,0.0,0.0,16.131750157273494
aluminum_Region1Beijing_aluminum_Region20Guangxi,0.0,0.0,0.0,12.459286787000373,0.0,0.0,0.0,12.459286787000373
aluminum_Region1Beijing_aluminum_Region21Hainan,0.0,0.0,0.0,15.343222539796932,0.0,0.0,0.0,15.343222539796932
aluminum_Region1Beijing_aluminum_Region22Chongqing,0.0,0.0,0.0,10.616040026666303,0.0,0.0,0.0,10.616040026666303
aluminum_Region1Beijing_aluminum_Region23Sichuan,0.0,0.0,0.0,12.367961232111519,0.0,0.0,0.0,12.367961232111519
aluminum_Region1Beijing_aluminum_Region24Guizhou,0.0,0.0,0.0,11.376633774673161,0.0,0.0,0.0,11.376633774673161
aluminum_Region1Beijing_aluminum_Region25Yunnan,0.0,0.0,0.0,13.72901502812008,0.0,0.0,0.0,13.72901502812008
aluminum_Region1Beijing_aluminum_Region27Shaanxi,0.0,0.0,0.0,12.15945721572944,0.0,0.0,0.0,12.15945721572944
aluminum_Region1Beijing_aluminum_Region28Gansu,0.0,0.0,0.0,16.6141290647793,0.0,0.0,0.0,16.6141290647793
aluminum_Region1Beijing_aluminum_Region29Qinghai,0.0,0.0,0.0,20.041564101071838,0.0,0.0,0.0,20.041564101071838
aluminum_Region1Beijing_aluminum_Region30Ningxia,0.0,0.0,0.0,13.925939801469603,0.0,0.0,0.0,13.925939801469603
aluminum_Region1Beijing_aluminum_Region31Xinjiang,0.0,0.0,0.0,48.494350118569876,0.0,0.0,0.0,48.494350118569876
aluminum_Region2Tianjin_aluminum_Region1Beijing,0.0,0.0,0.0,7.768589400708103,0.0,0.0,0.0,7.768589400708103
aluminum_Region2Tianjin_aluminum_Region3Hebei,0.0,0.0,0.0,4.968329460325955,0.0,0.0,0.0,4.968329460325955
aluminum_Region2Tianjin_aluminum_Region4Shanxi,0.0,0.0,0.0,4.9034174188225785,0.0,0.0,0.0,4.9034174188225785
aluminum_Region2Tianjin_aluminum_Region5Innermongolia,0.0,0.0,0.0,6.963537304052958,0.0,0.0,0.0,6.963537304052958
aluminum_Region2Tianjin_aluminum_Region6Liaoning,0.0,0.0,0.0,743.2752745097685,0.0,0.0,0.0,743.2752745097685
aluminum_Region2Tianjin_aluminum_Region7Jilin,0.0,0.0,0.0,35.12432820600273,0.0,0.0,0.0,35.12432820600273
aluminum_Region2Tianjin_aluminum_Region8Heilongjiang,0.0,0.0,0.0,42.99891398882708,0.0,0.0,0.0,42.99891398882708
aluminum_Region2Tianjin_aluminum_Region9Shanghai,0.0,0.0,0.0,45.39746310294462,0.0,0.0,0.0,45.39746310294462
aluminum_Region2Tianjin_aluminum_Region10Jiangsu,0.0,0.0,0.0,30.044722695603866,0.0,0.0,0.0,30.044722695603866
aluminum_Region2Tianjin_aluminum_Region11Zhejiang,0.0,0.0,0.0,43.52315278854908,0.0,0.0,0.0,43.52315278854908
aluminum_Region2Tianjin_aluminum_Region12Anhui,0.0,0.0,0.0,22.85793837587268,0.0,0.0,0.0,22.85793837587268
aluminum_Region2Tianjin_aluminum_Region13Fujian,0.0,0.0,0.0,31.647939228056288,0.0,0.0,0.0,31.647939228056288
aluminum_Region2Tianjin_aluminum_Region14Jiangxi,0.0,0.0,0.0,23.196169141117707,0.0,0.0,0.0,23.196169141117707
aluminum_Region2Tianjin_aluminum_Region15Shandong,0.0,0.0,0.0,9.579903401088385,0.0,0.0,0.0,9.579903401088385
aluminum_Region2Tianjin_aluminum_Region16Henan,0.0,0.0,0.0,9.849316547925781,0.0,0.0,0.0,9.849316547925781
aluminum_Region2Tianjin_aluminum_Region17Hubei,0.0,0.0,0.0,18.890720187994035,0.0,0.0,0.0,18.890720187994035
aluminum_Region2Tianjin_aluminum_Region18Hunan,0.0,0.0,0.0,16.29205019789719,0.0,0.0,0.0,16.29205019789719
aluminum_Region2Tianjin_aluminum_Region19Guangdong,0.0,0.0,0.0,16.048187554049722,0.0,0.0,0.0,16.048187554049722
aluminum_Region2Tianjin_aluminum_Region20Guangxi,0.0,0.0,0.0,12.365439354844668,0.0,0.0,0.0,12.365439354844668
aluminum_Region2Tianjin_aluminum_Region21Hainan,0.0,0.0,0.0,15.263443380526555,0.0,0.0,0.0,15.263443380526555
aluminum_Region2Tianjin_aluminum_Region22Chongqing,0.0,0.0,0.0,10.604987739195662,0.0,0.0,0.0,10.604987739195662
aluminum_Region2Tianjin_aluminum_Region23Sichuan,0.0,0.0,0.0,12.313388072463058,0.0,0.0,0.0,12.313388072463058
aluminum_Region2Tianjin_aluminum_Region24Guizhou,0.0,0.0,0.0,11.271085914197549,0.0,0.0,0.0,11.271085914197549
aluminum_Region2Tianjin_aluminum_Region25Yunnan,0.0,0.0,0.0,13.679473114816648,0.0,0.0,0.0,13.679473114816648
aluminum_Region2Tianjin_aluminum_Region27Shaanxi,0.0,0.0,0.0,12.053513776500736,0.0,0.0,0.0,12.053513776500736
aluminum_Region2Tianjin_aluminum_Region28Gansu,0.0,0.0,0.0,16.34412357040402,0.0,0.0,0.0,16.34412357040402
aluminum_Region2Tianjin_aluminum_Region29Qinghai,0.0,0.0,0.0,19.605418396338127,0.0,0.0,0.0,19.605418396338127
aluminum_Region2Tianjin_aluminum_Region30Ningxia,0.0,0.0,0.0,13.733171496652917,0.0,0.0,0.0,13.733171496652917
aluminum_Region2Tianjin_aluminum_Region31Xinjiang,0.0,0.0,0.0,43.571797646213675,0.0,0.0,0.0,43.571797646213675
aluminum_Region3Hebei_aluminum_Region1Beijing,0.0,0.0,0.0,106.36741512200703,0.0,0.0,0.0,106.36741512200703
aluminum_Region3Hebei_aluminum_Region2Tianjin,0.0,0.0,0.0,111.32976284606886,0.0,0.0,0.0,111.32976284606886
aluminum_Region3Hebei_aluminum_Region4Shanxi,0.0,0.0,0.0,4.226824751462263,0.0,0.0,0.0,4.226824751462263
aluminum_Region3Hebei_aluminum_Region5Innermongolia,0.0,0.0,0.0,10.255564090237566,0.0,0.0,0.0,10.255564090237566
aluminum_Region3Hebei_aluminum_Region6Liaoning,0.0,0.0,0.0,409.47839828960116,0.0,0.0,0.0,409.47839828960116
aluminum_Region3Hebei_aluminum_Region7Jilin,0.0,0.0,0.0,45.9707791184366,0.0,0.0,0.0,45.9707791184366
