zone,Investment,FixedOM,VariableOM,Startup,NonServedDemand,Supply,UnmetPolicyPenalty,Total
Region1Beijing,2.5607549033166094e9,1.4471580205618758e9,5.78278941641264e7,7.452788717667849e6,0.0,0.0,0.0,4.0731936067602797e9
Region2Tianjin,1.0580301108760654e10,1.9361268446631963e9,2.6281582928574443e8,5.509211862682528e6,0.0,0.0,0.0,1.2784752994572277e10
Region12Anhui,1.4041142475239489e10,8.2684906363789425e9,1.0856296061826603e9,4.4471573160312995e6,0.0,0.0,0.0,2.3399709875117123e10
Region9Shanghai,1.3008963859819132e10,4.621323459149251e9,4.780084138230589e9,1.7120760676358292e8,0.0,0.0,0.0,2.258157906396256e10
Region22Chongqing,3.3571995178675415e10,1.6314083360360422e10,4.904109722699951e9,2.871822233150596e7,0.0,0.0,0.0,5.481890648406729e10
Region13Fujian,2.3789934217590134e10,1.5018965570174948e10,1.580869556803116e9,2.9950299875592897e6,0.0,0.0,0.0,4.0392764374555756e10
Region28Gansu,3.4651967129699615e10,2.20095546227599e10,6.755175940377982e8,6.138501954124745e6,0.0,0.0,0.0,5.734317784845144e10
Region19Guangdong,4.196089369756853e10,1.9689162236643963e10,4.687779643406811e9,5.88977999087767e8,0.0,0.0,0.0,6.692681357670708e10
Region20Guangxi,2.4743489691787753e9,1.9741400683381165e10,4.425868008967409e9,1.0606916982366832e7,0.0,0.0,0.0,2.665222457850972e10
Region24Guizhou,9.708260947148405e9,2.9672732435678062e10,6.984618150056577e9,2.6690668865243946e6,0.0,0.0,0.0,4.636828059976958e10
Region21Hainan,1.9580881067454646e9,3.3036367364777474e9,6.110611356180751e8,6.595319147777195e7,0.0,0.0,0.0,5.938739170319059e9
Region3Hebei,6.1654268641949814e10,2.2071281251484215e10,2.0773687204658976e9,5.861358618598469e6,0.0,0.0,0.0,8.580877997251851e10
Region8Heilongjiang,1.7292724946704845e10,6.741510731385004e9,2.1548987700617424e8,2.4737622807040876e6,0.0,0.0,0.0,2.425219931737673e10
Region16Henan,3.346423366087239e8,3.49817169425898e9,8.847033370571232e8,4.881755826642703e6,0.0,0.0,0.0,4.72239912375147e9
