time,Region1Beijing_onshore_wind,Region2Tianjin_onshore_wind,Region3Hebei_onshore_wind,Region4Shanxi_onshore_wind,Region5Innermongolia_onshore_wind,Region6Liaoning_onshore_wind,Region7Jilin_onshore_wind,Region8Heilongjiang_onshore_wind,Region9Shanghai_onshore_wind,Region10Jiangsu_onshore_wind,Region11Zhejiang_onshore_wind,Region12Anhui_onshore_wind,Region13Fujian_onshore_wind,Region14Jiangxi_onshore_wind,Region15Shandong_onshore_wind,Region16Henan_onshore_wind,Region17Hubei_onshore_wind,Region18Hunan_onshore_wind,Region19Guangdong_onshore_wind,Region20Guangxi_onshore_wind,Region21Hainan_onshore_wind,Region22Chongqing_onshore_wind,Region23Sichuan_onshore_wind,Region24Guizhou_onshore_wind,Region25Yunnan_onshore_wind,Region26Tibet_onshore_wind,Region27Shaanxi_onshore_wind,Region28Gansu_onshore_wind,Region29Qinghai_onshore_wind,Region30Ningxia_onshore_wind,Region31Xinjiang_onshore_wind,Region1Beijing_offshore_wind,Region2Tianjin_offshore_wind,Region3Hebei_offshore_wind,Region4Shanxi_offshore_wind,Region5Innermongolia_offshore_wind,Region6Liaoning_offshore_wind,Region7Jilin_offshore_wind,Region8Heilongjiang_offshore_wind,Region9Shanghai_offshore_wind,Region10Jiangsu_offshore_wind,Region11Zhejiang_offshore_wind,Region12Anhui_offshore_wind,Region13Fujian_offshore_wind,Region14Jiangxi_offshore_wind,Region15Shandong_offshore_wind,Region16Henan_offshore_wind,Region17Hubei_offshore_wind,Region18Hunan_offshore_wind,Region19Guangdong_offshore_wind,Region20Guangxi_offshore_wind,Region21Hainan_offshore_wind,Region22Chongqing_offshore_wind,Region23Sichuan_offshore_wind,Region24Guizhou_offshore_wind,Region25Yunnan_offshore_wind,Region26Tibet_offshore_wind,Region27Shaanxi_offshore_wind,Region28Gansu_offshore_wind,Region29Qinghai_offshore_wind,Region30Ningxia_offshore_wind,Region31Xinjiang_offshore_wind,Region1Beijing_utility_scale_solar_pv,Region2Tianjin_utility_scale_solar_pv,Region3Hebei_utility_scale_solar_pv,Region4Shanxi_utility_scale_solar_pv,Region5Innermongolia_utility_scale_solar_pv,Region6Liaoning_utility_scale_solar_pv,Region7Jilin_utility_scale_solar_pv,Region8Heilongjiang_utility_scale_solar_pv,Region9Shanghai_utility_scale_solar_pv,Region10Jiangsu_utility_scale_solar_pv,Region11Zhejiang_utility_scale_solar_pv,Region12Anhui_utility_scale_solar_pv,Region13Fujian_utility_scale_solar_pv,Region14Jiangxi_utility_scale_solar_pv,Region15Shandong_utility_scale_solar_pv,Region16Henan_utility_scale_solar_pv,Region17Hubei_utility_scale_solar_pv,Region18Hunan_utility_scale_solar_pv,Region19Guangdong_utility_scale_solar_pv,Region20Guangxi_utility_scale_solar_pv,Region21Hainan_utility_scale_solar_pv,Region22Chongqing_utility_scale_solar_pv,Region23Sichuan_utility_scale_solar_pv,Region24Guizhou_utility_scale_solar_pv,Region25Yunnan_utility_scale_solar_pv,Region26Tibet_utility_scale_solar_pv,Region27Shaanxi_utility_scale_solar_pv,Region28Gansu_utility_scale_solar_pv,Region29Qinghai_utility_scale_solar_pv,Region30Ningxia_utility_scale_solar_pv,Region31Xinjiang_utility_scale_solar_pv,Region1Beijing_distributed_solar_pv,Region2Tianjin_distributed_solar_pv,Region3Hebei_distributed_solar_pv,Region4Shanxi_distributed_solar_pv,Region5Innermongolia_distributed_solar_pv,Region6Liaoning_distributed_solar_pv,Region7Jilin_distributed_solar_pv,Region8Heilongjiang_distributed_solar_pv,Region9Shanghai_distributed_solar_pv,Region10Jiangsu_distributed_solar_pv,Region11Zhejiang_distributed_solar_pv,Region12Anhui_distributed_solar_pv,Region13Fujian_distributed_solar_pv,Region14Jiangxi_distributed_solar_pv,Region15Shandong_distributed_solar_pv,Region16Henan_distributed_solar_pv,Region17Hubei_distributed_solar_pv,Region18Hunan_distributed_solar_pv,Region19Guangdong_distributed_solar_pv,Region20Guangxi_distributed_solar_pv,Region21Hainan_distributed_solar_pv,Region22Chongqing_distributed_solar_pv,Region23Sichuan_distributed_solar_pv,Region24Guizhou_distributed_solar_pv,Region25Yunnan_distributed_solar_pv,Region26Tibet_distributed_solar_pv,Region27Shaanxi_distributed_solar_pv,Region28Gansu_distributed_solar_pv,Region29Qinghai_distributed_solar_pv,Region30Ningxia_distributed_solar_pv,Region31Xinjiang_distributed_solar_pv
1,0.4553768196965393,0.4781950972069353,0.3064130348866456,0.33854081057506846,0.28859650253434666,0.3442004389871727,0.3143025147874141,0.3041699872119352,0.20432188097743165,0.17676051744456345,0.20389548172988725,0.17727109880070202,0.7468479180861323,0.5277249958307948,0.30253501441620756,0.3221077103266907,0.4088632630118809,0.5324277512991102,0.5462189316895092,0.5343659633435891,0.739977175668173,0.5662267818552209,0.4866745161561994,0.5239970900001936,0.5216008872885141,0.27036044227270395,0.5601723592990311,0.5600575449352618,0.6213640385476538,0.35491351711243624,0.8527580898371525,0.0,0.4809202584985144,0.3193944217762237,0.0,0.0,0.33446036307121574,0.0,0.0,0.15627672641269896,0.11466691886198532,0.1365338559335214,0.0,0.5628818499972112,0.0,0.26440850734536525,0.0,0.0,0.0,0.5329618564046541,0.8140077277197548,0.21493863618442433,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.4588508493252448,0.48124083581524246,0.30991443344100844,0.3461966150716762,0.2959476046380587,0.3478718772457796,0.3188877182547003,0.3058949910446245,0.28498100175409036,0.23459236952567153,0.281520357080808,0.27006344999063003,0.7589209279576608,0.5356051021371968,0.3060918221308384,0.3272149532886033,0.41383150019373716,0.5364463740115752,0.5530012208910193,0.5545609466716996,0.7953335482743569,0.5715204641965101,0.49963027606281685,0.5326300404994981,0.523768943741743,0.26472532068305554,0.5741877402906539,0.5595763953751884,0.6207753234630218,0.35376294421439525,0.856852292228723,0.0,0.48314416911317437,0.3197197177811404,0.0,0.0,0.3476114706243578,0.0,0.0,0.20242795847553907,0.16496765727970342,0.18690868741396116,0.0,0.5722223579068668,0.0,0.2653562119412527,0.0,0.0,0.0,0.540616653574034,0.8488531140403062,0.26401753173246467,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,0.48664253418610315,0.5071497203975923,0.3288448931707535,0.37885983760497766,0.3263269927119836,0.36739768963161623,0.33697388261862216,0.32385941703250865,0.36439137213380945,0.3033963341758863,0.3771012306742705,0.38030453830469924,0.7587601875238761,0.5435230350412894,0.32414115221763495,0.3411465212088842,0.41945332160389626,0.5412855413014768,0.5624304440134438,0.5531349619559478,0.8559717860880482,0.6073660999063577,0.5017057984950952,0.5373423075070605,0.5261760247594793,0.26064920397237756,0.5807478586502839,0.561949965369422,0.6187447979027638,0.37265011736599263,0.8621035740361549,0.0,0.5076405907870907,0.33469204008268605,0.0,0.0,0.3561993281173841,0.0,0.0,0.24927829680078162,0.2144878879043972,0.24834270594874397,0.0,0.5820435182540677,0.0,0.280799636576603,0.0,0.0,0.0,0.5515252581626555,0.8463603958566743,0.3393040451806224,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,0.7281114774850721,0.7600459771483656,0.5062323765232577,0.594881595869083,0.5144544937065803,0.571605000521231,0.5221181658707792,0.48807100949125015,0.3977193677320656,0.34431963614042616,0.6497263038017991,0.4627367340353885,1.4243842833129747,1.0305509251193143,0.48609711477183737,0.5018750936774268,0.4429009447842418,1.0294473004323663,0.5804700455919374,0.5493042147354572,0.9093250766163692,0.6532025211927248,0.5030915691168047,0.5413262313959422,0.5282678836665582,0.0,0.5907815455720993,0.5666215670644306,0.6179860227216523,0.5591129310341785,0.8656055518076755,0.0,0.7632768001936228,0.49785598604432835,0.0,0.0,0.5346923739563181,0.0,0.0,0.26818522132134603,0.2371962106335559,0.4393783083069138,0.0,1.1427420050895307,0.0,0.42154422208409414,0.0,0.0,0.0,0.5676210860019637,0.8521234788609746,0.3835504840385968,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,0.766310606013576,0.7909284557135834,0.5260527527861996,0.6206117906986037,2.081145653850399,2.3141500749552506,2.08706068023821,0.512820589936382,0.3988474456082258,0.3163145020062075,0.6500666636529786,0.4616013975100941,2.9023169813626737,2.1507641260541277,0.5036536902771331,0.5054575481749453,0.4336826037188075,2.108799230394652,0.608101712205098,0.554830535169458,0.9389705125431647,0.6734338287933497,0.5072899305741885,0.5465891158237355,0.5321091731238994,0.0,0.6082413177937269,0.5772734866186511,0.621762973148634,0.5825925786048174,0.8718910326715559,0.0,0.7847303377115082,0.5115770765801244,0.0,0.0,2.315626801261459,0.0,0.0,0.2696391447928477,0.23956964852914098,0.4570176870911382,0.0,2.351278345246101,0.0,0.44038514058684086,0.0,0.0,0.0,0.6011023260180082,0.8844561619813298,0.3876918082208136,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,0.7995799915661337,0.822332549822022,0.5479581052641151,0.6430355119809974,1.970348091213964,2.1182894419471268,1.914071564693586,0.5339682609956071,0.3966082144744405,0.30155281346560514,0.7349086988342606,0.38071436909532963,1.3971396401248057,1.9488184535002802,0.5215753327211132,0.5095711077574379,0.4232176819690494,1.833137561858166,0.6259735810890561,0.6207074408011977,0.942793272977724,0.6755359658927773,0.5094106279502739,0.5542149746033829,0.5348517030724906,0.20291871730368172,0.624612616142258,0.583270923467353,0.6233562665920545,0.6179645210941089,0.8641745655331761,0.0,0.813470887402417,0.531550595073071,0.0,0.0,2.1411032038318183,0.0,0.0,0.27043846069409483,0.23969990020668774,0.5225413319421932,0.0,1.1224330265249591,0.0,0.4566572294254456,0.0,0.0,0.0,0.6169093759235693,0.9265184505767081,0.3811126113041001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,0.7815842525706103,0.8042431526382643,0.5349940440355567,0.6677934102190193,2.0606218296452425,2.5991956928919535,2.12603729311013,0.5185091102976003,0.36262245296813944,0.27357905653479975,0.7142427858998417,0.35869334275867004,0.738683980784117,0.565500134267495,0.5066183079325128,0.5048385909049102,0.45257812466428504,1.881291640092968,0.6267910330498125,0.8384882689279038,0.9340317805836094,0.681651125458302,0.5089301126936334,0.5536203841329552,0.5319208134023938,0.2501060899440404,0.6440050337696448,0.6131240788381547,0.6212782915386015,0.6182438027135504,0.8286899678350892,0.0,0.7882036107018848,0.5184477905273042,0.0,0.0,2.446687955595678,0.0,0.0,0.2512239909842151,0.21775854936913674,0.5052517178701237,0.0,0.6062999501882587,0.0,0.4314785879264491,0.0,0.0,0.0,0.6281427314825123,0.9519672623381865,0.3419511064718246,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,0.8381942560918105,0.8569026549575938,0.581643436147715,375.7799876470963,3983.1835515655694,11435.438135464588,376.37343570438316,0.5289265378560231,0.36061247886823367,0.2850093243687297,0.651197759576462,0.3480443002181346,0.7033164823551488,0.5476491716035525,0.5515097934985533,0.5072248076530741,0.5545214437205459,280.7634318673954,0.6260733933013398,1731.7151718719397,0.9255604233148915,0.6629590671072947,0.5082504224264994,0.5466173299646471,0.5310298947661067,0.26909221841356157,475.68537683956674,619.4843476931565,0.6209849693227625,0.5752856209473975,0.8178809614328202,0.0,0.8039645126457913,0.5354321144676533,0.0,0.0,58.53416859869617,0.0,0.0,0.25494371742334465,0.21688175477720506,0.45377692552574445,0.0,0.6067145720589906,0.0,0.4532441156600271,0.0,0.0,0.0,0.6225527081514883,22.967995985043306,0.30619624101444076,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,8.501874053283245,8.597607319999042,6.087911938971956,900.187474070699,20575.669879175548,35596.8398585556,679.8257639229414,4.767934930776391,0.36187934243446307,0.29870765667874366,0.6557284124755824,0.4253829642511846,0.7382617636030773,0.5500945860112552,5.759504332992947,0.5278558912814333,0.5695045536631937,0.5316576087643625,0.6322424004320055,13086.706794305152,0.9204711924867297,0.6793653673012159,0.5083988574260729,0.5395034777611727,0.5312688567501027,0.2756253593497604,1317.2492623747967,12876.756543196738,0.6285617090929918,0.587620123715169,0.8209327388321981,0.0,7.751316620924975,5.0810260616620155,0.0,0.0,60.62710947994141,0.0,0.0,0.2586266579244523,0.2200860039856707,0.4542878013162408,0.0,0.6113581351164612,0.0,4.461779334646735,0.0,0.0,0.0,0.6224148324290582,22.99766533176394,0.28673716767888635,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.049616413887769,7.833041343871628,6.45232383003011,4.365954450892588,440.01914484990095,138.73233945082973,77.43123700273915,4.1656646499245085,0.3703526875708576,0.30730754452997644,0.6403322452162001,0.40466465826921194,0.7986784994295419,0.7017501368379726,6.0854202551120125,0.4989299233039688,0.696063360470248,0.658418115376719,0.7147411263977119,305.98583727781937,0.6676595575995918,0.0,0.0,0.6673667171129694,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7020222938091623,6.103774205506234,4.766377416988737,0.0,0.0,262.97217481670543,0.0,0.0,0.3215088503328616,0.35942411776659355,0.7052012177596225,0.47942123765460565,0.8272625774550306,0.8086823593653207,8.14161125086082,0.7012996947898245,0.7728520318181609,0.8296581499939748,0.7265084643549926,4.855711173787032,0.6461440143740589,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,1461.8594501023053,916.5678332062826,1558.9736272813752,2635.2425822427176,49453.44976175815,65049.798538854884,949.7656527023719,4.723767564189984,0.4595167063807821,0.4398118546960177,0.6737081833507546,0.5494543640415941,0.7090117787738563,0.5514431031551794,1257.7599704887252,0.554775679616796,0.6803375731991252,0.5368529894549283,0.6277600722678471,22017.150153182534,0.9016273901797831,0.6845162168356183,0.5094693152786931,0.5347091223229654,0.5319654604609241,0.28881943499595764,3324.672396948503,85202.91624348043,0.633252195786099,0.5811887751151517,0.8128503138141241,0.0,12.184333145430392,18.577774251608524,0.0,0.0,65.64212820456723,0.0,0.0,0.3338872075281074,0.29402564426163735,0.4603861140931258,0.0,0.6085662803379819,0.0,217.35633598177958,0.0,0.0,0.0,0.6131624657100474,22.82361590406825,0.25470596566060766,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,716.7709703047638,958.4650432416047,1523.834165574859,1778.8937121328781,6727.483129871111,937.1530105241361,240.95458694328113,4.63754060083329,0.4798829918718184,0.3370830262938398,0.6825902660441443,0.4532999866987666,0.7734398791532726,0.5933108016674851,1016.4497722898541,0.4957909999138792,0.5523230119147229,0.5730016664415416,0.6655331237343489,1199.5247084901705,0.70986465596377,0.7285120740758657,0.5701886246570211,0.8716831453605209,0.8514365145665579,0.2922380862441969,811.6077346417617,1110.0021401249442,0.5197184688631751,0.5932475144081764,0.0,95.53650377645512,247.7479221554034,1281.264541567336,0.0,0.0,1073.8949763656308,0.0,0.0,0.42508709682340395,0.38651181897694187,0.6646756070613264,0.6150135785319435,0.8282939841076313,0.7304374065788579,1166.9576314082615,0.6864447358821053,0.7463664920755946,0.7331621343819279,0.713062182025169,224.8495923617489,0.7319143270216841,0.6628442499683445,0.0,0.6709703644894702,0.7003051408867407,0.27377057339801436,0.0,0.0,0.0,0.0,0.0
