type,Fuel,Investment,FixedOM,VariableOM,Startup,NonServedDemand,UnmetPolicyPenalty,Total
Steelmaking,6.552589103011017e11,2.9260544573040032e9,1.3197890802480583e11,0.0,0.0,0.0,0.0,7.901638727832114e11
AluminaPlant{NaturalGas},5.204416927462804e10,2475.5847295343106,1.024516491273702e11,4.390784962601578e10,0.0,0.0,0.0,1.9840367050359872e11
OneWayTransmissionLink{Aluminum},0.0,0.0,0.0,2.2698127834206343e9,0.0,0.0,0.0,2.2698127834206343e9
AluminumRefining,7.780771133449729e11,4.576755372123761e8,1.6664897345303062e10,4.27526037895646e10,0.0,0.0,0.0,8.37952290017053e11
OneWayTransmissionLink{AluminumScrap},6.197226306680981e10,0.0,0.0,7.651429992448457e8,0.0,0.0,0.0,6.273740606605465e10
AluminumSmelting,3.9375313534689316e10,1161.5829360413013,2.716916702800206e10,7.233390930817009e9,0.0,0.0,0.0,7.377787265509132e10
ThermalAmmonia{Coal},8.494161301885037e10,7788.998682270389,1.5541896108521376e10,0.0,0.0,0.0,0.0,1.0048351691637044e11
ThermalAmmoniaCCS{Coal},405097.4090488143,4813.1208436846155,200661.3930001715,0.0,0.0,0.0,0.0,610571.9228926704
ThermalAmmonia{CokingOvenGas},30690.41538422041,0.0,71665.96216057762,0.0,0.0,0.0,0.0,102356.37754479803
ThermalAmmonia{NaturalGas},6.5071967955279e9,10673.151471981788,5.808945482104356e8,0.0,0.0,0.0,0.0,7.088102016889808e9
ThermalAmmoniaCCS{NaturalGas},401610.8265796923,14454.076855787283,147154.2200906221,0.0,0.0,0.0,0.0,563219.1235261017
SyntheticAmmonia,0.0,57310.802489411224,128596.32428270562,0.0,0.0,0.0,0.0,185907.12677211684
OneWayTransmissionLink{Cement},0.0,0.0,0.0,14518.860402078424,0.0,0.0,0.0,14518.860402078424
OneWayTransmissionLink{CrudeSteel},0.0,0.0,0.0,4.88468326262238e10,0.0,0.0,0.0,4.88468326262238e10
OneWayTransmissionLink{DRI},0.0,0.0,0.0,3.79084320963445e6,0.0,0.0,0.0,3.79084320963445e6
DRIMaking,5.673401165928224e9,4.142396230592366e9,1.2427188747155476e9,0.0,0.0,0.0,0.0,1.1058516271236137e10
ThermalMethanol{Coal},1.0771516965566597e11,14556.196669903615,1.5434386117572403e10,0.0,0.0,0.0,0.0,1.2314957032943504e11
ThermalMethanolCCS{Coal},1.1836519066041813e6,14334.976350805066,317834.08212349046,0.0,0.0,0.0,0.0,1.5158209650784768e6
ThermalMethanol{CokingOvenGas},100176.15785404523,0.0,238376.2981142308,0.0,0.0,0.0,0.0,338552.455968276
ThermalMethanol{NaturalGas},1.0493485901230082e10,0.0,8.617029302616296e8,0.0,0.0,0.0,0.0,1.135518883149171e10
ThermalMethanolCCS{NaturalGas},6.236339119156799e6,56148.72407396092,743659.7660545442,0.0,0.0,0.0,0.0,7.036147609285305e6
SyntheticMethanol,0.0,1.221274996826115e8,4.590735743182238e7,0.0,0.0,0.0,0.0,1.6803485711443388e8
OneWayTransmissionLink{SteelScrap},1.404245521692987e9,0.0,0.0,6.197304047837847e7,0.0,0.0,0.0,1.4662185621713655e9
CementPlant{Coal},2.0943142554103323e11,622.17064843325,7.079577229821952e7,1.0472544005613147e11,0.0,0.0,0.0,3.1422766199163354e11
ThermalPower{Coal},3.486974115364803e11,1806.912769534994,7.531500692491327e10,6.698925020674992e10,356897.4396041913,0.0,0.0,4.9100202737249585e11
ThermalPower{NaturalGas},2.7090513664950092e11,5.570388670830537e9,1.7621506561151268e10,2.0275477837622635e10,3.384820294233094e9,0.0,0.0,3.1775733001333844e11
ThermalPowerCCS{Coal},2.7508416951119415e6,1.4354656256823228e6,440245.26352707605,680674.6681191062,241672.6809576377,0.0,0.0,5.548899933398085e6
ThermalPowerCCS{NaturalGas},1.674266419076243e6,335369.80275641393,258969.99941021865,205880.37383996721,156418.14824416215,0.0,0.0,2.630904743327005e6
ThermalPower{Uranium},2.889939166589022e10,0.0,1.794652319047208e10,7.230211536938866e9,0.0,0.0,0.0,5.407612639330117e10
BECCSElectricity,6.729927402867899e11,3.2015258950522015e11,4.7018286404241516e10,0.0,0.0,0.0,0.0,1.0401636161962515e12
HydroRes,0.0,0.0,1.310556196179889e11,0.0,0.0,0.0,0.0,1.310556196179889e11
VRE{Generic},0.0,9.942515533105905e11,5.541420622851217e11,0.0,0.0,0.0,0.0,1.5483936155957122e12
Electrolyzer,0.0,1.5275609333881004e10,2.7180684528340206e9,0.0,0.0,0.0,0.0,1.7993677786715027e10
ThermalHydrogen{NaturalGas},4.1890556281448135e10,9.946017707313381e8,4.301863880362549e9,2.4893772918316693e9,1.7547907678683426e7,0.0,0.0,4.9693947132052376e10
ThermalHydrogenCCS{NaturalGas},2.2867810135568236e6,649631.6334556908,491643.9508928748,371711.19730253686,3908.470733268272,0.0,0.0,3.8036762659411947e6
ThermalHydrogen{Coal},3.5627044043597713e9,2582.933695746158,2.693007097180477e9,9.753760316212808e8,1.2786356334769696e6,0.0,0.0,7.232368751728702e9
