zone,Fuel,Investment,FixedOM,VariableOM,Startup,NonServedDemand,UnmetPolicyPenalty,Total
Region1Beijing,3.2005332767382026e9,6.030299519637711e9,2.0944510404892998e9,1.2265362745380852e8,311258.847739131,0.0,0.0,1.144824872316676e10
Region2Tianjin,2.4098666571502686e9,2.422707823475241e9,1.3732354203898084e9,9.008457227600886e7,230842.56223564758,0.0,0.0,6.296125315853562e9
Region3Hebei,3.6337640503797775e10,4.653554495628398e10,2.0799815755053158e10,1.1890025953105764e9,53652.07272012243,0.0,0.0,1.0486205746251822e11
Region4Shanxi,2.098355744110413e10,1.6635510992580206e10,5.81045752725577e9,7.329858063871431e8,2135.2982927542957,0.0,0.0,4.416251390262554e10
Region5Innermongolia,1.6332792253641403e10,8.565244415856897e10,3.268025438803816e10,6.860900613939519e8,2.1357885473239616e8,0.0,0.0,1.3556515971637488e11
Region6Liaoning,1.4785363029621128e10,3.2796841885621276e9,7.204608448139999e9,4.8716511870538896e8,212271.50134378878,0.0,0.0,2.5757033056529984e10
Region7Jilin,1.1108924259963575e10,8.236264559767736e9,6.189017443219597e9,2.0399589376814243e8,990235.0499835706,0.0,0.0,2.5739192391769035e10
Region8Heilongjiang,1.211973246416402e10,1.4331600857057142e10,7.353598614689447e9,1.654488922632473e8,631195.9013273021,0.0,0.0,3.3971012024075184e10
Region9Shanghai,1.5641582205903101e10,6.440897014798636e9,3.8678452056559086e9,1.9550044312913582e9,1.776751858953199e8,0.0,0.0,2.8083004043544323e10
Region10Jiangsu,3.9300589709771194e10,3.1552872840706036e10,1.0389094361929522e10,1.5226963943431463e9,7.803393978544876e6,0.0,0.0,8.277305670072844e10
Region11Zhejiang,2.4896183631517788e10,5.106483842414316e9,1.2239976868661997e10,1.2867374589305303e9,260037.07821429733,0.0,0.0,4.3529641838602844e10
Region12Anhui,2.6597199085556423e10,2.8746862845500134e10,9.093601825426231e9,8.545836499330642e8,104573.2248190526,0.0,0.0,6.529235197964067e10
Region13Fujian,2.339989282853011e10,6.514946926790477e9,1.0370911882168009e10,1.018085324576957e9,1.5365062510003676e6,0.0,0.0,4.130537346831655e10
Region14Jiangxi,2.0702004433802505e10,3.462588450538568e9,5.31968229850273e9,5.915156449683428e8,124254.2440434312,0.0,0.0,3.007591508205619e10
Region15Shandong,3.099159067512816e10,3.581018900159884e10,1.5047063292988628e10,1.0508685226091901e9,3137.3101059267656,0.0,0.0,8.289971462963492e10
Region16Henan,2.5556550347926598e10,1.419254014481899e9,3.1010109694390516e9,7.143109361134245e8,2398.0496821215106,0.0,0.0,3.079112866601066e10
Region17Hubei,2.3731976335030266e10,2.066196561717688e10,6.668871484985058e9,5.916384935283985e8,1904.1768193499227,0.0,0.0,5.1654453834897415e10
Region18Hunan,2.5103290299270683e10,4.421364470465993e9,7.172387002413892e9,7.257431800885798e8,899136.0870089561,0.0,0.0,3.742368408832615e10
Region19Guangdong,4.9086427527537796e10,3.1190176286202118e10,1.4743396829756132e10,2.730327563286154e9,1.8091772912181903e7,0.0,0.0,9.776841997969438e10
Region20Guangxi,2.586417922176135e10,1.9091104470123962e10,1.0143590579137169e10,9.902520292374167e8,3.4510117009222824e6,0.0,0.0,5.609257731196082e10
Region22Chongqing,1.1806127391147879e10,1.680957365618151e10,4.1167015607413907e9,4.5953317606201583e8,21603.908114859503,0.0,0.0,3.3191957388040913e10
Region23Sichuan,2.7053898701013264e10,7.621254450640267e9,1.450998140830876e10,9.06791641923531e8,1860.8710340960627,0.0,0.0,5.009192806275686e10
Region24Guizhou,1.931243465540701e10,5.498389846410059e9,9.781874073664833e9,7.751716741580955e8,856984.2386867309,0.0,0.0,3.5368727233878685e10
Region25Yunnan,2.7903115175108807e10,3.5583047279843726e9,1.4682065845515816e10,9.824016338741926e8,44000.30026769996,0.0,0.0,4.7125931382783455e10
Region27Shaanxi,1.6259237539376953e10,7.206939929806164e9,1.0006552808187208e10,6.584596560640007e8,6158.262686581494,0.0,0.0,3.413119609169701e10
Region28Gansu,6.207167408250731e9,3.0636739557581676e10,1.7449351093210842e10,3.449934767737699e8,606077.2735813739,0.0,0.0,5.46388576130906e10
Region29Qinghai,2.3052846683344513e8,2.1703936197578655e10,4.765708791704424e9,1.2996455562610744e7,34388.729085696934,0.0,0.0,2.671320430040822e10
Region30Ningxia,3.9410340439761076e9,1.3299324464492262e10,4.888396124128865e9,2.1087024554334784e8,1.4146533581055954e7,0.0,0.0,2.2353771411721634e10
Region31Xinjiang,1.2582515550906178e10,1.7498109074846813e10,1.788604026403046e10,9.931326029939167e8,1.3274650112060274e6,0.0,0.0,4.8961124957788574e10
Region21Hainan,3.4013272648050423e9,3.0827844174770436e9,2.2783383508633504e9,2.6165345337777197e8,1.749218513202542e6,0.0,0.0,9.02585270503641e9
Region26Tibet,2.2207446849099603e8,1.8682629080509453e10,4.122390934823123e9,1.2564927431118974e7,185833.41045563947,0.0,0.0,2.3039845244665146e10
aluminum_Region1Beijing_aluminum_Region2Tianjin,0.0,0.0,0.0,0.7287698982916453,0.0,0.0,0.0,0.7287698982916453
aluminum_Region1Beijing_aluminum_Region3Hebei,0.0,0.0,0.0,0.807486522104837,0.0,0.0,0.0,0.807486522104837
aluminum_Region1Beijing_aluminum_Region4Shanxi,0.0,0.0,0.0,0.8536099208746393,0.0,0.0,0.0,0.8536099208746393
aluminum_Region1Beijing_aluminum_Region5Innermongolia,0.0,0.0,0.0,0.5139984443143664,0.0,0.0,0.0,0.5139984443143664
aluminum_Region1Beijing_aluminum_Region6Liaoning,0.0,0.0,0.0,0.5851275713089559,0.0,0.0,0.0,0.5851275713089559
aluminum_Region1Beijing_aluminum_Region7Jilin,0.0,0.0,0.0,0.557127111329824,0.0,0.0,0.0,0.557127111329824
aluminum_Region1Beijing_aluminum_Region8Heilongjiang,0.0,0.0,0.0,0.5880951793671773,0.0,0.0,0.0,0.5880951793671773
aluminum_Region1Beijing_aluminum_Region9Shanghai,0.0,0.0,0.0,1.337946035732196,0.0,0.0,0.0,1.337946035732196
aluminum_Region1Beijing_aluminum_Region10Jiangsu,0.0,0.0,0.0,1.2962501569239757,0.0,0.0,0.0,1.2962501569239757
aluminum_Region1Beijing_aluminum_Region11Zhejiang,0.0,0.0,0.0,1.1199476841668075,0.0,0.0,0.0,1.1199476841668075
aluminum_Region1Beijing_aluminum_Region12Anhui,0.0,0.0,0.0,1.1398394153813427,0.0,0.0,0.0,1.1398394153813427
aluminum_Region1Beijing_aluminum_Region13Fujian,0.0,0.0,0.0,1.1301404366112036,0.0,0.0,0.0,1.1301404366112036
aluminum_Region1Beijing_aluminum_Region14Jiangxi,0.0,0.0,0.0,1.0669904904016152,0.0,0.0,0.0,1.0669904904016152
aluminum_Region1Beijing_aluminum_Region15Shandong,0.0,0.0,0.0,0.9098595606981199,0.0,0.0,0.0,0.9098595606981199
aluminum_Region1Beijing_aluminum_Region16Henan,0.0,0.0,0.0,1.0603090910888748,0.0,0.0,0.0,1.0603090910888748
aluminum_Region1Beijing_aluminum_Region17Hubei,0.0,0.0,0.0,1.0430213037225589,0.0,0.0,0.0,1.0430213037225589
