type,Fuel,Investment,FixedOM,VariableOM,Startup,NonServedDemand,UnmetPolicyPenalty,Total
Steelmaking,4.516303572196438e11,4.31880791560472e9,9.223757533089491e10,0.0,0.0,0.0,0.0,5.4818674046614343e11
AluminaPlant{NaturalGas},5.2466861735237404e10,22.648158337287626,1.0285899798735449e11,4.40824277088661e10,0.0,0.0,0.0,1.9940828745410614e11
OneWayTransmissionLink{Aluminum},0.0,0.0,0.0,2.2729912674173694e9,0.0,0.0,0.0,2.2729912674173694e9
AluminumRefining,4.783906922297026e11,3.2829598197028275e9,1.0246197504362019e10,2.6285887826190456e10,0.0,0.0,0.0,5.182057373799578e11
OneWayTransmissionLink{AluminumScrap},3.906127210355287e10,0.0,0.0,4.3458964676157093e8,0.0,0.0,0.0,3.9495861750314445e10
AluminumSmelting,3.953187020524077e10,16.892797459411874,2.727719155655147e10,7.262150971036821e9,3316.1541390555535,0.0,0.0,7.4071216065876e10
ThermalAmmonia{Coal},5.368623278867647e10,30.435996715455182,1.1109035362414473e10,0.0,0.0,0.0,0.0,6.479526818152694e10
ThermalAmmoniaCCS{Coal},11191.825648300755,137.09687272603875,4652.408637585512,0.0,0.0,0.0,0.0,15981.331158612305
ThermalAmmonia{CokingOvenGas},435.9131518967705,0.0,1.5702790814862132e8,0.0,0.0,0.0,0.0,1.570283440617732e8
ThermalAmmonia{NaturalGas},6.190081002940254e9,44.92468483563996,1.6878974661043591e9,0.0,0.0,0.0,0.0,7.877978513969297e9
ThermalAmmoniaCCS{NaturalGas},7411.233591397845,852.3967672325426,3681.4988741881643,0.0,0.0,0.0,0.0,11945.129232818552
SyntheticAmmonia,0.0,7.675658359463641e11,2.7965169962683887e11,0.0,0.0,0.0,0.0,1.047217535573203e12
OneWayTransmissionLink{Cement},0.0,0.0,0.0,322.6125069100338,0.0,0.0,0.0,322.6125069100338
OneWayTransmissionLink{CrudeSteel},0.0,0.0,0.0,4.122038882577884e10,0.0,0.0,0.0,4.122038882577884e10
OneWayTransmissionLink{DRI},0.0,0.0,0.0,63158.5685873296,0.0,0.0,0.0,63158.5685873296
DRIMaking,6.799562155703173e9,6.1141198896661215e9,1.5166912932591012e9,0.0,0.0,0.0,0.0,1.4430373338628395e10
ThermalMethanol{Coal},6.857947238665356e10,1.3535474260450252e6,9.821439950140972e9,0.0,0.0,0.0,0.0,7.840226588422058e10
ThermalMethanolCCS{Coal},34253.82138465025,53.64298111589427,6542.882020022285,0.0,0.0,0.0,0.0,40850.34638578843
ThermalMethanol{CokingOvenGas},1365.6864987364086,0.0,3073.5989782182296,0.0,0.0,0.0,0.0,4439.285476954638
ThermalMethanol{NaturalGas},6.650857054526953e9,0.0,5.469781518634741e8,0.0,0.0,0.0,0.0,7.197835206390427e9
ThermalMethanolCCS{NaturalGas},180143.5255705898,121.18561993317766,19554.643537662494,0.0,0.0,0.0,0.0,199819.35472818546
SyntheticMethanol,0.0,195.21329014528342,2228.7170170442278,0.0,0.0,0.0,0.0,2423.930307189511
OneWayTransmissionLink{SteelScrap},8.73491664676409e8,0.0,0.0,3.704668767284498e7,0.0,0.0,0.0,9.10538352349254e8
CementPlant{Coal},1.576908129980074e11,2.2025751361299336e8,5.328554807829125e7,7.882324452404544e10,0.0,0.0,0.0,2.367876005837441e11
ThermalPower{Coal},4.0618992408316437e11,17.018829674428904,5.264223065469642e10,7.274829856867108e10,5706.992969228605,0.0,0.0,5.315804590305437e11
ThermalPower{NaturalGas},7.447172917851826e10,35.16611699899464,1.079068120264086e10,5.463686244438711e9,1.2847693946146512e9,0.0,0.0,9.20108660553786e10
ThermalPowerCCS{Coal},39754.314406037636,88.87699013199003,6474.678074177913,8612.614306795142,3623.897308641572,0.0,0.0,58554.381085784255
ThermalPowerCCS{NaturalGas},28317.189425636476,91.03316019262655,4653.853315054683,3474.2137181067,3082.0410964319613,0.0,0.0,39618.330715422446
ThermalPower{Uranium},1.83498682671517e10,0.0,1.2078992338042734e10,4.590872734634824e9,0.0,0.0,0.0,3.501973333982926e10
