zone,Fuel,Investment,FixedOM,VariableOM,Startup,NonServedDemand,UnmetPolicyPenalty,Total
Region1Beijing,3.5935236192611534e10,1.5891491874274927e10,8.580573271459719e9,4.487805368749526e8,1.0988831493829194e7,0.0,0.0,6.086707070671496e10
Region2Tianjin,9.789906254698307e9,1.029438549114515e10,2.479566410776341e9,9.487857217937986e8,6.231763963029039e6,0.0,0.0,2.3518875642376625e10
Region3Hebei,1.604514134903237e11,2.332380666685694e11,5.375278293971346e10,5.629764184920795e9,79764.87714558718,0.0,0.0,4.530721070484044e11
Region4Shanxi,1.3291292174228021e11,1.0663730775815977e8,7.828414609623962e10,3.4047410323171425e10,4.250725635329711e6,0.0,0.0,2.4535536619508475e11
Region5Innermongolia,1.1274797217665677e11,1.5533316573555396e11,5.341927174960097e10,2.654983918808023e10,635848.9590001095,0.0,0.0,3.4805088469885095e11
Region6Liaoning,2.68798737302449e10,4.959345086055453e10,1.1064417504050991e10,1.3519338851654518e9,788.3166917328472,0.0,0.0,8.888967676833257e10
Region7Jilin,1.9194798934189583e10,3.1376844323713116e10,1.1304129806336836e10,5.527059119768102e8,433309.72541009606,0.0,0.0,6.242891228594175e10
Region8Heilongjiang,1.4096956255972702e10,5.360962316670586e10,9.093895612415281e9,3.8819717661963254e8,848957.3813077935,0.0,0.0,7.718952116909477e10
Region9Shanghai,2.8892511178547676e10,1.3669737411022692e9,6.206946864523308e9,2.0487642812246594e9,2.019121031832059e7,0.0,0.0,3.853538727571623e10
Region10Jiangsu,1.3790806718070108e11,4.430892161714614e10,3.0954984895667892e10,6.679068137657988e9,2.3992851590861224e7,0.0,0.0,2.1987503468276398e11
Region11Zhejiang,7.4208366367234e10,2.5297719042625266e11,3.539313495540388e10,5.991950292618591e9,1.7272104407532476e7,0.0,0.0,3.685879141459166e11
Region12Anhui,5.529380875531437e10,9.662439267733301e10,1.6541142442761383e10,1.809080887228601e9,1072.8351103451705,0.0,0.0,1.7026842583547247e11
Region13Fujian,5.383660741895072e10,1.7604692732262628e11,2.5583540780538345e10,3.244333114682589e9,725.5422490356,0.0,0.0,2.5871140936234018e11
Region14Jiangxi,3.756622687199903e10,2.514315322574129e10,1.2420834560516996e10,1.2380084175925891e9,350465.19218512555,0.0,0.0,7.63685735410421e10
Region15Shandong,4.690037812150648e10,4.0814834054517456e10,2.7658913237633152e10,2.8357425515165825e9,1.503074841490362e7,0.0,0.0,1.1822489871358856e11
Region16Henan,5.284664554185987e10,9.003366219907082e9,5.77722367117407e9,1.509696193437684e9,2.0527387782843564e7,0.0,0.0,6.915745901416154e10
Region17Hubei,4.478058902058866e10,2.2732071508018833e8,1.3104497301318407e10,1.3046036306175501e9,1.135914806249492e7,0.0,0.0,5.94283698156673e10
Region18Hunan,3.938393517682003e10,2.3490820872311543e10,8.753439931071764e9,1.429851015814671e9,7.261374353856072e6,0.0,0.0,7.306530837037186e10
Region19Guangdong,1.2323383257440413e11,4.158467077960892e10,2.844299943569177e10,8.722797003502035e9,1.0218836087629273e9,0.0,0.0,2.0300618340196982e11
Region20Guangxi,6.6947326457927124e10,1.2560365566666536e11,3.903799419316323e10,8.538733324089201e9,1.1031725594593477e7,0.0,0.0,2.401387413674395e11
Region22Chongqing,3.084970027339226e10,3.9709142906002796e8,2.1427248254511242e10,7.76626308535495e9,3.562834784343557e7,0.0,0.0,6.047593139016192e10
Region23Sichuan,5.374583911233173e10,4.614901159630342e10,2.706519623106677e10,2.4224134969188604e9,5.314648314477465e7,0.0,0.0,1.2943560691976556e11
Region24Guizhou,6.14145983052752e10,5.870430973362279e10,4.454994162570111e10,1.2901175177562063e10,369291.57426363614,0.0,0.0,1.775703941337354e11
Region25Yunnan,4.733523536908335e10,1.0423043434556346e11,3.882057179707639e10,5.115808965141471e9,656.5703566470385,0.0,0.0,1.9550205113343503e11
Region27Shaanxi,4.503294392379946e10,1.4723907364399292e11,2.5124813075007065e10,3.8107153416388197e9,717.6024089853993,0.0,0.0,2.2120754670204068e11
Region28Gansu,2.2092346130364445e10,2.653434233920178e11,2.9002510994780117e10,1.1038927705671742e9,1.2861234759241363e6,0.0,0.0,3.175434594112055e11
Region29Qinghai,5.40154711009605e9,2.9121038864539485e7,6.283620210525823e9,4.57841241926098e8,675.2938511695988,0.0,0.0,1.2172130276706362e10
Region30Ningxia,2.652912766960414e10,1.7261314844938667e10,1.0345036561835886e10,3.494446242006417e9,2.2527001662915875e6,0.0,0.0,5.76321780185514e10
Region31Xinjiang,5.415876897867419e10,8.853680253211044e10,3.900363283415429e10,1.125004270216903e10,1.157090555482037e7,0.0,0.0,1.9296081795266278e11
Region21Hainan,1.2333299066858292e10,1.442028765855207e10,4.718258028492114e9,1.0561261656481931e9,1.2467767325524816e7,0.0,0.0,3.2540438686876194e10
Region26Tibet,2.075817418513587e9,1.4380854232948344e9,1.9364110837989612e9,1.3020223633832887e8,733.9734997803995,0.0,0.0,5.580516895919211e9
aluminum_Region1Beijing_aluminum_Region2Tianjin,0.0,0.0,0.0,0.30249307422452726,0.0,0.0,0.0,0.30249307422452726
aluminum_Region1Beijing_aluminum_Region3Hebei,0.0,0.0,0.0,0.1768509860591716,0.0,0.0,0.0,0.1768509860591716
aluminum_Region1Beijing_aluminum_Region4Shanxi,0.0,0.0,0.0,0.18230217540088045,0.0,0.0,0.0,0.18230217540088045
aluminum_Region1Beijing_aluminum_Region5Innermongolia,0.0,0.0,0.0,0.2444622044644329,0.0,0.0,0.0,0.2444622044644329
aluminum_Region1Beijing_aluminum_Region6Liaoning,0.0,0.0,0.0,7.5137242658943,0.0,0.0,0.0,7.5137242658943
aluminum_Region1Beijing_aluminum_Region7Jilin,0.0,0.0,0.0,1.2088498328423298,0.0,0.0,0.0,1.2088498328423298
aluminum_Region1Beijing_aluminum_Region8Heilongjiang,0.0,0.0,0.0,1.5249907239201468,0.0,0.0,0.0,1.5249907239201468
aluminum_Region1Beijing_aluminum_Region9Shanghai,0.0,0.0,0.0,1.1451901188159468,0.0,0.0,0.0,1.1451901188159468
aluminum_Region1Beijing_aluminum_Region10Jiangsu,0.0,0.0,0.0,0.9256962692268951,0.0,0.0,0.0,0.9256962692268951
aluminum_Region1Beijing_aluminum_Region11Zhejiang,0.0,0.0,0.0,1.1907177036769312,0.0,0.0,0.0,1.1907177036769312
aluminum_Region1Beijing_aluminum_Region12Anhui,0.0,0.0,0.0,0.7213710618323202,0.0,0.0,0.0,0.7213710618323202
aluminum_Region1Beijing_aluminum_Region13Fujian,0.0,0.0,0.0,0.8859617887370443,0.0,0.0,0.0,0.8859617887370443
aluminum_Region1Beijing_aluminum_Region14Jiangxi,0.0,0.0,0.0,0.7000421746548118,0.0,0.0,0.0,0.7000421746548118
aluminum_Region1Beijing_aluminum_Region15Shandong,0.0,0.0,0.0,0.38973095412937186,0.0,0.0,0.0,0.38973095412937186
aluminum_Region1Beijing_aluminum_Region16Henan,0.0,0.0,0.0,0.3423144446266788,0.0,0.0,0.0,0.3423144446266788
aluminum_Region1Beijing_aluminum_Region17Hubei,0.0,0.0,0.0,0.6104400693240513,0.0,0.0,0.0,0.6104400693240513
aluminum_Region1Beijing_aluminum_Region18Hunan,0.0,0.0,0.0,0.4855853212044666,0.0,0.0,0.0,0.4855853212044666
aluminum_Region1Beijing_aluminum_Region19Guangdong,0.0,0.0,0.0,0.48168819325702117,0.0,0.0,0.0,0.48168819325702117
aluminum_Region1Beijing_aluminum_Region20Guangxi,0.0,0.0,0.0,0.3598427228405713,0.0,0.0,0.0,0.3598427228405713
aluminum_Region1Beijing_aluminum_Region21Hainan,0.0,0.0,0.0,0.4287984998940035,0.0,0.0,0.0,0.4287984998940035
aluminum_Region1Beijing_aluminum_Region22Chongqing,0.0,0.0,0.0,0.30268982279945994,0.0,0.0,0.0,0.30268982279945994
aluminum_Region1Beijing_aluminum_Region23Sichuan,0.0,0.0,0.0,0.36315662083757094,0.0,0.0,0.0,0.36315662083757094
aluminum_Region1Beijing_aluminum_Region24Guizhou,0.0,0.0,0.0,0.30708352002240447,0.0,0.0,0.0,0.30708352002240447
aluminum_Region1Beijing_aluminum_Region25Yunnan,0.0,0.0,0.0,0.38420169925197273,0.0,0.0,0.0,0.38420169925197273
aluminum_Region1Beijing_aluminum_Region27Shaanxi,0.0,0.0,0.0,0.4119750211351633,0.0,0.0,0.0,0.4119750211351633
aluminum_Region1Beijing_aluminum_Region28Gansu,0.0,0.0,0.0,0.5340791600335458,0.0,0.0,0.0,0.5340791600335458
aluminum_Region1Beijing_aluminum_Region29Qinghai,0.0,0.0,0.0,0.6303547550502685,0.0,0.0,0.0,0.6303547550502685
aluminum_Region1Beijing_aluminum_Region30Ningxia,0.0,0.0,0.0,0.45281104364176666,0.0,0.0,0.0,0.45281104364176666
aluminum_Region1Beijing_aluminum_Region31Xinjiang,0.0,0.0,0.0,1.299562550450531,0.0,0.0,0.0,1.299562550450531
aluminum_Region2Tianjin_aluminum_Region1Beijing,0.0,0.0,0.0,0.23247802071846527,0.0,0.0,0.0,0.23247802071846527
aluminum_Region2Tianjin_aluminum_Region3Hebei,0.0,0.0,0.0,0.16900903619119662,0.0,0.0,0.0,0.16900903619119662
aluminum_Region2Tianjin_aluminum_Region4Shanxi,0.0,0.0,0.0,0.1826638627743375,0.0,0.0,0.0,0.1826638627743375
aluminum_Region2Tianjin_aluminum_Region5Innermongolia,0.0,0.0,0.0,0.26033866671590555,0.0,0.0,0.0,0.26033866671590555
aluminum_Region2Tianjin_aluminum_Region6Liaoning,0.0,0.0,0.0,20.922567906963117,0.0,0.0,0.0,20.922567906963117
aluminum_Region2Tianjin_aluminum_Region7Jilin,0.0,0.0,0.0,1.195103276838541,0.0,0.0,0.0,1.195103276838541
aluminum_Region2Tianjin_aluminum_Region8Heilongjiang,0.0,0.0,0.0,1.5105151602799463,0.0,0.0,0.0,1.5105151602799463
aluminum_Region2Tianjin_aluminum_Region9Shanghai,0.0,0.0,0.0,1.4471174430952871,0.0,0.0,0.0,1.4471174430952871
aluminum_Region2Tianjin_aluminum_Region10Jiangsu,0.0,0.0,0.0,1.091472532463286,0.0,0.0,0.0,1.091472532463286
aluminum_Region2Tianjin_aluminum_Region11Zhejiang,0.0,0.0,0.0,1.5200698240153399,0.0,0.0,0.0,1.5200698240153399
aluminum_Region2Tianjin_aluminum_Region12Anhui,0.0,0.0,0.0,0.7661405182209027,0.0,0.0,0.0,0.7661405182209027
aluminum_Region2Tianjin_aluminum_Region13Fujian,0.0,0.0,0.0,0.9740525000112018,0.0,0.0,0.0,0.9740525000112018
aluminum_Region2Tianjin_aluminum_Region14Jiangxi,0.0,0.0,0.0,0.7233686461516172,0.0,0.0,0.0,0.7233686461516172
aluminum_Region2Tianjin_aluminum_Region15Shandong,0.0,0.0,0.0,0.385345976013603,0.0,0.0,0.0,0.385345976013603
aluminum_Region2Tianjin_aluminum_Region16Henan,0.0,0.0,0.0,0.33707753524522654,0.0,0.0,0.0,0.33707753524522654
aluminum_Region2Tianjin_aluminum_Region17Hubei,0.0,0.0,0.0,0.6098782546392142,0.0,0.0,0.0,0.6098782546392142
aluminum_Region2Tianjin_aluminum_Region18Hunan,0.0,0.0,0.0,0.48365679625885805,0.0,0.0,0.0,0.48365679625885805
aluminum_Region2Tianjin_aluminum_Region19Guangdong,0.0,0.0,0.0,0.48083347221354905,0.0,0.0,0.0,0.48083347221354905
aluminum_Region2Tianjin_aluminum_Region20Guangxi,0.0,0.0,0.0,0.3581725181016989,0.0,0.0,0.0,0.3581725181016989
aluminum_Region2Tianjin_aluminum_Region21Hainan,0.0,0.0,0.0,0.42765786338086614,0.0,0.0,0.0,0.42765786338086614
aluminum_Region2Tianjin_aluminum_Region22Chongqing,0.0,0.0,0.0,0.3020050086000796,0.0,0.0,0.0,0.3020050086000796
aluminum_Region2Tianjin_aluminum_Region23Sichuan,0.0,0.0,0.0,0.3612119461142448,0.0,0.0,0.0,0.3612119461142448
aluminum_Region2Tianjin_aluminum_Region24Guizhou,0.0,0.0,0.0,0.30507655273050227,0.0,0.0,0.0,0.30507655273050227
aluminum_Region2Tianjin_aluminum_Region25Yunnan,0.0,0.0,0.0,0.38256840206182774,0.0,0.0,0.0,0.38256840206182774
aluminum_Region2Tianjin_aluminum_Region27Shaanxi,0.0,0.0,0.0,0.4071896418571603,0.0,0.0,0.0,0.4071896418571603
aluminum_Region2Tianjin_aluminum_Region28Gansu,0.0,0.0,0.0,0.5222030572726156,0.0,0.0,0.0,0.5222030572726156
aluminum_Region2Tianjin_aluminum_Region29Qinghai,0.0,0.0,0.0,0.6128409144455221,0.0,0.0,0.0,0.6128409144455221
aluminum_Region2Tianjin_aluminum_Region30Ningxia,0.0,0.0,0.0,0.44408202176300643,0.0,0.0,0.0,0.44408202176300643
aluminum_Region2Tianjin_aluminum_Region31Xinjiang,0.0,0.0,0.0,1.1637314138243413,0.0,0.0,0.0,1.1637314138243413
aluminum_Region3Hebei_aluminum_Region1Beijing,0.0,0.0,0.0,3.1651117596106504,0.0,0.0,0.0,3.1651117596106504
aluminum_Region3Hebei_aluminum_Region2Tianjin,0.0,0.0,0.0,3.403476538235045,0.0,0.0,0.0,3.403476538235045
aluminum_Region3Hebei_aluminum_Region4Shanxi,0.0,0.0,0.0,0.15699284312956613,0.0,0.0,0.0,0.15699284312956613
aluminum_Region3Hebei_aluminum_Region5Innermongolia,0.0,0.0,0.0,0.38768720010320107,0.0,0.0,0.0,0.38768720010320107
aluminum_Region3Hebei_aluminum_Region6Liaoning,0.0,0.0,0.0,11.937026536911642,0.0,0.0,0.0,11.937026536911642
aluminum_Region3Hebei_aluminum_Region7Jilin,0.0,0.0,0.0,1.4928114511932493,0.0,0.0,0.0,1.4928114511932493
aluminum_Region3Hebei_aluminum_Region8Heilongjiang,0.0,0.0,0.0,1.7940750783989678,0.0,0.0,0.0,1.7940750783989678
aluminum_Region3Hebei_aluminum_Region9Shanghai,0.0,0.0,0.0,19.018541692701945,0.0,0.0,0.0,19.018541692701945
aluminum_Region3Hebei_aluminum_Region10Jiangsu,0.0,0.0,0.0,19.614332884529663,0.0,0.0,0.0,19.614332884529663
aluminum_Region3Hebei_aluminum_Region11Zhejiang,0.0,0.0,0.0,25.890105409554717,0.0,0.0,0.0,25.890105409554717
aluminum_Region3Hebei_aluminum_Region12Anhui,0.0,0.0,0.0,3.2731193517302244,0.0,0.0,0.0,3.2731193517302244
aluminum_Region3Hebei_aluminum_Region13Fujian,0.0,0.0,0.0,1.9310366384834265,0.0,0.0,0.0,1.9310366384834265
aluminum_Region3Hebei_aluminum_Region14Jiangxi,0.0,0.0,0.0,1.64462643888423,0.0,0.0,0.0,1.64462643888423
aluminum_Region3Hebei_aluminum_Region15Shandong,0.0,0.0,0.0,6.778710452532254,0.0,0.0,0.0,6.778710452532254
