zone,Fuel,Investment,FixedOM,VariableOM,Startup,NonServedDemand,UnmetPolicyPenalty,Total
Region1Beijing,4.5208266092708916e10,1.5248115259436696e9,1.0078207097378136e10,1.1886437556140692e9,1.6051488510949734e8,0.0,0.0,5.816044335675429e10
Region2Tianjin,1.4049104539711506e10,2.5487209136607944e10,4.546886660686711e9,1.2001584790261202e9,1.1327890681850545e8,0.0,0.0,4.539663772285079e10
Region3Hebei,2.3869217490262933e11,3.9906422158897705e10,7.763024873975708e10,7.027841077980788e9,5.042845370512208e7,0.0,0.0,3.6330711533297003e11
Region4Shanxi,1.3547028139276047e11,9.770459713257664e9,5.295129686191952e10,1.8141303578648464e10,8.262474086953266e7,0.0,0.0,2.1641596628745566e11
Region5Innermongolia,1.7226060228358377e11,1.2111137423170642e11,9.454281715081853e10,3.4223186364326527e10,7.625950629770305e6,0.0,0.0,4.22145605981065e11
Region6Liaoning,6.396516681513635e10,1.538063509590026e11,2.9685669749858727e10,1.8335995405669222e9,3.2875471136627872e6,0.0,0.0,2.4929407461167828e11
Region7Jilin,3.5126530302649956e10,8.061007749963778e9,1.8667994253188873e10,8.615919722124661e8,723428.0444301654,0.0,0.0,6.27178477060595e10
Region8Heilongjiang,2.7471928083302334e10,3.2337594596939075e10,1.7352920255630077e10,5.639831835782629e8,1.022565755425118e6,0.0,0.0,7.772744868520518e10
Region9Shanghai,5.256600825517769e10,1.2811932636689198e9,9.786486127777517e9,3.0072158526700444e9,2.7487502462217e8,0.0,0.0,6.691577852391634e10
Region10Jiangsu,2.5514312983145053e11,1.9707298877787365e10,5.05183576150114e10,9.695683155420902e9,2.186799401029656e8,0.0,0.0,3.3528314941977313e11
Region11Zhejiang,1.2759315922096547e11,1.166394435940562e10,5.290161896795348e10,7.6099912160914955e9,1.2293696013512564e8,0.0,0.0,1.998916507245512e11
Region12Anhui,1.260795526425617e11,2.6597887938975994e10,2.849662023228974e10,2.9021818099439573e9,1.6565420663708562e7,0.0,0.0,1.840928080444351e11
Region13Fujian,1.0536204340725162e11,6.612127595976661e10,4.282709916595165e10,4.2698441341015215e9,845962.703093649,0.0,0.0,2.185811086297745e11
Region14Jiangxi,9.044150760544391e10,1.7750281646264362e10,2.1812450915518433e10,1.94804242750776e9,724232.4443718838,0.0,0.0,1.3195300682717883e11
Region15Shandong,1.2035401276417577e11,3.3397148148182774e10,4.7682107238835785e10,4.384277232838512e9,4.313328342826718e7,0.0,0.0,2.058606786674611e11
Region16Henan,9.63149899168939e10,1.3475496901553276e10,1.0742241384809477e10,2.6627819199296694e9,1.3740485433153373e8,0.0,0.0,1.2333291497751785e11
Region17Hubei,1.0378982101938237e11,2.1823964899922787e10,2.3308380135836815e10,2.0242148244311008e9,2.2918077669710133e7,0.0,0.0,1.5096929895724277e11
Region18Hunan,9.953357875394275e10,1.6393155270095276e11,2.822457841959239e10,2.0924388459687831e9,8.116759037706135e6,0.0,0.0,2.9379026547949445e11
Region19Guangdong,2.3982491524273984e11,1.1113747294583772e11,5.2777521401366875e10,1.431492056110212e10,1.800779989215659e9,0.0,0.0,4.198556101402622e11
Region20Guangxi,1.420440251824332e11,2.087585328802728e10,6.418407799103059e10,1.3560673931698507e10,1.7508420866142735e7,0.0,0.0,2.4068213881405573e11
Region22Chongqing,4.5305282363411285e10,3.2036161133938756e9,2.880875610027054e10,1.0256512389059782e10,3.967991972055434e7,0.0,0.0,8.761384688585603e10
Region23Sichuan,1.2360747579486287e11,1.2562917352852219e11,5.412684996724492e10,3.714737295834948e9,5.910186385711801e7,0.0,0.0,3.071373384503221e11
Region24Guizhou,7.86102673999846e10,4.7973918650033295e10,7.371438502490227e10,1.768659821562053e10,983974.7976832793,0.0,0.0,2.1798615326533838e11
Region25Yunnan,1.0131015022523268e11,2.5973327313110996e10,6.419411986131403e10,6.087982728678658e9,405385.4225830173,0.0,0.0,1.9756598551375894e11
Region27Shaanxi,7.565247975715463e10,1.5553884112731977e10,3.886505513664315e10,3.111837985486942e9,378336.6697448433,0.0,0.0,1.3318363532868643e11
Region28Gansu,3.3538866460140583e10,7.43275840713355e10,5.2400670039303734e10,1.6509281944287097e9,6.302060384415694e6,0.0,0.0,1.6192435082559296e11
Region29Qinghai,7.086437200703455e9,3.474467174004612e10,1.0724892069467068e10,5.1112860912259144e8,575407.1897074748,0.0,0.0,5.306770502652894e10
Region30Ningxia,3.753830878164559e10,3.438956519753802e10,1.71309591264416e10,4.311763357885491e9,7.052503174587338e7,0.0,0.0,9.344112149525659e10
Region31Xinjiang,7.296572429890483e10,8.825851299890211e10,6.878393823482965e10,9.997240068486177e9,1.4544365434645317e7,0.0,0.0,2.400199599665574e11
Region21Hainan,1.7866914479846428e10,7.596930439833805e9,8.544053298141644e9,1.5255853520283422e9,5.364357877182993e7,0.0,0.0,3.558712714862205e10
Region26Tibet,1.8098137684915373e9,6.832199993429708e10,8.395999307322304e9,9.979802971812974e7,1.093314456814334e6,0.0,0.0,7.862870435428587e10
aluminum_Region1Beijing_aluminum_Region2Tianjin,0.0,0.0,0.0,16.579882250524545,0.0,0.0,0.0,16.579882250524545
aluminum_Region1Beijing_aluminum_Region3Hebei,0.0,0.0,0.0,0.41467622815170047,0.0,0.0,0.0,0.41467622815170047
aluminum_Region1Beijing_aluminum_Region4Shanxi,0.0,0.0,0.0,0.458071490939866,0.0,0.0,0.0,0.458071490939866
aluminum_Region1Beijing_aluminum_Region5Innermongolia,0.0,0.0,0.0,0.4184989799813237,0.0,0.0,0.0,0.4184989799813237
aluminum_Region1Beijing_aluminum_Region6Liaoning,0.0,0.0,0.0,213.50913004352395,0.0,0.0,0.0,213.50913004352395
aluminum_Region1Beijing_aluminum_Region7Jilin,0.0,0.0,0.0,1.488371901372712,0.0,0.0,0.0,1.488371901372712
aluminum_Region1Beijing_aluminum_Region8Heilongjiang,0.0,0.0,0.0,1.9503687685138311,0.0,0.0,0.0,1.9503687685138311
aluminum_Region1Beijing_aluminum_Region9Shanghai,0.0,0.0,0.0,2.2553696052008085,0.0,0.0,0.0,2.2553696052008085
aluminum_Region1Beijing_aluminum_Region10Jiangsu,0.0,0.0,0.0,1.5644132375963664,0.0,0.0,0.0,1.5644132375963664
aluminum_Region1Beijing_aluminum_Region11Zhejiang,0.0,0.0,0.0,1.686546298748818,0.0,0.0,0.0,1.686546298748818
aluminum_Region1Beijing_aluminum_Region12Anhui,0.0,0.0,0.0,1.2678116066121197,0.0,0.0,0.0,1.2678116066121197
aluminum_Region1Beijing_aluminum_Region13Fujian,0.0,0.0,0.0,1.0822902322843688,0.0,0.0,0.0,1.0822902322843688
aluminum_Region1Beijing_aluminum_Region14Jiangxi,0.0,0.0,0.0,0.9359891195215813,0.0,0.0,0.0,0.9359891195215813
aluminum_Region1Beijing_aluminum_Region15Shandong,0.0,0.0,0.0,1.3886451349743847,0.0,0.0,0.0,1.3886451349743847
aluminum_Region1Beijing_aluminum_Region16Henan,0.0,0.0,0.0,0.9324270104091927,0.0,0.0,0.0,0.9324270104091927
aluminum_Region1Beijing_aluminum_Region17Hubei,0.0,0.0,0.0,0.8809030763456309,0.0,0.0,0.0,0.8809030763456309
aluminum_Region1Beijing_aluminum_Region18Hunan,0.0,0.0,0.0,0.7736674281016028,0.0,0.0,0.0,0.7736674281016028
aluminum_Region1Beijing_aluminum_Region19Guangdong,0.0,0.0,0.0,0.7266036340456832,0.0,0.0,0.0,0.7266036340456832
aluminum_Region1Beijing_aluminum_Region20Guangxi,0.0,0.0,0.0,0.6163373062033614,0.0,0.0,0.0,0.6163373062033614
aluminum_Region1Beijing_aluminum_Region21Hainan,0.0,0.0,0.0,0.6509369157864976,0.0,0.0,0.0,0.6509369157864976
aluminum_Region1Beijing_aluminum_Region22Chongqing,0.0,0.0,0.0,0.6140527868161311,0.0,0.0,0.0,0.6140527868161311
aluminum_Region1Beijing_aluminum_Region23Sichuan,0.0,0.0,0.0,0.7127794023068263,0.0,0.0,0.0,0.7127794023068263
aluminum_Region1Beijing_aluminum_Region24Guizhou,0.0,0.0,0.0,0.5887661265130383,0.0,0.0,0.0,0.5887661265130383
aluminum_Region1Beijing_aluminum_Region25Yunnan,0.0,0.0,0.0,0.5970770477899151,0.0,0.0,0.0,0.5970770477899151
aluminum_Region1Beijing_aluminum_Region27Shaanxi,0.0,0.0,0.0,0.7300120339871125,0.0,0.0,0.0,0.7300120339871125
aluminum_Region1Beijing_aluminum_Region28Gansu,0.0,0.0,0.0,0.7503006680040574,0.0,0.0,0.0,0.7503006680040574
aluminum_Region1Beijing_aluminum_Region29Qinghai,0.0,0.0,0.0,0.8754411348712395,0.0,0.0,0.0,0.8754411348712395
aluminum_Region1Beijing_aluminum_Region30Ningxia,0.0,0.0,0.0,1.0140694873144718,0.0,0.0,0.0,1.0140694873144718
aluminum_Region1Beijing_aluminum_Region31Xinjiang,0.0,0.0,0.0,1.5610678224609464,0.0,0.0,0.0,1.5610678224609464
aluminum_Region2Tianjin_aluminum_Region1Beijing,0.0,0.0,0.0,0.27030139369003864,0.0,0.0,0.0,0.27030139369003864
aluminum_Region2Tianjin_aluminum_Region3Hebei,0.0,0.0,0.0,0.3209938413256487,0.0,0.0,0.0,0.3209938413256487
aluminum_Region2Tianjin_aluminum_Region4Shanxi,0.0,0.0,0.0,0.41308037646408086,0.0,0.0,0.0,0.41308037646408086
aluminum_Region2Tianjin_aluminum_Region5Innermongolia,0.0,0.0,0.0,0.4348656850185221,0.0,0.0,0.0,0.4348656850185221
aluminum_Region2Tianjin_aluminum_Region6Liaoning,0.0,0.0,0.0,6.14160661711256,0.0,0.0,0.0,6.14160661711256
aluminum_Region2Tianjin_aluminum_Region7Jilin,0.0,0.0,0.0,1.233778420403516,0.0,0.0,0.0,1.233778420403516
aluminum_Region2Tianjin_aluminum_Region8Heilongjiang,0.0,0.0,0.0,1.617370453885323,0.0,0.0,0.0,1.617370453885323
aluminum_Region2Tianjin_aluminum_Region9Shanghai,0.0,0.0,0.0,2.034409379233335,0.0,0.0,0.0,2.034409379233335
aluminum_Region2Tianjin_aluminum_Region10Jiangsu,0.0,0.0,0.0,1.3439250461024463,0.0,0.0,0.0,1.3439250461024463
aluminum_Region2Tianjin_aluminum_Region11Zhejiang,0.0,0.0,0.0,1.5249344471949642,0.0,0.0,0.0,1.5249344471949642
aluminum_Region2Tianjin_aluminum_Region12Anhui,0.0,0.0,0.0,1.1043581487999323,0.0,0.0,0.0,1.1043581487999323
aluminum_Region2Tianjin_aluminum_Region13Fujian,0.0,0.0,0.0,1.0129425488961343,0.0,0.0,0.0,1.0129425488961343
aluminum_Region2Tianjin_aluminum_Region14Jiangxi,0.0,0.0,0.0,0.8582600454773123,0.0,0.0,0.0,0.8582600454773123
aluminum_Region2Tianjin_aluminum_Region15Shandong,0.0,0.0,0.0,0.9266483500412588,0.0,0.0,0.0,0.9266483500412588
aluminum_Region2Tianjin_aluminum_Region16Henan,0.0,0.0,0.0,0.7933304713040854,0.0,0.0,0.0,0.7933304713040854
aluminum_Region2Tianjin_aluminum_Region17Hubei,0.0,0.0,0.0,0.799463921293952,0.0,0.0,0.0,0.799463921293952
aluminum_Region2Tianjin_aluminum_Region18Hunan,0.0,0.0,0.0,0.7216919277568317,0.0,0.0,0.0,0.7216919277568317
aluminum_Region2Tianjin_aluminum_Region19Guangdong,0.0,0.0,0.0,0.6929079922439397,0.0,0.0,0.0,0.6929079922439397
aluminum_Region2Tianjin_aluminum_Region20Guangxi,0.0,0.0,0.0,0.5927197288194439,0.0,0.0,0.0,0.5927197288194439
aluminum_Region2Tianjin_aluminum_Region21Hainan,0.0,0.0,0.0,0.6282365352801051,0.0,0.0,0.0,0.6282365352801051
aluminum_Region2Tianjin_aluminum_Region22Chongqing,0.0,0.0,0.0,0.5901825497390867,0.0,0.0,0.0,0.5901825497390867
aluminum_Region2Tianjin_aluminum_Region23Sichuan,0.0,0.0,0.0,0.678674580589,0.0,0.0,0.0,0.678674580589
aluminum_Region2Tianjin_aluminum_Region24Guizhou,0.0,0.0,0.0,0.5641147462756908,0.0,0.0,0.0,0.5641147462756908
aluminum_Region2Tianjin_aluminum_Region25Yunnan,0.0,0.0,0.0,0.580039592276827,0.0,0.0,0.0,0.580039592276827
aluminum_Region2Tianjin_aluminum_Region27Shaanxi,0.0,0.0,0.0,0.6750351712940179,0.0,0.0,0.0,0.6750351712940179
aluminum_Region2Tianjin_aluminum_Region28Gansu,0.0,0.0,0.0,0.7070057426241524,0.0,0.0,0.0,0.7070057426241524
aluminum_Region2Tianjin_aluminum_Region29Qinghai,0.0,0.0,0.0,0.8194358101962088,0.0,0.0,0.0,0.8194358101962088
aluminum_Region2Tianjin_aluminum_Region30Ningxia,0.0,0.0,0.0,0.9044122181885532,0.0,0.0,0.0,0.9044122181885532
aluminum_Region2Tianjin_aluminum_Region31Xinjiang,0.0,0.0,0.0,1.4173831552730183,0.0,0.0,0.0,1.4173831552730183
aluminum_Region3Hebei_aluminum_Region1Beijing,0.0,0.0,0.0,1.7478742732645944,0.0,0.0,0.0,1.7478742732645944
aluminum_Region3Hebei_aluminum_Region2Tianjin,0.0,0.0,0.0,9.037754189982154,0.0,0.0,0.0,9.037754189982154
aluminum_Region3Hebei_aluminum_Region4Shanxi,0.0,0.0,0.0,0.33518986993308847,0.0,0.0,0.0,0.33518986993308847
aluminum_Region3Hebei_aluminum_Region5Innermongolia,0.0,0.0,0.0,0.5616231737225602,0.0,0.0,0.0,0.5616231737225602
aluminum_Region3Hebei_aluminum_Region6Liaoning,0.0,0.0,0.0,7.802499474010483,0.0,0.0,0.0,7.802499474010483
aluminum_Region3Hebei_aluminum_Region7Jilin,0.0,0.0,0.0,1.621192361422855,0.0,0.0,0.0,1.621192361422855
aluminum_Region3Hebei_aluminum_Region8Heilongjiang,0.0,0.0,0.0,1.9783269242618182,0.0,0.0,0.0,1.9783269242618182
aluminum_Region3Hebei_aluminum_Region9Shanghai,0.0,0.0,0.0,5.251872434224908,0.0,0.0,0.0,5.251872434224908
aluminum_Region3Hebei_aluminum_Region10Jiangsu,0.0,0.0,0.0,4.368325743343375,0.0,0.0,0.0,4.368325743343375
aluminum_Region3Hebei_aluminum_Region11Zhejiang,0.0,0.0,0.0,2.6662656172657138,0.0,0.0,0.0,2.6662656172657138
aluminum_Region3Hebei_aluminum_Region12Anhui,0.0,0.0,0.0,2.3878810613779216,0.0,0.0,0.0,2.3878810613779216
aluminum_Region3Hebei_aluminum_Region13Fujian,0.0,0.0,0.0,1.2847391036609024,0.0,0.0,0.0,1.2847391036609024
aluminum_Region3Hebei_aluminum_Region14Jiangxi,0.0,0.0,0.0,1.1255342051351147,0.0,0.0,0.0,1.1255342051351147
aluminum_Region3Hebei_aluminum_Region15Shandong,0.0,0.0,0.0,15.369483311447878,0.0,0.0,0.0,15.369483311447878
aluminum_Region3Hebei_aluminum_Region16Henan,0.0,0.0,0.0,1.8140948120847658,0.0,0.0,0.0,1.8140948120847658
aluminum_Region3Hebei_aluminum_Region17Hubei,0.0,0.0,0.0,1.1143567223743749,0.0,0.0,0.0,1.1143567223743749
aluminum_Region3Hebei_aluminum_Region18Hunan,0.0,0.0,0.0,0.856145885512948,0.0,0.0,0.0,0.856145885512948
aluminum_Region3Hebei_aluminum_Region19Guangdong,0.0,0.0,0.0,0.7602131447954386,0.0,0.0,0.0,0.7602131447954386
aluminum_Region3Hebei_aluminum_Region20Guangxi,0.0,0.0,0.0,0.6250870855590414,0.0,0.0,0.0,0.6250870855590414
aluminum_Region3Hebei_aluminum_Region21Hainan,0.0,0.0,0.0,0.6658862238789232,0.0,0.0,0.0,0.6658862238789232
aluminum_Region3Hebei_aluminum_Region22Chongqing,0.0,0.0,0.0,0.626378044588905,0.0,0.0,0.0,0.626378044588905
aluminum_Region3Hebei_aluminum_Region23Sichuan,0.0,0.0,0.0,0.7533769866219389,0.0,0.0,0.0,0.7533769866219389
aluminum_Region3Hebei_aluminum_Region24Guizhou,0.0,0.0,0.0,0.6000794896471706,0.0,0.0,0.0,0.6000794896471706
aluminum_Region3Hebei_aluminum_Region25Yunnan,0.0,0.0,0.0,0.6031651417686013,0.0,0.0,0.0,0.6031651417686013
aluminum_Region3Hebei_aluminum_Region27Shaanxi,0.0,0.0,0.0,0.8312156548386341,0.0,0.0,0.0,0.8312156548386341
aluminum_Region3Hebei_aluminum_Region28Gansu,0.0,0.0,0.0,0.8212579987011717,0.0,0.0,0.0,0.8212579987011717
aluminum_Region3Hebei_aluminum_Region29Qinghai,0.0,0.0,0.0,0.9825166296082185,0.0,0.0,0.0,0.9825166296082185
aluminum_Region3Hebei_aluminum_Region30Ningxia,0.0,0.0,0.0,1.3553441621087217,0.0,0.0,0.0,1.3553441621087217
aluminum_Region3Hebei_aluminum_Region31Xinjiang,0.0,0.0,0.0,1.7421596820625536,0.0,0.0,0.0,1.7421596820625536
aluminum_Region4Shanxi_aluminum_Region1Beijing,0.0,0.0,0.0,3.953572291911909,0.0,0.0,0.0,3.953572291911909
aluminum_Region4Shanxi_aluminum_Region2Tianjin,0.0,0.0,0.0,176.70764067663004,0.0,0.0,0.0,176.70764067663004
aluminum_Region4Shanxi_aluminum_Region3Hebei,0.0,0.0,0.0,4.7835974082458936e7,0.0,0.0,0.0,4.7835974082458936e7
aluminum_Region4Shanxi_aluminum_Region5Innermongolia,0.0,0.0,0.0,0.6843254529805475,0.0,0.0,0.0,0.6843254529805475
aluminum_Region4Shanxi_aluminum_Region6Liaoning,0.0,0.0,0.0,12.037089552244753,0.0,0.0,0.0,12.037089552244753
aluminum_Region4Shanxi_aluminum_Region7Jilin,0.0,0.0,0.0,1.9476379525717589,0.0,0.0,0.0,1.9476379525717589
aluminum_Region4Shanxi_aluminum_Region8Heilongjiang,0.0,0.0,0.0,2.3209940589030387,0.0,0.0,0.0,2.3209940589030387
aluminum_Region4Shanxi_aluminum_Region9Shanghai,0.0,0.0,0.0,6.821023441500835,0.0,0.0,0.0,6.821023441500835
aluminum_Region4Shanxi_aluminum_Region10Jiangsu,0.0,0.0,0.0,6.022043260250381,0.0,0.0,0.0,6.022043260250381
aluminum_Region4Shanxi_aluminum_Region11Zhejiang,0.0,0.0,0.0,3.2838812654895424,0.0,0.0,0.0,3.2838812654895424
aluminum_Region4Shanxi_aluminum_Region12Anhui,0.0,0.0,0.0,3.9522631311826504,0.0,0.0,0.0,3.9522631311826504
aluminum_Region4Shanxi_aluminum_Region13Fujian,0.0,0.0,0.0,1.507800250113528,0.0,0.0,0.0,1.507800250113528
aluminum_Region4Shanxi_aluminum_Region14Jiangxi,0.0,0.0,0.0,1.4039568702125331,0.0,0.0,0.0,1.4039568702125331
aluminum_Region4Shanxi_aluminum_Region15Shandong,0.0,0.0,0.0,1.3560696867643273e8,0.0,0.0,0.0,1.3560696867643273e8
aluminum_Region4Shanxi_aluminum_Region16Henan,0.0,0.0,0.0,8.5074784771436e7,0.0,0.0,0.0,8.5074784771436e7
aluminum_Region4Shanxi_aluminum_Region17Hubei,0.0,0.0,0.0,1.5435419799678665,0.0,0.0,0.0,1.5435419799678665
aluminum_Region4Shanxi_aluminum_Region18Hunan,0.0,0.0,0.0,1.032845812197107,0.0,0.0,0.0,1.032845812197107
aluminum_Region4Shanxi_aluminum_Region19Guangdong,0.0,0.0,0.0,0.8457218824628728,0.0,0.0,0.0,0.8457218824628728
aluminum_Region4Shanxi_aluminum_Region20Guangxi,0.0,0.0,0.0,0.6724953663373088,0.0,0.0,0.0,0.6724953663373088
aluminum_Region4Shanxi_aluminum_Region21Hainan,0.0,0.0,0.0,0.7138572594815584,0.0,0.0,0.0,0.7138572594815584
aluminum_Region4Shanxi_aluminum_Region22Chongqing,0.0,0.0,0.0,0.6747526234243642,0.0,0.0,0.0,0.6747526234243642
aluminum_Region4Shanxi_aluminum_Region23Sichuan,0.0,0.0,0.0,0.8480273138186263,0.0,0.0,0.0,0.8480273138186263
aluminum_Region4Shanxi_aluminum_Region24Guizhou,0.0,0.0,0.0,0.6403542933669762,0.0,0.0,0.0,0.6403542933669762
aluminum_Region4Shanxi_aluminum_Region25Yunnan,0.0,0.0,0.0,0.6279739789028569,0.0,0.0,0.0,0.6279739789028569
aluminum_Region4Shanxi_aluminum_Region27Shaanxi,0.0,0.0,0.0,1.145597817658888,0.0,0.0,0.0,1.145597817658888
aluminum_Region4Shanxi_aluminum_Region28Gansu,0.0,0.0,0.0,1.0067099788110956,0.0,0.0,0.0,1.0067099788110956
aluminum_Region4Shanxi_aluminum_Region29Qinghai,0.0,0.0,0.0,1.2570447066687638,0.0,0.0,0.0,1.2570447066687638
aluminum_Region4Shanxi_aluminum_Region30Ningxia,0.0,0.0,0.0,3.68039118390841,0.0,0.0,0.0,3.68039118390841
aluminum_Region4Shanxi_aluminum_Region31Xinjiang,0.0,0.0,0.0,2.294696096959328,0.0,0.0,0.0,2.294696096959328
aluminum_Region5Innermongolia_aluminum_Region1Beijing,0.0,0.0,0.0,5.300904597924399e6,0.0,0.0,0.0,5.300904597924399e6
aluminum_Region5Innermongolia_aluminum_Region2Tianjin,0.0,0.0,0.0,1.2717472002433466e7,0.0,0.0,0.0,1.2717472002433466e7
aluminum_Region5Innermongolia_aluminum_Region3Hebei,0.0,0.0,0.0,2.4090634815299095,0.0,0.0,0.0,2.4090634815299095
aluminum_Region5Innermongolia_aluminum_Region4Shanxi,0.0,0.0,0.0,0.8045711157928205,0.0,0.0,0.0,0.8045711157928205
aluminum_Region5Innermongolia_aluminum_Region6Liaoning,0.0,0.0,0.0,3.474538571228477e7,0.0,0.0,0.0,3.474538571228477e7
aluminum_Region5Innermongolia_aluminum_Region7Jilin,0.0,0.0,0.0,2.5119569079821464,0.0,0.0,0.0,2.5119569079821464
aluminum_Region5Innermongolia_aluminum_Region8Heilongjiang,0.0,0.0,0.0,3.182131358534255,0.0,0.0,0.0,3.182131358534255
aluminum_Region5Innermongolia_aluminum_Region9Shanghai,0.0,0.0,0.0,3.407464804057816,0.0,0.0,0.0,3.407464804057816
aluminum_Region5Innermongolia_aluminum_Region10Jiangsu,0.0,0.0,0.0,2.501334364961838,0.0,0.0,0.0,2.501334364961838
aluminum_Region5Innermongolia_aluminum_Region11Zhejiang,0.0,0.0,0.0,2.4542523229145323,0.0,0.0,0.0,2.4542523229145323
aluminum_Region5Innermongolia_aluminum_Region12Anhui,0.0,0.0,0.0,2.0040455380923814,0.0,0.0,0.0,2.0040455380923814
aluminum_Region5Innermongolia_aluminum_Region13Fujian,0.0,0.0,0.0,1.4110756422288098,0.0,0.0,0.0,1.4110756422288098
aluminum_Region5Innermongolia_aluminum_Region14Jiangxi,0.0,0.0,0.0,1.3202754298878545,0.0,0.0,0.0,1.3202754298878545
aluminum_Region5Innermongolia_aluminum_Region15Shandong,0.0,0.0,0.0,5.2847270378227,0.0,0.0,0.0,5.2847270378227
aluminum_Region5Innermongolia_aluminum_Region16Henan,0.0,0.0,0.0,2.1265892688365517,0.0,0.0,0.0,2.1265892688365517
aluminum_Region5Innermongolia_aluminum_Region17Hubei,0.0,0.0,0.0,1.3350544731183682,0.0,0.0,0.0,1.3350544731183682
aluminum_Region5Innermongolia_aluminum_Region18Hunan,0.0,0.0,0.0,1.0519028780741024,0.0,0.0,0.0,1.0519028780741024
aluminum_Region5Innermongolia_aluminum_Region19Guangdong,0.0,0.0,0.0,0.8895781315188139,0.0,0.0,0.0,0.8895781315188139
aluminum_Region5Innermongolia_aluminum_Region20Guangxi,0.0,0.0,0.0,0.724777443909335,0.0,0.0,0.0,0.724777443909335
aluminum_Region5Innermongolia_aluminum_Region21Hainan,0.0,0.0,0.0,0.7551965918284603,0.0,0.0,0.0,0.7551965918284603
aluminum_Region5Innermongolia_aluminum_Region22Chongqing,0.0,0.0,0.0,0.7429285981220597,0.0,0.0,0.0,0.7429285981220597
aluminum_Region5Innermongolia_aluminum_Region23Sichuan,0.0,0.0,0.0,0.898529709874932,0.0,0.0,0.0,0.898529709874932
aluminum_Region5Innermongolia_aluminum_Region24Guizhou,0.0,0.0,0.0,0.6936063628511194,0.0,0.0,0.0,0.6936063628511194
aluminum_Region5Innermongolia_aluminum_Region25Yunnan,0.0,0.0,0.0,0.6733511486605642,0.0,0.0,0.0,0.6733511486605642
aluminum_Region5Innermongolia_aluminum_Region27Shaanxi,0.0,0.0,0.0,1.0932700646474,0.0,0.0,0.0,1.0932700646474
