type,Fuel,Investment,FixedOM,VariableOM,Startup,NonServedDemand,UnmetPolicyPenalty,Total
Steelmaking,3.9398663842919977e11,1.1474503500541624e8,7.564290027856287e10,0.0,0.0,0.0,0.0,4.6974428374276807e11
AluminaPlant{NaturalGas},6.1016162011652466e10,1.49574930162202e9,1.1879677901372331e11,5.09129052915957e10,0.0,0.0,0.0,2.322215956185935e11
OneWayTransmissionLink{Aluminum},0.0,0.0,0.0,2.5789493994165077e9,0.0,0.0,0.0,2.5789493994165077e9
AluminumRefining,1.7606756269465207e11,2.871539451636257e8,3.771024501067916e9,9.674293998596806e9,0.0,0.0,0.0,1.898000351394804e11
OneWayTransmissionLink{AluminumScrap},1.725382098522042e12,0.0,0.0,3.1564171363358486e10,0.0,0.0,0.0,1.7569462698854004e12
AluminumSmelting,4.565724866723405e10,1.6872267063975983e10,3.1503733344005157e10,8.38740568109189e9,1.499231226642056e9,0.0,0.0,1.0391988598294913e11
ThermalAmmonia{Coal},3303.8641619711343,3260.4791684246616,1064.7137657327996,0.0,0.0,0.0,0.0,7629.057096128595
ThermalAmmoniaCCS{Coal},1.4734094234851921e10,2.8089141522309784e10,3.2217838327528844e9,0.0,0.0,0.0,0.0,4.604501958991459e10
ThermalAmmonia{CokingOvenGas},24079.05668710686,0.0,223.6816006970741,0.0,0.0,0.0,0.0,24302.73828780393
ThermalAmmonia{NaturalGas},4701.243079561457,2731.760926751976,680.8126033802395,0.0,0.0,0.0,0.0,8113.816609693672
ThermalAmmoniaCCS{NaturalGas},4.9606894851642845e10,3.881764730950995e10,4.452428218459631e9,0.0,0.0,0.0,0.0,9.287697037961243e10
SyntheticAmmonia,0.0,1866.0706803635399,377.1443379582857,0.0,0.0,0.0,0.0,2243.2150183218255
OneWayTransmissionLink{Cement},0.0,0.0,0.0,1.540203934898921e8,0.0,0.0,0.0,1.540203934898921e8
OneWayTransmissionLink{CrudeSteel},0.0,0.0,0.0,4.503361728273529e10,0.0,0.0,0.0,4.503361728273529e10
OneWayTransmissionLink{DRI},0.0,0.0,0.0,3.1373397475490044e10,0.0,0.0,0.0,3.1373397475490044e10
DRIMaking,3.9954086433623086,21.60195547076158,2.973181352891297,0.0,0.0,0.0,0.0,28.570545467015187
ThermalMethanol{Coal},3.342996572672431e10,7.692757798055258e9,5.726976049208229e9,0.0,0.0,0.0,0.0,4.68496995739878e10
ThermalMethanolCCS{Coal},4.265428101576965e9,6.630788860844231e9,1.4541350161301794e9,0.0,0.0,0.0,0.0,1.2350351978551376e10
ThermalMethanol{CokingOvenGas},6.681730297762278e8,0.0,6.640212473146381e8,0.0,0.0,0.0,0.0,1.332194277090866e9
ThermalMethanol{NaturalGas},2.6889236306474433e9,0.0,5.642175390102849e8,0.0,0.0,0.0,0.0,3.253141169657728e9
ThermalMethanolCCS{NaturalGas},3.506375313520696e9,5.298693169004437e9,1.1022372582023594e9,0.0,0.0,0.0,0.0,9.907305740727493e9
SyntheticMethanol,0.0,5.573995498985915e9,1.1266750130564685e9,0.0,0.0,0.0,0.0,6.700670512042383e9
OneWayTransmissionLink{SteelScrap},2.410390477585588e11,0.0,0.0,3.0836048310854675e10,0.0,0.0,0.0,2.7187509606941348e11
CementPlant{Coal},1.2486430060708829e11,1.67899330858845e9,4.217849971585994e7,6.239301868258498e10,0.0,0.0,0.0,1.889784910979776e11
ThermalPower{Coal},6.150706362648347e11,1.7608952864694565e10,4.170972499828863e10,9.939624737308054e10,2.6142770651097856e9,0.0,0.0,7.763998385660082e11
ThermalPower{NaturalGas},5.067200489709471e10,1.0525077369259228e10,8.098576625886776e9,3.798443878642179e9,2.2934551257585826e9,0.0,0.0,7.538755789664148e10
ThermalPowerCCS{Coal},1.4308400280399464e10,2.626865904669741e10,1.9688611843524938e9,2.8968015219170384e9,1.5624377794824271e9,0.0,0.0,4.700515981284884e10
ThermalPowerCCS{NaturalGas},1.1464409502706364e10,2.0378736200914307e10,1.5274056068567786e9,1.4080297298651156e9,1.3476331513970158e9,0.0,0.0,3.612621419173958e10
ThermalPower{Uranium},1.2684337814058092e10,0.0,8.82221252283467e9,3.173438619812814e9,0.0,0.0,0.0,2.4679988956705574e10
BECCSElectricity,5.031163091653089e10,8.487658215071453e9,2.643530331507306e9,0.0,0.0,0.0,0.0,6.144281946310965e10
HydroRes,0.0,0.0,5.752220655908415e10,0.0,0.0,0.0,0.0,5.752220655908415e10
VRE{Generic},0.0,1.6734556352957812e12,1.0591560704070819e11,0.0,0.0,0.0,0.0,1.7793712423364895e12
Electrolyzer,0.0,4.313950417012785e9,5.0516850192524284e8,0.0,0.0,0.0,0.0,4.819118918938027e9
ThermalHydrogen{NaturalGas},1.457583400923603e10,3.730100897974474e9,3.4158400135524187e9,8.994966542748972e8,6.005342966195022e7,0.0,0.0,2.2681325004699768e10
ThermalHydrogenCCS{NaturalGas},7.116487806824615e9,1.5844741104950727e10,1.7316751697675169e9,1.1619500043750827e9,1.7864531478695568e7,0.0,0.0,2.5872718617396637e10
ThermalHydrogen{Coal},1.3900206602973757e10,1.0680327213101387e9,1.0590505145429134e10,2.7897462939814744e9,6.315786163285008e7,0.0,0.0,2.8411648625327354e10
ThermalHydrogenCCS{Coal},3.9030629824584737e9,2.1034229276618446e10,2.6804887659907703e9,9.95659787612721e8,1.152984354238235e7,0.0,0.0,2.862497065622279e10
OneWayTransmissionLink{Electricity},0.0,1.1057890740780124e11,6.019768664675204e9,0.0,0.0,0.0,0.0,1.1659867607247644e11
Battery,0.0,1.239411496323419e10,1.095707069668699e10,1.265826971485683e8,0.0,0.0,0.0,2.3477768357069748e10
GasStorage{Hydrogen},0.0,1.5272068431629543e10,1.1208467057176385e9,0.0,0.0,0.0,0.0,1.6392915137347181e10
TransmissionLink{Electricity},0.0,7.379986068469205e10,4.604707986388369e9,0.0,0.0,0.0,0.0,7.840456867108041e10
CO2Injection,0.0,1.453516904863908e10,1.4448564568683772e9,0.0,0.0,0.0,0.0,1.5980025505507458e10
OneWayTransmissionLink{CO2Captured},0.0,1.2784341756723223e7,919348.1657367798,0.0,0.0,0.0,0.0,1.3703689922460003e7
Node{Electricity},0.0,0.0,0.0,0.0,0.0,6.206586726006662e9,0.0,6.206586726006662e9
Node{Hydrogen},0.0,0.0,0.0,0.0,0.0,1.3683009592846875e9,0.0,1.3683009592846875e9
Node{CO2},0.0,0.0,0.0,0.0,0.0,0.0,1.913500863208018e6,1.913500863208018e6
Total,3.6709199567444443e12,2.1418606189810154e12,5.193490644852217e11,3.895542244399246e11,9.469640014705748e9,7.574887685291349e9,1.913500863208018e6,6.738730305851467e12
