type,Fuel,Investment,FixedOM,VariableOM,Startup,NonServedDemand,UnmetPolicyPenalty,Total
Steelmaking,4.4873431155319653e11,1.1990856158066025e8,8.615410135663203e10,0.0,0.0,0.0,0.0,5.3500832147140924e11
AluminaPlant{NaturalGas},6.949485790452106e10,2.299748783681772e9,1.3530456529692673e11,5.798767084154003e10,0.0,0.0,0.0,2.6508684282666962e11
OneWayTransmissionLink{Aluminum},0.0,0.0,0.0,2.9373155594606724e9,0.0,0.0,0.0,2.9373155594606724e9
AluminumRefining,2.0053359384884763e11,4.4150576263237375e8,4.295039268548788e9,1.1018616454942738e10,0.0,0.0,0.0,2.1628875533497156e11
OneWayTransmissionLink{AluminumScrap},1.9651380849699294e12,0.0,0.0,3.595027172229615e10,0.0,0.0,0.0,2.0010883566922256e12
AluminumSmelting,5.200169764586086e10,3.381988017678809e10,3.588143534471167e10,9.55290445642482e9,1.707561695565401e9,0.0,0.0,1.3296347931935085e11
ThermalAmmonia{Coal},3762.963170777207,6004.975403127508,1212.6644714962229,0.0,0.0,0.0,0.0,10980.603045400936
ThermalAmmoniaCCS{Coal},1.6781517411850834e10,2.9353152890813805e10,3.669477106958752e9,0.0,0.0,0.0,0.0,4.98041474096234e10
ThermalAmmonia{CokingOvenGas},27425.03900238481,0.0,254.763992748845,0.0,0.0,0.0,0.0,27679.802995133654
ThermalAmmonia{NaturalGas},5354.519344011561,5031.2105445213665,775.4170955964303,0.0,0.0,0.0,0.0,11161.146984129358
ThermalAmmoniaCCS{NaturalGas},5.650017954490599e10,4.056444143843798e10,5.07112961829426e9,0.0,0.0,0.0,0.0,1.0213575060163823e11
SyntheticAmmonia,0.0,3436.828747320178,429.5516353667148,0.0,0.0,0.0,0.0,3866.380382686893
OneWayTransmissionLink{Cement},0.0,0.0,0.0,1.7542278975092497e8,0.0,0.0,0.0,1.7542278975092497e8
OneWayTransmissionLink{CrudeSteel},0.0,0.0,0.0,5.12914075682539e10,0.0,0.0,0.0,5.12914075682539e10
OneWayTransmissionLink{DRI},0.0,0.0,0.0,3.5732988238835266e10,0.0,0.0,0.0,3.5732988238835266e10
DRIMaking,4.55060342680901,22.57404346694591,3.3863292745960196,0.0,0.0,0.0,0.0,30.51097616835094
ThermalMethanol{Coal},3.80753335073426e10,1.416810811334172e10,6.522786318259656e9,0.0,0.0,0.0,0.0,5.876622793894398e10
ThermalMethanolCCS{Coal},4.858144302233117e9,1.2212230766050213e10,1.6561989969257078e9,0.0,0.0,0.0,0.0,1.8726574065209038e10
ThermalMethanol{CokingOvenGas},7.610211496269548e8,0.0,7.562924429579979e8,0.0,0.0,0.0,0.0,1.5173135925849528e9
ThermalMethanol{NaturalGas},3.0625716116373625e9,0.0,6.426201912416291e8,0.0,0.0,0.0,0.0,3.7051918028789916e9
ThermalMethanolCCS{NaturalGas},3.9936149069242644e9,9.758848471332169e9,1.2554021608440945e9,0.0,0.0,0.0,0.0,1.5007865539100529e10
SyntheticMethanol,0.0,1.026588551544897e10,1.283235742064223e9,0.0,0.0,0.0,0.0,1.1549121257513193e10
OneWayTransmissionLink{SteelScrap},2.7453339936758264e11,0.0,0.0,3.512097000284202e10,0.0,0.0,0.0,3.096543693704247e11
