zone,Fuel,Investment,FixedOM,VariableOM,Startup,NonServedDemand,UnmetPolicyPenalty,Total
Region1Beijing,4.0170002401489494e10,9.133161378260891e9,9.25254259094603e9,9.628314867643689e8,3.199946053545122e8,0.0,0.0,5.983853246281529e10
Region2Tianjin,1.2103912596516064e10,7.278313551716015e9,3.657736292753168e9,1.2594378907489223e9,3.3055866097215617e8,0.0,0.0,2.4629958992706326e10
Region3Hebei,1.5247290403846478e11,2.3386909737342862e11,5.459661603322458e10,5.766245859042068e9,3.2722574309889114e8,0.0,0.0,4.47032089047259e11
Region4Shanxi,1.2545071576319182e11,7.063039424888208e8,7.450454242178394e10,3.208648033269411e10,3.211306643994016e8,0.0,0.0,2.330691731245581e11
Region5Innermongolia,1.0305411901489896e11,1.6903731726471762e11,5.400981620551832e10,2.3789450606060467e10,3.1803308868541497e8,0.0,0.0,3.502087361798808e11
Region6Liaoning,2.841267701117785e10,6.19922647036428e10,1.3309667462554827e10,1.7911820984659584e9,3.1062759688787895e8,0.0,0.0,1.0581641887272931e11
Region7Jilin,3.2714609861297718e10,2.722089717576099e10,1.2479215941412283e10,1.6541561953811789e9,3.030578488726387e8,0.0,0.0,7.437193702272481e10
Region8Heilongjiang,2.0797414813268177e10,5.976109840004463e10,1.1020070792910944e10,1.2037870145396433e9,3.068514056942602e8,0.0,0.0,9.308922242645766e10
Region9Shanghai,3.2117097889573895e10,1.4528104162170317e9,6.969851218791245e9,2.4441972749499745e9,3.4100142857671666e8,0.0,0.0,4.3324958228108864e10
Region10Jiangsu,1.5442898083565256e11,4.128676669483258e10,3.200564007849352e10,7.673465467430907e9,3.513830356579103e8,0.0,0.0,2.3574623611206747e11
Region11Zhejiang,8.153323151433531e10,2.532309190051961e11,3.590048876609137e10,6.342967992866223e9,3.351967958614244e8,0.0,0.0,3.7734280407435046e11
Region12Anhui,7.409491669002464e10,9.874822367775264e10,1.880602171950321e10,3.39954728933068e9,3.179863203503077e8,0.0,0.0,1.953666956969615e11
Region13Fujian,6.051360146798529e10,1.8432275059847342e11,2.7130496332029945e10,3.681960531616458e9,3.206669281669892e8,0.0,0.0,2.759694758582721e11
Region14Jiangxi,5.2062194187677025e10,8.46571043123496e10,1.3873987402854958e10,2.299461523752981e9,3.017913615149077e8,0.0,0.0,1.5319453878814944e11
Region15Shandong,4.9180983474039566e10,8.239661552819907e10,3.0724078554678177e10,3.9469607500531797e9,3.2220527272313267e8,0.0,0.0,1.6657084357969315e11
