zone,Fuel,Investment,FixedOM,VariableOM,Startup,NonServedDemand,UnmetPolicyPenalty,Total
Region1Beijing,6.326414047328198e10,2.086249617626671e10,1.4571922310538101e10,1.5163729845458336e9,5.039627197804108e8,0.0,0.0,1.0071889466441304e11
Region2Tianjin,1.90625735873475e10,1.6554367699635612e10,5.760605646127059e9,1.9835013909473736e9,5.206001571368349e8,0.0,0.0,4.3881648481194374e10
Region3Hebei,2.4013110885701617e11,5.3648959142693915e11,8.598475926313815e10,9.081318551686e9,5.1535111128384465e8,0.0,0.0,8.722021292100634e11
Region4Shanxi,1.9757359298096652e11,1.4490890065762875e9,1.1733795259854305e11,5.053332033123027e10,5.0575191058710986e8,0.0,0.0,3.6739970682790326e11
Region5Innermongolia,1.6230096768595508e11,3.876230712043327e11,8.50606023173988e10,3.746624483318941e10,5.008735074658542e8,0.0,0.0,6.729517595483419e11
Region6Liaoning,4.474741056003752e10,1.4200126364653867e11,2.096152904318763e10,2.82095068748058e9,4.8921052401192033e8,0.0,0.0,2.1102036446125632e11
Region7Jilin,5.152256783825859e10,6.170307014428746e10,1.9653642596861095e10,2.6051472156612105e9,4.7728885179001987e8,0.0,0.0,1.3596171664685838e11
Region8Heilongjiang,3.275405759445325e10,1.3663129164004636e11,1.735562023870774e10,1.895856266738108e9,4.8326336255199933e8,0.0,0.0,1.8912008910249744e11
Region9Shanghai,5.058154022925349e10,3.2573603176866093e9,1.0976888728469051e10,3.8493908514457655e9,5.370465767825617e8,0.0,0.0,6.920222670363747e10
Region10Jiangsu,2.4321175386263434e11,9.435483423816086e10,5.040600420248014e10,1.2085017879670988e10,5.533966741054014e8,0.0,0.0,4.006110068570517e11
Region11Zhejiang,1.2840750568569205e11,5.3619350201762933e11,5.654004054212525e10,9.98960403605404e9,5.2790480238519603e8,0.0,0.0,7.31658557083886e11
Region12Anhui,1.1669282891703355e11,2.2604804588610132e11,2.9617792598442223e10,5.353981189949001e9,5.0079985154489225e8,0.0,0.0,3.78213448443071e11
Region13Fujian,9.530347908749113e10,3.967533192054931e11,4.272809132308541e10,5.798756643355994e9,5.050215677343348e8,0.0,0.0,5.4108866782716e11
Region14Jiangxi,8.199327282874031e10,1.9404256031008865e11,2.1850282188338e10,3.621445062353829e9,4.7529424812267834e8,0.0,0.0,3.019828546376435e11
Region15Shandong,7.745562512090932e10,1.8866025765210367e11,4.838766007948349e10,6.216108150509738e9,5.0744432203550357e8,0.0,0.0,3.2122709532504175e11
Region16Henan,9.161531439743997e10,1.6723387406891651e10,1.6111635834402815e10,4.0461594753103967e9,5.0987413022205365e8,0.0,0.0,1.2900637124426689e11
Region17Hubei,8.872647991582753e10,5.618938777633105e9,2.4104243140050747e10,3.8071554749490247e9,4.895957262258028e8,0.0,0.0,1.227464130346862e11
Region18Hunan,8.299145644069748e10,4.333245371921986e10,1.5376342740546724e10,3.8929941554945908e9,4.747497709413397e8,0.0,0.0,1.460679968269e11
Region19Guangdong,1.9908641763006506e11,1.249540523923021e11,4.738600945675673e10,1.438621169261469e10,1.6416848610724542e9,0.0,0.0,3.8745437603281104e11
Region20Guangxi,1.0794531125525699e11,2.868346481418605e11,6.334769235408778e10,1.4094257537092081e10,4.808458414878417e8,0.0,0.0,4.7270275512978516e11
Region22Chongqing,4.90454301213933e10,1.0722532596060396e9,3.520287813441273e10,1.2550293021150373e10,5.233182555330741e8,0.0,0.0,9.839417279209554e10
Region23Sichuan,8.644982291065155e10,1.4803398702252338e11,4.620291638420942e10,4.53668589873994e9,5.258210819654416e8,0.0,0.0,2.857492332980897e11
Region24Guizhou,7.183852208587762e10,1.2846640854219559e11,7.002380137129219e10,1.912788898544511e10,5.0667440171860915e8,0.0,0.0,2.899632953865292e11
Region25Yunnan,8.391590454698561e10,2.4532028149853265e11,6.245373506132709e10,8.955386620429731e9,4.76231717271062e8,0.0,0.0,4.0112153944454614e11
Region27Shaanxi,7.89177479897749e10,3.451721065142771e11,4.224718493626939e10,7.00718912714082e9,5.0869907516058165e8,0.0,0.0,4.738529276426228e11
Region28Gansu,4.052060618487573e10,5.931377891723882e11,4.675619808712173e10,2.612841224220631e9,4.933993176888035e8,0.0,0.0,6.83520833986295e11
Region29Qinghai,1.5373138604834284e10,6.967521737649411e8,1.1578699063443577e10,1.6110878196265273e9,4.8906878327163076e8,0.0,0.0,2.9748746444940956e10
Region30Ningxia,4.836800893777953e10,1.0629255072655619e10,1.879213000080596e10,6.472656817874604e9,4.756837195807378e8,0.0,0.0,8.473773454869646e10
Region31Xinjiang,9.214455131721944e10,2.2714648538755548e11,6.446535604155415e10,1.8573922574269745e10,5.391591580217574e8,0.0,0.0,4.028694744786205e11
Region21Hainan,2.2844747256318016e10,3.1346908711949165e10,8.572575925429438e9,2.202671802779461e9,5.3167145659160507e8,0.0,0.0,6.549857515306768e10
Region26Tibet,7.72122732449337e9,7.788781088646871e9,4.533510945599154e9,9.176218669868577e8,4.00871507222323e8,0.0,0.0,2.1362012732948578e10
aluminum_Region1Beijing_aluminum_Region2Tianjin,0.0,0.0,0.0,282724.79450298403,0.0,0.0,0.0,282724.79450298403
aluminum_Region1Beijing_aluminum_Region3Hebei,0.0,0.0,0.0,148349.77935060163,0.0,0.0,0.0,148349.77935060163
aluminum_Region1Beijing_aluminum_Region4Shanxi,0.0,0.0,0.0,138342.92118263742,0.0,0.0,0.0,138342.92118263742
aluminum_Region1Beijing_aluminum_Region5Innermongolia,0.0,0.0,0.0,165888.68043513157,0.0,0.0,0.0,165888.68043513157
aluminum_Region1Beijing_aluminum_Region6Liaoning,0.0,0.0,0.0,617739.9706519669,0.0,0.0,0.0,617739.9706519669
aluminum_Region1Beijing_aluminum_Region7Jilin,0.0,0.0,0.0,300148.884295816,0.0,0.0,0.0,300148.884295816
aluminum_Region1Beijing_aluminum_Region8Heilongjiang,0.0,0.0,0.0,342569.94525691087,0.0,0.0,0.0,342569.94525691087
aluminum_Region1Beijing_aluminum_Region9Shanghai,0.0,0.0,0.0,625779.3900991163,0.0,0.0,0.0,625779.3900991163
aluminum_Region1Beijing_aluminum_Region10Jiangsu,0.0,0.0,0.0,710493.5456476278,0.0,0.0,0.0,710493.5456476278
aluminum_Region1Beijing_aluminum_Region11Zhejiang,0.0,0.0,0.0,538871.9938554659,0.0,0.0,0.0,538871.9938554659
aluminum_Region1Beijing_aluminum_Region12Anhui,0.0,0.0,0.0,557426.5573019009,0.0,0.0,0.0,557426.5573019009
aluminum_Region1Beijing_aluminum_Region13Fujian,0.0,0.0,0.0,526663.4778303251,0.0,0.0,0.0,526663.4778303251
aluminum_Region1Beijing_aluminum_Region14Jiangxi,0.0,0.0,0.0,455476.0005366646,0.0,0.0,0.0,455476.0005366646
aluminum_Region1Beijing_aluminum_Region15Shandong,0.0,0.0,0.0,298650.0859864025,0.0,0.0,0.0,298650.0859864025
aluminum_Region1Beijing_aluminum_Region16Henan,0.0,0.0,0.0,233644.57436309627,0.0,0.0,0.0,233644.57436309627
aluminum_Region1Beijing_aluminum_Region17Hubei,0.0,0.0,0.0,464085.05575115007,0.0,0.0,0.0,464085.05575115007
aluminum_Region1Beijing_aluminum_Region18Hunan,0.0,0.0,0.0,406743.7561014628,0.0,0.0,0.0,406743.7561014628
aluminum_Region1Beijing_aluminum_Region19Guangdong,0.0,0.0,0.0,391413.3655199825,0.0,0.0,0.0,391413.3655199825
aluminum_Region1Beijing_aluminum_Region20Guangxi,0.0,0.0,0.0,283528.24806124315,0.0,0.0,0.0,283528.24806124315
aluminum_Region1Beijing_aluminum_Region21Hainan,0.0,0.0,0.0,284867.9672132962,0.0,0.0,0.0,284867.9672132962
aluminum_Region1Beijing_aluminum_Region22Chongqing,0.0,0.0,0.0,263186.34847957536,0.0,0.0,0.0,263186.34847957536
aluminum_Region1Beijing_aluminum_Region23Sichuan,0.0,0.0,0.0,326784.52905634843,0.0,0.0,0.0,326784.52905634843
aluminum_Region1Beijing_aluminum_Region24Guizhou,0.0,0.0,0.0,238701.1684447966,0.0,0.0,0.0,238701.1684447966
