time,Region1Beijing_onshore_wind,Region2Tianjin_onshore_wind,Region3Hebei_onshore_wind,Region4Shanxi_onshore_wind,Region5Innermongolia_onshore_wind,Region6Liaoning_onshore_wind,Region7Jilin_onshore_wind,Region8Heilongjiang_onshore_wind,Region9Shanghai_onshore_wind,Region10Jiangsu_onshore_wind,Region11Zhejiang_onshore_wind,Region12Anhui_onshore_wind,Region13Fujian_onshore_wind,Region14Jiangxi_onshore_wind,Region15Shandong_onshore_wind,Region16Henan_onshore_wind,Region17Hubei_onshore_wind,Region18Hunan_onshore_wind,Region19Guangdong_onshore_wind,Region20Guangxi_onshore_wind,Region21Hainan_onshore_wind,Region22Chongqing_onshore_wind,Region23Sichuan_onshore_wind,Region24Guizhou_onshore_wind,Region25Yunnan_onshore_wind,Region26Tibet_onshore_wind,Region27Shaanxi_onshore_wind,Region28Gansu_onshore_wind,Region29Qinghai_onshore_wind,Region30Ningxia_onshore_wind,Region31Xinjiang_onshore_wind,Region1Beijing_offshore_wind,Region2Tianjin_offshore_wind,Region3Hebei_offshore_wind,Region4Shanxi_offshore_wind,Region5Innermongolia_offshore_wind,Region6Liaoning_offshore_wind,Region7Jilin_offshore_wind,Region8Heilongjiang_offshore_wind,Region9Shanghai_offshore_wind,Region10Jiangsu_offshore_wind,Region11Zhejiang_offshore_wind,Region12Anhui_offshore_wind,Region13Fujian_offshore_wind,Region14Jiangxi_offshore_wind,Region15Shandong_offshore_wind,Region16Henan_offshore_wind,Region17Hubei_offshore_wind,Region18Hunan_offshore_wind,Region19Guangdong_offshore_wind,Region20Guangxi_offshore_wind,Region21Hainan_offshore_wind,Region22Chongqing_offshore_wind,Region23Sichuan_offshore_wind,Region24Guizhou_offshore_wind,Region25Yunnan_offshore_wind,Region26Tibet_offshore_wind,Region27Shaanxi_offshore_wind,Region28Gansu_offshore_wind,Region29Qinghai_offshore_wind,Region30Ningxia_offshore_wind,Region31Xinjiang_offshore_wind,Region1Beijing_utility_scale_solar_pv,Region2Tianjin_utility_scale_solar_pv,Region3Hebei_utility_scale_solar_pv,Region4Shanxi_utility_scale_solar_pv,Region5Innermongolia_utility_scale_solar_pv,Region6Liaoning_utility_scale_solar_pv,Region7Jilin_utility_scale_solar_pv,Region8Heilongjiang_utility_scale_solar_pv,Region9Shanghai_utility_scale_solar_pv,Region10Jiangsu_utility_scale_solar_pv,Region11Zhejiang_utility_scale_solar_pv,Region12Anhui_utility_scale_solar_pv,Region13Fujian_utility_scale_solar_pv,Region14Jiangxi_utility_scale_solar_pv,Region15Shandong_utility_scale_solar_pv,Region16Henan_utility_scale_solar_pv,Region17Hubei_utility_scale_solar_pv,Region18Hunan_utility_scale_solar_pv,Region19Guangdong_utility_scale_solar_pv,Region20Guangxi_utility_scale_solar_pv,Region21Hainan_utility_scale_solar_pv,Region22Chongqing_utility_scale_solar_pv,Region23Sichuan_utility_scale_solar_pv,Region24Guizhou_utility_scale_solar_pv,Region25Yunnan_utility_scale_solar_pv,Region26Tibet_utility_scale_solar_pv,Region27Shaanxi_utility_scale_solar_pv,Region28Gansu_utility_scale_solar_pv,Region29Qinghai_utility_scale_solar_pv,Region30Ningxia_utility_scale_solar_pv,Region31Xinjiang_utility_scale_solar_pv,Region1Beijing_distributed_solar_pv,Region2Tianjin_distributed_solar_pv,Region3Hebei_distributed_solar_pv,Region4Shanxi_distributed_solar_pv,Region5Innermongolia_distributed_solar_pv,Region6Liaoning_distributed_solar_pv,Region7Jilin_distributed_solar_pv,Region8Heilongjiang_distributed_solar_pv,Region9Shanghai_distributed_solar_pv,Region10Jiangsu_distributed_solar_pv,Region11Zhejiang_distributed_solar_pv,Region12Anhui_distributed_solar_pv,Region13Fujian_distributed_solar_pv,Region14Jiangxi_distributed_solar_pv,Region15Shandong_distributed_solar_pv,Region16Henan_distributed_solar_pv,Region17Hubei_distributed_solar_pv,Region18Hunan_distributed_solar_pv,Region19Guangdong_distributed_solar_pv,Region20Guangxi_distributed_solar_pv,Region21Hainan_distributed_solar_pv,Region22Chongqing_distributed_solar_pv,Region23Sichuan_distributed_solar_pv,Region24Guizhou_distributed_solar_pv,Region25Yunnan_distributed_solar_pv,Region26Tibet_distributed_solar_pv,Region27Shaanxi_distributed_solar_pv,Region28Gansu_distributed_solar_pv,Region29Qinghai_distributed_solar_pv,Region30Ningxia_distributed_solar_pv,Region31Xinjiang_distributed_solar_pv
1,44.85247918258928,43.83679995750711,46.1829438623198,47.2115714564989,50.390848712169145,49.41615913087105,51.02227407051885,49.273803029365126,39.09133508643492,40.70091828250977,42.85065972014834,41.85782794827908,75.60511825911753,81.0413530635401,45.350640650624996,45.41749366715475,65.61045658423504,86.96228766076786,71.7380098461291,100.17049923476407,73.04945150092124,73.38546731820372,77.04900515010848,99.75812916320592,92.35600255198761,48.09999123383357,79.45049775074153,84.84140207104929,78.36903974682485,48.73109515792606,90.88610027691857,0.0,38.420026907758256,30.421640080061845,0.0,0.0,27.156271251078458,0.0,0.0,24.555009001473728,40.85740255065318,43.14349138451945,0.0,76.03362286135962,0.0,42.760965178531784,0.0,0.0,0.0,71.13384283914482,46.901900575984406,11.410078301531533,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,45.66270905104375,44.70698503641035,47.04635057630213,48.13516820290076,51.03057936335631,50.49719006512987,52.064374899796206,49.91803769510739,41.55672566647939,43.29053038526531,47.43683275386523,44.68280641947775,79.02686575806506,84.3421115402947,46.239490689529816,46.33472437017217,67.56996578016117,88.99289906445063,75.00435018181406,106.6836649329872,77.52540845442368,75.17573352513551,77.25781755280536,102.03291241671764,92.52173064704294,47.13585687329547,82.91811412900074,85.63187932111305,79.47849354949366,51.39108585344587,91.35253463475124,0.0,39.00242555251893,32.80938512095109,0.0,0.0,23.902755711275052,0.0,0.0,31.20867919035862,43.492854769242584,47.79621678152779,0.0,79.48046340398207,0.0,44.0750201278306,0.0,0.0,0.0,74.32276430537055,47.01894759043969,17.611393293819813,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,47.557823707393254,46.54049109832803,49.05300380313804,50.23808581979594,53.862962506229906,52.75514948588267,53.92817534108474,51.720767950648394,43.23271686149022,44.986145410467415,53.0391809063504,45.60132316857812,82.1458561821018,86.36905213829493,48.25824973549686,48.771801112543315,68.07643753926307,90.47608807573226,82.78080076652827,109.88987978478804,84.40814576673361,75.86424191186403,77.32801479854601,103.27051904187101,92.62827714618282,45.137957531255324,83.81266024650813,86.04652610006269,79.68898381248746,57.534193652827526,91.18621907325064,0.0,40.259695057934586,35.182450098252716,0.0,0.0,26.85404731084122,0.0,0.0,36.52269628002364,45.20658189142068,53.4794307012163,0.0,82.58940776109114,0.0,46.00618492049835,0.0,0.0,0.0,81.8912408350725,45.46132763723536,26.017815279694602,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,60.98809695309804,59.927104955251664,63.34767364709393,64.79229708495815,81.44873358418181,75.8882056640573,75.63824535682784,67.49550610423682,45.057961602498864,47.348500304687846,65.88875592206378,48.0275268754955,88.43268428927331,91.7453993558155,62.156377820784314,62.50332626722788,67.915044232004,95.26772266740835,85.54787585022439,111.69489799272014,86.32462925771378,76.96537650334179,77.37270729093382,104.41867820966877,92.72688589388167,0.0,84.97873691391078,87.03263826231478,80.10522996220182,71.02176757705791,92.19677169420493,0.0,49.197386298728496,42.32014933015732,0.0,0.0,34.93707890528666,0.0,0.0,39.64887414158483,47.49685812389259,66.45431437041793,0.0,88.81249391980361,0.0,58.695497818308404,0.0,0.0,0.0,84.66763592215898,47.76989211029531,31.53003115210868,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,66.82737903969738,66.22871697834576,69.6237171206775,71.00396339938442,99.346390537562,88.95043708687922,85.99423763066483,74.10224851572167,45.4484299985034,48.06065510497426,71.56502833705503,48.759067538853614,90.00509702791248,94.258420547078,68.10297102774143,67.54170047838981,67.24065183135741,98.53211165273024,86.67228257291981,113.72930621895705,87.05693771845446,80.10958483678898,77.66867166227343,104.30012193721439,92.98811988277578,0.0,88.33441504472717,89.5007053341601,80.75582354820598,76.7549408711119,92.97407746430508,0.0,52.941872685558224,46.332706727216625,0.0,0.0,43.25369633827471,0.0,0.0,40.27517664560559,48.12085594630133,72.17547379349298,0.0,90.38569424529896,0.0,64.55206108750899,0.0,0.0,0.0,86.07257414947789,59.36695215585973,32.34576149727292,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,69.04599011980395,68.70390245996916,72.04626742675657,73.4316718090593,102.5136579306718,93.34515881866423,88.93742996121645,76.43533228918997,44.7982520439072,47.7418544059951,78.28645404272905,38.59387168543476,88.64610172001974,94.62097619883991,70.26411781586717,69.38437093974103,66.23687322040261,99.50824990889373,86.80590519227849,121.26769401932336,87.19582038682461,81.21685715032179,78.37502936325791,105.6734915542279,92.90565195269096,8.112754002477786,89.90769141595933,89.6194947470974,80.69411314076547,80.85728132380865,90.65002197044691,0.0,54.333037370266155,48.811375113149644,0.0,0.0,45.48366466981501,0.0,0.0,39.881986464693874,47.74691262229602,78.97570552680122,0.0,89.03551745388683,0.0,66.59345533508798,0.0,0.0,0.0,86.44926745613546,74.6950894741118,31.548172053736252,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,66.97329139322328,66.51353548243665,70.0056287186186,71.48448415653519,102.1149601426714,101.94175510578418,93.92365913187817,74.12478721548155,42.53028513425783,45.088963550886874,74.88647410679228,45.603045014453336,81.7568120601635,86.47191350951289,68.25771235560296,68.6075370029684,61.77924597742479,95.76181775957338,86.17956176399844,156.96434968526773,85.95807078871687,80.10493816958686,77.88663382514471,104.24292620564302,92.4433805387821,41.61698869091624,90.75370135343519,90.92548462948002,80.26384185571177,75.88114542541646,88.08860335406621,0.0,51.912391143323546,45.90045547636956,0.0,0.0,47.48002563769439,0.0,0.0,36.72814599292512,45.07937084198943,75.54986803756947,0.0,82.01136282627175,0.0,63.720484506421094,0.0,0.0,0.0,85.87726090917691,88.82706837953417,26.593132295655227,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,69.89600462424939,69.26459572927169,73.41999481052142,74.87026473653557,2085.7482919610675,2457.9965302236533,564.0004263882297,77.8225163415236,41.831890913074375,44.22880156421627,71.46620125937098,45.346653617034605,81.05869552045775,83.50622218710413,71.98475143441385,71.50788189057789,59.07880592136433,102.21619061672271,83.74468907948796,4492.292023845266,84.69653018931922,80.02099484781589,77.62085951134878,100.43435289306046,92.25947072840057,48.80914369371248,112.2861535786086,116.41979383622925,80.67977756220613,76.46640944119554,89.20387710819,0.0,48.82943280196306,41.10768418334554,0.0,0.0,68.79738687359367,0.0,0.0,34.60984450542179,44.246940652122646,72.11907545475071,0.0,81.15662570330784,0.0,66.21656374368601,0.0,0.0,0.0,83.48740488303719,141.37286584538703,22.57593178532526,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,76.311205734795,75.42258756954911,80.18389071331455,81.84622345657999,6490.278493919903,18125.122095643277,1013.950318710421,84.71831742547309,42.56548543185246,45.51973906015405,70.85538950341075,47.95597341118274,81.65406952900867,83.33711756869633,78.57044810444336,76.58999064116934,58.722472739622695,93.01631748142825,83.16527650949013,15943.214973873224,84.55790007547392,80.34337981230699,77.54802585510845,95.56515023102463,92.1721410474916,50.95634229862844,126.20976033574038,6163.05296041429,81.67315665784614,76.48107913355773,89.6952791740091,0.0,46.350273994599995,37.967838238471316,0.0,0.0,71.50656449348222,0.0,0.0,34.129311685578315,45.56940877583848,71.53384503288862,0.0,81.68792108995859,0.0,71.22502384330343,0.0,0.0,0.0,82.94056423736507,142.4793870141305,20.711876353933754,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.53489347185729,68.69118589663603,20.016450952618722,5.286179787205552,473.8612135318543,164.18187508809612,100.12520852682567,49.52634916381421,44.956173900774,45.30303705155436,63.571165796440845,47.64834906903337,73.6568567091761,77.5161312803736,74.23353857262072,16.241977803347815,70.83879666423742,62.4095780044806,82.72392497972092,217.4777792528328,62.57988216961097,0.0,0.0,23.885184957471512,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.363346262474449,21.32915258745288,9.168005648284167,0.0,0.0,264.1499550934924,0.0,0.0,39.20273213697264,44.911171477540975,69.1960312596498,46.49064242117129,75.4940556511372,74.62702826961353,72.56074588684736,30.911095790559866,67.39388976180982,81.74140767490545,79.19340618930937,4.891516108129468,38.50234226145556,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,173.0028948444975,170.43184556441116,187.9777540744101,189.78288569830326,16433.774396459397,44903.09296298524,1410.5623883990645,92.30697185121173,49.79939002889061,56.49006053672068,71.62536236973338,64.56980320685979,81.25692396623663,82.03877640453783,183.398855138023,80.01362450814398,51.70039649974542,87.33845538868934,74.37508274709614,25166.229812859412,80.99200113155547,79.34651203471255,77.45754965306872,91.59719318172677,92.15611328335171,55.313596831075174,206.17816970728597,62229.56076747335,83.98635168846447,77.76991186074866,89.78567185590691,0.0,33.25537898267865,28.42605831730259,0.0,0.0,76.11776500738335,0.0,0.0,35.091278586545954,56.69052633574623,72.38160771819935,0.0,81.20261994234568,0.0,138.12081310752555,0.0,0.0,0.0,74.2882106159044,141.44379133794433,16.873981018834343,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,163.51610274627726,171.80968108166894,186.66286787301445,187.26719361813872,4980.5995918522585,1030.682036923586,347.9488025066727,83.07068653707583,54.37763258220629,56.86028491598094,69.7229865065343,64.63099961179175,77.75882550230229,79.67587912976582,178.97758423832767,74.6667123885788,77.40441368051565,79.290871609486,74.41750816081338,843.1544311763214,74.90701259697008,40.82282721440268,68.42068949766656,86.57235487523552,90.63393609400893,56.2203401540069,190.2963815992327,839.9664167739835,80.61773687248942,76.94424718905867,0.0,74.70084154963544,127.86802268605585,180.203241449318,0.0,0.0,1073.3161002274342,0.0,0.0,49.56271823121128,56.69240803504927,71.39674481375292,63.84230960540016,78.327116309864,78.43298663025689,178.58651482727427,78.87811517298715,75.99424505689667,84.1154824342627,73.38560419476269,227.30578923898318,62.50947120799324,52.050224938435,0.0,20.048969035670464,61.92438906291417,5.30304949884505,0.0,0.0,0.0,0.0,0.0
