time,subperiod_index,weight
1,9,15.0
2,9,15.0
3,9,15.0
4,9,15.0
5,9,15.0
6,9,15.0
7,9,15.0
8,9,15.0
9,9,15.0
10,9,15.0
11,9,15.0
12,9,15.0
13,9,15.0
14,9,15.0
15,9,15.0
16,9,15.0
17,9,15.0
18,9,15.0
19,9,15.0
20,9,15.0
21,9,15.0
22,9,15.0
23,9,15.0
24,9,15.0
25,26,22.0
26,26,22.0
27,26,22.0
28,26,22.0
29,26,22.0
30,26,22.0
31,26,22.0
32,26,22.0
33,26,22.0
34,26,22.0
35,26,22.0
36,26,22.0
37,26,22.0
38,26,22.0
39,26,22.0
40,26,22.0
41,26,22.0
42,26,22.0
43,26,22.0
44,26,22.0
45,26,22.0
46,26,22.0
47,26,22.0
48,26,22.0
49,40,13.0
50,40,13.0
51,40,13.0
52,40,13.0
53,40,13.0
54,40,13.0
55,40,13.0
56,40,13.0
57,40,13.0
58,40,13.0
59,40,13.0
60,40,13.0
61,40,13.0
62,40,13.0
63,40,13.0
64,40,13.0
65,40,13.0
66,40,13.0
67,40,13.0
68,40,13.0
69,40,13.0
70,40,13.0
71,40,13.0
72,40,13.0
73,68,54.0
74,68,54.0
75,68,54.0
76,68,54.0
77,68,54.0
78,68,54.0
79,68,54.0
80,68,54.0
81,68,54.0
82,68,54.0
83,68,54.0
84,68,54.0
85,68,54.0
86,68,54.0
87,68,54.0
88,68,54.0
89,68,54.0
90,68,54.0
91,68,54.0
92,68,54.0
93,68,54.0
94,68,54.0
95,68,54.0
96,68,54.0
97,131,38.0
98,131,38.0
99,131,38.0
100,131,38.0
101,131,38.0
102,131,38.0
103,131,38.0
104,131,38.0
105,131,38.0
106,131,38.0
107,131,38.0
108,131,38.0
109,131,38.0
110,131,38.0
111,131,38.0
112,131,38.0
113,131,38.0
114,131,38.0
115,131,38.0
116,131,38.0
117,131,38.0
118,131,38.0
119,131,38.0
120,131,38.0
121,164,43.0
122,164,43.0
123,164,43.0
124,164,43.0
125,164,43.0
126,164,43.0
127,164,43.0
128,164,43.0
129,164,43.0
130,164,43.0
131,164,43.0
132,164,43.0
133,164,43.0
134,164,43.0
135,164,43.0
136,164,43.0
137,164,43.0
138,164,43.0
139,164,43.0
140,164,43.0
141,164,43.0
142,164,43.0
143,164,43.0
144,164,43.0
145,206,12.0
146,206,12.0
147,206,12.0
148,206,12.0
149,206,12.0
150,206,12.0
151,206,12.0
152,206,12.0
153,206,12.0
154,206,12.0
155,206,12.0
156,206,12.0
157,206,12.0
158,206,12.0
159,206,12.0
160,206,12.0
161,206,12.0
162,206,12.0
163,206,12.0
164,206,12.0
165,206,12.0
166,206,12.0
167,206,12.0
168,206,12.0
169,215,36.0
170,215,36.0
171,215,36.0
172,215,36.0
173,215,36.0
174,215,36.0
175,215,36.0
176,215,36.0
177,215,36.0
178,215,36.0
179,215,36.0
180,215,36.0
181,215,36.0
182,215,36.0
183,215,36.0
184,215,36.0
185,215,36.0
186,215,36.0
187,215,36.0
188,215,36.0
189,215,36.0
190,215,36.0
191,215,36.0
192,215,36.0
193,253,9.0
194,253,9.0
195,253,9.0
196,253,9.0
197,253,9.0
198,253,9.0
199,253,9.0
200,253,9.0
201,253,9.0
202,253,9.0
203,253,9.0
204,253,9.0
205,253,9.0
206,253,9.0
207,253,9.0
208,253,9.0
209,253,9.0
210,253,9.0
211,253,9.0
212,253,9.0
213,253,9.0
214,253,9.0
215,253,9.0
216,253,9.0
217,263,51.0
218,263,51.0
219,263,51.0
220,263,51.0
221,263,51.0
222,263,51.0
223,263,51.0
224,263,51.0
225,263,51.0
226,263,51.0
227,263,51.0
228,263,51.0
229,263,51.0
230,263,51.0
231,263,51.0
232,263,51.0
233,263,51.0
234,263,51.0
235,263,51.0
236,263,51.0
237,263,51.0
238,263,51.0
239,263,51.0
240,263,51.0
241,327,63.0
242,327,63.0
243,327,63.0
244,327,63.0
245,327,63.0
246,327,63.0
247,327,63.0
248,327,63.0
249,327,63.0
250,327,63.0
251,327,63.0
252,327,63.0
253,327,63.0
254,327,63.0
255,327,63.0
256,327,63.0
257,327,63.0
258,327,63.0
259,327,63.0
260,327,63.0
261,327,63.0
262,327,63.0
263,327,63.0
264,327,63.0
265,364,9.0
266,364,9.0
267,364,9.0
268,364,9.0
269,364,9.0
270,364,9.0
271,364,9.0
272,364,9.0
273,364,9.0
274,364,9.0
275,364,9.0
276,364,9.0
277,364,9.0
278,364,9.0
279,364,9.0
280,364,9.0
281,364,9.0
282,364,9.0
283,364,9.0
284,364,9.0
285,364,9.0
286,364,9.0
287,364,9.0
288,364,9.0
