id,Investment,FixedOM,VariableOM,Startup,NonServedDemand,Supply,UnmetPolicyPenalty,Total
Region1Beijing_bfbofccs,58883.86028229742,8833.069241379664,0.0,0.0,0.0,0.0,0.0,67716.92952367708
Region2Tianjin_bfbofccs,6689.691563569403,1003.5094251836379,0.0,0.0,0.0,0.0,0.0,7693.200988753041
Region3Hebei_bfbofccs,14723.306628590251,2208.618563540409,0.0,0.0,0.0,0.0,0.0,16931.92519213066
Region4Shanxi_bfbofccs,6292.193320974087,943.8813796829129,0.0,0.0,0.0,0.0,0.0,7236.074700657
Region5Innermongolia_bfbofccs,1739.3503277494494,260.917028985041,0.0,0.0,0.0,0.0,0.0,2000.2673567344905
Region6Liaoning_bfbofccs,3218.5150690698783,482.8040540009393,0.0,0.0,0.0,0.0,0.0,3701.3191230708176
Region7Jilin_bfbofccs,2906.062210183229,435.93352404618815,0.0,0.0,0.0,0.0,0.0,3341.9957342294174
Region8Heilongjiang_bfbofccs,3625.4153395000008,543.8424819473136,0.0,0.0,0.0,0.0,0.0,4169.257821447314
Region9Shanghai_bfbofccs,5237.422477398387,785.6569723423232,0.0,0.0,0.0,0.0,0.0,6023.0794497407105
Region10Jiangsu_bfbofccs,3908.3743666428054,586.2886916088977,0.0,0.0,0.0,0.0,0.0,4494.663058251703
Region11Zhejiang_bfbofccs,5129.0070342065865,769.3937533217467,0.0,0.0,0.0,0.0,0.0,5898.400787528333
Region12Anhui_bfbofccs,7309.798220300488,1096.5305859853668,0.0,0.0,0.0,0.0,0.0,8406.328806285854
Region13Fujian_bfbofccs,5860.440058800676,879.1147960777306,0.0,0.0,0.0,0.0,0.0,6739.554854878406
Region14Jiangxi_bfbofccs,38276.66389646092,5741.8182317795745,0.0,0.0,0.0,0.0,0.0,44018.482128240496
Region15Shandong_bfbofccs,10333.439228410014,1550.1019085458177,0.0,0.0,0.0,0.0,0.0,11883.541136955831
