zone,Fuel,Investment,FixedOM,VariableOM,Startup,NonServedDemand,UnmetPolicyPenalty,Total
Region1Beijing,2.8470602555027702e10,3.4871407384036503e9,5.968313984090333e9,2.796896940452801e8,3469.3809425694726,0.0,0.0,3.820575044094791e10
Region2Tianjin,1.718857047517453e10,641463.3829998352,2.4789050840916524e9,1.1416451502451982e9,3355.5805695196022,0.0,0.0,2.080976552847495e10
Region3Hebei,1.484164936374838e11,1.0167630649951872e8,2.7710277225721188e10,8.574535422528346e9,3247.893685639909,0.0,0.0,1.8480298584012653e11
Region4Shanxi,1.5127422874676147e11,2.1576281747743595e10,7.197175948838744e10,3.731198034331165e10,2965.934145427181,0.0,0.0,2.821342532921383e11
Region5Innermongolia,1.2965794318651707e11,5.718807436751316e11,3.499054019177298e10,3.1644812848786865e10,564588.0928112854,0.0,0.0,7.681746044903013e11
Region6Liaoning,4.5455318122080345e10,462719.1435276994,1.0511589245941854e10,1.534823332728114e9,3262.8685423339944,0.0,0.0,5.750219668276238e10
Region7Jilin,1.305993739851846e10,1.3945910888020514e11,7.8091476942598e9,3.584808210489756e8,228938.92381522758,0.0,0.0,1.606869037329562e11
Region8Heilongjiang,1.5732956907857422e10,4.6052376757973045e10,4.48388322438609e9,9.349941179738669e8,2822.6912733824624,0.0,0.0,6.720421383088171e10
Region9Shanghai,3.3536219353712807e10,1.9536655306786686e10,4.849593181843221e9,2.973357052220493e9,3212.8896620337187,0.0,0.0,6.089582810745287e10
Region10Jiangsu,1.3342728008167737e11,5.8493843716333885e10,2.1934919337349323e10,8.347176671612996e9,3305.759030613329,0.0,0.0,2.2220322311273264e11
Region11Zhejiang,9.448053003127809e10,73757.16876377235,1.0968327157218163e10,9.680150832488789e9,3413.704339999971,0.0,0.0,1.1512908519185814e11
Region12Anhui,3.493142776370622e10,3.893732797585327e10,7.15129636197464e9,9.739639073975437e8,3147.81992780584,0.0,0.0,8.19940191567516e10
Region13Fujian,6.0348400268484184e10,69764.64821638247,9.052843942324337e9,5.022966409703991e9,3347.7092941103133,0.0,0.0,7.442428373287003e10
Region14Jiangxi,2.5225793849470207e10,1.3012300576838724e11,7.54207738629794e9,7.871090745050673e8,2657.667033544882,0.0,0.0,1.6367798873632748e11
Region15Shandong,9.006206765114934e10,5.198198505111497e11,6.662685802743483e10,1.786681591252724e10,3257.687812145308,0.0,0.0,6.94375595359949e11
Region16Henan,4.7857331779366646e10,93349.41700386467,2.3810988593888386e10,7.917940348495743e9,2.571484919717343e6,0.0,0.0,7.958892555608751e10
Region17Hubei,2.9321804145199017e10,87733.50010092967,1.058858425859715e10,7.523441003244401e8,3114.9664060987384,0.0,0.0,4.066282335258711e10
Region18Hunan,2.4436841827227684e10,6.111977225241623e8,5.30559467030332e9,7.288980708590436e8,3074.260428380481,0.0,0.0,3.108253536517464e10
Region19Guangdong,1.0850808028042769e11,1.7773757506653418e11,2.104568515555169e10,7.840549504088605e9,1.0910696470042173e7,0.0,0.0,3.151428007030722e11
Region20Guangxi,5.5658792372897804e10,85387.941192388,2.625471839689855e10,8.0384175378670025e9,1.1839079355779015e6,0.0,0.0,8.995319760354013e10
Region22Chongqing,2.141372266766301e10,5.2517702365624e9,1.68000314376596e10,5.92594206893077e9,10197.045158756564,0.0,0.0,4.939147660786094e10
Region23Sichuan,2.5256398371878452e10,4.4004778037029827e8,1.7507931679932667e10,8.504359433061727e8,2913.405754322169,0.0,0.0,4.405481668889334e10
