zone,Fuel,Investment,FixedOM,VariableOM,Startup,NonServedDemand,UnmetPolicyPenalty,Total
Region1Beijing,3.747372906447105e10,1.589141987341281e10,8.865562434973303e9,4.608458236960055e8,1.0011437670689492e7,0.0,0.0,6.270156863422386e10
Region2Tianjin,9.30698384875463e9,1.1424277198407663e10,2.479605557869757e9,8.905263668715521e8,4.103041851468016e6,0.0,0.0,2.410549601375507e10
Region3Hebei,1.60376396126318e11,2.3324205340448962e11,5.375056864073546e10,5.614436439903085e9,82435.64193635655,0.0,0.0,4.529835370470881e11
Region4Shanxi,1.3173890502258508e11,1.054691435883906e8,7.695263330578896e10,3.351100538568087e10,4.252846967271909e6,0.0,0.0,2.423122657046106e11
Region5Innermongolia,1.1343646742585796e11,1.6213702371065918e11,5.338136799557555e10,2.6729377378524242e10,639216.2264600284,0.0,0.0,3.556848757268434e11
Region6Liaoning,2.6766941842477554e10,4.959210165921817e10,1.1035043030078903e10,1.337651192883794e9,3375.761156602711,0.0,0.0,8.873174110041957e10
Region7Jilin,1.958484195326562e10,2.8562970784222565e10,1.1048786362775543e10,5.817856893245953e8,842733.7167305959,0.0,0.0,5.977922752330505e10
Region8Heilongjiang,1.4140062786918772e10,5.646012857619011e10,9.187449627817785e9,3.824161558719118e8,917416.109812631,0.0,0.0,8.01709745629084e10
Region9Shanghai,2.8853888085177807e10,1.363608784742147e9,6.206087908697642e9,2.0440249563463411e9,2.0199029309619013e7,0.0,0.0,3.848780876427355e10
Region10Jiangsu,1.3708200401422835e11,4.5841758109648415e10,3.0922220485106857e10,6.554222727959103e9,2.601161976578981e7,0.0,0.0,2.2042621695670853e11
Region11Zhejiang,7.39992038879936e10,2.5297722187811948e11,3.5384847671984055e10,5.962779473784485e9,2.31831489112555e7,0.0,0.0,3.683472360607929e11
Region12Anhui,5.5294665723971214e10,9.662436634132584e10,1.6540251116278131e10,1.806013719296765e9,7022.601067654819,0.0,0.0,1.7026530392347302e11
Region13Fujian,5.290189962819483e10,1.7738258940529755e11,2.550045591261787e10,3.135045692643655e9,2854.488745616044,0.0,0.0,2.589199934932426e11
Region14Jiangxi,3.7160461240969734e10,4.8867655376224655e10,1.2390834804944553e10,1.204972988580198e9,747590.3888668995,0.0,0.0,9.962467200110802e10
Region15Shandong,4.695005028113241e10,5.1579119490175095e10,2.7659506595456886e10,2.8401831358933625e9,1.5033336568594195e7,0.0,0.0,1.2904389283922632e11
Region16Henan,5.645092170956994e10,8.922951246521542e9,6.448796632510298e9,1.5123641784874256e9,2.400358993538855e7,0.0,0.0,7.33590373570246e10
Region17Hubei,4.478245124307394e10,2.2731476599053395e8,1.310452137420593e10,1.304605024834646e9,1.136103327249128e7,0.0,0.0,5.943025344137754e10
Region18Hunan,3.9149475521069824e10,2.687686781168673e10,8.800107372599813e9,1.353404447976985e9,7.440502876464361e6,0.0,0.0,7.618729565620982e10
Region19Guangdong,1.2330135225968509e11,4.409074338895073e10,2.8569142076245613e10,8.731146398689137e9,1.0126510448170295e9,0.0,0.0,2.0570503516838757e11
