type,Fuel,Investment,FixedOM,VariableOM,Startup,NonServedDemand,UnmetPolicyPenalty,Total
Steelmaking,7.21881321525784e11,3.6627615091782017e9,1.4643339648416602e11,0.0,0.0,0.0,0.0,8.719774795191283e11
AluminaPlant{NaturalGas},8.264003855639731e10,1286.5865958179813,1.61993711922453e11,6.942587653819405e10,0.0,0.0,0.0,3.140596283036309e11
OneWayTransmissionLink{Aluminum},0.0,0.0,0.0,3.551515343993514e9,0.0,0.0,0.0,3.551515343993514e9
AluminumRefining,7.534222011096494e11,6.290259934493168e9,1.6136837112696064e10,4.139790298139941e10,0.0,0.0,0.0,8.17247201138238e11
OneWayTransmissionLink{AluminumScrap},6.175357105514336e10,0.0,0.0,6.881671775395731e8,0.0,0.0,0.0,6.244173823268293e10
AluminumSmelting,6.225915592305179e10,148.032262649683,4.2959133570476524e10,1.1437237532531e10,0.0,0.0,0.0,1.1665552717409158e11
ThermalAmmonia{Coal},8.760097964146645e10,280.4320737601843,1.6021726034620989e10,0.0,0.0,0.0,0.0,1.036227059565195e11
ThermalAmmoniaCCS{Coal},98824.66000524501,361.2873113565439,34602.74459857869,0.0,0.0,0.0,0.0,133788.69191518024
ThermalAmmonia{CokingOvenGas},3493.1914481955605,0.0,15637.793836351191,0.0,0.0,0.0,0.0,19130.98528454675
ThermalAmmonia{NaturalGas},7.430157582988104e9,202.16221828724332,6.614653654006082e8,0.0,0.0,0.0,0.0,8.09162315055093e9
ThermalAmmoniaCCS{NaturalGas},69556.89895339259,427.71568768438704,25081.61133631409,0.0,0.0,0.0,0.0,95066.22597739106
SyntheticAmmonia,0.0,875.1200429072661,19555.321848621807,0.0,0.0,0.0,0.0,20430.441891529073
OneWayTransmissionLink{Cement},0.0,0.0,0.0,1776.3315826202133,0.0,0.0,0.0,1776.3315826202133
OneWayTransmissionLink{CrudeSteel},0.0,0.0,0.0,6.894973796170271e10,0.0,0.0,0.0,6.894973796170271e10
OneWayTransmissionLink{DRI},0.0,0.0,0.0,442148.5347598264,0.0,0.0,0.0,442148.5347598264
DRIMaking,4.452264728896924e9,3.25072108590424e9,9.752163257932495e8,0.0,0.0,0.0,0.0,8.678202140594414e9
ThermalMethanol{Coal},1.0798496529943619e11,3.097197574199441e6,1.5464963049937258e10,0.0,0.0,0.0,0.0,1.2345302554694765e11
ThermalMethanolCCS{Coal},286898.86866315367,689.0536161987912,54809.80103186999,0.0,0.0,0.0,0.0,342397.72331122245
ThermalMethanol{CokingOvenGas},11386.782520340406,0.0,49064.94583222735,0.0,0.0,0.0,0.0,60451.728352567756
ThermalMethanol{NaturalGas},1.0497697704391125e10,0.0,8.619314161169863e8,0.0,0.0,0.0,0.0,1.135962912050811e10
ThermalMethanolCCS{NaturalGas},1.3402084439362406e6,1358.6356037661044,146912.16155099004,0.0,0.0,0.0,0.0,1.488479241090997e6
SyntheticMethanol,0.0,6044.25725455485,19125.718425887193,0.0,0.0,0.0,0.0,25169.975680442043
OneWayTransmissionLink{SteelScrap},1.3783536145489316e9,0.0,0.0,5.86871650220459e7,0.0,0.0,0.0,1.4370407795709774e9
