type,Fuel,Investment,FixedOM,VariableOM,Startup,NonServedDemand,UnmetPolicyPenalty,Total
Steelmaking,2.679134275165851e11,1.4467979405913851e9,5.396174453210116e10,0.0,0.0,0.0,0.0,3.2332196998927765e11
AluminaPlant{NaturalGas},2.127911609195487e10,148.69282220872816,4.1888889391215866e10,1.7952381167663925e10,0.0,0.0,0.0,8.112038679952748e10
OneWayTransmissionLink{Aluminum},0.0,0.0,0.0,9.283250571823039e8,0.0,0.0,0.0,9.283250571823039e8
AluminumRefining,3.181298848384106e11,1.5380940147863016e8,6.813722936166932e9,1.748011949824082e10,0.0,0.0,0.0,3.42577536674297e11
OneWayTransmissionLink{AluminumScrap},2.5264998588718285e10,0.0,0.0,3.113723636643399e8,0.0,0.0,0.0,2.5576370952382626e10
AluminumSmelting,1.6099185981364618e10,68.29449093971373,1.1108520069418417e10,2.957480091391429e9,0.0,0.0,0.0,3.0165186210468956e10
ThermalAmmonia{Coal},3.473058683632006e10,420.8289372544602,6.35465555743703e9,0.0,0.0,0.0,0.0,4.108524281458602e10
ThermalAmmoniaCCS{Coal},28744.704998769863,440.28560141814745,14221.576207300004,0.0,0.0,0.0,0.0,43406.566807488016
ThermalAmmonia{CokingOvenGas},2206.3426243091435,0.0,5886.818107829747,0.0,0.0,0.0,0.0,8093.16073213889
ThermalAmmonia{NaturalGas},2.659917775022946e9,754.7156667488322,2.373695694196112e8,0.0,0.0,0.0,0.0,2.8972880991582236e9
ThermalAmmoniaCCS{NaturalGas},28611.075397719957,1299.3095537998731,10509.88906660419,0.0,0.0,0.0,0.0,40420.27401812402
SyntheticAmmonia,0.0,3428.3337850275625,9519.341561711564,0.0,0.0,0.0,0.0,12947.675346739126
OneWayTransmissionLink{Cement},0.0,0.0,0.0,1011.7661251277203,0.0,0.0,0.0,1011.7661251277203
OneWayTransmissionLink{CrudeSteel},0.0,0.0,0.0,1.9971849051088284e10,0.0,0.0,0.0,1.9971849051088284e10
OneWayTransmissionLink{DRI},0.0,0.0,0.0,267153.6334030434,0.0,0.0,0.0,267153.6334030434
DRIMaking,2.319642392698637e9,2.048225219930797e9,5.08090357316775e8,0.0,0.0,0.0,0.0,4.87595796994621e9
ThermalMethanol{Coal},4.4044792573235825e10,1199.7504232263354,6.310972710344144e9,0.0,0.0,0.0,0.0,5.035576648333039e10
ThermalMethanolCCS{Coal},85809.94883181342,874.0470865260181,22799.537813409916,0.0,0.0,0.0,0.0,109483.53373174935
ThermalMethanol{CokingOvenGas},7217.390259314018,0.0,18124.088566175233,0.0,0.0,0.0,0.0,25341.478825489252
ThermalMethanol{NaturalGas},4.2897345463731112e9,0.0,3.522363542463957e8,0.0,0.0,0.0,0.0,4.641970900619507e9
ThermalMethanolCCS{NaturalGas},529726.5631482743,3419.1439774613027,61633.569305381265,0.0,0.0,0.0,0.0,594779.2764311169
SyntheticMethanol,0.0,4.0864617625798374e7,1.8651232576025955e7,0.0,0.0,0.0,0.0,5.951585020182433e7
OneWayTransmissionLink{SteelScrap},5.642470640498618e8,0.0,0.0,2.4079532026552428e7,0.0,0.0,0.0,5.883265960764142e8
CementPlant{Coal},8.562945695904184e10,54.13200005708217,2.894600712149499e7,4.281870562689962e10,0.0,0.0,0.0,1.2847710864719495e11
ThermalPower{Coal},1.4257283440504337e11,98.34448341201063,3.079464977519574e10,2.739011993594853e10,25620.426992929315,0.0,0.0,2.007576298349591e11
ThermalPower{NaturalGas},1.1076058114508636e11,1.8726079276932378e9,7.204897684252702e9,8.289766259718934e9,1.3834270382063046e9,0.0,0.0,1.2951128005495753e11
ThermalPowerCCS{Coal},200227.1007767504,84958.43210237092,31743.297127186124,49231.82239930044,17329.894790147,0.0,0.0,383490.54719575495
ThermalPowerCCS{NaturalGas},120280.33722900148,20265.191870285253,18521.995322629577,14786.308543237103,11131.563233328943,0.0,0.0,184985.39619848237
ThermalPower{Uranium},1.181598813086411e10,0.0,7.337729024212774e9,2.956190036516976e9,0.0,0.0,0.0,2.210990719159386e10
BECCSElectricity,2.751635966294524e11,1.0760059610763155e11,1.922449983971353e10,0.0,0.0,0.0,0.0,4.019886925767975e11
HydroRes,0.0,0.0,5.3584230332527466e10,0.0,0.0,0.0,0.0,5.3584230332527466e10
VRE{Generic},0.0,3.3410231505184454e11,2.265688934282733e11,0.0,0.0,0.0,0.0,5.606712084801178e11
