Unit: tons/year,2025,2030,2035,2040,2045,2050,2055,2060
Region1Beijing,67359,58617,60484,62673,58706,55842,55246,50812
Region2Tianjin,129495,112689,116278,120486,112859,107354,106208,97685
Region3Hebei,2786101,2424518,2501741,2592267,2428177,2309726,2285085,2101700
Region4Shanxi,1319446,1148207,1184779,1227650,1149940,1093844,1082174,995327
Region5Innermongolia,848157,738082,761591,789149,739196,703137,695636,639809
Region6Liaoning,1279351,1113316,1148776,1190345,1114996,1060604,1049289,965081
Region7Jilin,524553,456476,471015,488059,457165,434864,430224,395698
Region8Heilongjiang,566126,492653,508345,526739,493397,469328,464321,427058
Region9Shanghai,93650,81496,84092,87135,81619,77638,76810,70645
Region10Jiangsu,3587363,3121792,3221224,3337784,3126503,2973986,2942259,2706134
Region11Zhejiang,3114295,2710119,2796439,2897628,2714209,2581805,2554261,2349274
Region12Anhui,3333426,2900811,2993205,3101514,2905189,2763468,2733987,2514577
Region13Fujian,2282600,1986362,2049630,2123796,1989360,1892315,1872127,1721884
Region14Jiangxi,2356435,2050615,2115929,2192494,2053710,1953526,1932685,1777582
Region15Shandong,3751724,3264822,3368810,3490710,3269749,3110244,3077063,2830120
Region16Henan,2764760,2405947,2482579,2572411,2409578,2292034,2267582,2085602
Region17Hubei,2308470,2008874,2072859,2147866,2011906,1913761,1893345,1741398
Region18Hunan,2594332,2257637,2329545,2413840,2261045,2150746,2127802,1957039
Region19Guangdong,4031495,3508284,3620027,3751018,3513579,3342180,3306524,3041166
Region20Guangxi,2849689,2479854,2558839,2651431,2483596,2362441,2337238,2149668
Region21Hainan,431973,375911,387884,401920,376478,358113,354293,325860
Region22Chongqing,1532366,1333494,1375967,1425757,1335507,1270358,1256805,1155943
Region23Sichuan,3410772,2968119,3062656,3173479,2972598,2827589,2797423,2572922
Region24Guizhou,2542729,2212731,2283209,2365827,2216071,2107966,2085478,1918112
Region25Yunnan,3085096,2684710,2770221,2870461,2688762,2557598,2530313,2327248
Region26Tibet,0,0,0,0,0,0,0,0
Region27Shaanxi,1599770,1392150,1436492,1488471,1394251,1326237,1312088,1206789
Region28Gansu,1108261,964430,995148,1031157,965885,918768,908966,836019
Region29Qinghai,287992,250616,258598,267956,250994,238750,236203,217247
Region30Ningxia,465117,404754,417646,432758,405365,385590,381477,350862
Region31Xinjiang,947099,824184,850435,881208,825428,785162,776785,714446
