Unit: tons/year,2025,2030,2035,2040,2045,2050,2055,2060
Region1Beijing,47300,48300,48200,47600,46800,45800,45000,44000
Region2Tianjin,322900,329400,328900,324500,319200,312800,307000,300200
Region3Hebei,2814500,2870700,2866800,2828200,2782200,2726000,2675200,2616100
Region4Shanxi,2031200,2071700,2068900,2041000,2007900,1967300,1930700,1888000
Region5Innermongolia,2132300,2174800,2171900,2142600,2107800,2065300,2026800,1982000
Region6Liaoning,1118900,1141200,1139700,1124300,1106100,1083700,1063500,1040000
Region7Jilin,1537700,1568400,1566300,1545200,1520100,1489400,1461600,1429300
Region8Heilongjiang,1664100,1697300,1695000,1672200,1645000,1611800,1581700,1546800
Region9Shanghai,58500,59700,59600,58800,57900,56700,55600,54400
Region10Jiangsu,4546500,4637300,4631000,4568600,4494400,4403600,4321600,4226100
Region11Zhejiang,1224100,1248600,1246900,1230100,1210100,1185700,1163600,1137800
Region12Anhui,3570000,3641300,3636300,3587400,3529100,3457800,3393400,3318400
Region13Fujian,706900,721000,720000,710300,698800,684700,671900,657100
Region14Jiangxi,531100,541700,541000,533700,525000,514400,504800,493700
Region15Shandong,6018600,6138800,6130400,6047900,5949700,5829500,5720800,5594400
Region16Henan,4496400,4586200,4580000,4518300,4444900,4355100,4273900,4179500
Region17Hubei,4336700,4423300,4417300,4357800,4287100,4200500,4122200,4031100
Region18Hunan,2435100,2483700,2480300,2446900,2407200,2358600,2314600,2263400
Region19Guangdong,1425000,1453500,1451500,1432000,1408700,1380300,1354500,1324600
Region20Guangxi,1997600,2037500,2034700,2007300,1974700,1934800,1898800,1856800
Region21Hainan,236000,240700,240400,237100,233300,228600,224300,219300
Region22Chongqing,732700,747300,746300,736200,724300,709600,696400,681000
Region23Sichuan,2794400,2850200,2846300,2808000,2762400,2706600,2656100,2597400
Region24Guizhou,1190300,1214000,1212400,1196100,1176600,1152900,1131400,1106400
Region25Yunnan,2505200,2555200,2551700,2517400,2476500,2426500,2381200,2328600
Region26Tibet,0,0,0,0,0,0,0,0
Region27Shaanxi,1904400,1942400,1939800,1913700,1882600,1844600,1810200,1770200
Region28Gansu,847600,864500,863300,851700,837900,821000,805700,787900
Region29Qinghai,399300,407300,406700,401300,394700,386800,379600,371200
Region30Ningxia,1036300,1057000,1055600,1041400,1024400,1003800,985000,963300
Region31Xinjiang,2939000,2997700,2993600,2953300,2905300,2846600,2793600,2731800
