Unit: tons/year,2025,2030,2035,2040,2045,2050,2055,2060
Region1Beijing,2789007,2594316,2381756,2165046,1952081,1740603,1528790,1320754
Region2Tianjin,5369913,5015068,4624642,4223106,3824911,3425893,3022659,2623159
Region3Hebei,116335123,110451679,103630538,96332302,88869195,81198530,73264705,65217874
Region4Shanxi,55105321,52382208,49240413,45875786,42420746,38849330,35132561,31340157
Region5Innermongolia,35357639,33441821,31245189,28906003,26517370,24063335,21528002,18964291
Region6Liaoning,53285105,50327874,46995950,43489244,39933825,36293954,32536551,28732469
Region7Jilin,21937661,20969179,19875080,18713425,17519149,16273715,14957957,13588143
Region8Heilongjiang,23651307,22537613,21279202,19945078,18577558,17157639,15666172,14124616
Region9Shanghai,3877075,3607594,3315390,3018554,2727181,2437638,2147026,1860684
Region10Jiangsu,149146125,140053659,129833420,119192146,108566172,97873272,87029452,76241150
Region11Zhejiang,129617285,122110822,113629801,104720377,95732310,86595473,77242281,67859020
Region12Anhui,139282544,132478575,124541739,115990700,107187253,98083941,88619156,78977809
Region13Fujian,95061887,89665436,83515286,77015263,70431339,63721231,56841676,49934290
Region14Jiangxi,98431245,93555989,87888560,81801387,75550986,69101637,62407891,55598755
Region15Shandong,156707331,149069894,140288510,130888967,121222488,111203267,100740602,90025018
Region16Henan,115621355,110176978,103743398,96744359,89487977,81947207,74080018,66047140
Region17Hubei,96441861,91791377,86439493,80703328,74795148,68661293,62245259,55663354
Region18Hunan,108409675,103153636,97028018,90424870,83617711,76566678,69222459,61728265
Region19Guangdong,167775740,158120119,147287735,135943523,124502413,112852783,100892342,88848662
Region20Guangxi,119247361,113888091,107562384,100650418,93429706,85857693,77882996,69665722
Region21Hainan,18040153,17152062,16131462,15040208,13919581,12759939,11551015,10314942
Region22Chongqing,63770170,59998666,55708323,51203285,46678498,42107286,37459281,32826854
Region23Sichuan,142671801,136090788,128327823,119868982,111067978,101881413,92252402,82376378
Region24Guizhou,106665189,102545835,97571456,92003300,86045246,79652631,72774577,65546985
Region25Yunnan,129189951,123549281,116795800,109343742,101510231,93266440,84569915,75605551
Region26Tibet,0,0,0,0,0,0,0,0
Region27Shaanxi,66822564,63524637,59701605,55598259,51382344,47026627,42498668,37885073
Region28Gansu,46423997,44445961,42077901,39459097,36696202,33775862,30680842,27475899
Region29Qinghai,12050577,11516356,10893341,10216560,9510344,8768066,7982639,7168246
Region30Ningxia,19422388,18453951,17336783,16141591,14916100,13651456,12337591,10999184
Region31Xinjiang,39677650,38050538,36145003,34061093,31867955,29540167,27050514,24439555
