Unit: tons/year,2025,2030,2035,2040,2045,2050,2055,2060
Region1Beijing,0,0,0,0,0,0,0,0
Region2Tianjin,465700,465700,465700,465700,465700,465700,465700,465700
Region3Hebei,2505700,2505700,2505700,2505700,2505700,2505700,2505700,2505700
Region4Shanxi,5765100,5765100,5765100,5765100,5765100,5765100,5765100,5765100
Region5Innermongolia,13014300,13014300,13014300,13014300,13014300,13014300,13014300,13014300
Region6Liaoning,279400,279400,279400,279400,279400,279400,279400,279400
Region7Jilin,176600,176600,176600,176600,176600,176600,176600,176600
Region8Heilongjiang,1156100,1156100,1156100,1156100,1156100,1156100,1156100,1156100
Region9Shanghai,931400,931400,931400,931400,931400,931400,931400,931400
Region10Jiangsu,2282300,2282300,2282300,2282300,2282300,2282300,2282300,2282300
Region11Zhejiang,242200,242200,242200,242200,242200,242200,242200,242200
Region12Anhui,3142800,3142800,3142800,3142800,3142800,3142800,3142800,3142800
Region13Fujian,302700,302700,302700,302700,302700,302700,302700,302700
Region14Jiangxi,0,0,0,0,0,0,0,0
Region15Shandong,7863600,7863600,7863600,7863600,7863600,7863600,7863600,7863600
Region16Henan,4538000,4538000,4538000,4538000,4538000,4538000,4538000,4538000
Region17Hubei,279400,279400,279400,279400,279400,279400,279400,279400
Region18Hunan,149000,149000,149000,149000,149000,149000,149000,149000
Region19Guangdong,0,0,0,0,0,0,0,0
Region20Guangxi,351900,351900,351900,351900,351900,351900,351900,351900
Region21Hainan,1304000,1304000,1304000,1304000,1304000,1304000,1304000,1304000
Region22Chongqing,1490300,1490300,1490300,1490300,1490300,1490300,1490300,1490300
Region23Sichuan,2624900,2624900,2624900,2624900,2624900,2624900,2624900,2624900
Region24Guizhou,1210800,1210800,1210800,1210800,1210800,1210800,1210800,1210800
Region25Yunnan,1656800,1656800,1656800,1656800,1656800,1656800,1656800,1656800
Region26Tibet,0,0,0,0,0,0,0,0
Region27Shaanxi,12011900,12011900,12011900,12011900,12011900,12011900,12011900,12011900
Region28Gansu,186300,186300,186300,186300,186300,186300,186300,186300
Region29Qinghai,1695200,1695200,1695200,1695200,1695200,1695200,1695200,1695200
Region30Ningxia,5766500,5766500,5766500,5766500,5766500,5766500,5766500,5766500
Region31Xinjiang,2958900,2958900,2958900,2958900,2958900,2958900,2958900,2958900
