Time_Index,Demand_MW_Region1Beijing,Demand_MW_Region2Tianjin,Demand_MW_Region3Hebei,Demand_MW_Region4Shanxi,Demand_MW_Region5Innermongolia,Demand_MW_Region6Liaoning,Demand_MW_Region7Jilin,Demand_MW_Region8Heilongjiang,Demand_MW_Region9Shanghai,Demand_MW_Region10Jiangsu,Demand_MW_Region11Zhejiang,Demand_MW_Region12Anhui,Demand_MW_Region13Fujian,Demand_MW_Region14Jiangxi,Demand_MW_Region15Shandong,Demand_MW_Region16Henan,Demand_MW_Region17Hubei,Demand_MW_Region18Hunan,Demand_MW_Region19Guangdong,Demand_MW_Region20Guangxi,Demand_MW_Region21Hainan,Demand_MW_Region22Chongqing,Demand_MW_Region23Sichuan,Demand_MW_Region24Guizhou,Demand_MW_Region25Yunnan,Demand_MW_Region26Tibet,Demand_MW_Region27Shaanxi,Demand_MW_Region28Gansu,Demand_MW_Region29Qinghai,Demand_MW_Region30Ningxia,Demand_MW_Region31Xinjiang,Demand_H2_Region1Beijing,Demand_H2_Region2Tianjin,Demand_H2_Region3Hebei,Demand_H2_Region4Shanxi,Demand_H2_Region5Innermongolia,Demand_H2_Region6Liaoning,Demand_H2_Region7Jilin,Demand_H2_Region8Heilongjiang,Demand_H2_Region9Shanghai,Demand_H2_Region10Jiangsu,Demand_H2_Region11Zhejiang,Demand_H2_Region12Anhui,Demand_H2_Region13Fujian,Demand_H2_Region14Jiangxi,Demand_H2_Region15Shandong,Demand_H2_Region16Henan,Demand_H2_Region17Hubei,Demand_H2_Region18Hunan,Demand_H2_Region19Guangdong,Demand_H2_Region20Guangxi,Demand_H2_Region21Hainan,Demand_H2_Region22Chongqing,Demand_H2_Region23Sichuan,Demand_H2_Region24Guizhou,Demand_H2_Region25Yunnan,Demand_H2_Region26Tibet,Demand_H2_Region27Shaanxi,Demand_H2_Region28Gansu,Demand_H2_Region29Qinghai,Demand_H2_Region30Ningxia,Demand_H2_Region31Xinjiang,Demand_Heat_Region1Beijing,Demand_Heat_Region2Tianjin,Demand_Heat_Region3Hebei,Demand_Heat_Region4Shanxi,Demand_Heat_Region5Innermongolia,Demand_Heat_Region6Liaoning,Demand_Heat_Region7Jilin,Demand_Heat_Region8Heilongjiang,Demand_Heat_Region9Shanghai,Demand_Heat_Region10Jiangsu,Demand_Heat_Region11Zhejiang,Demand_Heat_Region12Anhui,Demand_Heat_Region13Fujian,Demand_Heat_Region14Jiangxi,Demand_Heat_Region15Shandong,Demand_Heat_Region16Henan,Demand_Heat_Region17Hubei,Demand_Heat_Region18Hunan,Demand_Heat_Region19Guangdong,Demand_Heat_Region20Guangxi,Demand_Heat_Region21Hainan,Demand_Heat_Region22Chongqing,Demand_Heat_Region23Sichuan,Demand_Heat_Region24Guizhou,Demand_Heat_Region25Yunnan,Demand_Heat_Region26Tibet,Demand_Heat_Region27Shaanxi,Demand_Heat_Region28Gansu,Demand_Heat_Region29Qinghai,Demand_Heat_Region30Ningxia,Demand_Heat_Region31Xinjiang
1,53113.20164,33863.22177,117198.1498,86990.6948,111837.1541,70727.50075,31570.37761,34988.46644,63515.52931,193747.715,148225.1683,80561.04466,74263.01956,49153.12396,189281.0126,99294.11885,75942.94367,60979.85662,213987.7519,57634.89314,19500.11542,44868.82606,101881.6392,50889.44627,54207.75645,15445.66071,64115.97161,43243.97246,38689.10373,41830.85679,85063.57734,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,50607.41568,32744.47601,113418.9941,86259.71701,111864.1525,68679.51177,30755.7175,33680.99563,61749.49633,190013.0076,138229.2857,75648.93719,69967.71053,46715.06616,183589.0996,96068.37056,72075.76132,57077.53595,205686.3622,51054.91954,18325.71633,42025.72985,95042.60333,47740.15814,51883.2072,15275.00609,61679.94767,42604.37862,38190.52066,41525.87399,83620.93578,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,49208.37818,31446.47793,110308.4904,84534.90091,111112.2449,66986.90637,30174.2336,32562.68558,59022.93524,182855.0985,130958.0206,72763.52109,65968.90774,44479.15925,176850.3558,89671.6967,69925.87451,53187.50872,194173.4156,47414.47178,17250.94391,38738.80747,89281.24365,47408.80149,50566.27654,15149.27109,58673.54575,42253.30698,38813.55205,41051.83534,83133.63621,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,47072.30551,30725.3133,107940.3258,83366.4782,109964.1547,65978.53196,29064.08882,32029.51008,56724.76487,176106.2625,125945.845,69346.53776,61009.7126,43075.62303,169677.2707,83546.62858,68142.37609,50931.52503,187250.692,43681.72412,15779.76179,36753.15522,85974.63968,46095.57453,49397.28488,14918.13971,57232.46533,42267.20273,38776.81344,41172.49797,82165.17762,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,47660.56621,30938.26889,105411.7633,82757.57253,109667.0478,66177.14268,29587.25283,31774.90735,56195.78834,175279.2274,127423.2703,69315.8931,60350.11612,43303.61245,168350.5797,83126.71566,65341.53223,50739.84023,177775.4989,41820.85136,15419.82574,35446.3728,84164.08743,46106.33443,49583.90628,14921.59485,57464.88383,42205.7982,38192.06568,40827.70446,82701.88401,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,48029.41174,30779.8693,106314.43,83031.26755,110779.9128,66422.93554,30669.16466,33319.21712,56144.55389,177622.402,132315.8562,72842.56949,59660.13748,47585.03299,171249.7763,81437.19241,63981.56739,49521.4686,175791.3885,41013.68454,15189.50741,34164.64123,83744.78007,48206.57414,52093.02063,14901.36507,58741.37891,43081.57865,38486.58302,41554.52961,82280.68602,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,49892.83327,32059.83815,114964.82,84621.98468,113658.9376,68251.97569,32782.86795,39267.41631,58622.27587,190307.2418,140544.0682,83752.33989,63306.67291,53346.05176,178137.953,83922.362,63655.92376,53498.22025,180148.4738,43965.29056,15726.25411,34384.02199,89351.75149,55080.61847,58554.61096,15059.23468,61686.00894,43904.63341,39094.90989,41504.37935,81488.79087,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,50623.9226,32783.99336,118811.7562,89165.21932,115212.8029,67349.4367,33534.45105,39841.39705,60148.13856,203707.4094,158297.9631,81370.72079,63433.01365,56828.75426,176118.9615,84527.62775,65874.03554,59092.13827,181294.8454,47434.17439,15506.53594,33748.45142,90923.40402,59060.00488,60910.01863,14899.51437,63919.74769,43987.88098,39487.85641,41735.73556,80843.38897,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,49296.48442,32874.41997,117541.7007,86529.21388,111929.3698,66121.28729,33061.96426,37757.27161,60186.71769,202508.0203,170988.9351,77552.41939,63555.6837,58386.68321,179202.3857,80607.28527,65181.09749,65218.23858,189666.942,46631.72257,15374.90037,33995.95664,94441.72471,62427.67428,63834.52487,15540.00513,65841.08313,42785.70923,39561.33864,40566.37588,81940.21888,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,47966.22158,33095.32142,121298.6007,85286.91037,111240.3051,66543.86481,33633.01076,37259.603,63379.56264,201250.2597,173885.9396,76293.73933,67770.60072,59058.02459,181494.7771,86792.10674,67736.56278,68606.42718,216074.7827,55422.66718,16486.72733,37030.76799,101532.9518,63225.86408,64906.23731,15800.49654,67222.84736,43847.51889,38555.02711,40092.36882,83066.57873,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
