Type,id,location,integer_decisions,transforms--constraints--BalanceConstraint,transforms--timedata,transforms--efficiency_rate,edges--elec_edge--commodity,edges--elec_edge--start_vertex,edges--elec_edge--has_capacity,edges--h2_edge--commodity,edges--h2_edge--end_vertex,edges--h2_edge--has_capacity,edges--h2_edge--can_expand,edges--h2_edge--can_retire,edges--h2_edge--existing_capacity,edges--h2_edge--capacity_size,edges--h2_edge--integer_decisions,edges--h2_edge--investment_cost,edges--h2_edge--fixed_om_cost,edges--h2_edge--variable_om_cost,edges--h2_edge--wacc,edges--h2_edge--lifetime,edges--h2_edge--capital_recovery_period,edges--h2_edge--min_flow_fraction,edges--h2_edge--ramp_up_fraction,edges--h2_edge--ramp_down_fraction,edges--h2_edge--constraints--CapacityConstraint,edges--h2_edge--constraints--RampingLimitConstraint,edges--h2_edge--constraints--MinFlowConstraint
Electrolyzer,Region1Beijing_ALK_Electrolyzer,Region1Beijing,FALSE,TRUE,Electricity,0.7,Electricity,elec_Region1Beijing,FALSE,Hydrogen,h2_Region1Beijing,TRUE,TRUE,TRUE,0,1,FALSE,400000,10000,0,0.08,20,20,0.25,0.4,0.4,TRUE,TRUE,TRUE
Electrolyzer,Region2Tianjin_ALK_Electrolyzer,Region2Tianjin,FALSE,TRUE,Electricity,0.7,Electricity,elec_Region2Tianjin,FALSE,Hydrogen,h2_Region2Tianjin,TRUE,TRUE,TRUE,0,1,FALSE,400000,10000,0,0.08,20,20,0.25,0.4,0.4,TRUE,TRUE,TRUE
Electrolyzer,Region3Hebei_ALK_Electrolyzer,Region3Hebei,FALSE,TRUE,Electricity,0.7,Electricity,elec_Region3Hebei,FALSE,Hydrogen,h2_Region3Hebei,TRUE,TRUE,TRUE,114.75,1,FALSE,400000,10000,0,0.08,20,20,0.25,0.4,0.4,TRUE,TRUE,TRUE
Electrolyzer,Region4Shanxi_ALK_Electrolyzer,Region4Shanxi,FALSE,TRUE,Electricity,0.7,Electricity,elec_Region4Shanxi,FALSE,Hydrogen,h2_Region4Shanxi,TRUE,TRUE,TRUE,0,1,FALSE,400000,10000,0,0.08,20,20,0.25,0.4,0.4,TRUE,TRUE,TRUE
Electrolyzer,Region5Innermongolia_ALK_Electrolyzer,Region5Innermongolia,FALSE,TRUE,Electricity,0.7,Electricity,elec_Region5Innermongolia,FALSE,Hydrogen,h2_Region5Innermongolia,TRUE,TRUE,TRUE,2204,1,FALSE,400000,10000,0,0.08,20,20,0.25,0.4,0.4,TRUE,TRUE,TRUE
Electrolyzer,Region6Liaoning_ALK_Electrolyzer,Region6Liaoning,FALSE,TRUE,Electricity,0.7,Electricity,elec_Region6Liaoning,FALSE,Hydrogen,h2_Region6Liaoning,TRUE,TRUE,TRUE,60,1,FALSE,400000,10000,0,0.08,20,20,0.25,0.4,0.4,TRUE,TRUE,TRUE
Electrolyzer,Region7Jilin_ALK_Electrolyzer,Region7Jilin,FALSE,TRUE,Electricity,0.7,Electricity,elec_Region7Jilin,FALSE,Hydrogen,h2_Region7Jilin,TRUE,TRUE,TRUE,561,1,FALSE,400000,10000,0,0.08,20,20,0.25,0.4,0.4,TRUE,TRUE,TRUE
Electrolyzer,Region8Heilongjiang_ALK_Electrolyzer,Region8Heilongjiang,FALSE,TRUE,Electricity,0.7,Electricity,elec_Region8Heilongjiang,FALSE,Hydrogen,h2_Region8Heilongjiang,TRUE,TRUE,TRUE,0,1,FALSE,400000,10000,0,0.08,20,20,0.25,0.4,0.4,TRUE,TRUE,TRUE
Electrolyzer,Region9Shanghai_ALK_Electrolyzer,Region9Shanghai,FALSE,TRUE,Electricity,0.7,Electricity,elec_Region9Shanghai,FALSE,Hydrogen,h2_Region9Shanghai,TRUE,TRUE,TRUE,0,1,FALSE,400000,10000,0,0.08,20,20,0.25,0.4,0.4,TRUE,TRUE,TRUE
Electrolyzer,Region10Jiangsu_ALK_Electrolyzer,Region10Jiangsu,FALSE,TRUE,Electricity,0.7,Electricity,elec_Region10Jiangsu,FALSE,Hydrogen,h2_Region10Jiangsu,TRUE,TRUE,TRUE,40,1,FALSE,400000,10000,0,0.08,20,20,0.25,0.4,0.4,TRUE,TRUE,TRUE
Electrolyzer,Region11Zhejiang_ALK_Electrolyzer,Region11Zhejiang,FALSE,TRUE,Electricity,0.7,Electricity,elec_Region11Zhejiang,FALSE,Hydrogen,h2_Region11Zhejiang,TRUE,TRUE,TRUE,0,1,FALSE,400000,10000,0,0.08,20,20,0.25,0.4,0.4,TRUE,TRUE,TRUE
