Type,id,location,integer_decisions,transforms--timedata,edges--edge--commodity,edges--edge--end_vertex,edges--edge--has_capacity,edges--edge--can_expand,edges--edge--can_retire,edges--edge--existing_capacity,edges--edge--max_capacity,edges--edge--capacity_size,edges--edge--investment_cost,edges--edge--fixed_om_cost,edges--edge--variable_om_cost,edges--edge--wacc,edges--edge--lifetime,edges--edge--capital_recovery_period,edges--edge--constraints--MaxNewCapacityConstraint,edges--edge--constraints--MaxCapacityConstraint,edges--edge--constraints--CapacityConstraint,edges--edge--availability--timeseries--path,edges--edge--availability--timeseries--header,edges--edge--availability--timeseries--TDR_path,edges--edge--constraints--MinCapacityConstraint,edges--edge--min_capacity
VRE,Region1Beijing_offshore_wind,Region1Beijing,FALSE,Electricity,Electricity,elec_Region1Beijing,TRUE,TRUE,TRUE,0,0,200,1336451.7361109252,20046.776041387755,0,0.08,25,25,FALSE,TRUE,TRUE,system/vre_availability_5.csv,Region1Beijing_offshore_wind,system/vre_availability_5.csv,TRUE,0
VRE,Region2Tianjin_offshore_wind,Region2Tianjin,FALSE,Electricity,Electricity,elec_Region2Tianjin,TRUE,TRUE,TRUE,117,8000,200,1336451.7361109252,20046.776041387755,0,0.08,25,25,FALSE,TRUE,TRUE,system/vre_availability_5.csv,Region2Tianjin_offshore_wind,system/vre_availability_5.csv,TRUE,0
VRE,Region3Hebei_offshore_wind,Region3Hebei,FALSE,Electricity,Electricity,elec_Region3Hebei,TRUE,TRUE,TRUE,300,69000,200,1336451.7361109252,20046.776041387755,0,0.08,25,25,FALSE,TRUE,TRUE,system/vre_availability_5.csv,Region3Hebei_offshore_wind,system/vre_availability_5.csv,TRUE,0
VRE,Region4Shanxi_offshore_wind,Region4Shanxi,FALSE,Electricity,Electricity,elec_Region4Shanxi,TRUE,TRUE,TRUE,0,0,200,1336451.7361109252,20046.776041387755,0,0.08,25,25,FALSE,TRUE,TRUE,system/vre_availability_5.csv,Region4Shanxi_offshore_wind,system/vre_availability_5.csv,TRUE,0
VRE,Region5Innermongolia_offshore_wind,Region5Innermongolia,FALSE,Electricity,Electricity,elec_Region5Innermongolia,TRUE,TRUE,TRUE,0,0,200,1336451.7361109252,20046.776041387755,0,0.08,25,25,FALSE,TRUE,TRUE,system/vre_availability_5.csv,Region5Innermongolia_offshore_wind,system/vre_availability_5.csv,TRUE,0
VRE,Region6Liaoning_offshore_wind,Region6Liaoning,FALSE,Electricity,Electricity,elec_Region6Liaoning,TRUE,TRUE,TRUE,1053,144000,200,1336451.7361109252,20046.776041387755,0,0.08,25,25,FALSE,TRUE,TRUE,system/vre_availability_5.csv,Region6Liaoning_offshore_wind,system/vre_availability_5.csv,TRUE,0
VRE,Region7Jilin_offshore_wind,Region7Jilin,FALSE,Electricity,Electricity,elec_Region7Jilin,TRUE,TRUE,TRUE,0,0,200,1336451.7361109252,20046.776041387755,0,0.08,25,25,FALSE,TRUE,TRUE,system/vre_availability_5.csv,Region7Jilin_offshore_wind,system/vre_availability_5.csv,TRUE,0
VRE,Region8Heilongjiang_offshore_wind,Region8Heilongjiang,FALSE,Electricity,Electricity,elec_Region8Heilongjiang,TRUE,TRUE,TRUE,0,0,200,1336451.7361109252,20046.776041387755,0,0.08,25,25,FALSE,TRUE,TRUE,system/vre_availability_5.csv,Region8Heilongjiang_offshore_wind,system/vre_availability_5.csv,TRUE,0
VRE,Region9Shanghai_offshore_wind,Region9Shanghai,FALSE,Electricity,Electricity,elec_Region9Shanghai,TRUE,TRUE,TRUE,669,68000,200,1336451.7361109252,20046.776041387755,0,0.08,25,25,FALSE,TRUE,TRUE,system/vre_availability_5.csv,Region9Shanghai_offshore_wind,system/vre_availability_5.csv,TRUE,0
VRE,Region10Jiangsu_offshore_wind,Region10Jiangsu,FALSE,Electricity,Electricity,elec_Region10Jiangsu,TRUE,TRUE,TRUE,11805,382000,200,1336451.7361109252,20046.776041387755,0,0.08,25,25,FALSE,TRUE,TRUE,system/vre_availability_5.csv,Region10Jiangsu_offshore_wind,system/vre_availability_5.csv,TRUE,0
