zone,Investment,FixedOM,VariableOM,Startup,NonServedDemand,Supply,UnmetPolicyPenalty,Total
Region1Beijing,1.354396299587355e9,1.0220624191644292e9,9.100925545744419e7,3.725131320956851e6,0.0,0.0,0.0,2.471193105530185e9
Region2Tianjin,7.886431150300398e8,1.0783719628041613e9,4.2705208850069694e7,948391.8581097751,0.0,0.0,0.0,1.9106686785423806e9
Region12Anhui,1.5659695235516338e10,7.376034576656581e9,9.214222008232702e8,688814.050265112,0.0,0.0,0.0,2.3957840827046455e10
Region9Shanghai,2.2658716219668358e10,7.174957260121427e9,3.040816770359449e9,7.191241616523218e7,0.0,0.0,0.0,3.2946402666314465e10
Region22Chongqing,1.5883963355079498e10,3.600970156109355e9,3.792337203894631e8,688469.4595834699,0.0,0.0,0.0,1.98648557010379e10
Region13Fujian,1.1116463186591003e10,1.1356446212783468e10,1.771014531091064e9,841779.2325103601,0.0,0.0,0.0,2.4244765709698048e10
Region28Gansu,1.4077200642176023e10,1.5257360781513813e10,3.319550282196758e8,675047.7520291905,0.0,0.0,0.0,2.966719149966154e10
Region19Guangdong,4.181445874913116e10,1.4850202553406313e10,3.1928720534529877e9,2.252002025082276e7,0.0,0.0,0.0,5.988005337624128e10
Region20Guangxi,5.856347571549776e9,7.128463318347013e9,8.819250919635108e8,683473.8735216978,0.0,0.0,0.0,1.3867419455733822e10
Region24Guizhou,2.749268426618921e9,9.124082113187544e9,7.06772831579823e8,686111.2120359328,0.0,0.0,0.0,1.2580809482598324e10
Region21Hainan,3.06896380217757e9,2.3058886242014194e9,4.852939538937477e8,1.6437059970499339e7,0.0,0.0,0.0,5.876583440243236e9
Region3Hebei,3.67286939078716e10,1.5031406624218033e10,6.835004454942452e8,718803.2681794701,0.0,0.0,0.0,5.244431978085206e10
Region8Heilongjiang,8.67609119670912e9,5.94249142242874e9,1.4117401872272253e8,677565.3341542906,0.0,0.0,0.0,1.4760434203194736e10
Region16Henan,2.933416823023298e9,3.233790778376483e9,7.932527104368948e8,699117.6686473787,0.0,0.0,0.0,6.961159429505322e9
Region17Hubei,5.80044036440444e9,5.180646678588416e9,5.667575599843385e8,675369.2452660357,0.0,0.0,0.0,1.154851997222246e10
Region18Hunan,2.3321451926959558e9,6.063869669212622e9,7.23783828359763e8,623594.4121484838,0.0,0.0,0.0,9.120422284680489e9
Region5Innermongolia,1.1836472270309271e11,2.8673680590041435e10,2.8028911271536195e8,753035.1308162878,0.0,0.0,0.0,1.4731944544098035e11
Region10Jiangsu,1.4565936552905264e10,6.5950783779494e9,9.8690241121358e8,792783.532226569,0.0,0.0,0.0,2.214871012560047e10
Region14Jiangxi,1.5402742477574024e9,4.265993804615096e9,5.767502873203217e8,547194.9050649253,0.0,0.0,0.0,6.383565534597885e9
Region7Jilin,5.799233397145693e9,5.479480587839355e9,1.5284033256197542e8,633670.3047832851,0.0,0.0,0.0,1.1432187987851807e10
