time,Region1Beijing_onshore_wind,Region2Tianjin_onshore_wind,Region3Hebei_onshore_wind,Region4Shanxi_onshore_wind,Region5Innermongolia_onshore_wind,Region6Liaoning_onshore_wind,Region7Jilin_onshore_wind,Region8Heilongjiang_onshore_wind,Region9Shanghai_onshore_wind,Region10Jiangsu_onshore_wind,Region11Zhejiang_onshore_wind,Region12Anhui_onshore_wind,Region13Fujian_onshore_wind,Region14Jiangxi_onshore_wind,Region15Shandong_onshore_wind,Region16Henan_onshore_wind,Region17Hubei_onshore_wind,Region18Hunan_onshore_wind,Region19Guangdong_onshore_wind,Region20Guangxi_onshore_wind,Region21Hainan_onshore_wind,Region22Chongqing_onshore_wind,Region23Sichuan_onshore_wind,Region24Guizhou_onshore_wind,Region25Yunnan_onshore_wind,Region26Tibet_onshore_wind,Region27Shaanxi_onshore_wind,Region28Gansu_onshore_wind,Region29Qinghai_onshore_wind,Region30Ningxia_onshore_wind,Region31Xinjiang_onshore_wind,Region1Beijing_offshore_wind,Region2Tianjin_offshore_wind,Region3Hebei_offshore_wind,Region4Shanxi_offshore_wind,Region5Innermongolia_offshore_wind,Region6Liaoning_offshore_wind,Region7Jilin_offshore_wind,Region8Heilongjiang_offshore_wind,Region9Shanghai_offshore_wind,Region10Jiangsu_offshore_wind,Region11Zhejiang_offshore_wind,Region12Anhui_offshore_wind,Region13Fujian_offshore_wind,Region14Jiangxi_offshore_wind,Region15Shandong_offshore_wind,Region16Henan_offshore_wind,Region17Hubei_offshore_wind,Region18Hunan_offshore_wind,Region19Guangdong_offshore_wind,Region20Guangxi_offshore_wind,Region21Hainan_offshore_wind,Region22Chongqing_offshore_wind,Region23Sichuan_offshore_wind,Region24Guizhou_offshore_wind,Region25Yunnan_offshore_wind,Region26Tibet_offshore_wind,Region27Shaanxi_offshore_wind,Region28Gansu_offshore_wind,Region29Qinghai_offshore_wind,Region30Ningxia_offshore_wind,Region31Xinjiang_offshore_wind,Region1Beijing_utility_scale_solar_pv,Region2Tianjin_utility_scale_solar_pv,Region3Hebei_utility_scale_solar_pv,Region4Shanxi_utility_scale_solar_pv,Region5Innermongolia_utility_scale_solar_pv,Region6Liaoning_utility_scale_solar_pv,Region7Jilin_utility_scale_solar_pv,Region8Heilongjiang_utility_scale_solar_pv,Region9Shanghai_utility_scale_solar_pv,Region10Jiangsu_utility_scale_solar_pv,Region11Zhejiang_utility_scale_solar_pv,Region12Anhui_utility_scale_solar_pv,Region13Fujian_utility_scale_solar_pv,Region14Jiangxi_utility_scale_solar_pv,Region15Shandong_utility_scale_solar_pv,Region16Henan_utility_scale_solar_pv,Region17Hubei_utility_scale_solar_pv,Region18Hunan_utility_scale_solar_pv,Region19Guangdong_utility_scale_solar_pv,Region20Guangxi_utility_scale_solar_pv,Region21Hainan_utility_scale_solar_pv,Region22Chongqing_utility_scale_solar_pv,Region23Sichuan_utility_scale_solar_pv,Region24Guizhou_utility_scale_solar_pv,Region25Yunnan_utility_scale_solar_pv,Region26Tibet_utility_scale_solar_pv,Region27Shaanxi_utility_scale_solar_pv,Region28Gansu_utility_scale_solar_pv,Region29Qinghai_utility_scale_solar_pv,Region30Ningxia_utility_scale_solar_pv,Region31Xinjiang_utility_scale_solar_pv,Region1Beijing_distributed_solar_pv,Region2Tianjin_distributed_solar_pv,Region3Hebei_distributed_solar_pv,Region4Shanxi_distributed_solar_pv,Region5Innermongolia_distributed_solar_pv,Region6Liaoning_distributed_solar_pv,Region7Jilin_distributed_solar_pv,Region8Heilongjiang_distributed_solar_pv,Region9Shanghai_distributed_solar_pv,Region10Jiangsu_distributed_solar_pv,Region11Zhejiang_distributed_solar_pv,Region12Anhui_distributed_solar_pv,Region13Fujian_distributed_solar_pv,Region14Jiangxi_distributed_solar_pv,Region15Shandong_distributed_solar_pv,Region16Henan_distributed_solar_pv,Region17Hubei_distributed_solar_pv,Region18Hunan_distributed_solar_pv,Region19Guangdong_distributed_solar_pv,Region20Guangxi_distributed_solar_pv,Region21Hainan_distributed_solar_pv,Region22Chongqing_distributed_solar_pv,Region23Sichuan_distributed_solar_pv,Region24Guizhou_distributed_solar_pv,Region25Yunnan_distributed_solar_pv,Region26Tibet_distributed_solar_pv,Region27Shaanxi_distributed_solar_pv,Region28Gansu_distributed_solar_pv,Region29Qinghai_distributed_solar_pv,Region30Ningxia_distributed_solar_pv,Region31Xinjiang_distributed_solar_pv
1,1.5164323927092482,1.2292802041529285,1.0861047139624134,1.4820028304093285,74.99224816903006,1.6867873407682055,1.5567851542473363,1.4749037361216324,0.1410549508470922,0.18635021939826402,0.31532889114714635,0.306415967466819,18.42913644978762,15.553685165941715,1.115513509255834,1.1929049417954047,1.1926341264415896,13.145658483626903,1.09425531233137,1.1580334415339166,1.1148900231310108,1.251462498203182,1.138016370809055,0.7085527482850011,0.855242750934849,0.8421394251981837,1.1229424973134883,17.321417507220758,16.102978387057192,0.4839380863631959,31.757118838315364,0.0,1.4364861294207287,1.6410329678178215,0.0,0.0,2.507854178689655,0.0,0.0,0.23850435340688136,0.18646763942888356,0.2551865628993255,0.0,17.126730935269734,0.0,1.584626215235744,0.0,0.0,0.0,1.1151805750951098,1.6419915649911694,0.3358222243547442,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,1.5147038479335606,1.2342652917927808,1.0876600242045242,1.5031691610056441,75.6760385959642,46.15696482850035,43.09241890551493,1.4601460831836448,0.13841841528790155,0.17671162638544047,0.3053035516040836,0.2981125694604998,18.21388073419621,15.61876622964337,1.132940995710669,1.279915911686203,1.2042900732078579,17.36257921154902,1.102557242527837,1.1660883232398191,1.076379955651646,1.2299471218175313,1.1388335261508473,0.7022973403363721,0.8582831669700681,0.8454472646128579,1.1324218107474735,17.015871126932325,15.898084764167834,1.4186374709752272,31.741548111196607,0.0,1.436459513998841,1.5805078993856796,0.0,0.0,28.14446015289095,0.0,0.0,0.21260069624480593,0.1790144916576537,0.23981783996714512,0.0,16.94872080659843,0.0,1.451577707927072,0.0,0.0,0.0,1.1266111808590722,1.68022299818087,0.43417364916481027,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,1.5138036354619544,1.2420447327135662,1.0812775491795037,1.5361242529324954,77.59650856757071,53.05793821549014,50.068452076353424,1.4711883650888922,0.13413477715982935,0.16829655832862045,0.41326166579347046,0.2721426056514247,18.096575665307682,58.11570040904917,1.1360674255120102,1.2703822322919223,1.2117055240030368,51.351038824854186,1.0997736291465117,1.169263883108215,1.0404800492688082,1.3125615067438048,1.1423782409183332,0.701092940667877,0.8640036902070278,0.8967089721747925,1.1541790120245423,16.91644254847779,15.668059304126928,1.3795363149620243,31.608524469920667,0.0,1.4365639965767798,1.5404409779449253,0.0,0.0,31.906960093234623,0.0,0.0,0.18241830711295393,0.17103518186922884,0.3198111064702971,0.0,16.85080788708001,0.0,1.4371748568408975,0.0,0.0,0.0,1.1283215220391867,1.6678393663644187,0.5292740829927669,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,1.5119776013598312,1.3219370904462266,1.0659533034122433,1.5641704128647689,81.67103202966973,53.81142942330189,53.16975965160236,1.4749624248306645,0.1358757030873221,0.1803229268607538,1.358946306110738,0.27247632955732115,76.48270684102681,63.526625781931216,1.138999416056322,1.258060527833095,1.2376772985260232,54.07676774155698,1.1059931895579211,1.1858331378534785,1.0161331665585749,1.2978313314015395,1.1440647075869492,0.7010640884400345,0.8651503937217058,0.0,1.170979908274603,16.81629697669996,15.499432888431329,1.394418747870077,31.318510610086378,0.0,1.4342274018441685,1.523549769874009,0.0,0.0,34.999696938552965,0.0,0.0,0.17406604499450395,0.17975471122917952,1.0373872180643957,0.0,71.59160198089376,0.0,1.3945559972446517,0.0,0.0,0.0,1.1264961991619202,1.6914764806777924,0.5819694335651122,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,1.523378073477943,1.3866765705524813,1.056739584193565,20.00039779902727,82.01342364470474,55.21718634419085,55.27395709469056,1.4817904151495895,0.13830150998683166,0.18581527714741242,1.549940813183639,0.27469921706824607,51.56883643830224,62.99972962010361,1.1385544809891144,1.239330010645972,1.2991200422140992,56.09785398856911,1.096903918456519,1.246975380985532,1.014378940784809,1.293678018191713,1.150943748994905,0.7031821720447624,0.8666122571012238,0.0,15.135694014345063,16.837669117958285,15.46740044678836,1.3673028672928922,31.35814648043015,0.0,1.4418172390144974,1.512029834276916,0.0,0.0,36.98760310179736,0.0,0.0,0.19556840287390287,0.18335848235074081,1.2160751137125771,0.0,48.59355150130432,0.0,1.3171939092035245,0.0,0.0,0.0,1.1934336723224988,1.8097713297217979,0.6195535185893823,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,1.545170679113653,1.4071801665631938,1.165025109265116,22.321169135335367,81.06812362436904,56.03346723982395,56.077104424221034,1.4715412548084714,0.13673068327261717,0.18426706311220187,20.446509804058223,0.22905993698853422,20.863303981434,50.62958905490814,1.137780873454176,1.3321892864018992,1.380369522362912,55.545984316966496,1.0838332246639766,1.3695152223663172,1.0146598471183097,1.2951274841179838,1.1533833128487458,0.7031681470834883,0.8718740811018506,0.7469985700364319,16.71716598959756,16.887715116899926,15.518306608370949,17.923996541612723,30.61960969833308,0.0,1.4551414065738442,1.5061647302110828,0.0,0.0,37.177572822677874,0.0,0.0,0.17853049365049856,0.18162610246872646,15.808280868135625,0.0,19.771309058371116,0.0,1.3075813613581886,0.0,0.0,0.0,1.1740934343324625,1.9004006446983794,0.5784330588859206,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,1.522800429509516,1.3856176283898094,1.1409868841146817,22.874595301851514,85.4502450231812,58.964387359752436,58.75710213916318,1.341646534143365,0.13453174020230563,0.17719937586662127,1.7273321870361542,0.2792080098711267,18.16956419836424,13.924411401763791,1.1337445310782641,1.2883470872066027,1.5451626524109088,13.046631555480417,1.0928298222424928,1.6143641641247086,1.0243504667560046,1.305192798630742,1.1520696137813502,0.7012272443098482,0.876121264329413,0.8431358905179422,16.676378093485255,17.143835409602616,15.339662178251729,1.5302630238184065,27.04384788434254,0.0,1.4375873454472412,1.5238757406615093,0.0,0.0,38.23608683857883,0.0,0.0,0.18614076092922005,0.17358064655854832,1.3346597963391105,0.0,17.413590788411966,0.0,1.4619357660741343,0.0,0.0,0.0,1.178027436559205,1.9564703877475083,0.5311562387104529,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,1.5198259129174403,1.3635362676477598,1.1348902419558726,84.83058258709207,111.54459265759215,84.46884245182446,62.119268353810185,1.3377912227915658,0.12723350747160111,0.1688457208692853,1.5606364603154361,0.30073274080950796,19.41580282821451,13.986591433684225,1.1358681252459064,1.357416827092493,1.6258082429866931,13.480074144878017,1.126215343028889,3002.455766276311,1.0317268144644913,1.2558479569306655,1.1527166533123818,0.6997251456050435,0.8793902334437007,0.8622499680851661,60.87495887336263,4946.499544837978,15.232313199944201,1.4064463617105503,26.982078504515812,0.0,1.4256235946098883,1.624768488960683,0.0,0.0,40.857954807881015,0.0,0.0,0.18743095645365315,0.16389178541794536,1.2059178095805692,0.0,17.55114089516428,0.0,1.5938160928106981,0.0,0.0,0.0,1.179170606417756,24.337774353908223,0.4886048727418226,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,118.18143742964094,102.48591412431233,88.5728182324965,258.170867093635,819.9589123667101,3926.376532343187,470.37428503995034,86.9755013039503,0.12782169635795526,0.17253133218400762,1.5529186316944106,0.29321189216898347,19.540886633869377,12.897948342542804,87.95671857291018,1.4378466471171123,1.5272489142275845,11.552290068444563,1.1536146558719338,15438.74964937086,1.0415744397578237,1.2862580559740309,1.1556018345800112,0.7002984363643918,0.8809459600015543,0.8420525384115081,182.72087257908424,40260.65951118793,15.31931647659394,1.4147309652034892,27.417710643290775,0.0,23.906544443574,28.191502654662294,0.0,0.0,60.63602785523685,0.0,0.0,0.19407316483699333,0.16746606715969392,1.2022926364152227,0.0,17.82514670965611,0.0,105.66783880877392,0.0,0.0,0.0,1.1794401861807273,24.2677836879999,0.4672506949576434,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.002822130576807,82.19336507181504,52.1051365012373,12.230950076762447,426.9764052907949,498.89118679784974,85.86029055209349,53.553685507334265,0.14730635042792528,0.17639309403239167,1.388088023821524,0.2885260228340485,16.06936270260485,16.838452164776527,94.00951488084229,1.7000280213246626,1.3625436094425822,18.850817835624724,1.1957953134588024,1434.5585596384296,1.0976486073852811,0.0,0.0,0.9690292429927254,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.2859476635874962,21.927199080641874,9.437159076991515,0.0,0.0,251.74260945641169,0.0,0.0,0.15720434729627186,0.17956795274994874,2.2195934361893705,0.36222107460025654,17.484896306005112,23.672503282328535,96.8223866808454,2.077165007720353,1.6349025006836655,18.443492864672407,1.2141059362411397,4.8673085448797,1.1556001135704577,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,1955.896819819569,826.5841618663762,2077.577711767837,4331.591340556828,6350.273527905287,51260.265834813195,2398.486779888961,135.79128357994523,0.5849164289703594,0.8217931351382504,1.43938460802201,1.345495648925862,19.524129857447406,13.339851438533515,1795.244786435098,2.1314787832270667,1.6016663741910975,11.91564026085689,1.0901954533401295,26913.609756022313,1.0457169756155054,1.2601249635972636,1.156282538366213,0.7043578222364886,0.8852257096223184,0.8411495272682714,3194.379288395561,133417.73681377782,15.5009724426086,1.4414894565597933,27.62383692173171,0.0,11.889686642031828,21.146092313899334,0.0,0.0,72.64777060468343,0.0,0.0,0.8509413047589192,0.8076004099839338,1.1968150595057523,0.0,17.971834999923885,0.0,293.0319431616273,0.0,0.0,0.0,1.179356090608053,24.178755617808893,0.4214658766185855,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,150.66804744815437,872.2469854545961,2076.847437163102,3270.8896854255854,5799.410120098561,3459.6870083096214,290.5508030163595,125.49274002620336,0.7384693904982669,0.9323307035811013,1.5512761232239427,1.1659995104200789,16.769687885007443,14.887751730499076,1763.3681603503865,1.5651417883480008,1.1805062206803996,15.9117643608472,1.19674777322507,5915.2362192742075,1.0139856047464946,1.3440890273638786,1.225006678394493,1.1550048474741743,1.2566225090449734,0.9961643992369318,1068.5530412016594,782.8440003518717,12.02077371803307,1.347398738177617,0.0,93.89027082791952,245.1988214625605,1543.560526418476,0.0,0.0,1089.4548467764785,0.0,0.0,0.7370929657740248,0.9254476987553062,1.9979698284651022,1.1678452035762348,17.754638919458785,18.130407798071474,1464.5332555278192,2.215647833382718,1.4562986476357764,13.85546993642356,1.2848640056363365,223.15313172044802,1.2406969981825,1.7017670568986887,0.0,1.2583675219522377,1.3859897517043578,0.33906677101280613,0.0,0.0,0.0,0.0,0.0
