type,Investment,FixedOM,VariableOM,Startup,NonServedDemand,Supply,UnmetPolicyPenalty,Total
AluminaPlant{NaturalGas},42591.029894143976,220066.84379179394,94314.36162505459,0.0,0.0,0.0,0.0,356972.23531099246
OneWayTransmissionLink{Aluminum},0.0,0.0,2.694593427625626e8,0.0,0.0,0.0,0.0,2.694593427625626e8
AluminumRefining,4.745494910441713e9,2.02538360848265e10,5.195976977304489e10,0.0,0.0,0.0,0.0,7.695910076831311e10
OneWayTransmissionLink{AluminumScrap},0.0,0.0,4.19096619276995e8,0.0,0.0,0.0,0.0,4.19096619276995e8
AluminumSmelting,34879.00449157271,241973.42717080069,15537.373244993707,0.0,0.0,0.0,0.0,292389.8049073671
ThermalAmmonia{Coal},9.18434816653367e6,7.17816337550009e10,0.0,0.0,0.0,0.0,0.0,7.179081810316743e10
ThermalAmmoniaCCS{Coal},1.4608750582852721e7,2.3040945551270965e7,0.0,0.0,0.0,0.0,0.0,3.764969613412368e7
ThermalAmmonia{CokingOvenGas},0.0,1.4441378408425045e6,0.0,0.0,0.0,0.0,0.0,1.4441378408425045e6
ThermalAmmonia{NaturalGas},1.1221243983035266e9,1.2752894740182943e10,0.0,0.0,0.0,0.0,0.0,1.387501913848647e10
ThermalAmmoniaCCS{NaturalGas},1.616418389864906e7,2.2974260159925744e7,0.0,0.0,0.0,0.0,0.0,3.91384440585748e7
SyntheticAmmonia,1.7305597317918851e9,1.1208461665977568e10,0.0,0.0,0.0,0.0,0.0,1.2939021397769453e10
OneWayTransmissionLink{Cement},0.0,0.0,2.1521979985836996e6,0.0,0.0,0.0,0.0,2.1521979985836996e6
OneWayTransmissionLink{CrudeSteel},0.0,0.0,5.271264127931126e7,0.0,0.0,0.0,0.0,5.271264127931126e7
DRIMaking,191450.771362885,57436.405661178644,0.0,0.0,0.0,0.0,0.0,248887.17702406363
ThermalMethanol{Coal},1.1920194254396376e8,3.5518627438922874e10,0.0,0.0,0.0,0.0,0.0,3.5637829381466835e10
ThermalMethanolCCS{Coal},1.0706093178477895e7,5.058667095894003e7,1.6186259355139768e7,0.0,0.0,0.0,0.0,7.747902349255769e7
ThermalMethanol{CokingOvenGas},0.0,4.601650798399401e6,0.0,0.0,0.0,0.0,0.0,4.601650798399401e6
ThermalMethanol{NaturalGas},0.0,6.328981363227162e9,0.0,0.0,0.0,0.0,0.0,6.328981363227162e9
ThermalMethanolCCS{NaturalGas},7.918516642131806e6,5.682125185514762e7,1.6136218433020322e7,0.0,0.0,0.0,0.0,8.087598693029974e7
SyntheticMethanol,4.036532637455167e10,5.301556652205478e10,0.0,0.0,0.0,0.0,0.0,9.338089289660645e10
Steelmaking,6.104899789014856e9,1.8335696820586808e9,0.0,0.0,0.0,0.0,0.0,7.938469471073537e9
OneWayTransmissionLink{SteelScrap},0.0,0.0,3.5339304671452296e8,0.0,0.0,0.0,0.0,3.5339304671452296e8
CementPlant{Coal},88048.7148358223,5.680717601095281e7,8.403265213398581e10,0.0,0.0,0.0,0.0,8.40895473587116e10
ThermalPower{Coal},4.861064748757781e6,2.12746893607517e9,4.0256841324398696e8,1.9389263675269153e7,0.0,0.0,0.0,2.554287677743184e9
ThermalPower{NaturalGas},9.773788985308266e10,2.252960470205613e10,6.771715541428115e9,2.5646279850636053e8,0.0,0.0,0.0,1.2729567289507327e11
ThermalPowerCCS{Coal},1.7251410107119162e11,5.153172302929596e10,2.7065389849911392e10,3.4828328486767524e8,0.0,0.0,0.0,2.5145949723526666e11
ThermalPowerCCS{NaturalGas},6.106385501664627e9,1.8693375181551504e9,1.0562637491166377e9,7.127724150450914e7,0.0,0.0,0.0,9.103264010440924e9
ThermalPower{Uranium},0.0,1.6869649495316664e10,7.230172644156568e9,0.0,0.0,0.0,0.0,2.4099822139473232e10
BECCSElectricity,6.8578523796189156e10,4.808789243774226e10,0.0,0.0,0.0,0.0,0.0,1.1666641623393143e11
HydroRes,0.0,1.3105543294857065e11,0.0,0.0,0.0,0.0,0.0,1.3105543294857065e11
VRE,9.763145736162618e11,5.810169084591729e11,0.0,0.0,0.0,0.0,0.0,1.5573314820754346e12
Electrolyzer,2.281322830827749e10,9.635892658859732e9,0.0,0.0,0.0,0.0,0.0,3.2449120967137222e10
ThermalHydrogen{NaturalGas},6.577194340416988e8,1.4655682462563908e9,1.9818795419159016e8,2.674101715736578e6,0.0,0.0,0.0,2.324149736205416e9
ThermalHydrogenCCS{NaturalGas},3.6952243903712068e9,1.3798948175611224e9,8.473658660002207e8,1.115027413432303e6,0.0,0.0,0.0,5.923600101345982e9
