type,Investment,FixedOM,VariableOM,Startup,NonServedDemand,Supply,UnmetPolicyPenalty,Total
AluminaPlant{NaturalGas},1.5282275300187573e7,1.1881299899170636e11,5.091985671073126e10,0.0,0.0,0.0,0.0,1.697481379777378e11
OneWayTransmissionLink{Aluminum},0.0,0.0,2.462080389957639e9,0.0,0.0,0.0,0.0,2.462080389957639e9
AluminumRefining,8.053169112090951e8,3.770140190287113e9,9.672025362453716e9,0.0,0.0,0.0,0.0,1.4247482463949924e10
OneWayTransmissionLink{AluminumScrap},0.0,0.0,4.7529797217791915e8,0.0,0.0,0.0,0.0,4.7529797217791915e8
AluminumSmelting,1.7147233182774893e10,3.150806373719024e10,8.388550859745803e9,0.0,0.0,0.0,0.0,5.704384777971094e10
ThermalAmmonia{Coal},2.8887772890758872e7,3.334770257431315e10,0.0,0.0,0.0,0.0,0.0,3.3376590347203907e10
ThermalAmmoniaCCS{Coal},2.8215557478008147e7,3.236283513143384e6,0.0,0.0,0.0,0.0,0.0,3.145184099115153e7
ThermalAmmonia{CokingOvenGas},0.0,2.1741797399261957e6,0.0,0.0,0.0,0.0,0.0,2.1741797399261957e6
ThermalAmmonia{NaturalGas},1.2920705678321792e8,5.4848908619321785e9,0.0,0.0,0.0,0.0,0.0,5.614097918715397e9
ThermalAmmoniaCCS{NaturalGas},2.7720413015678197e7,3.179562845585541e6,0.0,0.0,0.0,0.0,0.0,3.0899975861263737e7
SyntheticAmmonia,2.3958173431488552e10,4.842093973475484e9,0.0,0.0,0.0,0.0,0.0,2.8800267404964035e10
OneWayTransmissionLink{Cement},0.0,0.0,770555.6902282176,0.0,0.0,0.0,0.0,770555.6902282176
OneWayTransmissionLink{CrudeSteel},0.0,0.0,3.22137331340281e8,0.0,0.0,0.0,0.0,3.22137331340281e8
DRIMaking,62288.15105392769,8573.173948860807,0.0,0.0,0.0,0.0,0.0,70861.32500278851
ThermalMethanol{Coal},6.135068921049546e7,2.94706393989403e10,0.0,0.0,0.0,0.0,0.0,2.9531990088150795e10
ThermalMethanolCCS{Coal},5.811999083020498e7,1.274574036347334e7,1.2169352753743e7,0.0,0.0,0.0,0.0,8.303508394742131e7
ThermalMethanol{CokingOvenGas},0.0,8.51657135395003e6,0.0,0.0,0.0,0.0,0.0,8.51657135395003e6
ThermalMethanol{NaturalGas},0.0,4.0173783498180866e9,0.0,0.0,0.0,0.0,0.0,4.0173783498180866e9
ThermalMethanolCCS{NaturalGas},8.77732426769701e7,1.8258641054496873e7,1.3248126031668311e7,0.0,0.0,0.0,0.0,1.1928000976313527e8
SyntheticMethanol,4.9358242322660675e10,9.976810358480047e9,0.0,0.0,0.0,0.0,0.0,5.9335052681140724e10
Steelmaking,2.012252256119488e9,1.554159009988313e9,0.0,0.0,0.0,0.0,0.0,3.566411266107801e9
OneWayTransmissionLink{SteelScrap},0.0,0.0,1.6824702919939065e8,0.0,0.0,0.0,0.0,1.6824702919939065e8
CementPlant{Coal},1.676493665850124e9,4.2179949994025216e7,6.239516402282402e10,0.0,0.0,0.0,0.0,6.411383763866817e10
ThermalPower{Coal},1.9056277884306946e11,5.185506223785498e10,1.099407744234206e11,2.2995147876630086e7,0.0,0.0,0.0,3.523816106522217e11
ThermalPower{NaturalGas},8.744346547935808e7,4.3628139364643925e8,1.3058008518717478e8,3.1285816883811202e7,0.0,0.0,0.0,6.855907611967833e8
ThermalPowerCCS{Coal},4.014320353905346e9,3.008771598241926e8,8.493459241050369e8,1.0819999565340774e7,0.0,0.0,0.0,5.175363437399917e9
ThermalPowerCCS{NaturalGas},2.1963322548802617e8,1.646171856561936e7,1.2938261629904812e7,1.2360128888755057e7,0.0,0.0,0.0,2.6139333457230538e8
ThermalPower{Uranium},0.0,8.82388480578073e9,3.174040156816209e9,0.0,0.0,0.0,0.0,1.199792496259694e10
BECCSElectricity,1.8675623185387454e9,9.340477526944286e8,0.0,0.0,0.0,0.0,0.0,2.801610071233174e9
HydroRes,0.0,5.753307880258099e10,0.0,0.0,0.0,0.0,0.0,5.753307880258099e10
VRE,1.6200819361610334e12,1.1279816861244882e11,0.0,0.0,0.0,0.0,0.0,1.7328801047734822e12
Electrolyzer,4.321411466674138e7,9.172070664166624e6,0.0,0.0,0.0,0.0,0.0,5.2386185330908e7
