time,Region1Beijing_onshore_wind,Region2Tianjin_onshore_wind,Region3Hebei_onshore_wind,Region4Shanxi_onshore_wind,Region5Innermongolia_onshore_wind,Region6Liaoning_onshore_wind,Region7Jilin_onshore_wind,Region8Heilongjiang_onshore_wind,Region9Shanghai_onshore_wind,Region10Jiangsu_onshore_wind,Region11Zhejiang_onshore_wind,Region12Anhui_onshore_wind,Region13Fujian_onshore_wind,Region14Jiangxi_onshore_wind,Region15Shandong_onshore_wind,Region16Henan_onshore_wind,Region17Hubei_onshore_wind,Region18Hunan_onshore_wind,Region19Guangdong_onshore_wind,Region20Guangxi_onshore_wind,Region21Hainan_onshore_wind,Region22Chongqing_onshore_wind,Region23Sichuan_onshore_wind,Region24Guizhou_onshore_wind,Region25Yunnan_onshore_wind,Region26Tibet_onshore_wind,Region27Shaanxi_onshore_wind,Region28Gansu_onshore_wind,Region29Qinghai_onshore_wind,Region30Ningxia_onshore_wind,Region31Xinjiang_onshore_wind,Region1Beijing_offshore_wind,Region2Tianjin_offshore_wind,Region3Hebei_offshore_wind,Region4Shanxi_offshore_wind,Region5Innermongolia_offshore_wind,Region6Liaoning_offshore_wind,Region7Jilin_offshore_wind,Region8Heilongjiang_offshore_wind,Region9Shanghai_offshore_wind,Region10Jiangsu_offshore_wind,Region11Zhejiang_offshore_wind,Region12Anhui_offshore_wind,Region13Fujian_offshore_wind,Region14Jiangxi_offshore_wind,Region15Shandong_offshore_wind,Region16Henan_offshore_wind,Region17Hubei_offshore_wind,Region18Hunan_offshore_wind,Region19Guangdong_offshore_wind,Region20Guangxi_offshore_wind,Region21Hainan_offshore_wind,Region22Chongqing_offshore_wind,Region23Sichuan_offshore_wind,Region24Guizhou_offshore_wind,Region25Yunnan_offshore_wind,Region26Tibet_offshore_wind,Region27Shaanxi_offshore_wind,Region28Gansu_offshore_wind,Region29Qinghai_offshore_wind,Region30Ningxia_offshore_wind,Region31Xinjiang_offshore_wind,Region1Beijing_utility_scale_solar_pv,Region2Tianjin_utility_scale_solar_pv,Region3Hebei_utility_scale_solar_pv,Region4Shanxi_utility_scale_solar_pv,Region5Innermongolia_utility_scale_solar_pv,Region6Liaoning_utility_scale_solar_pv,Region7Jilin_utility_scale_solar_pv,Region8Heilongjiang_utility_scale_solar_pv,Region9Shanghai_utility_scale_solar_pv,Region10Jiangsu_utility_scale_solar_pv,Region11Zhejiang_utility_scale_solar_pv,Region12Anhui_utility_scale_solar_pv,Region13Fujian_utility_scale_solar_pv,Region14Jiangxi_utility_scale_solar_pv,Region15Shandong_utility_scale_solar_pv,Region16Henan_utility_scale_solar_pv,Region17Hubei_utility_scale_solar_pv,Region18Hunan_utility_scale_solar_pv,Region19Guangdong_utility_scale_solar_pv,Region20Guangxi_utility_scale_solar_pv,Region21Hainan_utility_scale_solar_pv,Region22Chongqing_utility_scale_solar_pv,Region23Sichuan_utility_scale_solar_pv,Region24Guizhou_utility_scale_solar_pv,Region25Yunnan_utility_scale_solar_pv,Region26Tibet_utility_scale_solar_pv,Region27Shaanxi_utility_scale_solar_pv,Region28Gansu_utility_scale_solar_pv,Region29Qinghai_utility_scale_solar_pv,Region30Ningxia_utility_scale_solar_pv,Region31Xinjiang_utility_scale_solar_pv,Region1Beijing_distributed_solar_pv,Region2Tianjin_distributed_solar_pv,Region3Hebei_distributed_solar_pv,Region4Shanxi_distributed_solar_pv,Region5Innermongolia_distributed_solar_pv,Region6Liaoning_distributed_solar_pv,Region7Jilin_distributed_solar_pv,Region8Heilongjiang_distributed_solar_pv,Region9Shanghai_distributed_solar_pv,Region10Jiangsu_distributed_solar_pv,Region11Zhejiang_distributed_solar_pv,Region12Anhui_distributed_solar_pv,Region13Fujian_distributed_solar_pv,Region14Jiangxi_distributed_solar_pv,Region15Shandong_distributed_solar_pv,Region16Henan_distributed_solar_pv,Region17Hubei_distributed_solar_pv,Region18Hunan_distributed_solar_pv,Region19Guangdong_distributed_solar_pv,Region20Guangxi_distributed_solar_pv,Region21Hainan_distributed_solar_pv,Region22Chongqing_distributed_solar_pv,Region23Sichuan_distributed_solar_pv,Region24Guizhou_distributed_solar_pv,Region25Yunnan_distributed_solar_pv,Region26Tibet_distributed_solar_pv,Region27Shaanxi_distributed_solar_pv,Region28Gansu_distributed_solar_pv,Region29Qinghai_distributed_solar_pv,Region30Ningxia_distributed_solar_pv,Region31Xinjiang_distributed_solar_pv
1,0.49841848110736464,0.48553808823135114,0.40178258423839,0.49308535720047075,0.7984609756531427,0.4133911170702049,0.5733676229792763,0.3358647829027177,0.2926689254992425,0.40895554679082124,0.4655396736907278,0.41392598045422346,0.5312847075738318,0.8304863124649273,0.3786825224378845,0.37371606275792146,0.38895834989898503,0.4953104585001711,0.37707077505183406,0.7022324453282636,0.6737985396248405,0.464941895876791,0.34932044286324526,0.41957920310960617,0.45738802284540725,0.26905545527688446,0.6630699336383259,0.5679501177655766,0.5366642476501511,0.43616247551108245,1.1234084296738729,0.0,0.4691740785352465,0.3924875950979754,0.0,0.0,0.49743782498570965,0.0,0.0,0.3942654667640113,0.3020076468874322,0.35154513955058064,0.0,0.6188272585495724,0.0,0.23726536996548475,0.0,0.0,0.0,0.3659495062502174,0.5399893405710863,0.28262477577891487,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.49916331370332045,0.49502259627115563,0.40248834856174653,0.5251669446734013,0.8243798563198652,0.4549327605564031,0.6491902751840826,0.33098761420296796,0.2937349790162216,0.39368746364834806,0.471122995627411,0.43141421024029114,0.5501912201075356,0.9122896507906262,0.37867785134585574,0.3736237452444584,0.3889726656000221,0.5016110099895741,0.4270010114705656,0.7199238682369469,0.6797136132263404,0.46342140015019595,0.35605148345712223,0.4345848268130794,0.4644729716819711,0.24824228233489976,0.7045576910895761,0.5765114281239221,0.5408482710226963,0.4458359973723418,1.0350368794461247,0.0,0.4687266580791203,0.3960059820114026,0.0,0.0,0.5528603107680539,0.0,0.0,0.3791439633814093,0.3122020835398871,0.35291264168336056,0.0,0.647970146535954,0.0,0.23664701319125925,0.0,0.0,0.0,0.3986190824894038,0.5486845767307145,0.34260768473304504,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,0.515357779317128,0.5235343845101852,0.41475807961978717,0.5773933101008879,0.8234777889010729,0.45038344550994225,0.6415322963221115,0.3359321640273265,0.3010614937089713,0.3999966894280078,0.4835098378116527,0.4235596748835633,0.5931646404014828,0.9597213864763035,0.3905622491147369,0.3820228838994808,0.3899254828525045,0.508519924718712,0.4857254028902389,0.7264407725306228,0.7080510236264672,0.47437368828036597,0.36018559863441624,0.45158041690592654,0.46878785585431615,0.23609917958685855,0.7617099766503088,0.6079244142893003,0.5597544892480073,0.4939486177972867,1.0336588972131722,0.0,0.48197238299250955,0.40921277826882374,0.0,0.0,0.5567961207828347,0.0,0.0,0.3558153895948237,0.32059280125213263,0.3647861384379212,0.0,0.6971981554743252,0.0,0.24377205976111327,0.0,0.0,0.0,0.43799899903115147,0.5442021087784781,0.36542749397716023,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,0.640210704637866,0.6778504025487564,0.5320437994232634,0.6876548247237224,0.9129861479450483,0.505628033875837,0.6985725126323814,0.4145648208559578,0.3122233348261716,0.421560639366362,0.5043954559132544,0.4323832444447362,0.7041852031843518,0.9665489963808795,0.4848230996867642,0.42070856817827007,0.393579048999527,0.5134252886346076,0.5449057910736883,0.7369689509869204,0.7232527330961602,0.4757663991935033,0.3629364130538306,0.46144017517508473,0.4736856715317117,0.0,0.884408685946255,0.6909010650706477,0.627576529595899,0.5698989857119159,1.0337170667771716,0.0,0.5951807406580372,0.5131843795054465,0.0,0.0,0.6380148586799805,0.0,0.0,0.3496378510992031,0.3281808185438422,0.38507693517021835,0.0,0.8093805653152231,0.0,0.30538335864957844,0.0,0.0,0.0,0.487891117012623,0.554537075411428,0.36902903248370444,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,0.6569939726359735,0.6773886087103165,0.5465436978556681,0.7342604287696304,0.9616021290712524,0.5242642966586573,0.6922358489282487,0.4175430086233973,0.31340234614901874,0.4133786803286057,0.5182632893611299,0.4394249598835813,0.7177924030884242,0.9685712771606632,0.4901232281845296,0.41952461464870794,0.43047535793266434,0.5209691137570189,0.6287910557875875,0.7596659953196649,0.7300002531846985,0.5185320742971271,0.3698837466909026,0.46284867678332375,0.479169441787235,0.0,0.9026176238403423,0.706121901384904,0.6342996372723064,0.5899830513517372,1.033907403354533,0.0,0.6053936268305762,0.5255698504677184,0.0,0.0,0.6033967943553051,0.0,0.0,0.3510065318379816,0.3344881536795583,0.4171007413533516,0.0,0.8180374299226969,0.0,0.31652499918413923,0.0,0.0,0.0,0.6022659365498839,0.5901503729795223,0.3704390566595399,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,0.6844505367516831,0.6992169430341164,0.5834258261456853,0.8044286576332524,0.97150473864167,0.5450965757263475,0.687145480660547,0.4179820833833219,0.31141369386682527,0.41362108616704063,0.5747496748554113,0.32882727935353273,0.7204931064125049,0.9582630322256591,0.5016119162755786,0.4233875933477975,0.4410722999535892,0.519136821392749,0.712510314071551,0.8457020696077961,0.8064769357224577,0.5276545954980065,0.37266162706146133,0.489596195606282,0.49641095255719847,0.17805580655119613,0.9356844751746394,0.719914853645605,0.6417263555795216,0.5757066352962283,1.030419908784097,0.0,0.621350478062368,0.5393104470331025,0.0,0.0,0.5988661193617588,0.0,0.0,0.3635941632199433,0.3419103259293479,0.4820445876393933,0.0,0.8321746254259779,0.0,0.3250542063751709,0.0,0.0,0.0,0.7144258734142568,0.7007781452169226,0.39796377727243026,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,0.6955192071145575,0.6865341850952973,0.6174298063851893,0.8688828618905973,0.9771647755842423,0.6093121547346527,0.6978942123932939,0.41825385351330624,0.31381142648604055,0.3954822971500107,0.5354614094212593,0.43375096880618,0.7168673604828655,0.9114123264735099,0.5113766888680402,0.44558991996836994,0.42876834787517737,0.49893327831523493,0.6465145346301142,0.7733523947390495,0.7282903096456721,0.5344814013021733,0.37346789793809876,0.44359425037691835,0.45689388338360004,0.22260949588820722,0.9409443064650986,0.7806147427472752,0.6260399492175566,0.5866608440446726,1.0069814633898204,0.0,0.6056915406175847,0.5295725629238177,0.0,0.0,0.6115063598052188,0.0,0.0,0.3664558760880823,0.3263161864815629,0.43639322847593576,0.0,0.8036054090880498,0.0,0.30322098101589745,0.0,0.0,0.0,0.6571169716953591,0.6603098273999635,0.37188575632213006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,0.7554124151574797,0.7790716067420362,0.6978938857937464,0.9475295554002514,0.9814517988270381,0.7525952976648114,0.7545862885526731,0.41827735022161505,0.30836562770480214,0.4018716713817412,0.5177201081769454,0.4443164594586051,0.7578815645756549,0.8125937047589105,0.61182027994073,0.4766717165812224,0.41963783739078053,0.48676799815439153,0.6123664277547505,1890.1466069360904,0.7244706618039345,0.5499740147788543,0.37186057018334395,0.4247863311029505,0.4517889042981551,0.2443383764034479,0.9919550277700182,0.9008211469626985,0.6216302673415157,0.6022552176364115,1.004015760947368,0.0,0.6073583326242016,0.5570591384169177,0.0,0.0,0.6686839303084469,0.0,0.0,0.37942140020410875,0.32381091317074606,0.42638781828281935,0.0,0.8049215085993637,0.0,0.3208142183666496,0.0,0.0,0.0,0.636950381911447,20.286980261234728,0.3689321053782779,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,0.7909078216871421,0.7946112224408353,0.7853472521092044,0.9673235855589155,0.9892790044541471,0.9295357025548583,0.7950218514670269,0.4191624211944145,0.30676994453892803,0.4092716485793062,0.513241209957414,0.43892926945227373,0.7732682619080151,0.736645227036206,0.7557565717143007,0.5719796641915309,0.3944457514436408,0.4894869250492775,0.5800753077564877,13093.151643055578,0.7220703859820787,0.5543738829044287,0.3710035990079632,0.40986866867751814,0.4491136079923308,0.255026039412769,0.9936611339653609,0.9979182559181936,0.6307816565263238,0.6081923050369369,1.0074858057341771,0.0,0.6139187855821007,0.5521498025669587,0.0,0.0,0.7213321582915455,0.0,0.0,0.38461221830158365,0.33127611341842567,0.42192119323590305,0.0,0.7963981910506845,0.0,0.3242638860245961,0.0,0.0,0.0,0.6239671781167999,20.363139241379127,0.3645897405589327,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22196277850493445,0.4351811770324474,0.4511465515818891,0.3302298542429236,0.3159034484111203,0.5590911287227982,0.478396956102614,0.2769814544004703,0.40422380204017827,0.34923091708458287,0.41697060435274125,0.39928765020260926,0.5832819720104254,0.5453095045209011,0.6532540308464831,0.3999834381554308,0.45188706358771924,0.6627199707647549,0.5014045568786969,197.86795545631597,0.4125274741965086,0.0,0.0,0.2819462769536045,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.31033275787502124,0.32176425219767424,0.3607077580491804,0.0,0.0,0.5763733459295963,0.0,0.0,0.3539268335899237,0.373858070148799,0.39423447708713866,0.43054446849259875,0.5826318676452047,0.5695813316738167,0.4719685447392976,0.36421501151551183,0.467662928455411,0.6326021029980211,0.5771524704580315,4.890186537884681,0.28358040883578894,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,0.7779738703320618,0.7936872277959992,0.8706824505643453,0.9806283971847733,0.9985244392446475,0.9830693934345618,0.8542797848276678,0.4204317480307509,0.30260875275416765,0.4293385198852775,0.5131555336065503,0.43454938879403926,0.6655049301371037,0.5939858565252507,0.890578812599415,0.6657872184568987,0.3654952591007259,0.4394956077594543,0.5324433849091292,20952.437176270585,0.7185207064576389,0.5193843636612314,0.36401577786455164,0.3881290900098975,0.44674001614475856,0.2686628404080693,0.995514017646201,1.0832182248414028,0.6343547859150931,0.5482518132776022,1.0241450629400788,0.0,0.5132762041490508,0.4932696186977523,0.0,0.0,0.7537283486418573,0.0,0.0,0.3976573133665937,0.34528033710466843,0.42185475800943095,0.0,0.6739393576390285,0.0,0.3692615359652791,0.0,0.0,0.0,0.6101089994499489,20.495250873673562,0.34576386337577225,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7740831091896965,0.712422446967139,0.7515210658020806,0.8855554108913566,0.8462294584460324,0.6377916626199749,0.4076948613417244,0.3497878963730727,0.4384282100063501,0.3445020849330831,0.49461127402901184,0.37797162013748675,0.5698423651702171,0.4619314564515662,0.7105593834548927,0.5398388173612148,0.4282113315944116,0.4886060054122936,0.5507480036903871,777.5024123546806,0.5254158230699204,0.49469939450713696,0.3252707597682729,0.5158099948528161,0.5693225202121539,0.25352115565033273,0.7741082869706588,0.42311930310660273,0.3218481098643906,0.5101273515861067,0.0,0.6440867433946664,0.574607776200196,0.7635503709379918,0.0,0.0,0.7177718515176821,0.0,0.0,0.3976979747132532,0.3990547654302645,0.44837472639937914,0.47256072116533687,0.5563966583915771,0.5516473019881687,0.6237660451124611,0.6180338302465316,0.5321704495092945,0.628081073219164,0.5931198501457402,221.41393313985822,0.3811977663503967,0.421561399749919,0.0,0.40166451584551766,0.4653584429337343,0.18552435433095893,0.0,0.0,0.0,0.0,0.0
