type,Investment,FixedOM,VariableOM,Startup,NonServedDemand,Supply,UnmetPolicyPenalty,Total
AluminaPlant{NaturalGas},1.6313260188366e6,1.0249049183095952e11,4.392449649898255e10,0.0,0.0,0.0,0.0,1.464166196559609e11
OneWayTransmissionLink{Aluminum},0.0,0.0,2.176003962243165e9,0.0,0.0,0.0,0.0,2.176003962243165e9
AluminumRefining,6.063217647310392e8,1.666277753820692e10,4.274716557587426e10,0.0,0.0,0.0,0.0,6.0016264878812225e10
OneWayTransmissionLink{AluminumScrap},0.0,0.0,1.24329001207883e9,0.0,0.0,0.0,0.0,1.24329001207883e9
AluminumSmelting,416207.3004523358,2.717957368860403e10,7.236133341137031e9,0.0,0.0,0.0,0.0,3.441612323704151e10
ThermalAmmonia{Coal},1.211820838381186e7,7.342609305843423e10,0.0,0.0,0.0,0.0,0.0,7.343821126681804e10
ThermalAmmoniaCCS{Coal},6.375372728499222e6,1.9411891739183128e7,0.0,0.0,0.0,0.0,0.0,2.578726446768235e7
ThermalAmmonia{CokingOvenGas},0.0,1.6343538640426532e6,0.0,0.0,0.0,0.0,0.0,1.6343538640426532e6
ThermalAmmonia{NaturalGas},1.3951865777784143e7,1.21787626369253e10,0.0,0.0,0.0,0.0,0.0,1.2192714502703085e10
ThermalAmmoniaCCS{NaturalGas},5.973097493852247e6,1.8952875275958013e7,0.0,0.0,0.0,0.0,0.0,2.492597276981026e7
SyntheticAmmonia,9.586485494649097e6,9.910799757424582e9,0.0,0.0,0.0,0.0,0.0,9.920386242919231e9
OneWayTransmissionLink{Cement},0.0,0.0,2.6816708047608766e6,0.0,0.0,0.0,0.0,2.6816708047608766e6
OneWayTransmissionLink{CrudeSteel},0.0,0.0,5.823580251905863e7,0.0,0.0,0.0,0.0,5.823580251905863e7
DRIMaking,801147.7557329342,240346.92572036805,0.0,0.0,0.0,0.0,0.0,1.0414946814533023e6
ThermalMethanol{Coal},1.8815212294531308e7,6.714081807965519e10,0.0,0.0,0.0,0.0,0.0,6.715963329194972e10
ThermalMethanolCCS{Coal},9.895466756254928e6,4.215607472561222e7,2.2317175145168625e7,0.0,0.0,0.0,0.0,7.436871662703577e7
ThermalMethanol{CokingOvenGas},0.0,5.181950299795419e6,0.0,0.0,0.0,0.0,0.0,5.181950299795419e6
ThermalMethanol{NaturalGas},0.0,9.142925832862522e9,0.0,0.0,0.0,0.0,0.0,9.142925832862522e9
ThermalMethanolCCS{NaturalGas},1.04923484067697e7,5.445540759209751e7,3.1648604185099237e7,0.0,0.0,0.0,0.0,9.659636018396646e7
SyntheticMethanol,9.019125088757511e6,2.2741642934752903e10,0.0,0.0,0.0,0.0,0.0,2.275066205984166e10
Steelmaking,6.708912590621431e9,2.0150021360218003e9,0.0,0.0,0.0,0.0,0.0,8.723914726643232e9
OneWayTransmissionLink{SteelScrap},0.0,0.0,3.6360149525353265e8,0.0,0.0,0.0,0.0,3.6360149525353265e8
CementPlant{Coal},109390.36536322595,7.079648163411643e7,1.0472648934921117e11,0.0,0.0,0.0,0.0,1.0479739522121065e11
ThermalPower{Coal},1.888220413557412e7,1.0489677082207225e11,1.0807271871059526e11,1.255286560314211e9,0.0,0.0,0.0,2.142436582971173e11
ThermalPower{NaturalGas},1.589960219338418e8,1.020075234829637e9,1.0716488343709466e9,3.4143935947942066e8,0.0,0.0,0.0,2.592159450613846e9
ThermalPowerCCS{Coal},6.5551431090651006e7,4.3849255864008015e8,7.86164726614753e8,3.760333330252462e7,0.0,0.0,0.0,1.3278120496480088e9
ThermalPowerCCS{NaturalGas},2.7457365707172047e7,4.8963545741775356e7,3.258832081885624e7,2.838130662375736e7,0.0,0.0,0.0,1.37390538891561e8
ThermalPower{Uranium},0.0,1.7946431241880596e10,7.230174493119303e9,0.0,0.0,0.0,0.0,2.51766057349999e10
BECCSElectricity,2.271372157592623e11,3.1451019402603363e10,0.0,0.0,0.0,0.0,0.0,2.5858823516186566e11
HydroRes,0.0,1.3105546618846964e11,0.0,0.0,0.0,0.0,0.0,1.3105546618846964e11
VRE,1.7739062309396562e12,5.485922571273937e11,0.0,0.0,0.0,0.0,0.0,2.32249848806705e12
Electrolyzer,3.235082883977191e10,4.2611571438330326e9,0.0,0.0,0.0,0.0,0.0,3.661198598360494e10
ThermalHydrogen{NaturalGas},7.374516756176609e9,5.661162910435455e9,3.3754117553971515e9,1.8691098086226977e7,0.0,0.0,0.0,1.6429782520095444e10
ThermalHydrogenCCS{NaturalGas},4.219692371286371e7,7.496514540119444e7,4.809276414034537e7,876597.8028760453,0.0,0.0,0.0,1.661314310572796e8
ThermalHydrogen{Coal},6.195431839058628e7,1.6448041381131641e10,6.457068101571182e9,7.625772400704728e6,0.0,0.0,0.0,2.2974689573494114e10
ThermalHydrogenCCS{Coal},5.418050853573243e7,1.2360094108984983e8,4.7464934680911005e7,520340.30464943236,0.0,0.0,0.0,2.2576672461114272e8
OneWayTransmissionLink{Electricity},9.667691843967827e9,1.7393255630302193e10,0.0,0.0,0.0,0.0,0.0,2.706094747427002e10
Battery,4.684345556904523e10,2.3667064931480648e10,2.5552188954154976e7,0.0,0.0,0.0,0.0,7.053607268948004e10
GasStorage{Hydrogen},1.4298508201630235e8,5.038653654834073e7,0.0,0.0,0.0,0.0,0.0,1.9337161856464309e8
TransmissionLink{Electricity},1.2005104856353516e10,1.415595043941651e10,0.0,0.0,0.0,0.0,0.0,2.6161055295770027e10
CO2Injection,2.4492226695430725e10,3.6265881845366325e9,0.0,0.0,0.0,0.0,0.0,2.8118814879967358e10
OneWayTransmissionLink{CO2Captured},3.888936340319552e8,5.867467972124074e7,0.0,0.0,0.0,0.0,0.0,4.4756831375319594e8
Node{Electricity},0.0,0.0,0.0,0.0,8.939712856623346e7,0.0,0.0,8.939712856623346e7
Node{NaturalGas},0.0,0.0,0.0,0.0,0.0,1.1831815746520064e11,0.0,1.1831815746520064e11
Node{Coal},0.0,0.0,0.0,0.0,0.0,9.313628734694453e11,0.0,9.313628734694453e11
Node{Uranium},0.0,0.0,0.0,0.0,0.0,2.889924360053344e10,0.0,2.889924360053344e10
Node{Hydrogen},0.0,0.0,0.0,0.0,2.070353291497797e7,0.0,0.0,2.070353291497797e7
Node{CO2},0.0,0.0,0.0,0.0,0.0,0.0,4.528270062622072e7,4.528270062622072e7
Node{Biomass},0.0,0.0,0.0,0.0,0.0,5.01906230958196e11,0.0,5.01906230958196e11
Node{SteelScrap},0.0,0.0,0.0,0.0,0.0,4.544746450803717e9,0.0,4.544746450803717e9
Node{AluminumScrap},0.0,0.0,0.0,0.0,0.0,7.77978149795076e11,0.0,7.77978149795076e11
Node{Bauxite},0.0,0.0,0.0,0.0,0.0,3.649112016838561e10,0.0,3.649112016838561e10
Node{Graphite},0.0,0.0,0.0,0.0,0.0,3.939024197796372e10,0.0,3.939024197796372e10
Node{MacroEnergy.CokingOvenGas},0.0,0.0,0.0,0.0,0.0,6.7016065789320255e6,0.0,6.7016065789320255e6
Total,2.1421527883584365e12,1.2640720409214314e12,3.296789483176975e11,1.6904243683143704e9,1.1010066148121142e8,2.438897465492184e12,4.528270062622072e7,6.176647050820171e12
