zone,Investment,FixedOM,VariableOM,Startup,NonServedDemand,Supply,UnmetPolicyPenalty,Total
Region1Beijing,5.144312252092362e9,3.882030855306259e9,3.456743259311729e8,1.414891542518967e7,0.0,0.0,0.0,9.386166348754984e9
Region2Tianjin,2.9954500321755004e9,4.0959076027131e9,1.6220431876734272e8,3.602212924640441e6,0.0,0.0,0.0,7.257164166580584e9
Region12Anhui,5.94791658015035e10,2.8015895389046738e10,3.4997758916568394e9,2.616276018527054e6,0.0,0.0,0.0,9.09974533582256e10
Region9Shanghai,8.60630758523465e10,2.7252156959323635e10,1.154972955322898e10,2.731400873356482e8,0.0,0.0,0.0,1.2513810245223476e11
Region22Chongqing,6.033098829656938e10,1.3677322434457468e10,1.440417900433179e9,2.6149671829476384e6,0.0,0.0,0.0,7.545134359864299e10
Region13Fujian,4.222291347675483e10,4.313442484334097e10,6.726725223408482e9,3.1972733687173324e6,0.0,0.0,0.0,9.208726081687299e10
Region28Gansu,5.346848316166556e10,5.795100594032055e10,1.2608424279765267e9,2.5639884150371565e6,0.0,0.0,0.0,1.1268289551837769e11
Region19Guangdong,1.5882104264704712e11,5.640452426281469e10,1.2127270894749022e10,8.553627629444335e7,0.0,0.0,0.0,2.2743837408090527e11
Region20Guangxi,2.224377058178146e10,2.7075562151444256e10,3.3497566830312757e9,2.595992784839946e6,0.0,0.0,0.0,5.267168540904183e10
Region24Guizhou,1.0442361113697224e10,3.46553866237436e10,2.6844876481498327e9,2.6060100101054236e6,0.0,0.0,0.0,4.778484139560077e10
Region21Hainan,1.1656638528605019e10,8.758301469853271e9,1.8432593426625316e9,6.243177792229559e7,0.0,0.0,0.0,2.2320631119043118e10
Region3Hebei,1.3950412455437134e11,5.7092779481682106e10,2.5960937113737664e9,2.7301820452893116e6,0.0,0.0,0.0,1.991957279294725e11
Region8Heilongjiang,3.2953812895900288e10,2.257096496916577e10,5.3621176786564136e8,2.5735507776748477e6,0.0,0.0,0.0,5.6063563183709366e10
Region16Henan,1.1141799566175877e10,1.2282689731929884e10,3.0129583479733915e9,2.6554115583250634e6,0.0,0.0,0.0,2.6440103057637478e10
Region17Hubei,2.2031422001985687e10,1.9677301385527817e10,2.152677071461061e9,2.5652095211475114e6,0.0,0.0,0.0,4.386396566849571e10
Region18Hunan,8.858030025701733e9,2.303198778963423e10,2.749099371603311e9,2.368556659324271e6,0.0,0.0,0.0,3.46414857435986e10
Region5Innermongolia,4.4957675489998804e11,1.0890930993895511e11,1.0646032605885268e9,2.8602026237774375e6,0.0,0.0,0.0,5.595535283021554e11
Region10Jiangsu,5.532481585717569e10,2.504964205346037e10,3.748484964978352e9,3.011176299974201e6,0.0,0.0,0.0,8.412595405191438e10
Region14Jiangxi,5.850319944564864e9,1.620323697216076e10,2.190631774735117e9,2.0783735567393706e6,0.0,0.0,0.0,2.424626706501748e10
Region7Jilin,2.2026837659530724e10,2.0812342097886986e10,5.805231420463796e8,2.40682724375201e6,0.0,0.0,0.0,4.342210972670784e10
Region6Liaoning,2.0466392402025e10,2.6864907958892944e10,1.776537758272089e9,2.591265497014086e6,0.0,0.0,0.0,4.911042938468705e10
Region30Ningxia,8.778860584588516e9,1.2501872409678875e10,4.938401683638983e8,3.1873378866362106e6,0.0,0.0,0.0,2.1777760500517925e10
Region29Qinghai,1.3921761079563692e10,1.322663925563152e10,8.970677107588622e7,3.4930585890743798e6,0.0,0.0,0.0,2.7241600164860172e10
Region27Shaanxi,4.936815892885013e10,4.2400076028026276e10,2.7867379828738947e9,1.1052433798579375e8,0.0,0.0,0.0,9.46654972777361e10
Region15Shandong,8.498777567705946e10,5.336900287555401e10,5.180462393086995e9,8.331544218193692e7,0.0,0.0,0.0,1.4362055638788242e11
Region4Shanxi,3.693430230486831e10,1.9372284295008842e10,1.233116293349161e9,2.598142135457209e6,0.0,0.0,0.0,5.754230103536177e10
Region23Sichuan,4.443121350410334e9,4.5673191819830666e10,3.17577395581543e9,2.4671528819472496e6,0.0,0.0,0.0,5.329455427893838e10
Region26Tibet,6.6651607967549484e10,1.4475213009097311e10,1.5772755586265016e8,3.606056895023183e6,0.0,0.0,0.0,8.128815458940446e10
Region31Xinjiang,8.283220847948114e10,6.674067722911559e10,6.409734214667909e9,3.8452843833093145e6,0.0,0.0,0.0,1.5598646520764795e11
Region25Yunnan,4.521716814750795e9,5.161365440043085e10,2.9171290570710588e9,2.566194188938234e6,0.0,0.0,0.0,5.905506646644164e10
Region11Zhejiang,2.5969978015721455e10,4.922636423093994e10,7.731842139823295e9,3.293687015373983e6,0.0,0.0,0.0,8.293147807350006e10
aluminum_Region1Beijing_aluminum_Region2Tianjin,0.0,0.0,1853.306998012189,0.0,0.0,0.0,0.0,1853.306998012189
aluminum_Region1Beijing_aluminum_Region3Hebei,0.0,0.0,1517.14093050346,0.0,0.0,0.0,0.0,1517.14093050346
aluminum_Region1Beijing_aluminum_Region4Shanxi,0.0,0.0,1822.311099018117,0.0,0.0,0.0,0.0,1822.311099018117
aluminum_Region1Beijing_aluminum_Region5Innermongolia,0.0,0.0,1186.4400838928118,0.0,0.0,0.0,0.0,1186.4400838928118
aluminum_Region1Beijing_aluminum_Region6Liaoning,0.0,0.0,1329.636105591367,0.0,0.0,0.0,0.0,1329.636105591367
aluminum_Region1Beijing_aluminum_Region7Jilin,0.0,0.0,1300.2149997759068,0.0,0.0,0.0,0.0,1300.2149997759068
aluminum_Region1Beijing_aluminum_Region8Heilongjiang,0.0,0.0,1366.0556211901874,0.0,0.0,0.0,0.0,1366.0556211901874
aluminum_Region1Beijing_aluminum_Region9Shanghai,0.0,0.0,2532.669121460777,0.0,0.0,0.0,0.0,2532.669121460777
aluminum_Region1Beijing_aluminum_Region10Jiangsu,0.0,0.0,2966.6524194959106,0.0,0.0,0.0,0.0,2966.6524194959106
aluminum_Region1Beijing_aluminum_Region11Zhejiang,0.0,0.0,2274.9859170543823,0.0,0.0,0.0,0.0,2274.9859170543823
aluminum_Region1Beijing_aluminum_Region12Anhui,0.0,0.0,2476.6975002176505,0.0,0.0,0.0,0.0,2476.6975002176505
aluminum_Region1Beijing_aluminum_Region13Fujian,0.0,0.0,2120.173103252842,0.0,0.0,0.0,0.0,2120.173103252842
aluminum_Region1Beijing_aluminum_Region14Jiangxi,0.0,0.0,1988.9329315062912,0.0,0.0,0.0,0.0,1988.9329315062912
aluminum_Region1Beijing_aluminum_Region15Shandong,0.0,0.0,2129.646879561371,0.0,0.0,0.0,0.0,2129.646879561371
aluminum_Region1Beijing_aluminum_Region16Henan,0.0,0.0,2334.297855328864,0.0,0.0,0.0,0.0,2334.297855328864
aluminum_Region1Beijing_aluminum_Region17Hubei,0.0,0.0,2109.859503402206,0.0,0.0,0.0,0.0,2109.859503402206
aluminum_Region1Beijing_aluminum_Region18Hunan,0.0,0.0,1939.0015255029664,0.0,0.0,0.0,0.0,1939.0015255029664
aluminum_Region1Beijing_aluminum_Region19Guangdong,0.0,0.0,3496.978907399723,0.0,0.0,0.0,0.0,3496.978907399723
aluminum_Region1Beijing_aluminum_Region20Guangxi,0.0,0.0,2239.1664599389856,0.0,0.0,0.0,0.0,2239.1664599389856
aluminum_Region1Beijing_aluminum_Region21Hainan,0.0,0.0,2105.4812969760555,0.0,0.0,0.0,0.0,2105.4812969760555
aluminum_Region1Beijing_aluminum_Region22Chongqing,0.0,0.0,2039.3664039303285,0.0,0.0,0.0,0.0,2039.3664039303285
aluminum_Region1Beijing_aluminum_Region23Sichuan,0.0,0.0,2037.570517916814,0.0,0.0,0.0,0.0,2037.570517916814
aluminum_Region1Beijing_aluminum_Region24Guizhou,0.0,0.0,1852.064968510775,0.0,0.0,0.0,0.0,1852.064968510775
aluminum_Region1Beijing_aluminum_Region25Yunnan,0.0,0.0,1940.235405867743,0.0,0.0,0.0,0.0,1940.235405867743
aluminum_Region1Beijing_aluminum_Region27Shaanxi,0.0,0.0,1925.5298839908464,0.0,0.0,0.0,0.0,1925.5298839908464
aluminum_Region1Beijing_aluminum_Region28Gansu,0.0,0.0,1583.6082327594352,0.0,0.0,0.0,0.0,1583.6082327594352
aluminum_Region1Beijing_aluminum_Region29Qinghai,0.0,0.0,1816.8674451941436,0.0,0.0,0.0,0.0,1816.8674451941436
aluminum_Region1Beijing_aluminum_Region30Ningxia,0.0,0.0,1865.059984238885,0.0,0.0,0.0,0.0,1865.059984238885
aluminum_Region1Beijing_aluminum_Region31Xinjiang,0.0,0.0,1833.2955133061073,0.0,0.0,0.0,0.0,1833.2955133061073
aluminum_Region2Tianjin_aluminum_Region1Beijing,0.0,0.0,2472.006102468852,0.0,0.0,0.0,0.0,2472.006102468852
aluminum_Region2Tianjin_aluminum_Region3Hebei,0.0,0.0,1649.8296226102082,0.0,0.0,0.0,0.0,1649.8296226102082
aluminum_Region2Tianjin_aluminum_Region4Shanxi,0.0,0.0,1955.1035362507682,0.0,0.0,0.0,0.0,1955.1035362507682
aluminum_Region2Tianjin_aluminum_Region5Innermongolia,0.0,0.0,1403.163353459759,0.0,0.0,0.0,0.0,1403.163353459759
aluminum_Region2Tianjin_aluminum_Region6Liaoning,0.0,0.0,1392.9573050892952,0.0,0.0,0.0,0.0,1392.9573050892952
