zone,Investment,FixedOM,VariableOM,Startup,NonServedDemand,Supply,UnmetPolicyPenalty,Total
Region1Beijing,1.8154084108080257e10,2.0016721402542624e9,1.5249302712935275e8,4.841543155411804e6,0.0,0.0,0.0,2.031309081861928e10
Region2Tianjin,5.355083161140256e7,2.501306926529742e9,5.705961869107515e8,4.208449381258683e6,0.0,0.0,0.0,3.129662394433154e9
Region12Anhui,2.831952496148909e10,1.2510889730847794e10,1.781550993359686e9,3.8650910390709545e6,0.0,0.0,0.0,4.261583077673564e10
Region9Shanghai,1.0933081978572021e10,3.714101018265098e9,1.620614985080167e9,1.768258718277026e7,0.0,0.0,0.0,1.6285480569100058e10
Region22Chongqing,2.5308641747359776e8,1.9791458053051422e10,7.659622985882668e9,1.6168287980352445e7,0.0,0.0,0.0,2.7720335744388042e10
Region13Fujian,1.6314092353726633e11,2.2151423083733925e10,3.351242976779312e9,3.4959974338827003e6,0.0,0.0,0.0,1.886470855952134e11
Region28Gansu,2.82461431392849e11,2.7643777478902676e10,1.119002749856568e9,4.296979910669436e6,0.0,0.0,0.0,3.1122850860151886e11
Region19Guangdong,1.558318032921254e11,2.5204056707399166e10,7.948540202206886e9,6.075182897773811e8,0.0,0.0,0.0,1.8959191849150882e11
Region20Guangxi,1.169060822037777e11,3.625823185192232e10,9.11934854030487e9,1.4166031463553831e7,0.0,0.0,0.0,1.6229782862746844e11
Region24Guizhou,6.514116380795921e10,4.5103840943787575e10,1.1426864693814075e10,3.696405197562023e6,0.0,0.0,0.0,1.2167556585075842e11
Region21Hainan,1.2015248130733253e10,4.707685640028931e9,9.82831468703056e8,1.2722291433833532e8,0.0,0.0,0.0,1.7832988153803577e10
Region3Hebei,1.966888954563078e11,2.8600172180863983e10,4.730115846673624e9,4.1050265792918736e6,0.0,0.0,0.0,2.3002328851042468e11
Region8Heilongjiang,5.8932736347621704e10,7.539361165113993e9,3.7799117151341945e8,3.7052680093227024e6,0.0,0.0,0.0,6.685379395225844e10
Region16Henan,1.1323623602656815e10,5.536720265316916e9,1.1522651478888285e9,4.893730156917934e6,0.0,0.0,0.0,1.8017502746019478e10
Region17Hubei,6.79727273606727e8,9.79895981398327e9,1.3798193076436e9,6.369598071709482e6,0.0,0.0,0.0,1.1864875993305307e10
Region18Hunan,8.544715747404648e10,1.123068059278085e10,1.299973920874491e9,5.304890391913628e6,0.0,0.0,0.0,9.798311687809373e10
Region5Innermongolia,1.7748302707349118e11,4.563227347267522e10,3.845613437169395e10,3.78313434633077e8,0.0,0.0,0.0,2.619497483524934e11
Region10Jiangsu,1.6040915074797142e9,1.6899415829908909e10,4.763817658525695e9,4.475953869654752e6,0.0,0.0,0.0,2.3271800949783974e10
Region14Jiangxi,8.178202214724606e8,1.0122180728875076e10,1.2342571595196068e9,2.730385810517193e6,0.0,0.0,0.0,1.217698849567766e10
Region7Jilin,4.3459881884673706e10,9.218146655120518e9,5.522675381260037e8,3.4230446508235424e6,0.0,0.0,0.0,5.323371912257105e10
Region6Liaoning,5.8366856475503334e10,9.742290661848984e9,1.3878180289685383e9,4.474477980453683e6,0.0,0.0,0.0,6.950143964430132e10
Region30Ningxia,1.333132188141606e8,9.761669424152882e9,2.734101501379986e9,5.494550590896585e6,0.0,0.0,0.0,1.2634578694937925e10
Region29Qinghai,1.0657818103260628e10,5.860886719108741e9,3.6701539481168765e8,3.3581333584427536e6,0.0,0.0,0.0,1.68890783505395e10
Region27Shaanxi,1.0656185312942577e11,2.3674856263378227e10,3.0474288855006356e9,3.287699106404855e6,0.0,0.0,0.0,1.3328742597741103e11
Region15Shandong,1.1174146968720074e10,3.052909105823711e10,2.893946392734173e9,4.270900830182101e6,0.0,0.0,0.0,4.4601455320521545e10
Region4Shanxi,7.689983387252232e10,7.584030604294589e10,2.9505915567915455e10,3.541924767619028e6,0.0,0.0,0.0,1.8224959740815128e11
Region23Sichuan,5.596084698987457e10,2.485495043671513e10,1.771476663520937e9,8.887874360626968e6,0.0,0.0,0.0,8.259616196447127e10
Region26Tibet,1.8013030565000698e10,3.000492895662616e9,8.434632824308388e7,5.785987471968614e6,0.0,0.0,0.0,2.110365577637837e10
Region31Xinjiang,9.705732910429565e10,3.895754641144442e10,9.343037794952374e9,7.399862620740879e6,0.0,0.0,0.0,1.4536531317331317e11
Region25Yunnan,3.184616669567028e10,3.727837540525679e10,6.387647630749226e9,3.1320032249915255e6,0.0,0.0,0.0,7.551532173490128e10
Region11Zhejiang,2.3077397546588684e11,3.2702169418910652e10,5.609119542140227e9,4.131527740142814e6,0.0,0.0,0.0,2.6908939595467786e11
aluminum_Region1Beijing_aluminum_Region2Tianjin,0.0,0.0,1376.097063236119,0.0,0.0,0.0,0.0,1376.097063236119
aluminum_Region1Beijing_aluminum_Region3Hebei,0.0,0.0,546.2050540508162,0.0,0.0,0.0,0.0,546.2050540508162
aluminum_Region1Beijing_aluminum_Region4Shanxi,0.0,0.0,541.6943247749496,0.0,0.0,0.0,0.0,541.6943247749496
aluminum_Region1Beijing_aluminum_Region5Innermongolia,0.0,0.0,631.9945358763164,0.0,0.0,0.0,0.0,631.9945358763164
aluminum_Region1Beijing_aluminum_Region6Liaoning,0.0,0.0,13617.08725747008,0.0,0.0,0.0,0.0,13617.08725747008
aluminum_Region1Beijing_aluminum_Region7Jilin,0.0,0.0,1748.6133035199578,0.0,0.0,0.0,0.0,1748.6133035199578
aluminum_Region1Beijing_aluminum_Region8Heilongjiang,0.0,0.0,2078.579302616293,0.0,0.0,0.0,0.0,2078.579302616293
aluminum_Region1Beijing_aluminum_Region9Shanghai,0.0,0.0,3238.9406178451422,0.0,0.0,0.0,0.0,3238.9406178451422
aluminum_Region1Beijing_aluminum_Region10Jiangsu,0.0,0.0,3104.813923778947,0.0,0.0,0.0,0.0,3104.813923778947
aluminum_Region1Beijing_aluminum_Region11Zhejiang,0.0,0.0,2580.162867939357,0.0,0.0,0.0,0.0,2580.162867939357
aluminum_Region1Beijing_aluminum_Region12Anhui,0.0,0.0,2297.7178101369236,0.0,0.0,0.0,0.0,2297.7178101369236
aluminum_Region1Beijing_aluminum_Region13Fujian,0.0,0.0,2061.2861191392617,0.0,0.0,0.0,0.0,2061.2861191392617
aluminum_Region1Beijing_aluminum_Region14Jiangxi,0.0,0.0,1719.5717709798882,0.0,0.0,0.0,0.0,1719.5717709798882
aluminum_Region1Beijing_aluminum_Region15Shandong,0.0,0.0,1475.361962560401,0.0,0.0,0.0,0.0,1475.361962560401
aluminum_Region1Beijing_aluminum_Region16Henan,0.0,0.0,1016.4969358070543,0.0,0.0,0.0,0.0,1016.4969358070543
aluminum_Region1Beijing_aluminum_Region17Hubei,0.0,0.0,1770.0644421478012,0.0,0.0,0.0,0.0,1770.0644421478012
aluminum_Region1Beijing_aluminum_Region18Hunan,0.0,0.0,1404.4772128129355,0.0,0.0,0.0,0.0,1404.4772128129355
aluminum_Region1Beijing_aluminum_Region19Guangdong,0.0,0.0,1507.9125508661482,0.0,0.0,0.0,0.0,1507.9125508661482
aluminum_Region1Beijing_aluminum_Region20Guangxi,0.0,0.0,1144.2146491854332,0.0,0.0,0.0,0.0,1144.2146491854332
aluminum_Region1Beijing_aluminum_Region21Hainan,0.0,0.0,1092.1681102421724,0.0,0.0,0.0,0.0,1092.1681102421724
aluminum_Region1Beijing_aluminum_Region22Chongqing,0.0,0.0,929.3825260765963,0.0,0.0,0.0,0.0,929.3825260765963
aluminum_Region1Beijing_aluminum_Region23Sichuan,0.0,0.0,1115.991495887658,0.0,0.0,0.0,0.0,1115.991495887658
aluminum_Region1Beijing_aluminum_Region24Guizhou,0.0,0.0,872.2303673936416,0.0,0.0,0.0,0.0,872.2303673936416
aluminum_Region1Beijing_aluminum_Region25Yunnan,0.0,0.0,1111.1501673927817,0.0,0.0,0.0,0.0,1111.1501673927817
aluminum_Region1Beijing_aluminum_Region27Shaanxi,0.0,0.0,1153.9000135309266,0.0,0.0,0.0,0.0,1153.9000135309266
aluminum_Region1Beijing_aluminum_Region28Gansu,0.0,0.0,1376.3160650330983,0.0,0.0,0.0,0.0,1376.3160650330983
aluminum_Region1Beijing_aluminum_Region29Qinghai,0.0,0.0,1561.4126521296448,0.0,0.0,0.0,0.0,1561.4126521296448
aluminum_Region1Beijing_aluminum_Region30Ningxia,0.0,0.0,1241.6057509238183,0.0,0.0,0.0,0.0,1241.6057509238183
aluminum_Region1Beijing_aluminum_Region31Xinjiang,0.0,0.0,2118.134163002261,0.0,0.0,0.0,0.0,2118.134163002261
aluminum_Region2Tianjin_aluminum_Region1Beijing,0.0,0.0,996.9216222529662,0.0,0.0,0.0,0.0,996.9216222529662
aluminum_Region2Tianjin_aluminum_Region3Hebei,0.0,0.0,538.6847804238301,0.0,0.0,0.0,0.0,538.6847804238301
aluminum_Region2Tianjin_aluminum_Region4Shanxi,0.0,0.0,538.6892906364338,0.0,0.0,0.0,0.0,538.6892906364338
aluminum_Region2Tianjin_aluminum_Region5Innermongolia,0.0,0.0,670.548387378955,0.0,0.0,0.0,0.0,670.548387378955
aluminum_Region2Tianjin_aluminum_Region6Liaoning,0.0,0.0,38125.98171724566,0.0,0.0,0.0,0.0,38125.98171724566
aluminum_Region2Tianjin_aluminum_Region7Jilin,0.0,0.0,1729.2564392052118,0.0,0.0,0.0,0.0,1729.2564392052118
aluminum_Region2Tianjin_aluminum_Region8Heilongjiang,0.0,0.0,2063.217087804574,0.0,0.0,0.0,0.0,2063.217087804574
aluminum_Region2Tianjin_aluminum_Region9Shanghai,0.0,0.0,3989.4185796364477,0.0,0.0,0.0,0.0,3989.4185796364477
aluminum_Region2Tianjin_aluminum_Region10Jiangsu,0.0,0.0,3689.3201026189113,0.0,0.0,0.0,0.0,3689.3201026189113
aluminum_Region2Tianjin_aluminum_Region11Zhejiang,0.0,0.0,2915.5172750208644,0.0,0.0,0.0,0.0,2915.5172750208644
aluminum_Region2Tianjin_aluminum_Region12Anhui,0.0,0.0,2414.7391665419746,0.0,0.0,0.0,0.0,2414.7391665419746
aluminum_Region2Tianjin_aluminum_Region13Fujian,0.0,0.0,2188.217015221644,0.0,0.0,0.0,0.0,2188.217015221644
aluminum_Region2Tianjin_aluminum_Region14Jiangxi,0.0,0.0,1744.0706693530585,0.0,0.0,0.0,0.0,1744.0706693530585
aluminum_Region2Tianjin_aluminum_Region15Shandong,0.0,0.0,1558.702295283125,0.0,0.0,0.0,0.0,1558.702295283125
aluminum_Region2Tianjin_aluminum_Region16Henan,0.0,0.0,982.1275962351833,0.0,0.0,0.0,0.0,982.1275962351833
aluminum_Region2Tianjin_aluminum_Region17Hubei,0.0,0.0,1749.7131983432696,0.0,0.0,0.0,0.0,1749.7131983432696
aluminum_Region2Tianjin_aluminum_Region18Hunan,0.0,0.0,1392.247061288874,0.0,0.0,0.0,0.0,1392.247061288874
aluminum_Region2Tianjin_aluminum_Region19Guangdong,0.0,0.0,1505.0892625298695,0.0,0.0,0.0,0.0,1505.0892625298695
aluminum_Region2Tianjin_aluminum_Region20Guangxi,0.0,0.0,1140.5796534198034,0.0,0.0,0.0,0.0,1140.5796534198034
aluminum_Region2Tianjin_aluminum_Region21Hainan,0.0,0.0,1090.3079259625417,0.0,0.0,0.0,0.0,1090.3079259625417
aluminum_Region2Tianjin_aluminum_Region22Chongqing,0.0,0.0,926.2965692779175,0.0,0.0,0.0,0.0,926.2965692779175
aluminum_Region2Tianjin_aluminum_Region23Sichuan,0.0,0.0,1109.5859380169265,0.0,0.0,0.0,0.0,1109.5859380169265
aluminum_Region2Tianjin_aluminum_Region24Guizhou,0.0,0.0,867.138275110403,0.0,0.0,0.0,0.0,867.138275110403
aluminum_Region2Tianjin_aluminum_Region25Yunnan,0.0,0.0,1107.4979426465395,0.0,0.0,0.0,0.0,1107.4979426465395
aluminum_Region2Tianjin_aluminum_Region27Shaanxi,0.0,0.0,1139.9792246549662,0.0,0.0,0.0,0.0,1139.9792246549662
aluminum_Region2Tianjin_aluminum_Region28Gansu,0.0,0.0,1355.706262471186,0.0,0.0,0.0,0.0,1355.706262471186
aluminum_Region2Tianjin_aluminum_Region29Qinghai,0.0,0.0,1533.0310838040557,0.0,0.0,0.0,0.0,1533.0310838040557
aluminum_Region2Tianjin_aluminum_Region30Ningxia,0.0,0.0,1222.2852727525456,0.0,0.0,0.0,0.0,1222.2852727525456
aluminum_Region2Tianjin_aluminum_Region31Xinjiang,0.0,0.0,2010.1286684408685,0.0,0.0,0.0,0.0,2010.1286684408685
aluminum_Region3Hebei_aluminum_Region1Beijing,0.0,0.0,11814.975707782187,0.0,0.0,0.0,0.0,11814.975707782187
aluminum_Region3Hebei_aluminum_Region2Tianjin,0.0,0.0,13334.2046730031,0.0,0.0,0.0,0.0,13334.2046730031
aluminum_Region3Hebei_aluminum_Region4Shanxi,0.0,0.0,561.0991262793784,0.0,0.0,0.0,0.0,561.0991262793784
aluminum_Region3Hebei_aluminum_Region5Innermongolia,0.0,0.0,943.0723445767577,0.0,0.0,0.0,0.0,943.0723445767577
aluminum_Region3Hebei_aluminum_Region6Liaoning,0.0,0.0,22349.754764419806,0.0,0.0,0.0,0.0,22349.754764419806
aluminum_Region3Hebei_aluminum_Region7Jilin,0.0,0.0,2242.7619585471725,0.0,0.0,0.0,0.0,2242.7619585471725
aluminum_Region3Hebei_aluminum_Region8Heilongjiang,0.0,0.0,2554.8503437850045,0.0,0.0,0.0,0.0,2554.8503437850045
aluminum_Region3Hebei_aluminum_Region9Shanghai,0.0,0.0,48255.33531900157,0.0,0.0,0.0,0.0,48255.33531900157
aluminum_Region3Hebei_aluminum_Region10Jiangsu,0.0,0.0,83471.68068131711,0.0,0.0,0.0,0.0,83471.68068131711
aluminum_Region3Hebei_aluminum_Region11Zhejiang,0.0,0.0,7365.073378093085,0.0,0.0,0.0,0.0,7365.073378093085
aluminum_Region3Hebei_aluminum_Region12Anhui,0.0,0.0,11572.069862262248,0.0,0.0,0.0,0.0,11572.069862262248
aluminum_Region3Hebei_aluminum_Region13Fujian,0.0,0.0,3652.4063078765876,0.0,0.0,0.0,0.0,3652.4063078765876
aluminum_Region3Hebei_aluminum_Region14Jiangxi,0.0,0.0,3339.022628552742,0.0,0.0,0.0,0.0,3339.022628552742
aluminum_Region3Hebei_aluminum_Region15Shandong,0.0,0.0,30275.33425901395,0.0,0.0,0.0,0.0,30275.33425901395
aluminum_Region3Hebei_aluminum_Region16Henan,0.0,0.0,2446.908954591019,0.0,0.0,0.0,0.0,2446.908954591019
aluminum_Region3Hebei_aluminum_Region17Hubei,0.0,0.0,5078.054800815122,0.0,0.0,0.0,0.0,5078.054800815122
aluminum_Region3Hebei_aluminum_Region18Hunan,0.0,0.0,2188.942388104537,0.0,0.0,0.0,0.0,2188.942388104537
aluminum_Region3Hebei_aluminum_Region19Guangdong,0.0,0.0,1996.0920386141756,0.0,0.0,0.0,0.0,1996.0920386141756
aluminum_Region3Hebei_aluminum_Region20Guangxi,0.0,0.0,1344.0837101815778,0.0,0.0,0.0,0.0,1344.0837101815778
aluminum_Region3Hebei_aluminum_Region21Hainan,0.0,0.0,1247.622485984729,0.0,0.0,0.0,0.0,1247.622485984729
aluminum_Region3Hebei_aluminum_Region22Chongqing,0.0,0.0,1083.6813795289638,0.0,0.0,0.0,0.0,1083.6813795289638
aluminum_Region3Hebei_aluminum_Region23Sichuan,0.0,0.0,1397.0632353414837,0.0,0.0,0.0,0.0,1397.0632353414837
aluminum_Region3Hebei_aluminum_Region24Guizhou,0.0,0.0,989.0408298978571,0.0,0.0,0.0,0.0,989.0408298978571
aluminum_Region3Hebei_aluminum_Region25Yunnan,0.0,0.0,1297.8894435397865,0.0,0.0,0.0,0.0,1297.8894435397865
aluminum_Region3Hebei_aluminum_Region27Shaanxi,0.0,0.0,1937.477920195475,0.0,0.0,0.0,0.0,1937.477920195475
aluminum_Region3Hebei_aluminum_Region28Gansu,0.0,0.0,2126.2605978211564,0.0,0.0,0.0,0.0,2126.2605978211564
aluminum_Region3Hebei_aluminum_Region29Qinghai,0.0,0.0,2515.9387394994933,0.0,0.0,0.0,0.0,2515.9387394994933
aluminum_Region3Hebei_aluminum_Region30Ningxia,0.0,0.0,2110.3677011765553,0.0,0.0,0.0,0.0,2110.3677011765553
aluminum_Region3Hebei_aluminum_Region31Xinjiang,0.0,0.0,2711.714283990184,0.0,0.0,0.0,0.0,2711.714283990184
aluminum_Region4Shanxi_aluminum_Region1Beijing,0.0,0.0,4.838694040796052e6,0.0,0.0,0.0,0.0,4.838694040796052e6
aluminum_Region4Shanxi_aluminum_Region2Tianjin,0.0,0.0,8.158750020599753e6,0.0,0.0,0.0,0.0,8.158750020599753e6
aluminum_Region4Shanxi_aluminum_Region3Hebei,0.0,0.0,5.1731029418907054e7,0.0,0.0,0.0,0.0,5.1731029418907054e7
aluminum_Region4Shanxi_aluminum_Region5Innermongolia,0.0,0.0,1524.503649818004,0.0,0.0,0.0,0.0,1524.503649818004
aluminum_Region4Shanxi_aluminum_Region6Liaoning,0.0,0.0,1.3736887546845815e8,0.0,0.0,0.0,0.0,1.3736887546845815e8
aluminum_Region4Shanxi_aluminum_Region7Jilin,0.0,0.0,2705.5360617985207,0.0,0.0,0.0,0.0,2705.5360617985207
aluminum_Region4Shanxi_aluminum_Region8Heilongjiang,0.0,0.0,3014.904666060378,0.0,0.0,0.0,0.0,3014.904666060378
aluminum_Region4Shanxi_aluminum_Region9Shanghai,0.0,0.0,5.258593113182065e6,0.0,0.0,0.0,0.0,5.258593113182065e6
aluminum_Region4Shanxi_aluminum_Region10Jiangsu,0.0,0.0,5.148584494018897e8,0.0,0.0,0.0,0.0,5.148584494018897e8
aluminum_Region4Shanxi_aluminum_Region11Zhejiang,0.0,0.0,9546.094586494937,0.0,0.0,0.0,0.0,9546.094586494937
aluminum_Region4Shanxi_aluminum_Region12Anhui,0.0,0.0,2.3061472813440895e8,0.0,0.0,0.0,0.0,2.3061472813440895e8
aluminum_Region4Shanxi_aluminum_Region13Fujian,0.0,0.0,4925.835077355878,0.0,0.0,0.0,0.0,4925.835077355878
aluminum_Region4Shanxi_aluminum_Region14Jiangxi,0.0,0.0,5354.067775889543,0.0,0.0,0.0,0.0,5354.067775889543
