time,Region1Beijing_onshore_wind,Region2Tianjin_onshore_wind,Region3Hebei_onshore_wind,Region4Shanxi_onshore_wind,Region5Innermongolia_onshore_wind,Region6Liaoning_onshore_wind,Region7Jilin_onshore_wind,Region8Heilongjiang_onshore_wind,Region9Shanghai_onshore_wind,Region10Jiangsu_onshore_wind,Region11Zhejiang_onshore_wind,Region12Anhui_onshore_wind,Region13Fujian_onshore_wind,Region14Jiangxi_onshore_wind,Region15Shandong_onshore_wind,Region16Henan_onshore_wind,Region17Hubei_onshore_wind,Region18Hunan_onshore_wind,Region19Guangdong_onshore_wind,Region20Guangxi_onshore_wind,Region21Hainan_onshore_wind,Region22Chongqing_onshore_wind,Region23Sichuan_onshore_wind,Region24Guizhou_onshore_wind,Region25Yunnan_onshore_wind,Region26Tibet_onshore_wind,Region27Shaanxi_onshore_wind,Region28Gansu_onshore_wind,Region29Qinghai_onshore_wind,Region30Ningxia_onshore_wind,Region31Xinjiang_onshore_wind,Region1Beijing_offshore_wind,Region2Tianjin_offshore_wind,Region3Hebei_offshore_wind,Region4Shanxi_offshore_wind,Region5Innermongolia_offshore_wind,Region6Liaoning_offshore_wind,Region7Jilin_offshore_wind,Region8Heilongjiang_offshore_wind,Region9Shanghai_offshore_wind,Region10Jiangsu_offshore_wind,Region11Zhejiang_offshore_wind,Region12Anhui_offshore_wind,Region13Fujian_offshore_wind,Region14Jiangxi_offshore_wind,Region15Shandong_offshore_wind,Region16Henan_offshore_wind,Region17Hubei_offshore_wind,Region18Hunan_offshore_wind,Region19Guangdong_offshore_wind,Region20Guangxi_offshore_wind,Region21Hainan_offshore_wind,Region22Chongqing_offshore_wind,Region23Sichuan_offshore_wind,Region24Guizhou_offshore_wind,Region25Yunnan_offshore_wind,Region26Tibet_offshore_wind,Region27Shaanxi_offshore_wind,Region28Gansu_offshore_wind,Region29Qinghai_offshore_wind,Region30Ningxia_offshore_wind,Region31Xinjiang_offshore_wind,Region1Beijing_utility_scale_solar_pv,Region2Tianjin_utility_scale_solar_pv,Region3Hebei_utility_scale_solar_pv,Region4Shanxi_utility_scale_solar_pv,Region5Innermongolia_utility_scale_solar_pv,Region6Liaoning_utility_scale_solar_pv,Region7Jilin_utility_scale_solar_pv,Region8Heilongjiang_utility_scale_solar_pv,Region9Shanghai_utility_scale_solar_pv,Region10Jiangsu_utility_scale_solar_pv,Region11Zhejiang_utility_scale_solar_pv,Region12Anhui_utility_scale_solar_pv,Region13Fujian_utility_scale_solar_pv,Region14Jiangxi_utility_scale_solar_pv,Region15Shandong_utility_scale_solar_pv,Region16Henan_utility_scale_solar_pv,Region17Hubei_utility_scale_solar_pv,Region18Hunan_utility_scale_solar_pv,Region19Guangdong_utility_scale_solar_pv,Region20Guangxi_utility_scale_solar_pv,Region21Hainan_utility_scale_solar_pv,Region22Chongqing_utility_scale_solar_pv,Region23Sichuan_utility_scale_solar_pv,Region24Guizhou_utility_scale_solar_pv,Region25Yunnan_utility_scale_solar_pv,Region26Tibet_utility_scale_solar_pv,Region27Shaanxi_utility_scale_solar_pv,Region28Gansu_utility_scale_solar_pv,Region29Qinghai_utility_scale_solar_pv,Region30Ningxia_utility_scale_solar_pv,Region31Xinjiang_utility_scale_solar_pv,Region1Beijing_distributed_solar_pv,Region2Tianjin_distributed_solar_pv,Region3Hebei_distributed_solar_pv,Region4Shanxi_distributed_solar_pv,Region5Innermongolia_distributed_solar_pv,Region6Liaoning_distributed_solar_pv,Region7Jilin_distributed_solar_pv,Region8Heilongjiang_distributed_solar_pv,Region9Shanghai_distributed_solar_pv,Region10Jiangsu_distributed_solar_pv,Region11Zhejiang_distributed_solar_pv,Region12Anhui_distributed_solar_pv,Region13Fujian_distributed_solar_pv,Region14Jiangxi_distributed_solar_pv,Region15Shandong_distributed_solar_pv,Region16Henan_distributed_solar_pv,Region17Hubei_distributed_solar_pv,Region18Hunan_distributed_solar_pv,Region19Guangdong_distributed_solar_pv,Region20Guangxi_distributed_solar_pv,Region21Hainan_distributed_solar_pv,Region22Chongqing_distributed_solar_pv,Region23Sichuan_distributed_solar_pv,Region24Guizhou_distributed_solar_pv,Region25Yunnan_distributed_solar_pv,Region26Tibet_distributed_solar_pv,Region27Shaanxi_distributed_solar_pv,Region28Gansu_distributed_solar_pv,Region29Qinghai_distributed_solar_pv,Region30Ningxia_distributed_solar_pv,Region31Xinjiang_distributed_solar_pv
1,0.34837124377008877,0.3594421927464282,0.5543550709771807,0.5046103188215056,0.603877235611435,0.5861388938938035,0.6045911430046544,0.563484184556728,0.1312854158479695,0.1828671327120901,0.21327984993513383,0.2006250704453123,0.7016803770966362,0.8806292612571269,0.5390190883481409,0.45241954834409626,0.5932763387329487,0.9693628460372565,0.8656722643790999,1.0048264063007082,0.9404638799351233,0.7128326467318402,0.8199772801453946,0.961905735428445,0.9694440178136574,0.5223057964733471,0.9926832100754837,1.0483433268091176,0.9636197200006791,0.5216544381837593,1.0812214479083195,0.0,0.3710033928595635,0.41407175279168484,0.0,0.0,0.450235442366008,0.0,0.0,0.19999988568372373,0.22023481151154556,0.24030849415430566,0.0,0.8576311876968248,0.0,0.4507376894424624,0.0,0.0,0.0,0.8236186500635085,0.4315639480305471,0.3380303763279455,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.3483879297345993,0.3651071145914102,0.5560521484658238,0.5159717378846835,0.6139589785016142,0.5943392468980164,0.6126549994114612,0.5615352605527733,0.18318801669045115,0.2754744978647068,0.2805002951881761,0.25289346884164843,0.6995740894763003,0.8950205560977338,0.5401386244047899,0.4509494386024926,0.5946086157262016,0.9763231430843007,0.8797390669788001,1.0580852460116148,0.9687459565611789,0.7441488974618551,0.829272340713942,0.9595294562168419,0.9720718213866348,0.49986197646148867,1.0139470430876827,1.049684683443047,0.955790119305675,0.5327373920808895,1.081458308006404,0.0,0.3705659546233022,0.4313109024002557,0.0,0.0,0.4437810875593584,0.0,0.0,0.2915688123857194,0.3077570006989845,0.3328478283729055,0.0,0.8502983954676893,0.0,0.45410252116812444,0.0,0.0,0.0,0.8348124236854346,0.4456894653867671,0.46977563330702954,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,0.36278802192464354,0.38903949034829566,0.5841305344802095,0.5439676341047743,0.661758994217962,0.6222197623428656,0.6379839787259698,0.5803212731298117,0.23187993618682867,0.34449024335663125,0.34537491879746085,0.2985616922178451,0.7110578652427648,0.928098155578482,0.5664740325009916,0.4819191690585285,0.6009080610253932,0.9932532756647561,0.8879186198028037,1.0670600172743434,0.9954192034783773,0.6420232000418764,0.8317256631489727,0.9611399016430369,0.9742513371020323,0.4642075984255598,1.0227802790759597,1.0524093601852655,0.9536862169957203,0.5708171371225035,1.0792097484518308,0.0,0.38492019033425606,0.4627732751840483,0.0,0.0,0.4742178537898383,0.0,0.0,0.3864177065795502,0.3863573070484563,0.4256197563227033,0.0,0.8549949224980082,0.0,0.473052571620201,0.0,0.0,0.0,0.8368404685752466,0.43858035190907074,0.6110223879182279,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,0.5335880212696793,0.5870147041769087,0.8634046340666828,0.8248245313952793,1.0411417864379473,0.9580471054068767,0.9508413608382398,0.8490202235661855,0.25435957688807775,0.3546301035275974,0.632095466096871,0.3815863689746948,1.6346454073391214,2.0682540473499103,0.8413543057395145,0.7084335475688022,0.6234334394182497,2.1923626822972437,0.8915167470986489,1.0749568712126347,1.017959517917916,0.6997566856625781,0.8321128381357994,0.9631718953460222,0.9754511267965427,0.0,1.0305468273436418,1.0554871928761713,0.9529411051103125,0.8331561961022089,1.0850680089497473,0.0,0.5608671131614642,0.6918485401477596,0.0,0.0,0.7518288256769097,0.0,0.0,0.4307337145698966,0.41944953649363015,0.7698151314543793,0.0,1.9059795887660584,0.0,0.7019187303287708,0.0,0.0,0.0,0.8413400596091378,0.4447218312893533,0.6841979006392793,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,0.5532064766484837,0.5859333787248033,0.8922365748003358,0.8597790440690005,4.309082103194669,3.8975439114728943,3.7466002916953585,0.8622786367632216,0.2541167869932224,0.37422883936960716,0.6559962536666717,0.3976053243750357,2.958402615488012,3.664341401847196,0.8630022258585086,0.7225363052862122,0.5874068152398877,3.8752112414804287,0.8932511800230714,1.0958201017347164,1.0331043047481216,0.7343071505019907,0.8349364989408059,0.9627074793825159,0.9765778232758748,0.0,1.057163005170878,1.0706405798264313,0.9582069489056266,0.8297522366628982,1.09151385264704,0.0,0.5755613921801768,0.7241716093946309,0.0,0.0,3.263600952717354,0.0,0.0,0.4327773678098765,0.42155916117553716,0.7783987401635386,0.0,3.387916733554448,0.0,0.7243717015567199,0.0,0.0,0.0,0.7500628587422398,0.45328814818114793,0.6924696711704983,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,0.5723648611128738,0.6125058734050981,0.9307535355910659,0.8891592738145846,3.8475190606550314,3.567528963481891,3.382068080143654,0.8865880611920147,0.24845752198348237,0.38673009230296884,0.7697144643516367,0.2449425939433354,1.5284717547983746,3.3484451809927123,0.8909841858840082,0.7459650680821142,0.555128702374418,3.415442615529173,0.8904504263191484,1.1219679532805458,1.0355757341058052,0.7389600439964852,0.8365100510127377,0.9654010335798375,0.9751427800729289,0.31244784007487425,1.0847775244910736,1.0770087998826057,0.9601315999375402,0.842407127507613,1.0894524453906342,0.0,0.5953049547387366,0.7678891999779012,0.0,0.0,3.0189686809390253,0.0,0.0,0.4320338862113431,0.4174926112027606,0.8984877848270116,0.0,1.7352985547186108,0.0,0.7449060102976546,0.0,0.0,0.0,0.7656467988272198,0.5043493045142782,0.6831656984698982,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,0.5606238101208874,0.5957743953567842,0.9129741846409161,0.9197825601731893,3.0587413675966673,3.1098559665842913,2.823201938164857,0.8662692895195505,0.23575324092621486,0.35522928650243557,0.7506621454722335,0.3301864510026462,0.7461660222616047,0.9198909126716899,0.8722810103354277,0.7315113528184156,0.48826333295761515,3.3722359960811445,0.875300961517496,1.161745573321241,1.031297030447604,0.7257078807233484,0.8391724282628275,0.9675998809252633,0.9705991232112865,0.43365272579703174,1.1080825992394239,1.108878432540223,0.9602850988717364,0.8011330510053085,1.0641914249863476,0.0,0.576246605267329,0.7227599869852241,0.0,0.0,3.0122904209498245,0.0,0.0,0.38820887970388185,0.3787300221511032,0.8765170872939052,0.0,0.8227436113884323,0.0,0.7012493861840312,0.0,0.0,0.0,0.7643103138689185,0.5134242165170448,0.6184693057024979,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,0.5818912358081434,0.6756913089157024,0.9541432974219788,424.7556520446815,6088.260663116234,12356.75354617754,598.5111521971266,0.871249529904162,0.23297054093802672,0.3454892285117239,0.6628786305955146,0.33231091625748377,0.7893543244972534,0.9593664324856945,0.9252949276706204,0.6841325204804889,0.4578371275201789,395.8389783477396,0.8306120644774637,1799.0673153530079,1.0255026656486734,0.8028890876157675,0.8392371876543621,0.9550277420785278,0.9676208262753789,0.49010412652341984,647.2055399175442,870.207622574293,0.9622946569324995,0.7240125157404691,1.0603072745143436,0.0,0.6201065456161814,0.6817911579767468,0.0,0.0,67.64498675575726,0.0,0.0,0.3802095939412027,0.3764444750622715,0.7833512523793615,0.0,0.8206099487215397,0.0,0.7085757038101974,0.0,0.0,0.0,0.7503983509304817,19.80170632286391,0.5575631045341845,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,7.496258456085343,8.436159950072579,12.46026298792276,793.3189213286532,23723.639809755667,34854.93923262719,1092.5578093110598,11.204837878034596,0.23262427581903466,0.3437285727195558,0.6636343212903739,0.44092357993213227,0.6913113850678201,0.948324966848304,12.147146386967506,0.7396018451236159,0.4827425098890785,0.9825358321104432,0.8074608593742596,12888.003292585505,1.0225505344496923,0.7791870412256685,0.8401948504615575,0.9427848870982416,0.9664713939273497,0.5088636742366361,1499.564346162777,14554.404726831883,0.969707511863362,0.7328821655974025,1.0609178880986292,0.0,6.757159547317087,8.180446671212394,0.0,0.0,69.65386529600893,0.0,0.0,0.37776833553047595,0.3826636396061076,0.785237905656686,0.0,0.829996169275546,0.0,8.80212596442891,0.0,0.0,0.0,0.7525462846024311,19.77861579607039,0.5265478791773095,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.108306412095189,6.143861170386117,5.791185616138648,4.480908301934506,396.69098498179113,138.25160568009758,92.17389177894445,8.27799074979768,0.27171715113195205,0.3305030564270055,0.5656184226456844,0.4634513146529571,0.5994284981820641,0.7290472059780768,9.790471184644275,0.6418456475429721,0.7066536016520786,0.6203330599291519,0.7438731655129232,298.33200334738905,0.46130762897260524,0.0,0.0,0.4002236894840365,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.46785488371704,4.573825921669588,4.404498090589346,0.0,0.0,262.66960040157386,0.0,0.0,0.2537513481291853,0.34391377752444896,0.6981596222963162,0.4625877876744653,0.679105312407728,0.5572568894754113,9.295066855314644,0.39371836505635827,0.5662607561553159,0.48956155463815776,0.6157128227052908,4.973831617494573,0.44735144291158235,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,714.847519939678,554.081255799676,1751.2861690816935,2225.133189034954,55941.21639745915,64596.983415401075,1522.3307267180207,11.059658293284883,0.27899143887594846,0.42125697781102645,0.6595482347493089,0.6263163212224754,0.6984186646222952,0.9119058877258794,1353.7728050508886,0.7314649121963157,0.4386550778467324,0.9295126797005651,0.8491662797823665,22007.77399084583,1.0123629678091675,0.7938305968400527,0.8419057939463528,0.9314863516774494,0.9650620503743994,0.5444274296748972,3601.0059481831413,85477.893792599,0.9665719903346144,0.804744396595197,1.047443737188587,0.0,11.968429771879183,19.436682422536418,0.0,0.0,74.13192069834997,0.0,0.0,0.4594856272881458,0.4816006311139063,0.7901095205452293,0.0,0.8301847835100489,0.0,241.5515090887037,0.0,0.0,0.0,0.737297457166278,19.47004613383613,0.4553019444475789,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,545.4632213924374,585.8656612556324,1673.8945092737922,1745.3367377581599,4926.352070706041,880.3059732601843,329.4593236690783,9.907110929165356,0.3551767113972346,0.41369347555882996,0.6181651156623502,0.7179611437059066,0.6731938816606373,0.8457075763481043,1087.7163800394173,0.7445528253385874,0.8335553582942339,0.6829065189909898,0.7214760094357189,1055.3025261337662,0.5501103513222461,0.7457702880260229,0.7119210213044198,0.5984889871699579,0.7231389971238968,0.4738415522815558,824.9852391252446,951.5689118903114,0.5523254703853127,0.7762405656021656,0.0,94.712229484913,221.63120006024417,1018.1273853951343,0.0,0.0,1029.712631540582,0.0,0.0,0.3332580394119873,0.46660082832022454,0.7538157051731105,0.5829838704339636,0.7245794552927691,0.6304496260606811,1096.7993504133665,0.579596556598517,0.6717517181102721,0.5386953417239511,0.6839786339505736,219.31744796480686,0.5137564772219889,0.5899758795768548,0.0,0.5832136067039002,0.4668416713093677,0.22076050351697651,0.0,0.0,0.0,0.0,0.0
