type,Investment,FixedOM,VariableOM,Startup,NonServedDemand,Supply,UnmetPolicyPenalty,Total
AluminaPlant{NaturalGas},14717.793051933744,76462.36490159706,32769.58495782731,0.0,0.0,0.0,0.0,123949.7429113581
OneWayTransmissionLink{Aluminum},0.0,0.0,7.19599177251532e7,0.0,0.0,0.0,0.0,7.19599177251532e7
AluminumRefining,1.2478213602008083e9,5.332431856907384e9,1.3679973040906107e10,0.0,0.0,0.0,0.0,2.0260226258014297e10
OneWayTransmissionLink{AluminumScrap},0.0,0.0,1.0982365030181915e8,0.0,0.0,0.0,0.0,1.0982365030181915e8
AluminumSmelting,10362.765319338741,69636.17466171621,5398.470220234602,0.0,0.0,0.0,0.0,85397.41020128955
ThermalAmmonia{Coal},294712.01601577067,3.702875009755768e9,0.0,0.0,0.0,0.0,0.0,3.703169721771784e9
ThermalAmmoniaCCS{Coal},1.8630179572046343e6,3.8617800511952676e6,0.0,0.0,0.0,0.0,0.0,5.724798008399902e6
ThermalAmmonia{CokingOvenGas},0.0,605000.0616884297,0.0,0.0,0.0,0.0,0.0,605000.0616884297
ThermalAmmonia{NaturalGas},1.0539736289031196e6,1.5184184448831725e8,0.0,0.0,0.0,0.0,0.0,1.5289581811722037e8
ThermalAmmoniaCCS{NaturalGas},2.608858076847931e6,3.465388029558946e6,0.0,0.0,0.0,0.0,0.0,6.074246106406877e6
SyntheticAmmonia,6.087913645725322e8,4.6167698295111716e8,0.0,0.0,0.0,0.0,0.0,1.0704683475236493e9
OneWayTransmissionLink{Cement},0.0,0.0,535159.0704327923,0.0,0.0,0.0,0.0,535159.0704327923
OneWayTransmissionLink{CrudeSteel},0.0,0.0,3.4622157417288315e10,0.0,0.0,0.0,0.0,3.4622157417288315e10
OneWayTransmissionLink{DRI},0.0,0.0,2.1240163871231455e8,0.0,0.0,0.0,0.0,2.1240163871231455e8
DRIMaking,7.45236633280236e10,1.8486728516074635e10,0.0,0.0,0.0,0.0,0.0,9.301039184409824e10
ThermalMethanol{Coal},612078.5551158831,4.3655900423918307e8,0.0,0.0,0.0,0.0,0.0,4.3717108279429895e8
ThermalMethanolCCS{Coal},1.651056945360058e6,1.2961639499200912e7,0.0,0.0,0.0,0.0,0.0,1.4612696444560971e7
ThermalMethanol{CokingOvenGas},0.0,2.0478919097229617e6,0.0,0.0,0.0,0.0,0.0,2.0478919097229617e6
ThermalMethanol{NaturalGas},0.0,4.329018862598528e7,0.0,0.0,0.0,0.0,0.0,4.329018862598528e7
ThermalMethanolCCS{NaturalGas},1.0170928864749549e6,9.515361625392849e6,0.0,0.0,0.0,0.0,0.0,1.0532454511867803e7
SyntheticMethanol,8.239924470317617e9,6.240345737647314e9,0.0,0.0,0.0,0.0,0.0,1.4480270207964931e10
Steelmaking,5.460708526336818e10,1.3554521472817884e10,0.0,0.0,0.0,0.0,0.0,6.8161606736186066e10
OneWayTransmissionLink{SteelScrap},0.0,0.0,2.1586666578412062e8,0.0,0.0,0.0,0.0,2.1586666578412062e8
CementPlant{Coal},18607.259752724352,1.4956112523770552e7,2.2123997164450455e10,0.0,0.0,0.0,0.0,2.213897188423398e10
ThermalPower{Coal},2.841400219498512e6,3.4743973361509767e9,5.841494994105164e8,3.345037328170721e8,0.0,0.0,0.0,4.395891968598063e9
ThermalPower{NaturalGas},1.0562647683678747e10,4.0631166451591887e9,1.3211326045262303e9,8.600928216871627e7,0.0,0.0,0.0,1.6032906215532883e10
ThermalPowerCCS{Coal},2.9348971873646057e10,1.008584128219956e10,5.120173723154957e9,1.7984240887601694e8,0.0,0.0,0.0,4.4734829287876595e10
ThermalPowerCCS{NaturalGas},5.857762622421365e7,2.8778200632314216e7,1.3975103080611166e7,6.2852346138825305e6,0.0,0.0,0.0,1.0761616455102156e8
ThermalPower{Uranium},0.0,4.44146029909837e9,1.9035679883902462e9,0.0,0.0,0.0,0.0,6.345028287488616e9
BECCSElectricity,7.624109934652891e9,1.2409864496970531e10,0.0,0.0,0.0,0.0,0.0,2.003397443162342e10
HydroRes,0.0,3.450407301386348e10,0.0,0.0,0.0,0.0,0.0,3.450407301386348e10
VRE{Generic},3.65014375378889e11,1.7579243228552496e11,0.0,0.0,0.0,0.0,0.0,5.4080680766441394e11
Electrolyzer,3.920759700876841e10,1.021595260027241e10,0.0,0.0,0.0,0.0,0.0,4.942354960904082e10
ThermalHydrogen{NaturalGas},2.896696101071218e9,1.841209285673901e9,2.367505621817932e8,1.5797616178823449e6,0.0,0.0,0.0,4.976235710544795e9
ThermalHydrogenCCS{NaturalGas},1.2537163312994045e8,5.060924434409451e7,2.9105758919402886e7,236479.72375573294,0.0,0.0,0.0,2.053231161171936e8
ThermalHydrogen{Coal},1.1646422245457675e7,3.438104620377144e7,3.4637924639629745e6,127436.20636757468,0.0,0.0,0.0,4.961869711955967e7
ThermalHydrogenCCS{Coal},3.9747249478526324e7,2.1163945791798435e7,5.879342864318878e6,98501.68598914472,0.0,0.0,0.0,6.688903982063278e7
OneWayTransmissionLink{Electricity},1.799532092902051e9,4.874547768034645e9,0.0,0.0,0.0,0.0,0.0,6.674079860936696e9
Battery,5.5415017601896095e10,2.5554114953283775e10,7.909619130648438e6,0.0,0.0,0.0,0.0,8.097704217431052e10
GasStorage{Hydrogen},1.0456843388054354e10,1.7855439734696531e9,0.0,0.0,0.0,0.0,0.0,1.2242387361524006e10
TransmissionLink{Electricity},6.26873705556284e8,3.74916921383258e9,0.0,0.0,0.0,0.0,0.0,4.3760429193888645e9
CO2Injection,1.8303418087466927e10,6.596463468097253e9,0.0,0.0,0.0,0.0,0.0,2.489988155556418e10
OneWayTransmissionLink{CO2Captured},438053.16386954306,2.5727111059804517e6,0.0,0.0,0.0,0.0,0.0,3.0107642698499947e6
Node{Electricity},0.0,0.0,0.0,0.0,1.9452429417391904e7,0.0,0.0,1.9452429417391904e7
Node{NaturalGas},0.0,0.0,0.0,0.0,0.0,2.477844581701693e10,0.0,2.477844581701693e10
Node{Coal},0.0,0.0,0.0,0.0,0.0,9.16493804242937e10,0.0,9.16493804242937e10
Node{Uranium},0.0,0.0,0.0,0.0,0.0,7.608623423821934e9,0.0,7.608623423821934e9
Node{Hydrogen},0.0,0.0,0.0,0.0,5.434048234347344e6,0.0,0.0,5.434048234347344e6
Node{CO2},0.0,0.0,0.0,0.0,0.0,0.0,5.6237933319282895e6,5.6237933319282895e6
Node{Biomass},0.0,0.0,0.0,0.0,0.0,1.977710405668429e11,0.0,1.977710405668429e11
Node{SteelScrap},0.0,0.0,0.0,0.0,0.0,1.6047645244578402e7,0.0,1.6047645244578402e7
Node{AluminumScrap},0.0,0.0,0.0,0.0,0.0,2.4896902313746646e11,0.0,2.4896902313746646e11
Node{Bauxite},0.0,0.0,0.0,0.0,0.0,27223.962888041133,0.0,27223.962888041133
Node{Graphite},0.0,0.0,0.0,0.0,0.0,29386.83386014805,0.0,29386.83386014805
Node{MacroEnergy.CokingOvenGas},0.0,0.0,0.0,0.0,0.0,2.630890183688408e6,0.0,2.630890183688408e6
Total,6.807311355054103e11,3.479835216554569e11,8.026286081641656e10,6.086828377096827e8,2.4886477651739247e7,5.70795248515667e11,5.6237933319282895e6,1.6804119596016443e12
