zone,Investment,FixedOM,VariableOM,Startup,NonServedDemand,Supply,UnmetPolicyPenalty,Total
Region1Beijing,8.023570153765929e9,4.189314470798358e9,1.7225697869455594e8,1.2015852172873275e7,0.0,0.0,0.0,1.2397157455431715e10
Region2Tianjin,4.829285792204436e9,4.652795077558415e9,1.45762035501285e8,9.122645633819845e6,0.0,0.0,0.0,9.636965550897957e9
Region12Anhui,8.150478942275662e10,2.8573069426510303e10,3.3379047765836706e9,5.916052546207259e6,0.0,0.0,0.0,1.1342167967839679e11
Region9Shanghai,6.203266753025331e10,2.587702574294525e10,9.507145514975462e9,4.188816702679067e8,0.0,0.0,0.0,9.783572045844194e10
Region22Chongqing,1.3873442531100119e10,1.4085261236091045e10,1.4867152064078338e9,4.240720034201025e6,0.0,0.0,0.0,2.9449659693633198e10
Region13Fujian,3.586524196343365e10,4.139441646977471e10,5.645064796443235e9,8.360682121454321e6,0.0,0.0,0.0,8.291308391177306e10
Region28Gansu,2.7464389122042407e11,9.408881925836014e10,1.2607885040747416e9,6.486537392438661e6,0.0,0.0,0.0,3.699999855202514e11
Region19Guangdong,1.544753821720105e11,5.651413740935664e10,1.180898723995652e10,2.2083829462051868e8,0.0,0.0,0.0,2.2301934511594415e11
Region20Guangxi,1.1750665933465501e11,4.1979597805635735e10,3.614425449684472e9,6.078370782246002e6,0.0,0.0,0.0,1.6310676096075748e11
Region24Guizhou,2.020055323699923e10,3.752700043754303e10,2.8053942754918575e9,4.0131218949278933e6,0.0,0.0,0.0,6.053696107192905e10
Region21Hainan,1.0305252740268263e10,8.343964089139221e9,1.3290406898893023e9,1.0781716865760973e8,0.0,0.0,0.0,2.0086074687954395e10
Region3Hebei,9.97928422279685e10,6.107390675801408e10,2.6193529955904374e9,4.064065630174906e7,0.0,0.0,0.0,1.6352674263787476e11
Region8Heilongjiang,4.1236537446614235e10,2.5198465660451996e10,5.431078698161639e8,3.220057616333098e6,0.0,0.0,0.0,6.6981331034498726e10
Region16Henan,5.474798100091417e9,9.500051591987974e9,2.5775884553348427e9,5.857226863077141e6,0.0,0.0,0.0,1.755829537427731e10
Region17Hubei,5.2517451565355095e10,2.092351030155442e10,2.164985039920912e9,4.851166040862942e6,0.0,0.0,0.0,7.561079807287129e10
Region18Hunan,1.3171350227472523e10,2.4448292068577805e10,2.73557477156839e9,3.9740724785816967e6,0.0,0.0,0.0,4.03591911400973e10
Region5Innermongolia,3.278256664837311e11,1.2949863403532645e11,2.1307468185614688e9,7.939158365475956e8,0.0,0.0,0.0,4.6024896317416656e11
Region10Jiangsu,6.101557305808894e10,3.11769690661311e10,3.960921312373537e9,1.416212398448509e7,0.0,0.0,0.0,9.616762556057806e10
