type,Investment,FixedOM,VariableOM,Fuel,Startup,NonServedDemand,UnmetPolicyPenalty,Total
AluminaPlant{NaturalGas},2.3596349549919534e6,1.1881403414183595e11,5.092030034650114e10,6.1037310467291565e10,0.0,0.0,0.0,2.3077400459058365e11
OneWayTransmissionLink{Aluminum},0.0,0.0,2.6234656810198026e9,0.0,0.0,0.0,0.0,2.6234656810198026e9
AluminumRefining,3.651487185188763e8,3.770083004306783e9,9.67187865590588e9,1.7602360460316516e11,0.0,0.0,0.0,1.898307149818967e11
OneWayTransmissionLink{AluminumScrap},0.0,0.0,5.865240701556691e8,3.923513274581709e10,0.0,0.0,0.0,3.982165681597276e10
AluminumSmelting,1.7150193511711634e10,3.1508383394945415e10,8.388623944421598e9,4.566388034261755e10,0.0,0.0,0.0,1.027110811936962e11
ThermalAmmonia{Coal},1.0886891266137276e10,7.032194450544826e9,0.0,3.843486970344195e10,0.0,0.0,0.0,5.6353955420124054e10
ThermalAmmoniaCCS{Coal},1.0502751231228371e8,1.2046503482251862e7,0.0,3.571447973792858e7,0.0,0.0,0.0,1.5278849553246415e8
ThermalAmmonia{CokingOvenGas},0.0,7.30891068467577e6,0.0,2.0899886576115994e6,0.0,0.0,0.0,9.39889934228737e6
ThermalAmmonia{NaturalGas},2.2470102169810027e8,3.555161177127151e8,0.0,3.9711537421479163e9,0.0,0.0,0.0,4.551370881558732e9
ThermalAmmoniaCCS{NaturalGas},8.3015241307559e7,9.52194243027857e6,0.0,5.070039946046468e7,0.0,0.0,0.0,1.4323758319830224e8
SyntheticAmmonia,3.6739255850952454e7,7.425229103480776e6,0.0,0.0,0.0,0.0,0.0,4.416448495443323e7
OneWayTransmissionLink{Cement},0.0,0.0,1.4417764628274e6,0.0,0.0,0.0,0.0,1.4417764628274e6
OneWayTransmissionLink{CrudeSteel},0.0,0.0,4.484025257023755e10,0.0,0.0,0.0,0.0,4.484025257023755e10
OneWayTransmissionLink{DRI},0.0,0.0,2.1840343092670324e8,0.0,0.0,0.0,0.0,2.1840343092670324e8
DRIMaking,8.998995769247934e6,1.2384958023364712e6,0.0,-2.0836276631412555e6,0.0,0.0,0.0,8.15386390844315e6
ThermalMethanol{Coal},1.3121850429439714e10,6.861132809425474e9,0.0,4.787617758837402e10,0.0,0.0,0.0,6.785916082723921e10
ThermalMethanolCCS{Coal},8.156867687809199e7,1.788804797695519e7,0.0,7.739042329425794e7,0.0,0.0,0.0,1.768471481493051e8
ThermalMethanol{CokingOvenGas},0.0,2.2585386555795424e7,0.0,6.765830341477625e6,0.0,0.0,0.0,2.935121689727305e7
ThermalMethanol{NaturalGas},0.0,3.1410496901573986e8,0.0,3.783932059632563e9,0.0,0.0,0.0,4.098037028648303e9
ThermalMethanolCCS{NaturalGas},6.927675345640706e7,1.4410990852164775e7,0.0,8.449055558398683e7,0.0,0.0,0.0,1.6817829989255866e8
