time,Region1Beijing_onshore_wind,Region2Tianjin_onshore_wind,Region3Hebei_onshore_wind,Region4Shanxi_onshore_wind,Region5Innermongolia_onshore_wind,Region6Liaoning_onshore_wind,Region7Jilin_onshore_wind,Region8Heilongjiang_onshore_wind,Region9Shanghai_onshore_wind,Region10Jiangsu_onshore_wind,Region11Zhejiang_onshore_wind,Region12Anhui_onshore_wind,Region13Fujian_onshore_wind,Region14Jiangxi_onshore_wind,Region15Shandong_onshore_wind,Region16Henan_onshore_wind,Region17Hubei_onshore_wind,Region18Hunan_onshore_wind,Region19Guangdong_onshore_wind,Region20Guangxi_onshore_wind,Region21Hainan_onshore_wind,Region22Chongqing_onshore_wind,Region23Sichuan_onshore_wind,Region24Guizhou_onshore_wind,Region25Yunnan_onshore_wind,Region26Tibet_onshore_wind,Region27Shaanxi_onshore_wind,Region28Gansu_onshore_wind,Region29Qinghai_onshore_wind,Region30Ningxia_onshore_wind,Region31Xinjiang_onshore_wind,Region1Beijing_offshore_wind,Region2Tianjin_offshore_wind,Region3Hebei_offshore_wind,Region4Shanxi_offshore_wind,Region5Innermongolia_offshore_wind,Region6Liaoning_offshore_wind,Region7Jilin_offshore_wind,Region8Heilongjiang_offshore_wind,Region9Shanghai_offshore_wind,Region10Jiangsu_offshore_wind,Region11Zhejiang_offshore_wind,Region12Anhui_offshore_wind,Region13Fujian_offshore_wind,Region14Jiangxi_offshore_wind,Region15Shandong_offshore_wind,Region16Henan_offshore_wind,Region17Hubei_offshore_wind,Region18Hunan_offshore_wind,Region19Guangdong_offshore_wind,Region20Guangxi_offshore_wind,Region21Hainan_offshore_wind,Region22Chongqing_offshore_wind,Region23Sichuan_offshore_wind,Region24Guizhou_offshore_wind,Region25Yunnan_offshore_wind,Region26Tibet_offshore_wind,Region27Shaanxi_offshore_wind,Region28Gansu_offshore_wind,Region29Qinghai_offshore_wind,Region30Ningxia_offshore_wind,Region31Xinjiang_offshore_wind,Region1Beijing_utility_scale_solar_pv,Region2Tianjin_utility_scale_solar_pv,Region3Hebei_utility_scale_solar_pv,Region4Shanxi_utility_scale_solar_pv,Region5Innermongolia_utility_scale_solar_pv,Region6Liaoning_utility_scale_solar_pv,Region7Jilin_utility_scale_solar_pv,Region8Heilongjiang_utility_scale_solar_pv,Region9Shanghai_utility_scale_solar_pv,Region10Jiangsu_utility_scale_solar_pv,Region11Zhejiang_utility_scale_solar_pv,Region12Anhui_utility_scale_solar_pv,Region13Fujian_utility_scale_solar_pv,Region14Jiangxi_utility_scale_solar_pv,Region15Shandong_utility_scale_solar_pv,Region16Henan_utility_scale_solar_pv,Region17Hubei_utility_scale_solar_pv,Region18Hunan_utility_scale_solar_pv,Region19Guangdong_utility_scale_solar_pv,Region20Guangxi_utility_scale_solar_pv,Region21Hainan_utility_scale_solar_pv,Region22Chongqing_utility_scale_solar_pv,Region23Sichuan_utility_scale_solar_pv,Region24Guizhou_utility_scale_solar_pv,Region25Yunnan_utility_scale_solar_pv,Region26Tibet_utility_scale_solar_pv,Region27Shaanxi_utility_scale_solar_pv,Region28Gansu_utility_scale_solar_pv,Region29Qinghai_utility_scale_solar_pv,Region30Ningxia_utility_scale_solar_pv,Region31Xinjiang_utility_scale_solar_pv,Region1Beijing_distributed_solar_pv,Region2Tianjin_distributed_solar_pv,Region3Hebei_distributed_solar_pv,Region4Shanxi_distributed_solar_pv,Region5Innermongolia_distributed_solar_pv,Region6Liaoning_distributed_solar_pv,Region7Jilin_distributed_solar_pv,Region8Heilongjiang_distributed_solar_pv,Region9Shanghai_distributed_solar_pv,Region10Jiangsu_distributed_solar_pv,Region11Zhejiang_distributed_solar_pv,Region12Anhui_distributed_solar_pv,Region13Fujian_distributed_solar_pv,Region14Jiangxi_distributed_solar_pv,Region15Shandong_distributed_solar_pv,Region16Henan_distributed_solar_pv,Region17Hubei_distributed_solar_pv,Region18Hunan_distributed_solar_pv,Region19Guangdong_distributed_solar_pv,Region20Guangxi_distributed_solar_pv,Region21Hainan_distributed_solar_pv,Region22Chongqing_distributed_solar_pv,Region23Sichuan_distributed_solar_pv,Region24Guizhou_distributed_solar_pv,Region25Yunnan_distributed_solar_pv,Region26Tibet_distributed_solar_pv,Region27Shaanxi_distributed_solar_pv,Region28Gansu_distributed_solar_pv,Region29Qinghai_distributed_solar_pv,Region30Ningxia_distributed_solar_pv,Region31Xinjiang_distributed_solar_pv
1,0.5487479785069524,0.5568775129506776,0.5397167009969053,0.5722272405619151,0.5589813373953803,0.4711452362957971,0.49176649082437507,0.5126420244778274,0.5451169526845661,0.5475049336600932,0.5105315687876555,0.5394631450327552,0.5096008581076603,0.5565101518077427,0.5519192629290046,0.4136599738158111,0.4691302583439665,0.5697195309658127,0.5425140391625973,0.548359814602918,0.5619188724758715,0.5550920512556559,0.5623628348148486,0.5925324299896602,0.5665825757714629,0.4177499384496741,0.6120160476057208,0.5132403701209114,0.5174330029103658,0.5722154134091397,0.6412886691396125,0.0,0.529975673285108,0.41665888765103887,0.0,0.0,0.41370712164047063,0.0,0.0,0.38617757225227933,0.5612466446327744,0.4814494718220885,0.0,0.5085855961815469,0.0,0.4984930642580139,0.0,0.0,0.0,0.5239910173377211,0.5142619309316565,0.2775046160039245,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.5682067099149322,0.5745245893970718,0.5584447166411337,0.5751772220628482,0.5650107742549153,0.47385583441518975,0.49919188852072693,0.5043575883019003,0.5471657193175474,0.537753751056016,0.5139094316062938,0.5330896252494313,0.5106951973145897,0.5595336818805663,0.5545424987794831,0.4177029396037142,0.47120882333274494,0.571458398329014,0.5444935916593749,0.5539972910273718,0.5689251976909873,0.5591455354754089,0.56465550486746,0.5768725754605839,0.5758208378156269,0.4108310159454618,0.6157837665523402,0.5166056836751522,0.5168736320429161,0.5904112188873114,0.6400687234709039,0.0,0.5481435969493873,0.4419080936704205,0.0,0.0,0.4173284557623873,0.0,0.0,0.4238869866149173,0.5622631835649372,0.49094935534094475,0.0,0.5087995246094579,0.0,0.5192948752301163,0.0,0.0,0.0,0.5245715982619004,0.5132551494982742,0.34719617067805686,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,0.5693568591912026,0.5726384137282707,0.5629699305927716,0.5852712822488684,0.5821076234424254,0.47564824661685634,0.5009707057470223,0.5010791870890898,0.5484618081401322,0.5384460791069614,0.5181616742502229,0.4900308443787935,0.5123224784845206,0.5689625946979504,0.5683768327726284,0.42017332367822746,0.47319155226273324,0.5737484028240942,0.5460623517492422,0.5555884812265504,0.5810007731179212,0.5609525615799384,0.5650479023233856,0.5758383304710151,0.5799082410503615,0.40324378378267056,0.616776876624499,0.5185663068114081,0.515264865231984,0.6077648065693211,0.6382744209258817,0.0,0.5485453358481891,0.45078275880288743,0.0,0.0,0.4157529922773193,0.0,0.0,0.47201493506636893,0.5627744884168351,0.49781059796714544,0.0,0.5093517484870063,0.0,0.5352798711178366,0.0,0.0,0.0,0.524327496289061,0.5108196030165075,0.41601801889836976,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,0.5718346621570731,0.5649580757947206,0.582359396746142,0.5920538230420789,0.6028654624242336,0.4788641543727863,0.49881736419774825,0.5031898442930469,0.5496373541088246,0.5504386285510918,0.525134222740121,0.49346235697987595,0.5157711672375171,0.5733931038994342,0.5700464061810635,0.4232314702344411,0.46958374347264,0.5778171938536616,0.5472198032257438,0.5562578108929301,0.6740589505025127,0.567362196516001,0.564286452565284,0.5778607943284442,0.5797125304343353,0.0,0.6209568674312322,0.5200223152733088,0.5145315044151175,0.6080579169865814,0.6407099198549986,0.0,0.5502132207387547,0.456501907949459,0.0,0.0,0.41288444672333924,0.0,0.0,0.4939902118086934,0.5626649266378081,0.5129374064845251,0.0,0.5091282215939827,0.0,0.5393127447898678,0.0,0.0,0.0,0.5271168639837924,0.513711140031301,0.49722085358496404,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,0.5768078365356928,0.5768966672625311,0.5924599144764215,0.6009107916597713,0.6118685411347542,0.4876030924542647,0.49933685479845735,0.5036846066250291,0.5492884238743727,0.5520487135609073,0.5451494242730632,0.5010851715511819,0.5176022210060864,0.5761759516972234,0.5724361090396997,0.42435216427566047,0.46258842202496453,0.5826910047871934,0.5507039845015242,0.5647800957312938,0.7248803212896746,0.5728568921553006,0.5664778227983334,0.5741476721377694,0.5748187777026033,0.0,0.6274321074597538,0.520049190017744,0.5153700823907457,0.6087648883913062,0.6413938041951042,0.0,0.5529904007739219,0.4720010680606208,0.0,0.0,0.4136211622704735,0.0,0.0,0.4972773063577165,0.5621120449068258,0.5138493980575731,0.0,0.5071648158755124,0.0,0.5408729431649135,0.0,0.0,0.0,0.5364009676795831,0.5315169906498198,0.5270338732602764,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,0.5774386308675616,0.5768529704157572,0.596201082729749,0.6019241337762651,0.6132516881043557,0.4853748651794376,0.49547003753286845,0.4989277342601781,0.5470857833282423,0.5533227045107196,0.5345076712166019,0.3872320570070844,0.5160342505157587,0.5702996736436035,0.5729251812590519,0.4244668526703208,0.45918830888604134,0.5828901495297032,0.5520136736677159,0.5680670000783721,43.05807636089594,0.5729829176760859,0.5659500873634897,0.5752150911139324,0.5659914856769319,0.3095103088844482,0.6283940681096283,0.5192772432183119,0.5149519199089809,0.5766784777624707,0.6318091304856353,0.0,0.5534338942748036,0.47847375748355603,0.0,0.0,0.41480460252086004,0.0,0.0,0.4937593746577704,0.5608861875061848,0.5044564513655132,0.0,0.5026422228643241,0.0,0.5398136417848036,0.0,0.0,0.0,0.5504541613991023,0.5450452275985995,1.5826042521560337,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,0.573188472552772,0.5719307150039867,0.5928459653932805,0.596058728546268,0.6118926309864037,0.48082428981069825,0.4938076876096602,0.4950611786753143,0.5444057774089828,0.5522935708136174,0.5289787954825442,0.4936111977958433,0.5150128530673328,0.5594828562534531,0.5715822090423899,0.4456967844034807,0.46082603717184156,0.5726491845452983,0.5516145401188624,0.5703446992138197,0.6704801270898315,0.5672489457907659,0.5656112459932956,0.5760311111589544,0.5604723794021993,0.3806970647068084,0.6287114032093086,0.5358676293471945,0.5107020604104946,0.5752261403285956,0.6266510350251338,0.0,0.5461271182300038,0.467273071909986,0.0,0.0,0.41492634377308946,0.0,0.0,0.47324776123437573,0.5580357066046417,0.49677929063045667,0.0,0.49640780117442773,0.0,0.5331618629024888,0.0,0.0,0.0,0.5531347681408079,0.5474390026956399,0.46100096199268026,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,0.5735687140704613,0.5729096222195267,0.5945251953617117,0.5979129187107901,0.6134095364832319,0.47886241898049775,0.5085767191594641,0.4848748655467716,0.5414282004161493,0.5507730832264315,0.5067489576445041,0.5204895531289253,0.5192444731128489,0.5370559834955202,0.5774317637842614,0.47490253462729015,0.4610399587426173,0.5666486768313916,0.5489058198068051,0.5726040374338481,0.6645854156195128,0.5548443727066115,0.5641612760741737,0.5742408604637603,0.5577693820951026,0.4088756246667913,0.6277358010556782,0.5537223329884,0.5079813341558292,0.5768393068283331,0.625596933576162,0.0,0.5311656015389303,0.4389297626069606,0.0,0.0,0.4168805029977989,0.0,0.0,0.45408304136967104,0.5570901924565987,0.49270283307441787,0.0,0.4941955481160676,0.0,0.5224272714788185,0.0,0.0,0.0,0.553124652189581,0.5470653898031586,0.43100068071407827,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,0.5775758472182702,0.5760259551169611,0.5996499297762057,0.6113307167470339,0.6137728348257951,0.476520060281473,0.5197449819279427,0.48539038867875206,0.5406420763674333,0.5505106170353429,0.5073198333634537,0.5412832242476497,0.5361223660254382,0.5328785637466353,0.5862655112723587,0.484738042772733,0.4500278745541664,0.5505706531203032,0.5474921760715006,0.5752881425833039,0.6665635527424456,0.5476458048538007,0.5648558448192489,0.5730988372451975,0.5574563921763911,0.4128056870481487,0.6289673556966591,0.5470891719414794,0.5060260952941462,0.5814633380941814,0.6258220100135077,0.0,0.5177136961193654,0.42635729847343384,0.0,0.0,0.4201942018320324,0.0,0.0,0.4461381989547988,0.5561848948764236,0.4904650756511728,0.0,0.494024340511487,0.0,0.516609862236578,0.0,0.0,0.0,0.5538694218830642,0.5478475937401868,0.4179194431122286,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4907698445213118,0.5172506568789572,0.42911864009398926,0.41376200784186956,0.5274532493241395,0.42996646564313323,0.42106891680865033,0.2359671925871396,0.5476437126735618,0.5403114002292568,0.5365681751953844,0.5627711206634558,0.5315043247870648,0.5507597346888815,0.5331608966512249,0.42255259466714534,0.42010115984578533,0.4496850151963656,0.5432163432869856,0.4942931215910562,0.6007959417173083,0.0,0.0,0.5165339698898919,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.38461974887974915,0.494260886958223,0.45793813518267257,0.0,0.0,0.5923009097147087,0.0,0.0,0.5407252420849886,0.5475988203352244,0.4886067660686422,0.4949870097018447,0.5220194380162866,0.5212704260920873,0.580139271022631,0.5011116400324909,0.5125321790984572,0.5556424568284228,0.4671227853032178,0.34504924835347595,0.5938310347206937,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,0.6684496039916326,0.664898583205968,0.6982291534422984,0.698974911669211,0.7214792015147395,0.560986874752416,0.631816667279054,0.5674478268142593,0.5384434316444668,0.5481610269403063,0.5084925010621646,0.5540998962684398,0.5399703290825073,0.524869603519619,0.6895764121290995,0.488608347817717,0.44460545994087397,0.5407113051210217,0.5265964174627698,0.5775809676233621,0.6471031351829879,0.5079452846487698,0.5623625790394726,0.5719465965376003,0.5564044079683299,0.4166670649152593,0.6881130339752417,0.5344672232276935,0.5039831440822127,0.5892012071053614,0.6273259300360223,0.0,0.5464380479669977,0.4517961685736367,0.0,0.0,0.5031250140957297,0.0,0.0,0.4183432319312175,0.5550251854556336,0.4914310748272328,0.0,0.4932494860358929,0.0,0.5730849810427117,0.0,0.0,0.0,0.5528460024161177,0.5469502016290662,0.3625585854819078,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6578229654792267,0.6718712475437769,0.6988963502699335,0.7026511066842431,0.652184735838091,0.5590501117530948,0.6189734196427708,0.5434568358665501,0.5441668641315118,0.5622872985441063,0.5431046933422294,0.5615236762096174,0.5506503897344999,0.5471896068679598,0.6807479856333885,0.4806300457046291,0.482517369055131,0.4865341018391973,0.5545054910035105,0.5185562874487459,0.6306678401753061,0.5015211027634479,0.47512786261040674,0.5989946829615747,0.5691315296671746,0.43254399095599183,0.5696853739905237,0.4520570885147208,0.4795939448522404,0.5914100323936964,0.0,0.6171896584743024,0.6815477729765007,0.6421708270499948,0.0,0.0,0.6936206405116536,0.0,0.0,0.5502331037586714,0.5564141759277845,0.4788556188204893,0.49179380953000873,0.49750824508828373,0.49859605957772146,0.6715217568589651,0.4824354947813845,0.4898238176972427,0.5443842933543692,0.4991023264019532,0.45623536119524033,0.6396629084381402,0.5500045867927668,0.0,0.4268550381254883,0.5237106269856326,0.2848497392717878,0.0,0.0,0.0,0.0,0.0
