zone,Investment,FixedOM,VariableOM,Fuel,Startup,NonServedDemand,UnmetPolicyPenalty,Total
Region1Beijing,1.588530072463873e10,8.865214565557299e9,4.231990550595201e8,3.6937641323060585e10,1.4816116395208018e7,0.0,0.0,6.212617178471134e10
Region2Tianjin,1.142685710696849e10,2.541364082142588e9,9.993599378247613e8,1.0621124979684845e10,6.72599538140247e6,0.0,0.0,2.5595432102002083e10
Region12Anhui,1.005390231386022e11,1.6932699074105818e10,1.8185887406102257e9,6.5964440799262985e10,3.262027718411804e6,0.0,0.0,1.8525801378029965e11
Region9Shanghai,1.423591799927557e9,6.231069397520715e9,2.0577582894700983e9,2.9045277669601906e10,2.3123267447138462e7,0.0,0.0,3.8780820423967415e10
Region22Chongqing,5.5457443219566405e7,2.135180850230183e10,7.725190734150294e9,3.0366972254810463e10,3.768706252336778e7,0.0,0.0,5.953711599700552e10
Region13Fujian,1.7250692448583215e11,2.5362646915550568e10,3.2767109585563965e9,5.468466420810415e10,2.9054907733824006e6,0.0,0.0,2.5583385205881665e11
Region28Gansu,2.6020157280966064e11,2.849307874065887e10,1.0905985857105908e9,2.176985447916517e10,3.3338890749136535e6,0.0,0.0,3.1155843850427014e11
Region19Guangdong,4.4823965647830765e10,2.8781130505757446e10,9.108472623637054e9,1.1838334394083264e11,1.1154139573226166e9,0.0,0.0,2.0221232667538055e11
Region20Guangxi,1.307820853024845e11,4.075613183486996e10,9.044757514025074e9,6.7884837980666725e10,1.36948698930633e7,0.0,0.0,2.4848150750193933e11
Region24Guizhou,5.750768269540826e10,4.436542928023616e10,1.3015651387059614e10,6.190754045557842e10,2.756427261873766e6,0.0,0.0,1.767990602455443e11
Region21Hainan,1.4506539730380451e10,4.701689084462422e9,1.0684261477976857e9,1.2332678318658209e10,1.5536087311917333e7,0.0,0.0,3.2624869368610683e10
Region3Hebei,2.3316384017611038e11,5.365378255872106e10,5.557946307375338e9,1.591765109033908e11,3.3276452502841167e6,0.0,0.0,4.515554075908479e11
Region8Heilongjiang,5.4611496985686424e10,8.815628468224268e9,4.001730166334659e8,1.464503153972612e10,3.6097635544189047e6,0.0,0.0,7.847593977382469e10
Region16Henan,1.0474235370040958e10,6.51541279661603e9,1.4948449180674827e9,6.039174380234838e10,1.0133929168990862e7,0.0,0.0,7.888637081624184e10
Region17Hubei,1.2423978497581802e8,1.3140789817910793e10,1.3084147674289048e9,4.4736780162226585e10,6.907835344989076e6,0.0,0.0,5.9317132367887085e10
Region18Hunan,7.291942648552509e9,7.299812333642559e9,1.3789341548262281e9,3.890212359849842e10,5.638392968381488e6,0.0,0.0,5.48784511284881e10
Region5Innermongolia,1.5909112810972516e11,5.360047721103114e10,2.5221500157943996e10,1.0772703351642033e11,4.060307068216938e6,0.0,0.0,3.4564419930218884e11
Region10Jiangsu,4.187351445249274e10,3.0863570688680603e10,6.781288707377236e9,1.3863004515181927e11,2.2147251096935663e7,0.0,0.0,2.181705662514668e11
Region14Jiangxi,5.17301590776353e10,1.2538306333412872e10,1.3337245998967829e9,3.8899776433975655e10,2.1668954378496855e6,0.0,0.0,1.0450413334035846e11
Region7Jilin,3.0404683141373512e10,1.1346493053655952e10,5.454040229070501e8,1.8805023817617496e10,3.3748951936243144e6,0.0,0.0,6.110497893074764e10
Region6Liaoning,4.753201019885087e10,1.1038134774875948e10,1.4730170105195715e9,2.8372578869965275e10,3.157459078123551e6,0.0,0.0,8.841889831328978e10
Region30Ningxia,1.7894890320097652e10,1.0361295004360132e10,3.6487344041137977e9,2.7509374087543396e10,5.07214591877542e6,0.0,0.0,5.941936596203375e10
Region29Qinghai,5.333251292252464e7,6.3364744553963785e9,4.742601423685233e8,5.697157260002815e9,2.738688437127044e6,0.0,0.0,1.2563963059127369e10
Region27Shaanxi,1.5344192447774347e11,2.5166220895184666e10,3.889349827452344e9,4.552949212300164e10,2.8555292352023586e6,0.0,0.0,2.280298428526173e11
Region15Shandong,5.736114827902849e10,2.782119300924298e10,2.8110360161683626e9,5.1161911442576805e10,1.720342212842539e7,0.0,0.0,1.3917249216914505e11
Region4Shanxi,7.621087476071733e7,7.695398084941289e10,3.3573686018134357e10,1.3214286694041841e11,6.931625201082467e6,0.0,0.0,2.4275367630792746e11
Region23Sichuan,4.946533550131999e10,2.6607814801860188e10,2.418852451846843e9,5.364305135634713e10,5.498916823012569e7,0.0,0.0,1.3219004327960428e11
Region26Tibet,1.5053208293011458e9,1.9127810728371055e9,1.3479861489650765e8,2.096966195401568e9,2.984674196879446e6,0.0,0.0,5.652851386633206e9
Region31Xinjiang,9.151738734077068e10,3.90768810404165e10,1.138454663104591e10,5.5114083503533035e10,1.2153946456354018e7,0.0,0.0,1.9710505246222247e11
Region25Yunnan,1.1099471347167502e11,3.920957928209619e10,5.08461953559969e9,4.829400059819228e10,2.712466924057737e6,0.0,0.0,2.0358562535448727e11
Region11Zhejiang,2.5299268830028485e11,3.531831296740601e10,6.013481923158114e9,7.459727540865558e10,1.5760862673827972e7,0.0,0.0,3.689375194621784e11
aluminum_Region1Beijing_aluminum_Region2Tianjin,0.0,0.0,1169.4873256111798,0.0,0.0,0.0,0.0,1169.4873256111798
aluminum_Region1Beijing_aluminum_Region3Hebei,0.0,0.0,633.7982873461763,0.0,0.0,0.0,0.0,633.7982873461763
aluminum_Region1Beijing_aluminum_Region4Shanxi,0.0,0.0,629.0414129317692,0.0,0.0,0.0,0.0,629.0414129317692
aluminum_Region1Beijing_aluminum_Region5Innermongolia,0.0,0.0,921.8622628233614,0.0,0.0,0.0,0.0,921.8622628233614
aluminum_Region1Beijing_aluminum_Region6Liaoning,0.0,0.0,22992.749379331533,0.0,0.0,0.0,0.0,22992.749379331533
aluminum_Region1Beijing_aluminum_Region7Jilin,0.0,0.0,3404.4627633192,0.0,0.0,0.0,0.0,3404.4627633192
aluminum_Region1Beijing_aluminum_Region8Heilongjiang,0.0,0.0,4457.927718266962,0.0,0.0,0.0,0.0,4457.927718266962
aluminum_Region1Beijing_aluminum_Region9Shanghai,0.0,0.0,4198.9392097751,0.0,0.0,0.0,0.0,4198.9392097751
aluminum_Region1Beijing_aluminum_Region10Jiangsu,0.0,0.0,3783.889842856617,0.0,0.0,0.0,0.0,3783.889842856617
aluminum_Region1Beijing_aluminum_Region11Zhejiang,0.0,0.0,4259.563243767517,0.0,0.0,0.0,0.0,4259.563243767517
aluminum_Region1Beijing_aluminum_Region12Anhui,0.0,0.0,2838.6022371628464,0.0,0.0,0.0,0.0,2838.6022371628464
