type,Investment,FixedOM,VariableOM,Fuel,Startup,NonServedDemand,UnmetPolicyPenalty,Total
AluminaPlant{NaturalGas},206645.36314021464,1.620504777333277e11,6.945020474285481e10,8.266943660958061e10,0.0,0.0,0.0,3.141703257311263e11
OneWayTransmissionLink{Aluminum},0.0,0.0,3.477940423424241e9,0.0,0.0,0.0,0.0,3.477940423424241e9
AluminumRefining,6.289559132274992e9,1.613373838542866e10,4.1389953417932526e10,7.532775228246698e11,0.0,0.0,0.0,8.17090773760306e11
OneWayTransmissionLink{AluminumScrap},0.0,0.0,1.06684136348631e9,8.345470520386365e10,0.0,0.0,0.0,8.452154656734996e10
AluminumSmelting,144409.8683085601,4.2974275214329025e10,1.144124536749568e10,6.228097276660941e10,0.0,0.0,0.0,1.1669663775830243e11
ThermalAmmonia{Coal},479897.17463269475,1.5944874814839458e10,0.0,8.705012099616554e10,0.0,0.0,0.0,1.0299547570817963e11
ThermalAmmoniaCCS{Coal},449723.476895035,2.7531281589352693e7,0.0,7.106834846656969e7,0.0,0.0,0.0,9.904935353281742e7
ThermalAmmonia{CokingOvenGas},0.0,9.875239544829687e6,0.0,3.287599555057088e6,0.0,0.0,0.0,1.3162839099886775e7
ThermalAmmonia{NaturalGas},230661.97065960086,7.32701647027788e8,0.0,7.952613921500296e9,0.0,0.0,0.0,8.685546230498743e9
ThermalAmmoniaCCS{NaturalGas},507399.2606423042,2.179624935885259e7,0.0,5.442929785296349e7,0.0,0.0,0.0,7.673294647245839e7
SyntheticAmmonia,1.7863450518308126e6,1.7184324012139857e7,0.0,0.0,0.0,0.0,0.0,1.897066906397067e7
OneWayTransmissionLink{Cement},0.0,0.0,2.2693084621867468e6,0.0,0.0,0.0,0.0,2.2693084621867468e6
OneWayTransmissionLink{CrudeSteel},0.0,0.0,6.8521031851318596e10,0.0,0.0,0.0,0.0,6.8521031851318596e10
OneWayTransmissionLink{DRI},0.0,0.0,3.625862525932061e8,0.0,0.0,0.0,0.0,3.625862525932061e8
DRIMaking,3.7150829888660626e9,1.114524905798598e9,0.0,5.04857296666332e9,0.0,0.0,0.0,9.87818086132798e9
ThermalMethanol{Coal},3.3125445199348656e6,1.5629669164518627e10,0.0,1.090804132571182e11,0.0,0.0,0.0,1.2471339496615675e11
ThermalMethanolCCS{Coal},632556.0949298601,4.0877584642187364e7,0.0,1.826724301119635e8,0.0,0.0,0.0,2.2418257084908074e8
ThermalMethanol{CokingOvenGas},0.0,3.5388748478639826e7,0.0,1.0621676336824896e7,0.0,0.0,0.0,4.601042481546472e7
ThermalMethanol{NaturalGas},0.0,7.09087606699919e8,0.0,8.603549885036032e9,0.0,0.0,0.0,9.31263749173595e9
ThermalMethanolCCS{NaturalGas},1.272239283448142e6,3.3115977089085698e7,0.0,1.9668625421987018e8,0.0,0.0,0.0,2.31074470592404e8
SyntheticMethanol,2.889554614992341e6,3.143219973286339e7,0.0,0.0,0.0,0.0,0.0,3.432175434785573e7
Steelmaking,3.9931987734756923e9,1.463180798034678e11,0.0,7.206956907084286e11,0.0,0.0,0.0,8.710069692853721e11
OneWayTransmissionLink{SteelScrap},0.0,0.0,3.5799073445639986e8,3.801084177464396e9,0.0,0.0,0.0,4.159074911920796e9
CementPlant{Coal},2.870198046497218e8,8.392340542193788e7,1.2414463856399799e11,2.483582450715564e11,0.0,0.0,0.0,3.7287382684562604e11
ThermalPower{Coal},183059.74551216545,8.224698450178818e10,1.1387987416438719e11,6.419955035614169e11,4.2095337751023434e7,0.0,0.0,8.381646406250887e11
ThermalPower{NaturalGas},362531.73332140624,1.700556574685068e10,8.469500286682366e9,1.156475415727342e11,2.1425941624988108e9,0.0,0.0,1.432655643004994e11
ThermalPowerCCS{Coal},857684.7304678251,4.176937101689126e7,4.929713720573555e7,2.2359003300981557e8,2.5889979570051953e7,0.0,0.0,3.4140420553296214e8
ThermalPowerCCS{NaturalGas},1.0076747017488014e6,3.57897052488016e7,2.2229782983846925e7,1.8108464557090938e8,2.285993023083402e7,0.0,0.0,2.6297173873614073e8
ThermalPower{Uranium},0.0,1.902332264422236e10,7.230210170302441e9,2.8899386203399796e10,0.0,0.0,0.0,5.515291901792459e10
BECCSElectricity,3.392052709697763e10,5.687949219818257e9,0.0,1.2933237230305653e11,0.0,0.0,0.0,1.6894084861985242e11
HydroRes,0.0,1.3105478978880118e11,0.0,0.0,0.0,0.0,0.0,1.3105478978880118e11
VRE{Generic},4.8663146355042295e12,4.8600928523619904e11,0.0,0.0,0.0,0.0,0.0,5.352323920740429e12
Electrolyzer,3.328578822828104e9,6.229997610654771e8,0.0,0.0,0.0,0.0,0.0,3.9515785838935814e9
ThermalHydrogen{NaturalGas},9.595981399108094e8,4.318576191532152e9,3.3796166357335067e9,5.630998843542303e10,1.0261525784847239e7,0.0,0.0,6.497804092838434e10
ThermalHydrogenCCS{NaturalGas},2.1501286538834844e7,6.579691764931596e7,4.200363781736888e7,2.5805484024513438e8,845999.6648426827,0.0,0.0,3.8820268191549677e8
ThermalHydrogen{Coal},161720.8909210818,7.7418619871800165e9,3.3999243800268164e9,1.6088025236545368e10,2.7166800626860764e6,0.0,0.0,2.7232690004705807e10
ThermalHydrogenCCS{Coal},4.9756782517539464e7,9.760318779083884e7,3.773505459040085e7,1.4651985014580253e8,419807.8916139119,0.0,0.0,3.3203468293619555e8
OneWayTransmissionLink{Electricity},5.962441104763548e10,1.6117300735393452e10,0.0,0.0,0.0,0.0,0.0,7.574171178302893e10
Battery,8.959647980056568e9,2.1837585793494587e10,3.711935619564296e8,0.0,0.0,0.0,0.0,3.1168427335507584e10
GasStorage{Hydrogen},6.712203170419614e7,2.5870711081887655e7,0.0,0.0,0.0,0.0,0.0,9.299274278608379e7
TransmissionLink{Electricity},6.565480667845184e10,1.2266720472187737e10,0.0,0.0,0.0,0.0,0.0,7.792152715063959e10
CO2Injection,2.519044525489434e6,3.2995022667201746e7,0.0,0.0,0.0,0.0,0.0,3.551406719269118e7
OneWayTransmissionLink{CO2Captured},185785.44070571268,554296.0533800918,0.0,0.0,0.0,0.0,0.0,740081.4940858044
Node{Electricity},0.0,0.0,0.0,0.0,0.0,9.386783002238871e7,0.0,9.386783002238871e7
Node{Hydrogen},0.0,0.0,0.0,0.0,0.0,2.371178841653285e7,0.0,2.371178841653285e7
Node{CO2},0.0,0.0,0.0,0.0,0.0,0.0,3.512233527749536e7,3.512233527749536e7
Total,5.053202635548565e12,1.2061418755753489e12,4.5709628683770807e11,3.161873760676747e12,2.24768342345471e9,1.1757961843892157e8,3.512233527749536e7,9.880714944015541e12
