zone,Investment,FixedOM,VariableOM,Fuel,Startup,NonServedDemand,UnmetPolicyPenalty,Total
Region1Beijing,2.752146379725724e9,1.1494410523165407e10,1.3105675293607926e9,5.312459194566824e10,4.3133952522893727e8,0.0,0.0,6.911305590314911e10
Region2Tianjin,3.0578486741763817e10,5.2202577378101425e9,1.248155247320273e9,1.5779506108950022e10,2.2714551234695056e8,0.0,0.0,5.305355134819121e10
Region12Anhui,4.732069042646607e10,2.86319171778028e10,2.942021795813243e9,1.2275855948313538e11,6.02426305877904e7,0.0,0.0,2.017134315138053e11
Region9Shanghai,2.239324077893445e10,1.2748349432326077e10,8.132662109680894e9,7.339559855239337e10,3.1943385387595636e8,0.0,0.0,1.1698928472721075e11
Region22Chongqing,6.183676703344915e10,3.867360135110133e10,1.2217604566142876e10,4.867711350293365e10,4.633011083443051e7,0.0,0.0,1.6145141656446146e11
Region13Fujian,5.398961943622722e10,4.172019359271913e10,4.0556216841589055e9,1.0376948616599414e11,7.873921638866564e6,0.0,0.0,2.0354279480073825e11
Region28Gansu,9.765422233882591e10,5.426785397382414e10,1.6159116262570827e9,3.287595183596967e10,1.171993028614817e7,0.0,0.0,1.8642565970516296e11
Region19Guangdong,1.0146622914706973e11,5.137198757856319e10,1.3466672987455334e10,2.3250654229208908e11,1.866256695113672e9,0.0,0.0,4.00677688700291e11
Region20Guangxi,1.5509609888133139e10,5.903835598804551e10,1.147430468564774e10,1.2572852125688231e11,2.2573585582147684e7,0.0,0.0,2.1177336540429083e11
Region24Guizhou,6.324690611954432e10,7.469579372871216e10,1.7512593438522957e10,7.656066014702571e10,6.856850497390373e6,0.0,0.0,2.320228102843025e11
Region21Hainan,6.941770777705888e9,8.198618978974755e9,1.4566357411140695e9,2.513720515779785e10,1.497805570053275e8,0.0,0.0,4.1884011212597885e10
Region3Hebei,8.823909403664499e10,7.84834760631793e10,5.532453696220681e9,2.2343061246331757e11,1.6707339320456067e8,0.0,0.0,3.9585270965256714e11
Region8Heilongjiang,4.690634346213076e10,1.8296086431937054e10,5.79662604338125e8,2.996213037631965e10,7.350639092425743e6,0.0,0.0,9.575157351381801e10
Region16Henan,2.1476042281113896e9,1.0304911662481993e10,2.628693498334323e9,9.943375844677686e10,1.597405078227064e8,0.0,0.0,1.1467470834352727e11
Region17Hubei,2.340414330748866e10,2.3587729181070866e10,2.033393124567992e9,1.036330256895851e11,7.803599779238327e7,0.0,0.0,1.52736327300505e11
Region18Hunan,1.7119464037664728e11,2.607035398156797e10,2.1503000652350335e9,9.643834556729124e10,1.6142115976382175e7,0.0,0.0,2.958697821067179e11
Region5Innermongolia,3.168965778745488e11,1.0748589318216231e11,1.5747492905071726e10,9.549183347692772e10,1.39190185546984e7,0.0,0.0,5.3563571645726526e11
Region10Jiangsu,2.4421742134473305e10,4.864382200612965e10,9.150968154726038e9,2.4709474064715265e11,8.446168343126128e8,0.0,0.0,3.3015588977679425e11
Region14Jiangxi,1.1941791476639692e10,2.08035300166318e10,1.9751962233302896e9,8.818309312476762e10,5.737129495113086e6,0.0,0.0,1.2290934797086453e11
Region7Jilin,7.721083619146529e9,1.898430261033647e10,8.215701971400728e8,3.3644224419568653e10,7.350659241718147e6,0.0,0.0,6.117853150543344e10
Region6Liaoning,1.6151417264890463e11,3.0147544797095512e10,1.8511083179918866e9,6.349569213648941e10,1.3307871325060293e7,0.0,0.0,2.5702182577180652e11
