period,province,region_num,province_label,category,cost_usd,production_tons_annual,status,cost_per_ton
1,Region1Beijing,1,Beijing,Investment,2011.4418658747843,55801188.92812134,ok,3.604657722375349e-05
1,Region1Beijing,1,Beijing,Fixed O&M,5022107003.530921,55801188.92812134,ok,90.0
1,Region1Beijing,1,Beijing,Variable O&M,0.0,55801188.92812134,ok,0.0
1,Region1Beijing,1,Beijing,Coal,3726758885.191921,55801188.92812134,ok,66.7863706272
1,Region1Beijing,1,Beijing,Natural Gas,0.0,55801188.92812134,structural_zero,0.0
1,Region1Beijing,1,Beijing,Steel Scrap,1138344254.1336753,55801188.92812134,ok,20.4
1,Region1Beijing,1,Beijing,DRI,0.0,55801188.92812134,structural_zero,0.0
1,Region1Beijing,1,Beijing,Hydrogen,0.0,55801188.92812134,structural_zero,0.0
1,Region1Beijing,1,Beijing,Electricity,407132871.5543176,55801188.92812134,ok,7.296132562314287
1,Region2Tianjin,2,Tianjin,Investment,2021.351565487068,13647900.045619167,ok,0.00014810714899219244
1,Region2Tianjin,2,Tianjin,Fixed O&M,1228311004.105725,13647900.045619167,ok,90.0
1,Region2Tianjin,2,Tianjin,Variable O&M,0.0,13647900.045619167,ok,0.0
1,Region2Tianjin,2,Tianjin,Coal,1004466069.3086879,13647900.045619167,ok,73.59858043736999
1,Region2Tianjin,2,Tianjin,Natural Gas,0.0,13647900.045619167,structural_zero,0.0
1,Region2Tianjin,2,Tianjin,Steel Scrap,278417160.930631,13647900.045619167,ok,20.4
1,Region2Tianjin,2,Tianjin,DRI,0.0,13647900.045619167,structural_zero,0.0
1,Region2Tianjin,2,Tianjin,Hydrogen,0.0,13647900.045619167,structural_zero,0.0
1,Region2Tianjin,2,Tianjin,Electricity,97807578.55861443,13647900.045619167,ok,7.16649288401036
1,Region3Hebei,3,Hebei,Investment,2248.0212338777205,209950550.70512274,ok,1.0707384316581693e-05
1,Region3Hebei,3,Hebei,Fixed O&M,18895549563.461052,209950550.70512274,ok,90.00000000000003
1,Region3Hebei,3,Hebei,Variable O&M,0.0,209950550.70512274,ok,0.0
1,Region3Hebei,3,Hebei,Coal,12339215055.47588,209950550.70512274,ok,58.77200614161002
1,Region3Hebei,3,Hebei,Natural Gas,0.0,209950550.70512274,structural_zero,0.0
1,Region3Hebei,3,Hebei,Steel Scrap,4282991234.3845053,209950550.70512274,ok,20.400000000000006
1,Region3Hebei,3,Hebei,DRI,0.0,209950550.70512274,structural_zero,0.0
1,Region3Hebei,3,Hebei,Hydrogen,0.0,209950550.70512274,structural_zero,0.0
1,Region3Hebei,3,Hebei,Electricity,1464428241.8773756,209950550.70512274,ok,6.975110267437103
1,Region4Shanxi,4,Shanxi,Investment,2655.9574111184324,58691948.83788991,ok,4.5252499937501126e-05
1,Region4Shanxi,4,Shanxi,Fixed O&M,5282275395.410092,58691948.83788991,ok,90.00000000000001
1,Region4Shanxi,4,Shanxi,Variable O&M,0.0,58691948.83788991,ok,0.0
1,Region4Shanxi,4,Shanxi,Coal,3159376732.9143963,58691948.83788991,ok,53.82981474411
1,Region4Shanxi,4,Shanxi,Natural Gas,0.0,58691948.83788991,structural_zero,0.0
1,Region4Shanxi,4,Shanxi,Steel Scrap,1197315756.2929544,58691948.83788991,ok,20.400000000000006
1,Region4Shanxi,4,Shanxi,DRI,0.0,58691948.83788991,structural_zero,0.0
1,Region4Shanxi,4,Shanxi,Hydrogen,0.0,58691948.83788991,structural_zero,0.0
1,Region4Shanxi,4,Shanxi,Electricity,394146493.9242078,58691948.83788991,ok,6.715512122673931
1,Region5Innermongolia,5,Innermongolia,Investment,1561.5933895195417,27462587.00673819,ok,5.686257413172295e-05
1,Region5Innermongolia,5,Innermongolia,Fixed O&M,2471632830.606437,27462587.00673819,ok,90.0
1,Region5Innermongolia,5,Innermongolia,Variable O&M,0.0,27462587.00673819,ok,0.0
1,Region5Innermongolia,5,Innermongolia,Coal,939072775.3057947,27462587.00673819,ok,34.194621762159
1,Region5Innermongolia,5,Innermongolia,Natural Gas,0.0,27462587.00673819,structural_zero,0.0
1,Region5Innermongolia,5,Innermongolia,Steel Scrap,560236774.9374591,27462587.00673819,ok,20.400000000000002
1,Region5Innermongolia,5,Innermongolia,DRI,0.0,27462587.00673819,structural_zero,0.0
1,Region5Innermongolia,5,Innermongolia,Hydrogen,0.0,27462587.00673819,structural_zero,0.0
1,Region5Innermongolia,5,Innermongolia,Electricity,155939786.08155018,27462587.00673819,ok,5.678262795973627
1,Region6Liaoning,6,Liaoning,Investment,1585.9849120747233,67164742.51253544,ok,2.361335505423429e-05
1,Region6Liaoning,6,Liaoning,Fixed O&M,6044826826.128188,67164742.51253544,ok,89.99999999999999
1,Region6Liaoning,6,Liaoning,Variable O&M,0.0,67164742.51253544,ok,0.0
1,Region6Liaoning,6,Liaoning,Coal,4808659023.461947,67164742.51253544,ok,71.59498932888
1,Region6Liaoning,6,Liaoning,Natural Gas,0.0,67164742.51253544,structural_zero,0.0
1,Region6Liaoning,6,Liaoning,Steel Scrap,1370160747.255723,67164742.51253544,ok,20.400000000000002
1,Region6Liaoning,6,Liaoning,DRI,0.0,67164742.51253544,structural_zero,0.0
1,Region6Liaoning,6,Liaoning,Hydrogen,0.0,67164742.51253544,structural_zero,0.0
1,Region6Liaoning,6,Liaoning,Electricity,496718491.70050377,67164742.51253544,ok,7.395524394481191
1,Region7Jilin,7,Jilin,Investment,1759.6564228729617,13192550.916041465,ok,0.00013338257582415767
1,Region7Jilin,7,Jilin,Fixed O&M,1187329582.4437318,13192550.916041465,ok,89.99999999999999
1,Region7Jilin,7,Jilin,Variable O&M,0.0,13192550.916041465,ok,0.0
1,Region7Jilin,7,Jilin,Coal,983288175.9893535,13192550.916041465,ok,74.53358961789002
1,Region7Jilin,7,Jilin,Natural Gas,0.0,13192550.916041465,structural_zero,0.0
1,Region7Jilin,7,Jilin,Steel Scrap,269128038.68724597,13192550.916041465,ok,20.400000000000006
1,Region7Jilin,7,Jilin,DRI,0.0,13192550.916041465,structural_zero,0.0
1,Region7Jilin,7,Jilin,Hydrogen,0.0,13192550.916041465,structural_zero,0.0
1,Region7Jilin,7,Jilin,Electricity,81888394.39885539,13192550.916041465,ok,6.20716910019906
1,Region8Heilongjiang,8,Heilongjiang,Investment,2040.920655901601,9153916.59059355,ok,0.0002229560031166141
1,Region8Heilongjiang,8,Heilongjiang,Fixed O&M,823852493.1534195,9153916.59059355,ok,90.0
1,Region8Heilongjiang,8,Heilongjiang,Variable O&M,0.0,9153916.59059355,ok,0.0
1,Region8Heilongjiang,8,Heilongjiang,Coal,622361289.7376425,9153916.59059355,ok,67.98852530261999
1,Region8Heilongjiang,8,Heilongjiang,Natural Gas,0.0,9153916.59059355,structural_zero,0.0
1,Region8Heilongjiang,8,Heilongjiang,Steel Scrap,186739898.4481084,9153916.59059355,ok,20.4
1,Region8Heilongjiang,8,Heilongjiang,DRI,0.0,9153916.59059355,structural_zero,0.0
1,Region8Heilongjiang,8,Heilongjiang,Hydrogen,0.0,9153916.59059355,structural_zero,0.0
1,Region8Heilongjiang,8,Heilongjiang,Electricity,58345004.00190282,9153916.59059355,ok,6.3737749218577555
1,Region9Shanghai,9,Shanghai,Investment,3286.011864013618,16196992.31605139,ok,0.00020287790473032117
1,Region9Shanghai,9,Shanghai,Fixed O&M,1457729308.444625,16196992.31605139,ok,89.99999999999999
1,Region9Shanghai,9,Shanghai,Variable O&M,0.0,16196992.31605139,ok,0.0
1,Region9Shanghai,9,Shanghai,Coal,1176931304.467801,16196992.31605139,ok,72.66357120521998
1,Region9Shanghai,9,Shanghai,Natural Gas,0.0,16196992.31605139,structural_zero,0.0
1,Region9Shanghai,9,Shanghai,Steel Scrap,330418643.24744827,16196992.31605139,ok,20.399999999999995
1,Region9Shanghai,9,Shanghai,DRI,0.0,16196992.31605139,structural_zero,0.0
1,Region9Shanghai,9,Shanghai,Hydrogen,0.0,16196992.31605139,structural_zero,0.0
1,Region9Shanghai,9,Shanghai,Electricity,135866047.55498677,16196992.31605139,ok,8.38835043592273
1,Region10Jiangsu,10,Jiangsu,Investment,2501.2263083891976,102727202.29255587,ok,2.4348237395446415e-05
1,Region10Jiangsu,10,Jiangsu,Fixed O&M,9245448206.330029,102727202.29255587,ok,90.0
1,Region10Jiangsu,10,Jiangsu,Variable O&M,0.0,102727202.29255587,ok,0.0
1,Region10Jiangsu,10,Jiangsu,Coal,7972222884.565296,102727202.29255587,ok,77.60576270598001
1,Region10Jiangsu,10,Jiangsu,Natural Gas,0.0,102727202.29255587,structural_zero,0.0
1,Region10Jiangsu,10,Jiangsu,Steel Scrap,2095634926.76814,102727202.29255587,ok,20.400000000000002
1,Region10Jiangsu,10,Jiangsu,DRI,0.0,102727202.29255587,structural_zero,0.0
1,Region10Jiangsu,10,Jiangsu,Hydrogen,0.0,102727202.29255587,structural_zero,0.0
1,Region10Jiangsu,10,Jiangsu,Electricity,826507079.9705484,102727202.29255587,ok,8.045649657787296
1,Region11Zhejiang,11,Zhejiang,Investment,3250.193354351829,8996468.422415718,ok,0.00036127435808629133
1,Region11Zhejiang,11,Zhejiang,Fixed O&M,809682158.0174147,8996468.422415718,ok,90.0
1,Region11Zhejiang,11,Zhejiang,Variable O&M,0.0,8996468.422415718,ok,0.0
1,Region11Zhejiang,11,Zhejiang,Coal,676547500.4292856,8996468.422415718,ok,75.20145335514
