scenario,period,technology,province,region_num,province_label,category,cost_usd,production_tons_annual,status,cost_per_ton
no_cap,1,bfbof,Region1Beijing,1,Beijing,Investment,2029.9433416169688,55800910.482629284,ok,3.637831935105945e-05
no_cap,1,bfbof,Region1Beijing,1,Beijing,Fixed O&M,5022081943.436636,55800910.482629284,ok,90.0
no_cap,1,bfbof,Region1Beijing,1,Beijing,Variable O&M,0.0,55800910.482629284,ok,0.0
no_cap,1,bfbof,Region1Beijing,1,Beijing,Coal,3726740288.8280897,55800910.482629284,ok,66.78637062720001
no_cap,1,bfbof,Region1Beijing,1,Beijing,Natural Gas,0.0,55800910.482629284,structural_zero,0.0
no_cap,1,bfbof,Region1Beijing,1,Beijing,Steel Scrap,1138338573.8456373,55800910.482629284,ok,20.4
no_cap,1,bfbof,Region1Beijing,1,Beijing,DRI,0.0,55800910.482629284,structural_zero,0.0
no_cap,1,bfbof,Region1Beijing,1,Beijing,Hydrogen,0.0,55800910.482629284,structural_zero,0.0
no_cap,1,bfbof,Region1Beijing,1,Beijing,Electricity,407204101.4056869,55800910.482629284,ok,7.297445469683667
no_cap,1,bfbof,Region2Tianjin,2,Tianjin,Investment,2079.0198604721286,13647871.149515277,ok,0.00015233290508798276
no_cap,1,bfbof,Region2Tianjin,2,Tianjin,Fixed O&M,1228308403.456375,13647871.149515277,ok,90.0
no_cap,1,bfbof,Region2Tianjin,2,Tianjin,Variable O&M,0.0,13647871.149515277,ok,0.0
no_cap,1,bfbof,Region2Tianjin,2,Tianjin,Coal,1004463942.5964615,13647871.149515277,ok,73.59858043737
no_cap,1,bfbof,Region2Tianjin,2,Tianjin,Natural Gas,0.0,13647871.149515277,structural_zero,0.0
no_cap,1,bfbof,Region2Tianjin,2,Tianjin,Steel Scrap,278416571.4501117,13647871.149515277,ok,20.400000000000002
no_cap,1,bfbof,Region2Tianjin,2,Tianjin,DRI,0.0,13647871.149515277,structural_zero,0.0
no_cap,1,bfbof,Region2Tianjin,2,Tianjin,Hydrogen,0.0,13647871.149515277,structural_zero,0.0
no_cap,1,bfbof,Region2Tianjin,2,Tianjin,Electricity,97834069.86089203,13647871.149515277,ok,7.1684491148179355
