Unit: tons/hour,2025,2030,2035,2040,2045,2050,2055,2060
Region1Beijing,1513,1729,1806,1701,1596,1504,1427,1363
Region2Tianjin,655,753,781,749,712,675,644,620
Region3Hebei,1636,1842,1897,1815,1727,1650,1587,1539
Region4Shanxi,837,1002,1095,1137,1152,1139,1123,1105
Region5Innermongolia,813,977,1069,1087,1095,1075,1052,1026
Region6Liaoning,666,757,786,748,698,651,608,571
Region7Jilin,341,421,465,475,470,452,431,410
Region8Heilongjiang,413,495,540,554,550,528,504,479
Region9Shanghai,1201,1314,1332,1245,1162,1088,1024,970
Region10Jiangsu,2996,3386,3466,3246,3047,2877,2735,2620
Region11Zhejiang,1864,2053,2073,1923,1805,1710,1628,1557
Region12Anhui,1113,1366,1513,1553,1577,1570,1560,1548
Region13Fujian,1193,1387,1458,1394,1325,1268,1220,1180
Region14Jiangxi,773,949,1056,1096,1124,1129,1130,1129
Region15Shandong,2271,2492,2504,2333,2199,2082,1984,1903
Region16Henan,1167,1383,1510,1549,1588,1596,1601,1605
Region17Hubei,922,1117,1216,1226,1238,1222,1206,1190
Region18Hunan,867,1052,1154,1184,1203,1199,1192,1183
Region19Guangdong,2234,2480,2544,2406,2302,2219,2155,2108
Region20Guangxi,462,560,625,659,696,722,746,766
Region21Hainan,110,128,135,132,129,127,126,127
Region22Chongqing,554,646,692,690,701,701,698,691
Region23Sichuan,1115,1293,1381,1390,1408,1401,1385,1361
Region24Guizhou,378,468,532,556,584,602,617,630
Region25Yunnan,565,680,756,790,819,831,836,835
Region26Tibet,0,0,0,0,0,0,0,0
Region27Shaanxi,534,639,697,709,723,724,720,712
Region28Gansu,202,238,261,272,280,282,282,280
Region29Qinghai,63,75,84,87,90,91,92,92
Region30Ningxia,81,98,109,114,120,124,127,130
Region31Xinjiang,290,348,391,415,445,468,491,513
